Date,Open,High,Low,Close,Volume,Neg,Fin
2016-10-28,19.03365,19.4873,18.6589,18.93503,6342600,4460,122334647
2016-10-31,18.92517,18.93503,17.26836,17.81076,2523300,4238,45857231
2016-11-01,17.81076,18.12635,16.92319,17.65297,996200,2072,17676981
2016-11-03,17.75159,17.98828,17.07112,17.74173,621000,2157,11132994
2016-11-04,17.70229,17.86994,17.4656,17.50504,389800,1929,6955112
2016-11-07,17.73187,17.75159,17.16974,17.40642,513700,1448,9079715
2016-11-08,17.14015,17.54449,16.87388,17.24863,535700,1917,9318752
2016-11-09,16.76539,16.76539,15.48333,16.3216,1694400,3223,27693164
2016-11-10,16.70622,16.70622,14.97051,15.75947,601900,1487,9692763
2016-11-11,15.59182,15.59182,14.32948,15.03955,817300,1629,12352601
2016-11-14,14.98037,15.30582,14.793,15.30582,200700,221,3088533
2016-11-16,15.72988,15.72988,14.67465,15.72988,343900,668,5279957
2016-11-17,15.66085,16.75553,15.66085,16.3216,214400,462,3539466
2016-11-18,16.55829,17.20918,16.28216,16.94291,57900,160,984056
2016-11-21,17.15987,17.15987,16.51884,16.95277,131200,440,2241175
2016-11-22,17.13029,17.13029,16.38078,16.74567,437400,933,7379903
2016-11-23,16.97249,17.15001,16.27229,16.51884,350300,1352,5854164
2016-11-24,16.51884,16.61747,16.43995,16.56815,57600,93,965489
2016-11-25,16.28216,16.64705,16.17367,16.46953,96200,244,1605525
2016-11-28,16.53857,16.53857,15.72988,15.77919,420500,1003,6794760
2016-11-29,15.68057,16.07505,15.09872,15.6214,404300,1401,6287921
2016-11-30,15.58195,15.63127,15.17761,15.63127,766100,877,12033095
2016-12-01,15.18748,15.53264,14.57603,14.7141,541600,1650,8175889
2016-12-02,14.793,14.87189,14.38865,14.55631,266600,768,3941179
2016-12-05,14.84231,14.84231,14.32948,14.4281,154400,679,2255286
2016-12-06,14.33934,14.64507,14.0139,14.28017,772500,1447,11228210
2016-12-07,14.38865,14.793,13.97445,14.20127,553700,1894,8015425
2016-12-08,14.37879,14.46755,13.98431,14.20127,224800,1036,3244990
2016-12-09,14.25058,14.58589,14.11252,14.54644,651300,1052,9459005
2016-12-12,14.53658,15.28609,14.49714,14.793,409700,1282,6229748
2016-12-13,14.81272,15.28609,14.793,14.89162,299100,1310,4556777
2016-12-14,15.07899,15.10858,14.64507,14.793,236200,953,3544055
2016-12-15,14.77327,14.793,14.30976,14.59575,243600,1088,3593659
2016-12-16,14.58589,14.793,14.37879,14.57603,267000,796,3948176
2016-12-19,14.4281,14.67465,14.10266,14.29989,527400,844,7608092
2016-12-20,14.29003,14.43796,13.90542,14.221,513400,1168,7331540
2016-12-21,14.12238,14.17169,13.83638,14.04348,345100,1042,4892042
2016-12-22,14.07307,14.19141,13.86597,14.00403,130800,529,1852394
2016-12-23,13.90542,14.1421,13.66873,13.75749,265300,940,3722272
2016-12-26,13.98431,14.03362,13.75749,13.95472,54000,243,760866
2016-12-27,13.98431,13.98431,13.57011,13.8068,168000,553,2335769
2016-12-28,13.87583,14.06321,13.67859,14.00403,248800,1219,3512804
2016-12-29,13.95472,14.59575,13.8068,14.44782,372300,1339,5375545
2017-01-02,14.41824,14.67465,14.20127,14.39852,35900,87,523505
2017-01-03,14.53658,14.85217,14.36893,14.69437,357200,651,5314402
2017-01-04,14.69437,14.83244,14.60562,14.69437,117100,220,1746750
2017-01-05,14.69437,15.13816,14.69437,15.13816,124300,670,1885899
2017-01-06,15.06913,15.23678,14.73382,15.23678,151000,867,2292524
2017-01-09,15.23678,15.23678,14.85217,15.0001,174100,747,2641429
2017-01-10,14.90148,14.91134,14.507,14.68451,251400,782,3740701
2017-01-11,14.76341,14.76341,14.30976,14.69437,134500,608,1985513
2017-01-12,14.68451,14.9212,14.59575,14.793,338100,1309,5064840
2017-01-13,14.9212,14.99023,14.59575,14.793,213900,658,3188433
2017-01-16,14.793,14.793,14.51686,14.59575,105800,291,1567721
2017-01-17,14.51686,14.74368,14.51686,14.59575,232700,581,3445879
2017-01-18,14.69437,14.81272,14.44782,14.81272,165600,966,2452963
