Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.61,4.62,4.57,4.6,901100,483,4141436
2010-01-05,4.63,4.63,4.57,4.58,765100,352,3515078
2010-01-06,4.57,4.92,4.56,4.87,3936800,1801,18887137
2010-01-07,4.79,5.18,4.74,5.17,4600200,2770,23177101
2010-01-08,5.18,5.45,5.18,5.42,4157300,2274,22133905
2010-01-11,5.37,5.56,5.17,5.41,3882900,2173,21141808
2010-01-12,5.33,5.35,5.16,5.2,940400,614,4935012
2010-01-13,5.19,5.25,5.12,5.18,757600,421,3927510
2010-01-14,5.25,5.34,5.16,5.21,805100,911,4229429
2010-01-15,5.26,5.41,5.01,5.28,1017700,671,5343644
2010-01-18,5.25,5.32,5.18,5.23,310200,275,1628478
2010-01-19,5.25,5.31,5.2,5.27,306100,221,1611877
2010-01-20,5.29,5.29,5.11,5.14,434700,270,2243529
2010-01-21,5.16,5.23,4.89,4.94,821300,634,4119978
2010-01-22,4.9,4.97,4.7,4.87,1137700,763,5498812
2010-01-26,4.85,4.85,4.66,4.68,594800,460,2823189
2010-01-27,4.69,4.74,4.57,4.6,717700,637,3327163
2010-01-28,4.7,4.78,4.67,4.72,624800,432,2951937
2010-01-29,4.73,4.87,4.7,4.7,406600,323,1948926
2010-02-01,4.75,4.81,4.69,4.72,453900,369,2149352
2010-02-02,4.8,4.82,4.69,4.7,529100,381,2495639
2010-02-03,4.75,4.83,4.63,4.72,751200,537,3561864
2010-02-04,4.74,4.74,4.34,4.43,1264100,798,5674616
2010-02-05,4.34,4.35,4.04,4.25,1678100,1363,7056391
2010-02-08,4.36,4.43,4.25,4.3,773200,661,3327788
2010-02-09,4.39,4.58,4.37,4.58,1800900,1248,8034290
2010-02-10,4.63,4.9,4.61,4.9,2420200,1310,11499522
2010-02-11,4.95,4.95,4.77,4.91,1339100,556,6505116
