Date,Open,High,Low,Close,Volume,Neg,Fin
2017-01-02,2.71046,2.77738,2.54315,2.64353,68600,66,54075
2017-01-03,2.64353,2.677,2.50968,2.677,55500,33,42331
2017-01-04,2.677,2.677,2.54315,2.54315,67900,32,52704
2017-01-05,2.50968,2.64353,2.47622,2.54315,222600,87,168863
2017-01-06,2.54315,2.61007,2.50968,2.54315,63100,31,47797
2017-01-09,2.54315,2.57661,2.44276,2.44276,67900,45,50772
2017-01-10,2.50968,2.50968,2.34237,2.37583,101300,47,73919
2017-01-11,2.37583,2.54315,2.37583,2.44276,127600,91,93057
2017-01-12,2.44276,2.47622,2.30891,2.4093,321800,119,227545
2017-01-13,2.37583,2.44276,2.34237,2.37583,127800,59,90815
2017-01-16,2.4093,2.44276,2.34237,2.37583,76000,39,54153
2017-01-17,2.4093,2.87777,2.34237,2.81085,1148800,409,912514
2017-01-18,2.87777,3.84818,2.87777,3.64741,2084300,1002,2107666
2017-01-19,4.11588,4.41704,3.58048,3.74779,1690900,787,2015130
2017-01-20,3.91511,4.11588,3.64741,3.74779,1737500,557,1975247
2017-01-23,3.17917,3.2712,2.94492,3.02858,248900,306,926401
2017-01-24,3.05368,3.51382,3.05368,3.2712,197200,217,766082
2017-01-26,3.3465,3.37996,3.02021,3.05368,100400,125,377470
2017-01-27,3.04531,3.21264,2.76086,2.80269,181700,152,641883
2017-01-30,2.92818,2.92818,2.50987,2.50987,127900,124,396731
2017-01-31,2.63537,2.74413,2.56007,2.63537,43400,54,137436
2017-02-01,2.71903,2.71903,2.53497,2.56844,64800,42,201239
2017-02-02,2.5517,2.66883,2.54334,2.59353,9900,16,30996
2017-02-03,2.5266,2.59353,2.5266,2.56007,21500,32,65218
2017-02-06,2.53497,2.64373,2.5266,2.54334,11200,28,34285
2017-02-07,2.5266,2.5266,2.43458,2.44294,22000,30,64582
2017-02-08,2.44294,2.50987,2.30908,2.35928,40900,43,117416
2017-02-09,2.76086,3.16244,2.76086,3.09551,436300,617,1551318
2017-02-10,3.05368,3.09551,2.76086,2.76086,171200,229,592565
2017-02-13,2.76086,2.83616,2.6772,2.75249,64100,56,209735
2017-02-14,2.72739,2.83616,2.69393,2.76923,23000,40,75585
2017-02-15,2.77759,2.81106,2.6772,2.76086,37200,50,121763
