Date,Open,High,Low,Close,Volume,Neg,Fin
2020-11-11,5.64,6.78,5.61,6.5,14185000,31920,89141249
2020-11-12,6.72,7.09,6.05,6.1,10719500,18325,69878670
2020-11-13,6.09,6.48,6.07,6.42,2830900,5263,17863106
2020-11-16,6.53,6.98,6.53,6.8,5568700,15201,38045469
2020-11-17,6.9,7.05,6.72,6.73,3922900,7473,26923703
2020-11-18,6.84,6.86,6.54,6.73,1352500,2920,9027158
2020-11-19,6.73,6.8,6.63,6.8,2059000,1410,13888155
2020-11-20,6.76,6.82,6.74,6.8,1317700,2254,8924684
2020-11-23,6.82,6.89,6.75,6.81,1813900,1604,12313045
2020-11-24,6.81,6.92,6.7,6.8,1432500,2923,9771499
2020-11-25,6.8,6.81,6.68,6.73,1917200,2632,12888953
2020-11-26,6.71,6.72,6.61,6.67,1194800,4700,7970680
2020-11-27,6.67,6.77,6.6,6.74,507300,1793,3401830
2020-11-30,6.78,6.8,6.65,6.65,1456400,3816,9806611
2020-12-01,6.7,6.88,6.67,6.8,1095100,2920,7398016
2020-12-02,6.8,6.9,6.72,6.9,737800,2347,5024646
2020-12-03,7.0,7.0,6.9,6.9,769100,2214,5339180
2020-12-04,6.92,6.98,6.84,6.97,302600,897,2092899
2020-12-07,7.0,7.3,6.98,7.24,2056700,3500,14785938
2020-12-08,7.29,7.6,7.27,7.45,1153500,4066,8607437
2020-12-09,7.59,7.59,7.31,7.39,958700,3770,7121290
2020-12-10,7.49,7.49,7.19,7.33,1360700,2897,9973085
2020-12-11,7.25,7.31,7.16,7.24,892500,3484,6436560
2020-12-14,7.34,7.56,7.22,7.35,2181400,4158,15968507
2020-12-15,7.36,7.44,7.2,7.32,3563000,4590,26151329
2020-12-16,7.31,7.45,7.25,7.38,3449500,7822,25462090
2020-12-17,7.37,7.48,7.37,7.48,1239200,2975,9189885
2020-12-18,7.5,7.6,7.43,7.54,2275600,5554,17170131
2020-12-21,7.54,8.04,7.42,7.94,4203100,8495,33026830
2020-12-22,8.1,9.25,8.06,9.09,5929300,12380,50984827
2020-12-23,9.39,10.37,9.36,9.66,10695300,20337,104984593
2020-12-28,9.79,10.1,9.79,9.91,5044200,11985,50036974
2020-12-29,9.96,10.72,9.93,10.34,5365200,10688,55357694
2020-12-30,10.4,10.8,10.0,10.0,5575800,11757,57963298
2021-01-04,10.39,10.76,10.03,10.53,5003800,10052,52023426
2021-01-05,10.56,10.85,10.18,10.31,5088800,11236,53355708
2021-01-06,10.4,10.5,10.1,10.11,2569000,6514,26393153
2021-01-07,10.17,10.49,10.17,10.37,3661200,6818,37933965
2021-01-08,10.39,10.69,10.22,10.66,3022600,8115,31473059
2021-01-11,10.5,11.58,10.41,11.5,6549300,12097,73456792
2021-01-12,11.66,12.12,11.57,11.92,6202600,16643,73669227
2021-01-13,11.94,12.78,11.94,12.33,5075000,13278,62789153
2021-01-14,12.56,13.06,12.35,12.89,6825500,14329,87665420
2021-01-15,12.9,13.79,12.81,13.05,11450700,28590,151618617
2021-01-18,13.32,13.52,12.91,13.13,5244800,13270,69379839
2021-01-19,13.25,13.38,11.96,11.96,9051700,17208,112435691
