Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.97243,7.00448,6.86926,6.92977,324300,671,6308232
2010-01-05,6.92617,6.98669,6.90845,6.94397,301300,756,5885195
2010-01-06,6.96889,7.03294,6.91198,6.94397,170700,510,3357535
2010-01-07,6.94044,6.99735,6.90485,6.9511,174600,631,3409727
2010-01-08,6.98669,7.01868,6.93331,7.00448,895600,859,17592391
2010-01-11,6.98669,7.01514,6.89065,6.89419,374100,947,7272254
2010-01-12,6.91911,6.92264,6.82661,6.89419,335600,730,6502553
2010-01-13,6.89772,6.90845,6.80168,6.83374,635200,1106,12275418
2010-01-14,6.83014,6.89065,6.72344,6.72344,456500,847,8708641
2010-01-15,6.77682,6.77682,6.54556,6.54556,1006000,1697,18835577
2010-01-18,6.61674,6.70565,6.59895,6.68785,332700,919,6223984
2010-01-19,6.68785,6.68785,6.62381,6.65226,533700,1843,9989835
2010-01-20,6.64873,6.64873,6.4922,6.52422,967700,2628,17802939
2010-01-21,6.57756,6.62381,6.40327,6.4922,581200,1161,10588495
2010-01-22,6.4922,6.49932,6.42461,6.47797,445100,1093,8088593
2010-01-26,6.47797,6.60961,6.45663,6.60961,600700,1953,11026974
2010-01-27,6.60961,6.74123,6.58469,6.68785,943600,1733,17750857
2010-01-28,6.75903,6.75903,6.63447,6.66292,223100,539,4200658
2010-01-29,6.71984,6.83014,6.6416,6.7519,505000,1149,9574682
2010-02-01,6.79455,6.79455,6.68785,6.72344,383100,755,7262725
2010-02-02,6.75903,6.76969,6.63093,6.65226,280200,1020,5275033
2010-02-03,6.69851,6.69851,6.58828,6.63447,259500,896,4831457
2010-02-04,6.67005,6.67005,6.54909,6.62027,448200,895,8298843
2010-02-05,6.55983,6.56336,6.40327,6.51355,741600,771,13563563
2010-02-08,6.55983,6.56336,6.50288,6.52778,486400,1477,8941080
2010-02-09,6.54556,6.70211,6.54556,6.62381,600200,914,11228655
2010-02-10,6.6416,6.67719,6.59181,6.61674,836200,1021,15589012
2010-02-11,6.67005,6.70211,6.61314,6.64873,321700,827,6012741
2010-02-12,6.65586,6.75903,6.62381,6.75903,803000,1503,15122127
2010-02-17,6.75903,6.77682,6.68785,6.7519,266500,818,5046256
2010-02-18,6.7519,6.75903,6.65939,6.75903,594200,988,11227539
2010-02-19,6.74477,6.74477,6.67719,6.71984,328800,1016,6192594
2010-02-22,6.69498,6.75543,6.69138,6.71278,478400,885,9022088
2010-02-23,6.71631,6.75903,6.65226,6.74477,961500,1380,18165751
2010-02-24,6.71631,6.74836,6.67005,6.67005,184400,469,3482375
2010-02-25,6.65226,6.74123,6.62027,6.74123,105300,269,1985083
2010-02-26,6.75903,6.81594,6.69138,6.75903,221100,580,4205797
2010-03-01,6.81234,6.81947,6.7519,6.77682,288900,807,5504718
2010-03-02,6.79455,6.8408,6.79102,6.81234,306000,633,5866865
2010-03-03,6.84793,6.85147,6.7341,6.75903,397000,815,7570763
2010-03-04,6.79455,6.81234,6.69498,6.7519,187600,557,3554239
2010-03-05,6.77682,6.81234,6.69138,6.69138,680600,1093,12894435
2010-03-08,6.75543,6.77682,6.72344,6.75903,91700,380,1740180
2010-03-09,6.75903,6.80881,6.75903,6.77682,1313400,869,25021330
2010-03-10,6.77682,6.87999,6.77682,6.83014,621200,420,11895492
2010-03-11,6.86573,6.90845,6.79455,6.86573,648400,605,12527994
2010-03-12,6.84793,6.84793,6.75903,6.80881,482300,758,9214051
2010-03-15,6.80168,6.80528,6.68785,6.77682,411800,734,7822989
2010-03-16,6.76256,6.88352,6.74836,6.83374,438100,863,8375005
2010-03-17,6.83374,6.9369,6.80168,6.9369,640600,1048,12321458
2010-03-18,6.90485,7.01161,6.90485,7.00802,1106200,1608,21713304
2010-03-19,6.95463,7.05427,6.93331,6.97243,669700,1217,13117676
2010-03-22,6.97243,7.11118,6.95463,7.10765,513200,1272,10156941
2010-03-23,7.11118,7.11471,7.03294,7.07559,762800,915,15197932
2010-03-24,7.02581,7.12544,6.99022,7.0614,989500,1632,19696807
2010-03-25,7.02934,7.11471,7.02934,7.06853,487600,735,9692984
2010-03-26,7.07559,7.11118,7.05427,7.07919,313600,548,6247127
2010-03-29,7.07559,7.11118,6.99022,7.0436,289100,827,5722117
2010-03-30,7.07919,7.10052,7.00802,7.02581,148000,411,2921576
2010-03-31,7.06493,7.06493,6.86573,6.86573,805700,1127,15723388
2010-04-01,6.95823,6.99022,6.90485,6.94044,338500,1218,6606644
2010-04-05,6.95463,7.09698,6.95463,7.03647,455600,708,9047796
2010-04-06,7.00802,7.07206,7.00802,7.03294,104400,336,2067654
2010-04-07,6.96176,7.07559,6.95463,6.99382,364100,1335,7158546
2010-04-08,7.07559,7.07559,6.88352,6.91911,626000,1208,12201754
2010-04-09,6.9369,6.98309,6.83014,6.8586,665800,2289,12909057
2010-04-12,6.90485,6.91911,6.86573,6.86573,324100,1206,6270945
2010-04-13,6.91198,7.00802,6.88352,7.00802,500200,1426,9756969
