Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,8.01859,8.09926,7.92179,8.06699,2496000,4916,12380446
2010-01-05,8.09926,8.11539,7.88952,7.95405,5450500,1825,26910276
2010-01-06,7.98632,8.58328,7.95405,8.55101,11574700,3924,59728202
2010-01-07,8.43807,9.0673,8.3574,9.0189,8125300,6863,44551646
2010-01-08,9.03503,9.45451,9.0189,9.37384,7876500,4757,45205436
2010-01-11,9.35771,9.66426,9.19637,9.35771,7774500,3242,45376240
2010-01-12,9.14797,9.30931,8.93823,8.98663,2966700,1381,16706434
2010-01-13,9.00276,9.09957,8.87369,8.98663,2640700,1901,14735529
2010-01-14,9.03503,9.24477,8.92209,9.1157,2464100,5590,13862692
2010-01-15,9.09957,9.43838,8.76075,9.1157,3139100,1473,17785619
2010-01-18,9.1157,9.26091,9.05116,9.1157,1024000,483,5805476
2010-01-19,9.1157,9.26091,9.03503,9.1641,1397600,1149,7946220
2010-01-20,9.13183,9.14797,8.84142,8.95436,939500,1063,5204605
2010-01-21,8.93823,9.13183,8.43807,8.43807,1179500,932,6333424
2010-01-22,8.53488,8.69622,8.14766,8.55101,1498200,1466,7802802
2010-01-26,8.38967,8.43807,8.06699,8.14766,2218100,2062,11327301
2010-01-27,8.2122,8.24447,7.85725,7.92179,3385700,2666,16783243
2010-01-28,8.00245,8.309,8.00245,8.22833,3984500,1261,20185239
2010-01-29,8.29287,8.47034,8.06699,8.14766,3009400,1867,15427718
2010-02-01,8.1638,8.37354,8.13153,8.19606,1280300,803,6542980
2010-02-02,8.34127,8.34127,8.08313,8.08313,2493600,1613,12592998
2010-02-03,8.14766,8.34127,8.06699,8.24447,1920600,1442,9766361
2010-02-04,8.17993,8.17993,7.53457,7.58297,3702700,1984,17892004
2010-02-05,7.47003,7.5023,7.09895,7.24416,5395700,2887,24244128
2010-02-08,7.5023,7.53457,7.34096,7.42163,1120000,1038,5166290
2010-02-09,7.5023,7.90565,7.5023,7.90565,3326600,2959,15958245
2010-02-10,8.11539,8.47034,7.92179,8.47034,5565200,4930,28392437
2010-02-11,8.47034,8.53488,8.22833,8.53488,7939300,3445,41219431
2010-02-12,8.46855,8.91688,8.37888,8.41873,3188600,3690,27393802
2010-02-17,8.59807,8.67777,8.36892,8.45859,1673500,1752,14246109
2010-02-18,8.46855,8.46855,8.37888,8.45859,790900,635,6687871
2010-02-19,8.40877,8.45859,8.17962,8.36892,836200,597,7043869
2010-02-22,8.35896,8.39881,8.11984,8.11984,1527200,864,12576559
2010-02-23,8.02022,8.04014,7.76118,7.7811,2213600,2155,17471733
2010-02-24,7.84088,7.9704,7.71136,7.76118,1330700,1865,10456312
2010-02-25,7.60177,7.85084,7.41247,7.77114,2068800,1441,15818302
2010-02-26,7.87077,8.09992,7.7811,8.09992,2758500,2432,21981839
2010-03-01,8.21947,8.26929,8.10988,8.13977,1678800,2265,13752287
2010-03-02,8.17962,8.26929,7.90066,7.98036,1739400,2091,14012522
2010-03-03,8.03018,8.09992,7.88073,8.0501,4514300,1565,36295205
2010-03-04,8.00029,8.09992,7.90066,8.03018,6145600,732,48955589
2010-03-05,8.07999,8.1597,7.77114,7.87077,2788300,1725,22198858
2010-03-08,7.87077,7.96044,7.74125,7.79107,1312600,941,10333642
2010-03-09,7.77114,7.87077,7.68147,7.82095,2751000,1489,21466769
2010-03-10,7.82095,7.93055,7.72132,7.8907,3084300,855,24219269
2010-03-11,7.82095,7.94051,7.80103,7.83092,1152900,1115,9090371
