Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.9,2.91,2.75,2.79,4546300,1536,12736907
2010-01-05,2.78,2.98,2.57,2.83,10473800,3217,29665460
2010-01-06,2.81,2.93,2.74,2.83,5533100,1470,15673364
2010-01-07,2.8,2.89,2.78,2.8,4675300,1159,13215902
2010-01-08,2.82,2.87,2.72,2.77,6319400,1549,17616374
2010-01-11,2.82,2.88,2.75,2.76,4706800,1232,13173264
2010-01-12,2.79,2.79,2.68,2.73,3106500,948,8479804
2010-01-13,2.85,3.43,2.85,3.16,37137400,8860,120054140
2010-01-14,3.3,3.36,3.08,3.1,6696100,2125,21514710
2010-01-15,3.09,3.13,2.89,2.95,4905900,1809,14611030
2010-01-18,3.0,3.3,2.96,3.05,5433700,1865,17056957
2010-01-19,3.08,3.23,3.04,3.11,3060100,1013,9501656
2010-01-20,3.13,3.19,3.02,3.11,4047600,1243,12542274
2010-01-21,3.15,3.19,3.03,3.1,1914400,690,5914586
2010-01-22,3.15,3.7,3.04,3.7,13589500,3704,45320633
2010-01-26,3.8,3.93,3.4,3.4,13266900,5126,49006426
2010-01-27,3.46,3.63,3.36,3.4,4899500,1794,16974885
2010-01-28,3.49,4.01,3.39,3.85,15102000,4353,57068958
2010-01-29,3.8,3.9,3.35,3.35,10174800,3392,37485555
2010-02-01,3.48,3.54,3.26,3.4,6411300,4058,21894352
2010-02-02,3.42,3.5,3.28,3.35,4544500,2053,15291415
2010-02-03,3.37,3.55,3.33,3.37,6955400,3801,23954754
2010-02-04,3.42,3.43,2.81,2.99,5923400,2255,18813976
2010-02-05,2.84,2.95,2.52,2.79,6072200,2329,16924611
2010-02-08,2.85,3.07,2.82,2.93,5328800,2462,15682704
2010-02-09,3.04,3.16,2.93,2.95,4832400,1654,14770688
2010-02-10,3.03,3.05,2.86,2.89,2163200,777,6307386
2011-01-10,1.44,1.63,1.14,1.41,19321900,5107,28031268
2011-01-11,1.41,1.46,1.19,1.21,23409200,6179,30813915
