Date,Open,High,Low,Close,Volume,Neg,Fin
2020-05-15,8.99,9.55,8.4,9.55,7545600,10508,66829221
2020-05-18,9.95,9.95,9.61,9.8,1265300,1337,12371204
2020-05-19,9.85,10.0,9.69,9.74,718700,636,7019779
2020-05-20,9.85,10.0,9.79,9.9,403900,566,3992342
2020-05-21,9.99,10.05,9.8,9.8,773000,499,7654682
2020-05-22,9.8,9.85,9.62,9.85,407200,398,3982132
2020-05-25,9.92,9.95,9.78,9.87,188900,212,1866475
2020-05-26,9.83,10.0,9.8,9.91,56600,117,559312
2020-05-27,9.87,9.9,9.76,9.76,61800,193,606800
2020-05-28,9.78,9.78,9.6,9.65,46600,138,450044
2020-05-29,9.59,9.85,9.5,9.5,227300,351,2184177
2020-06-01,9.44,9.8,9.2,9.8,81600,422,795319
2020-06-02,9.82,9.95,9.57,9.59,174300,718,1683089
2020-06-03,9.62,9.77,9.6,9.66,957600,262,9195945
2020-06-04,9.59,9.93,9.59,9.9,49900,227,490485
2020-06-05,9.9,10.57,9.88,9.88,470500,829,4890524
2020-06-08,10.0,10.19,9.65,9.7,299200,860,2926874
2020-06-09,9.68,10.03,9.68,9.81,127600,266,1256601
2020-06-10,10.05,10.09,9.69,9.95,49300,167,483084
2020-06-12,9.72,9.87,9.58,9.59,70800,170,685178
2020-06-15,9.57,9.69,9.15,9.4,53600,175,502012
2020-06-16,9.51,9.8,9.5,9.6,42000,140,404638
2020-06-17,9.74,9.8,9.52,9.78,31500,118,303865
2020-06-18,9.75,9.85,9.57,9.84,43800,99,426781
2020-06-19,9.85,9.86,9.37,9.37,42600,111,406429
2020-06-22,9.5,9.65,9.49,9.6,37300,104,356436
2020-06-23,9.77,9.78,9.51,9.72,34200,103,329322
2020-06-24,9.64,9.67,9.15,9.15,85300,325,792254
2020-06-25,9.2,9.49,9.16,9.35,25100,91,234069
2020-06-26,9.42,9.42,9.2,9.2,17000,73,157339
2020-06-29,9.42,9.42,9.14,9.15,24800,74,227576
2020-06-30,9.22,9.49,9.19,9.3,56100,276,523268
2020-07-01,9.2,9.58,9.2,9.5,44000,257,416909
2020-07-02,9.51,9.79,9.3,9.3,37500,282,359011
2020-07-03,9.45,9.6,9.31,9.6,32500,269,307657
2020-07-06,9.7,9.7,9.6,9.69,53400,322,515907
2020-07-07,9.79,9.82,9.65,9.81,86500,370,844808
2020-07-08,9.8,9.8,9.61,9.78,28500,86,277041
2020-07-09,9.77,9.89,9.7,9.86,33800,179,332096
2020-07-10,9.82,9.82,9.56,9.7,72200,333,696784
2020-07-13,9.76,9.76,9.37,9.37,45000,210,430052
2020-07-14,9.38,9.67,9.38,9.65,52200,298,501044
2020-07-15,9.7,9.7,9.49,9.68,39200,96,376520
2020-07-16,9.52,9.68,9.45,9.68,16400,65,156720
2020-07-17,9.68,9.8,9.55,9.8,52000,216,503836
2020-07-20,9.77,9.8,9.56,9.56,59900,143,584205
2020-07-21,9.66,9.78,9.55,9.65,82500,123,796027
2020-07-22,9.65,9.66,9.58,9.66,8800,44,84629
2020-07-23,9.64,9.66,9.38,9.38,20300,89,193359
2020-07-24,9.38,9.55,9.3,9.5,19200,34,181580
2020-07-27,9.6,9.75,9.31,9.69,138700,985,1321826
2020-07-28,9.65,9.71,9.46,9.69,92600,323,892153
2020-07-29,9.56,9.71,9.48,9.71,37700,305,364104
2020-07-30,9.64,9.73,9.5,9.65,76800,368,740703
2020-07-31,9.64,9.68,9.4,9.68,131700,705,1265670
2020-08-03,9.68,9.68,9.44,9.44,26100,155,248710
2020-08-04,9.44,9.65,9.23,9.65,86800,202,828181
2020-08-05,9.65,9.65,9.4,9.42,50200,176,475608
2020-08-06,9.53,9.53,9.34,9.38,37900,134,356350
2020-08-07,9.33,9.54,9.21,9.21,49200,151,458427
2020-08-10,9.26,9.5,9.17,9.17,39400,164,363767
2020-08-11,9.22,9.36,9.22,9.36,23900,86,222673
2020-08-12,9.3,9.44,9.24,9.35,18100,79,168827
2020-08-13,9.3,9.31,9.2,9.3,11800,40,109245
2020-08-14,9.31,9.35,9.23,9.26,19300,62,179328
2020-08-17,9.26,9.28,9.15,9.2,21300,104,195683
2020-08-18,9.28,9.31,9.18,9.2,17100,65,157518
2020-08-19,9.21,9.31,9.2,9.2,5700,28,52610
2020-08-20,9.15,9.31,9.15,9.31,21900,48,201290
2020-08-21,9.25,9.46,9.14,9.4,47900,413,447725
2020-08-24,9.46,9.68,9.43,9.57,104700,579,1005132
2020-08-25,9.61,9.67,9.42,9.65,41400,184,396457
2020-08-26,9.6,9.69,9.48,9.69,55100,307,530257
2020-08-27,9.75,9.75,9.24,9.24,54000,132,509031
2020-08-28,9.4,9.65,9.18,9.65,94600,584,886769
2020-08-31,9.6,9.87,9.51,9.8,165500,226,1616068
2020-09-01,9.8,9.94,9.79,9.85,120800,212,1193754
2020-09-02,9.75,9.99,9.46,9.5,2449000,238,23633617
2020-09-03,9.55,9.63,9.38,9.48,33000,106,313693
2020-09-04,9.68,9.68,9.46,9.46,13500,66,129139
2020-09-08,9.5,9.55,9.3,9.3,22100,92,208864
2020-09-09,9.48,9.61,9.3,9.58,24600,92,232640
2020-09-10,9.63,9.63,9.44,9.48,2600,19,24687
2020-09-11,9.46,9.55,9.34,9.35,10900,38,102602
2020-09-14,9.35,9.39,9.23,9.23,35600,98,331240
2020-09-15,9.28,9.3,9.23,9.25,20800,58,192451
2020-09-16,9.35,9.35,9.33,9.34,9800,27,91474
2020-09-17,9.27,9.39,9.27,9.36,6700,22,62390
2020-09-18,9.36,9.36,9.25,9.32,5500,37,51166
2020-09-21,9.23,9.29,9.2,9.22,45900,44,423734
2020-09-22,9.25,9.34,9.2,9.2,12800,52,118078
2020-09-23,9.2,9.3,9.14,9.17,65200,66,598715
2020-09-24,9.24,9.24,9.13,9.21,12500,33,115068
2020-09-25,9.24,9.29,9.14,9.27,12200,37,112660
2020-09-28,9.28,9.65,9.2,9.55,605700,282,5592705
2020-09-29,9.56,9.88,9.56,9.75,255500,690,2500008
2020-09-30,9.75,9.88,9.75,9.83,46800,142,460461
2020-10-01,9.85,10.33,9.85,10.09,92500,260,931077
2020-10-02,10.01,10.32,9.94,10.22,88700,249,906142
2020-10-05,10.22,10.5,9.91,10.12,87700,236,903513
2020-10-06,10.37,10.45,10.25,10.39,22600,119,233580
2020-10-07,10.4,10.49,10.39,10.44,15600,71,162763
