Date,Open,High,Low,Close,Volume,Neg,Fin
2011-02-03,16.57246,16.93678,16.52162,16.6826,3369100,7012,66473437
2011-02-04,16.69955,16.7758,16.52162,16.6826,375200,419,7349931
2011-02-07,16.60635,16.6826,16.35217,16.47926,258400,232,5047115
2011-02-08,16.47926,16.79274,16.47926,16.7758,91100,187,1799434
2011-02-09,16.86053,16.86053,16.71649,16.79274,146800,200,2905855
2011-02-10,16.79274,17.10623,16.79274,17.02998,71500,223,1428073
2011-02-11,17.07234,17.10623,16.94525,17.09776,388700,114,7809092
2011-02-14,16.95373,17.28416,16.86053,17.28416,325100,189,6553834
2011-02-15,16.94525,17.35194,16.94525,17.28416,50900,51,1033320
2011-02-16,17.04693,17.45361,17.04693,17.45361,40000,71,817505
2011-02-17,17.36041,17.79252,17.36041,17.79252,178900,345,3683367
2011-02-18,17.46208,18.25004,17.46208,18.13142,89900,165,1897932
2011-02-21,17.99586,18.37713,17.80099,18.00433,11700,47,250080
2011-02-22,18.1992,18.34324,17.79252,18.34324,53900,138,1150340
2011-02-23,17.98739,18.62283,17.98739,18.62283,33300,55,727202
2011-02-24,18.59742,18.61436,18.13142,18.59742,56400,53,1237151
2011-02-25,18.59742,19.06341,18.43644,18.63978,148100,52,3254231
2011-02-28,18.11447,19.35995,18.11447,19.14814,295000,134,6646266
2011-03-01,19.31759,19.31759,18.93632,18.97869,43600,51,976825
2011-03-02,18.84312,19.47857,18.84312,19.44468,428000,484,9684721
2011-03-03,19.44468,19.91068,19.22439,19.86831,201700,289,4641979
2011-03-04,19.88526,20.11402,19.43621,19.9022,43800,53,1013237
2011-03-09,20.21569,20.21569,19.86831,20.05471,4200,10,99030
2011-03-10,20.16485,20.16485,19.70733,19.82594,10300,20,241162
2011-03-11,20.21569,20.21569,19.78358,19.78358,45600,19,1066475
2011-03-14,20.12249,20.12249,19.2837,19.48704,132600,47,3068441
2011-03-15,19.47857,19.47857,18.89396,19.40232,49100,30,1119110
2011-03-16,19.22439,19.48704,19.06341,19.48704,46800,26,1063056
2011-03-17,19.47857,19.48704,19.07188,19.48704,9200,34,210695
2011-03-18,19.48704,19.48704,19.07188,19.48704,35900,70,824987
2011-03-21,19.50399,20.26653,19.40232,20.16485,169400,51,3888227
2011-03-22,19.91068,20.08012,19.6565,20.08012,23400,34,547617
2011-03-23,19.58871,19.91068,19.1905,19.74122,163200,143,3778388
2011-03-24,19.74122,19.74122,18.63978,19.10577,174200,199,3915601
2011-03-25,19.48704,19.809,18.74145,19.14814,71900,90,1613707
2011-03-28,18.91937,19.17355,18.91937,19.16509,29300,22,659014
2011-03-29,19.68191,19.81747,18.89396,18.89396,60900,94,1365549
2011-03-30,19.39384,19.47857,18.89396,19.31759,452900,153,10267310
2011-03-31,19.69886,19.69886,19.11425,19.6565,251100,285,5773782
2011-04-01,19.24981,19.39384,19.06341,19.14814,132400,272,2991982
2011-04-04,19.64802,19.64802,19.23286,19.47857,197200,80,4526312
2011-04-05,19.40232,19.48704,19.2837,19.48704,24700,136,567326
2011-04-06,19.24981,19.47857,19.24133,19.47857,10600,27,243177
2011-04-07,19.47857,19.57177,19.19897,19.48704,26200,65,601543
2011-04-08,19.5633,19.57177,19.2837,19.43621,25700,159,589307
2011-04-11,19.47857,19.51246,19.02105,19.31759,27100,181,614824
2011-04-12,19.52941,19.53788,19.14814,19.27523,20300,67,462324
2011-04-13,19.47857,19.57177,19.1905,19.40232,193800,92,4443332
2011-04-14,19.39384,19.6565,18.63978,19.35995,139200,192,3180933
2011-04-15,19.52093,19.52941,19.39384,19.47857,24000,22,551813
2011-04-18,19.10577,19.55482,19.10577,19.48704,21200,25,485391
2011-04-19,19.57177,19.73275,19.10577,19.3769,82200,114,1883501
2011-04-20,19.72427,19.82594,19.22439,19.82594,405500,104,9343457
2011-04-25,19.82594,20.2411,19.59719,20.16485,26200,110,619336
2011-04-26,20.23264,20.23264,19.86831,19.91068,39100,81,920191
2011-04-27,20.11402,20.11402,19.74122,19.97845,4500,9,105998
2011-04-28,19.74969,20.08012,19.53788,20.08012,18300,39,429600
2011-04-29,20.17171,20.28203,19.7474,20.28203,62000,65,1472697
2011-05-02,20.53662,20.53662,20.03593,20.26506,21400,42,511645
2011-05-03,19.9935,19.9935,19.45887,19.51827,419500,54,9649892
2011-05-04,19.90864,19.90864,19.50979,19.50979,10100,16,232288
2011-05-05,19.28066,19.73891,19.28066,19.43341,26200,22,600426
2011-05-06,19.72194,19.72194,19.3146,19.58616,74100,139,1707556
2011-05-09,19.63708,19.67951,19.34855,19.60314,27300,37,628370
2011-05-10,19.60314,19.9341,19.39098,19.9341,112000,46,2584176
2011-05-11,19.72194,19.73043,19.72194,19.72194,21300,9,495208
2011-05-12,19.28914,19.72194,19.28066,19.72194,23500,79,545369
2011-05-13,19.69648,19.69648,19.34855,19.51827,38600,90,885729
2011-05-16,19.72194,19.73043,19.21277,19.26369,51600,137,1175224
2011-05-17,19.66254,19.66254,19.36552,19.42492,94300,28,2164559
2011-05-18,19.67951,19.67951,19.18731,19.39098,25400,30,580500
2011-05-19,19.70497,19.70497,19.26369,19.66254,35400,27,818568
2011-05-20,19.66254,19.66254,19.45887,19.59465,38400,28,885506
2011-05-23,19.37401,19.51827,19.18731,19.51827,24100,39,551510
2011-05-24,19.58616,19.58616,19.22125,19.26369,202300,75,4617546
2011-05-25,19.2552,19.26369,19.03456,19.17883,134600,83,3042519
2011-05-26,19.21277,20.08685,19.21277,19.77286,117900,55,2713848
2011-05-27,19.72194,19.73043,19.47584,19.688,134000,40,3093060
2011-05-30,19.688,19.85772,19.688,19.85772,6100,13,142227
2011-05-31,19.90864,20.57905,19.85772,20.57905,269700,167,6451801
2011-06-01,20.20565,20.56207,19.8068,20.49419,195200,90,4681896
2011-06-02,20.62148,20.7912,20.00199,20.613,189300,87,4560536
2011-06-03,20.40932,20.96941,20.0529,20.95244,19800,48,483842
2011-06-06,20.59602,21.3428,20.59602,21.3428,5800,17,143939
2011-06-07,21.38524,21.80955,21.23249,21.4701,15700,85,397705
2011-06-08,21.4701,21.4701,21.24097,21.36827,55200,62,1390303
2011-06-09,21.3428,22.03019,21.3428,21.80955,160300,27,4096217
