Date,Open,High,Low,Close,Volume,Neg,Fin
2013-04-24,11.48545,11.48545,10.91306,11.00741,5481400,7597,97371031
2013-04-25,11.08289,11.34078,11.03257,11.13321,804300,1585,14286765
2013-04-26,11.1395,11.25272,11.06402,11.10176,1770600,1461,31363430
2013-04-29,11.19611,11.30933,10.98225,11.25901,933800,1504,16566054
2013-04-30,11.25901,11.41626,11.24014,11.37852,497700,590,8988736
2013-05-02,11.34707,11.63011,11.00741,11.57351,589300,857,10768529
2013-05-03,11.5106,11.59237,11.47915,11.54206,217800,279,3996114
2013-05-06,11.44771,11.55464,11.42883,11.43513,152600,112,2780476
2013-05-07,11.44771,11.68043,11.35336,11.61753,599200,553,11063430
2013-05-08,11.61753,11.6993,11.44771,11.6993,330600,310,6122580
2013-05-09,11.74333,11.74333,11.61124,11.70559,85900,139,1601555
2013-05-10,11.68673,11.70559,11.57979,11.60496,21400,42,396082
2013-05-13,11.57351,11.68043,11.44142,11.65527,312200,195,5780169
2013-05-14,11.63011,11.73075,11.57351,11.73075,216400,199,4005106
2013-05-15,11.61124,11.68043,11.57979,11.6364,112900,78,2088619
2013-05-16,11.6364,11.65527,11.32191,11.57351,60500,72,1114426
2013-05-17,11.6364,11.66156,11.5106,11.63011,23400,115,432642
2013-05-20,11.61753,11.63011,11.49174,11.63011,29700,40,547661
2013-05-21,11.5106,11.6993,11.5106,11.6993,70100,561,1297415
2013-05-22,11.66156,11.78736,11.56092,11.7622,87900,270,1638465
2013-05-23,11.78107,11.78107,11.6364,11.75591,18200,115,339300
2013-05-24,11.6993,11.7622,11.66785,11.75591,5800,13,108168
2013-05-27,11.75591,11.81252,11.71188,11.75591,84200,397,1574264
2013-05-28,11.7622,11.7622,11.59867,11.6364,193900,746,3588548
2013-05-29,11.67414,11.67414,11.19611,11.54206,281200,1052,5074966
2013-05-31,11.46029,11.73075,11.46029,11.6993,161300,439,2973470
2013-06-03,11.71817,11.71817,11.57351,11.6993,191800,495,3564952
2013-06-04,11.74962,11.75591,11.61124,11.68673,153200,450,2846249
2013-06-05,11.74333,11.74333,11.40368,11.62383,321200,1118,5887147
2013-06-06,11.6364,11.6993,11.54206,11.6364,126400,518,2337160
2013-06-07,11.69301,11.72446,11.35965,11.35965,276700,484,5058793
2013-06-10,11.45399,11.72446,11.44771,11.49803,237000,393,4361872
2013-06-11,11.63011,11.6364,11.39739,11.44771,255900,405,4676301
2013-06-12,11.56092,11.72446,11.52319,11.65527,276800,703,5085913
2013-06-13,11.54206,11.74962,11.5169,11.74962,174500,231,3207251
2013-06-14,11.73704,11.73704,11.57351,11.61124,95700,438,1770003
2013-06-17,11.61753,11.9509,11.61753,11.9509,1026700,1654,19167777
2013-06-18,12.0138,12.18992,11.9509,12.10815,410400,1808,7879953
2013-06-19,12.10815,12.54216,12.03896,12.17105,360400,1294,7041308
2013-06-20,12.16476,12.2654,11.7622,11.7622,646400,1173,12172652
2013-06-21,11.83139,11.90058,11.42255,11.5106,1028900,958,18854051
2013-06-24,11.40368,11.56092,11.08918,11.5106,238500,697,4277065
2013-06-25,11.79994,11.79994,11.24014,11.35336,145300,707,2626339
2013-06-26,11.49174,11.54206,11.16466,11.38481,150500,609,2712666
2013-06-27,11.49803,11.75591,11.3282,11.75591,153700,485,2827278
2013-06-28,11.74962,12.08299,11.5169,11.87542,302000,887,5707101
2013-07-01,11.87542,12.08299,11.87542,11.9509,293900,710,5622361
2013-07-02,11.94461,11.99493,11.41626,11.45399,128800,456,2388434
2013-07-03,11.64898,11.70559,11.47915,11.6364,157700,443,2907003
2013-07-04,11.7622,11.7622,11.64898,11.6993,103900,249,1932488
2013-07-05,11.6993,11.6993,11.42255,11.65527,72000,322,1325768
2013-07-08,11.59867,11.76849,11.49803,11.6364,162400,563,3010122
2013-07-10,11.64269,11.65527,11.32191,11.38481,116500,483,2119467
2013-07-11,11.47915,11.55464,11.2653,11.5169,173000,818,3140602
2013-07-12,11.5169,11.54206,11.22756,11.22756,402900,747,7238716
2013-07-15,11.32191,11.37223,11.18353,11.32191,169000,383,3023759
2013-07-16,11.37852,11.37852,11.19611,11.30933,81800,189,1469485
