Date,Open,High,Low,Close,Volume,Neg,Fin
2020-07-13,28.40761,29.35453,28.26807,29.20502,11198600,22561,322072266
2020-07-14,29.19505,33.04254,29.19505,31.39789,2760000,10099,86931748
2020-07-15,32.38468,32.88306,29.20502,30.74999,1669000,7603,52298294
2020-07-16,30.30145,30.5008,29.45421,29.60372,1621500,3935,48674176
2020-07-17,29.62366,30.45097,29.00567,29.75324,948300,3540,28340931
2020-07-20,29.96255,30.23168,28.72658,29.52398,549700,3304,16135306
2020-07-21,29.49408,29.77317,28.85616,28.85616,828400,2757,24257519
2020-07-22,28.80632,29.14521,28.34781,28.85616,901200,2102,26033539
2020-07-23,28.81628,29.05551,28.27803,28.27803,605400,2745,17452363
2020-07-24,28.20826,28.49732,26.96231,28.13849,425400,1958,11920328
2020-07-27,28.9957,29.15518,27.98897,28.56709,501300,2297,14353855
2020-07-28,28.56709,29.24489,28.20826,28.26807,709200,1146,20264147
2020-07-29,28.27803,28.84619,28.11855,28.597,413200,1056,11764501
2020-07-30,28.15842,29.14521,27.92917,29.13525,131000,482,3777259
2020-07-31,29.22495,29.7034,28.75648,29.49408,243400,1058,7152618
2020-08-03,29.64359,29.83298,28.72658,28.72658,134200,611,3914628
2020-08-04,28.23816,28.73654,27.90923,27.90923,271000,728,7673490
2020-08-05,28.2581,28.6269,27.98897,28.05875,168500,790,4765811
2020-08-06,28.63687,28.63687,27.53047,27.53047,263100,623,7329061
2020-08-07,27.51053,27.93914,27.51053,27.90923,237100,826,6614033
2020-08-10,27.75972,27.8893,27.07196,27.27131,438500,928,12045209
2020-08-11,27.28128,28.2282,27.28128,27.74975,599100,1372,16568315
2020-08-12,27.74975,27.80956,27.43079,27.61021,128700,662,3561519
2020-08-13,27.61021,28.06871,27.51053,27.8893,335400,1105,9356469
2020-08-14,27.51053,27.89927,27.33111,27.89927,874900,1010,24163010
2020-08-17,27.70988,27.70988,27.06199,27.06199,123200,589,3371038
2020-08-18,27.32115,27.69991,27.12179,27.61021,180300,510,4969672
2020-08-19,27.61021,27.8594,27.24141,27.8594,137300,679,3792989
2020-08-20,27.42082,27.80956,27.36102,27.80956,183900,950,5085663
2020-08-21,29.01564,29.87285,28.90599,29.40437,2290100,4655,67565267
2020-08-24,29.65356,30.0722,29.42431,29.7034,275200,1044,8203738
2020-08-25,29.97252,30.30145,29.43427,29.43427,222900,1113,6662690
2020-08-26,29.7034,29.82301,29.46418,29.61369,3105400,474,92222784
2020-08-27,29.82301,30.5008,29.65356,30.5008,896600,2386,27112426
2020-08-28,30.70016,31.43776,30.70016,31.38792,490700,2275,15335067
2020-08-31,31.36798,31.58727,30.94935,31.1786,558900,1716,17498440
2020-09-01,31.47763,31.5773,30.95931,31.24837,687200,1001,21578811
2020-09-02,31.33808,31.5474,31.19854,31.4876,1058100,1062,33282962
2020-09-03,31.5474,31.89627,30.89951,31.64708,128600,528,4068973
2020-09-04,31.63711,32.24513,30.59051,31.59724,256100,1186,8009726
2020-09-08,31.44773,31.63711,31.04902,31.39789,1022100,1737,32269381
2020-09-09,31.19854,31.68695,31.1188,31.34805,611100,821,19221465
2020-09-10,31.36798,31.65705,30.33136,30.48087,196200,651,6127514
2020-09-11,30.56061,31.19854,29.99246,30.78987,171400,1029,5289137
2020-09-14,31.24837,31.39789,30.54067,30.59051,130400,747,4039084
2020-09-15,30.59051,30.75996,30.09213,30.68022,231500,1255,7090220
2020-09-16,30.68022,30.85964,30.4111,30.70016,158600,440,4872457
2020-09-17,30.53071,31.37795,30.4111,31.37795,181800,865,5671742
2020-09-18,31.35802,31.35802,30.11207,30.71012,324700,1236,9947291
2020-09-21,30.18184,30.65032,29.54392,30.65032,117400,443,3561595
2020-09-22,30.53071,30.59051,29.89278,29.90275,212800,804,6422110
2020-09-23,29.92269,30.25162,29.63363,30.25162,157100,829,4719536
2020-09-24,30.29148,30.36126,29.28476,30.15194,165200,1287,4969171
2020-09-25,30.05226,30.15194,29.45421,30.00243,135000,871,4050534
2020-09-28,30.29148,30.29148,28.597,28.597,281500,1622,8226970
2020-09-29,28.82625,29.09538,28.64684,28.90599,406600,1602,11780318
2020-09-30,29.04554,29.41434,28.80632,29.20502,399700,1527,11737002
2020-10-01,29.35453,29.90275,28.91596,29.21499,178600,975,5241215
2020-10-02,28.90599,29.19505,28.49732,28.49732,137200,802,3970839
2020-10-05,28.69667,29.17512,27.98897,29.17512,295200,1144,8544383
2020-10-06,29.28476,29.59376,28.70664,29.04554,240000,1351,7045894
2020-10-07,29.49408,30.08217,28.81628,29.15518,689500,3200,20357664
2020-10-08,29.28476,29.7034,29.11531,29.11531,252100,1566,7420819
2020-10-09,29.11531,29.40437,28.42755,29.01564,289800,2210,8394060
2020-10-13,29.09538,29.24489,28.33784,28.72658,208400,1025,6005638
2020-10-14,28.72658,29.10534,28.40761,28.6269,218100,847,6285030
2020-10-15,28.38768,28.54716,27.89927,28.11855,255100,1442,7223545
2020-10-16,28.16839,28.42755,27.36102,27.41085,1061400,1686,29227987
2020-10-19,27.61021,27.90923,26.97228,27.49059,500900,1732,13794328
