Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,40.40014,40.41715,39.55812,39.55812,612100,1328,28723568
2010-01-05,39.97487,40.05993,38.29933,38.61403,848200,2019,38667311
2010-01-06,38.69057,39.0563,38.03567,39.03929,574600,2109,26159156
2010-01-07,38.69908,39.94936,38.11222,39.48157,801000,2723,37136986
2010-01-08,39.80477,39.80477,38.53748,38.53748,469000,1507,21400375
2010-01-11,39.02228,39.02228,38.12072,38.18876,338000,1111,15247421
2010-01-12,37.89108,38.01866,37.08307,37.73798,628200,1819,27756736
2010-01-13,37.84855,38.64805,37.46581,38.10371,713800,1712,31901297
2010-01-14,38.0867,38.51197,37.55087,38.04417,734200,1944,32847722
2010-01-15,37.55087,37.95913,36.99802,36.99802,859100,1490,37913998
2010-01-18,37.16813,37.55087,36.22404,36.22404,537000,1478,23141302
2010-01-19,36.22404,36.23255,35.31398,35.42455,1129700,2885,47360007
2010-01-20,35.45006,35.45006,33.15363,33.23869,2616400,4204,103772182
2010-01-21,33.38327,34.36138,32.83043,34.02117,1544500,3257,61209892
2010-01-22,33.94463,35.12686,33.82554,34.93123,1294500,2896,52896510
2010-01-26,34.25081,34.36138,32.41367,33.65545,710200,2441,28031166
2010-01-27,33.76601,33.85106,32.65181,32.9325,623400,1752,24161931
2010-01-28,33.2642,33.51086,31.70773,32.06495,860200,1820,32548281
2010-01-29,32.31161,32.78791,31.96289,32.32011,689200,1480,26234654
2010-02-01,32.71986,33.51086,32.26907,33.51086,435400,1072,16829889
2010-02-02,34.2338,34.25081,33.23869,33.76601,517700,1183,20561270
2010-02-03,33.87658,33.93612,33.03455,33.69797,652000,1321,25653526
2010-02-04,33.25569,33.4258,31.14638,31.8098,775400,2143,29056751
2010-02-05,31.29948,31.77577,29.81105,30.61905,985200,2250,35510485
2010-02-08,30.99329,31.00179,29.59842,29.68347,1194800,2667,42075445
2010-02-09,30.27884,31.29948,29.90461,30.95926,849900,2783,30632236
2010-02-10,31.29948,31.51211,30.02368,30.83168,612200,1317,22111179
2010-02-11,30.97628,31.78428,30.62756,31.78428,642800,1711,23698375
2010-02-12,31.63118,32.28609,31.40154,31.89485,738000,2871,27733688
2010-02-17,32.42217,33.53637,32.34562,33.01754,699700,2713,27146841
2010-02-18,32.87295,33.28122,32.15001,32.9325,605600,2478,23427647
2010-02-19,32.83043,33.88509,32.57527,33.76601,984800,2957,38717850
2010-02-22,33.85106,34.01266,33.00053,33.4258,833600,2291,32799523
2010-02-23,33.16214,33.37477,32.01392,32.20955,757100,2906,28821682
2010-02-24,32.23507,32.6348,31.72474,32.22655,700900,2116,26477131
2010-02-25,31.6567,32.40517,31.1719,32.20955,440300,1443,16419398
2010-02-26,32.32011,32.32011,31.37602,31.89485,369900,1050,13844326
2010-03-01,32.41367,32.77089,32.133,32.77089,671300,2328,25669981
2010-03-02,32.86445,33.81704,32.86445,33.51086,878000,3068,34613351
2010-03-03,33.68946,34.35287,33.17064,33.43431,1013500,3060,40378859
2010-03-04,33.51935,34.31035,33.43431,34.01266,817200,1915,32686528
2010-03-05,34.44644,34.65907,34.14024,34.48046,692700,2043,28077765
2010-03-08,34.57402,34.78664,33.82554,34.56551,721400,1603,29184135
2010-03-09,34.25081,34.4039,33.95313,34.16576,647500,2128,26024800
2010-03-10,34.21679,34.4039,33.85957,34.21679,531900,1186,21349989
2010-03-11,34.02117,35.28846,33.92761,34.76113,1189700,2074,48793117
2010-03-12,35.60316,35.72223,34.02117,34.35287,1365000,4363,55756120
2010-03-15,34.13174,34.19127,32.58378,32.58378,874200,2179,34002106
2010-03-16,32.83893,32.88147,32.32011,32.69434,760400,1847,29199109
2010-03-17,33.00053,33.17915,32.18403,32.32011,606500,1599,23234333
2010-03-18,32.49022,32.98352,31.88634,32.87295,834400,2371,31741151
2010-03-19,32.96651,33.00053,32.15001,32.34562,345000,1282,13158293
2010-03-22,32.0388,32.47382,31.74877,32.15821,474100,1544,17912574
2010-03-23,32.42264,32.58472,32.09851,32.42264,436800,993,16549196
2010-03-24,32.08997,32.41411,31.4161,31.4161,515800,1686,19241223
2010-03-25,31.672,31.76583,30.79341,31.31373,529200,1754,19407071
2010-03-26,31.40757,31.56964,30.87871,31.20285,302200,927,11021793
2010-03-29,31.21991,31.85966,31.16873,31.85966,308300,1050,11370276
2010-03-30,31.97908,31.98761,31.35638,31.81701,376800,870,13987846
2010-03-31,31.81701,32.75531,31.48434,32.75531,791900,1855,29914583
2010-04-01,32.92591,32.95151,32.28616,32.49941,617000,2313,23518722
2010-04-05,32.59324,32.76384,32.32028,32.49941,227000,689,8641434
2010-04-06,32.37146,32.56766,32.08145,32.48236,366600,1139,13913126
2010-04-07,32.44824,32.58472,32.11557,32.41411,549000,1238,20798149
2010-04-08,32.19233,32.71267,32.07291,32.31176,444500,1173,16833658
2010-04-09,32.40558,32.42264,31.87672,32.03026,578300,1222,21723967
2010-04-12,32.00467,32.32882,31.77436,32.32882,580000,1883,21729904
2010-04-13,32.64442,32.73825,32.30322,32.47382,874700,2944,33341468
2010-04-14,32.49941,32.62737,31.83407,31.90231,616500,1541,23250095
2010-04-15,31.9279,32.06438,31.21991,31.51846,573100,1799,21227798
2010-04-16,31.30521,31.56964,30.46926,31.21991,443900,1347,16137040
2010-04-19,31.06637,31.06637,30.02571,31.04078,424400,1414,15378616
2010-04-20,31.10902,31.21991,30.75076,31.21991,586500,1216,21292248
2010-04-22,30.69958,31.54405,30.54604,31.3905,597900,1132,21750847
2010-04-23,31.21991,31.59523,30.87871,31.43316,426200,1201,15642893
2010-04-26,31.56111,31.56111,31.26256,31.42463,416600,954,15311666
2010-04-27,31.23697,31.23697,30.63987,31.13461,977400,2047,35505042
2010-04-28,30.93843,31.21991,30.50339,31.13461,800400,1626,29067840
2010-04-29,31.56111,31.97055,31.03225,31.9279,988100,2594,36651342
2010-04-30,31.73171,32.72972,31.56111,32.72972,1341700,2240,50734754
2010-05-03,33.22447,33.22447,32.37146,32.62737,662600,1912,25472789
2010-05-04,31.77436,32.60177,31.28815,31.56111,798100,2165,29774699
2010-05-05,31.45875,31.91084,30.75076,31.56111,972000,2038,35694119
2010-05-06,31.54405,31.68906,28.8315,31.30521,1438500,3234,52230326
2010-05-07,30.70811,31.13461,29.65038,31.13461,1861800,3415,66562042
2010-05-10,31.97908,32.11557,30.94695,31.09196,1060700,2344,38964323
2010-05-11,30.7337,30.78488,29.64185,30.43514,1173700,2184,41637982
2010-05-12,30.20483,30.55457,30.20483,30.32425,916600,1163,32640922
2010-05-13,30.46073,30.61428,30.2219,30.49486,415400,988,14827635
2010-05-14,29.84657,29.88069,28.31116,28.32823,2172000,2813,73554032
2010-05-17,28.30264,28.62678,26.25543,26.5881,1472000,3849,46211564
2010-05-18,26.82694,26.99754,23.81584,24.48119,5800500,8603,167407355
2010-05-19,24.22528,25.84599,23.96938,25.78628,3115200,4599,91033439
2010-05-20,24.99299,25.14653,23.46611,24.61767,3136800,4928,89898810
2010-05-21,24.56649,25.67539,24.14851,25.67539,993900,3410,29303917
2010-05-24,25.3939,25.89717,25.31713,25.6498,484800,1884,14562472
2010-05-25,24.22528,24.90769,24.18263,24.90769,721300,2271,20812981
2010-05-26,25.08682,25.2233,24.73709,24.90769,1011700,2119,29623585
2010-05-27,25.30007,26.25543,25.12947,26.17013,719700,1235,21677997
2010-05-28,26.01659,26.22984,25.44508,25.80334,598600,1782,18091972
2010-05-31,25.93129,26.10189,25.59862,26.10189,487400,1004,14753004
2010-06-01,25.50479,25.71804,25.17212,25.17212,655700,1692,19562904
2010-06-02,25.32566,25.89717,25.03564,25.84599,603200,1930,17994667
2010-06-04,25.35978,25.5645,24.94181,25.03564,905500,3068,26741530
2010-06-07,24.99299,25.26595,24.52384,24.54089,895000,2097,26173136
2010-06-08,24.82239,24.98446,24.19117,24.35324,630200,1934,18060257
2010-06-09,24.66885,25.23183,24.37882,25.12094,1068200,2459,31047389
2010-06-10,25.12094,26.06777,24.95034,25.991,672700,1665,20280071
2010-06-11,26.28102,27.16814,25.55597,27.16814,952600,2528,29723861
2010-06-14,27.29609,27.42405,26.87812,27.24491,609700,1625,19481432
2010-06-15,27.29609,27.9785,26.89518,27.8932,536700,1665,17324596
2010-06-16,27.73966,28.1491,27.50082,28.1491,585600,2156,19180517
2010-06-17,27.96997,28.55001,27.60318,28.10645,435800,1243,14378638
2010-06-18,28.02115,28.78885,27.98703,28.59266,564700,1181,18878962
2010-06-21,28.8315,28.99357,28.15762,28.15762,333400,1254,11188116
2010-06-22,28.19174,29.50537,28.19174,29.03622,431800,1673,14699738
2010-06-23,29.12152,29.42007,28.4903,29.0874,438600,1097,14839463
2010-06-24,28.8315,29.29212,27.87614,27.87614,421000,1130,14014190
2010-06-25,27.88466,28.11497,27.56906,27.85055,424000,1106,13828162
2010-06-28,28.03821,28.04674,27.17667,27.85055,477600,1103,15501951
2010-06-29,27.17667,27.8079,26.05071,26.57104,766000,1724,23948746
2010-06-30,26.34073,26.69046,25.12947,25.65833,1010300,1886,30479530
2010-07-01,26.05071,26.05071,24.38735,24.65179,851700,2261,24632855
2010-07-02,24.83945,24.96739,24.31059,24.65179,380700,1249,10970760
2010-07-05,25.07829,25.07829,24.1741,24.36176,332100,664,9496814
2010-07-06,24.74562,24.97593,24.36176,24.48119,1199000,2991,34552398
2010-07-07,24.6262,25.03564,24.59207,24.71149,909200,2727,26418005
2010-07-08,24.89916,24.90769,24.31911,24.64326,560000,1105,16112488
2010-07-12,24.71149,24.73709,23.89261,24.4556,772100,1219,22048329
2010-07-13,24.48971,24.77974,24.28499,24.77974,1406500,2561,40313992
2010-07-14,24.72856,25.3939,24.60914,25.20624,877400,2249,25873063
2010-07-15,25.16359,25.55597,24.63473,24.91621,1275100,2755,37265474
2010-07-16,24.89916,24.89916,24.35324,24.48119,715300,1052,20560719
2010-07-19,24.48971,24.59207,23.67083,24.47266,744600,1507,21171912
2010-07-20,24.41294,24.68591,24.02056,24.56649,1359500,1264,39074053
2010-07-21,25.14653,25.16359,24.44706,24.60914,668000,1110,19327412
2010-07-22,24.99299,25.87158,24.99299,25.84599,1364300,3600,40876640
2010-07-23,25.85452,27.26197,25.68392,26.83547,1159000,2736,35953306
2010-07-26,26.69899,27.9785,26.03365,27.88466,1309300,2236,41642965
2010-07-27,27.8932,28.63531,27.7226,27.94438,1552000,2737,51311734
2010-07-28,27.66289,28.08938,27.09137,27.58612,381000,1074,12312118
2010-07-29,27.60318,27.84202,27.13402,27.38993,613100,996,19680669
2010-07-30,27.20226,28.8315,27.20226,28.8315,809700,1865,26859331
2010-08-02,29.0021,29.15564,28.15762,28.18322,598700,1733,20122962
2010-08-03,28.1491,28.25146,27.60318,27.64583,278800,708,9087425
2010-08-04,27.87614,28.1491,27.44964,27.70554,419500,1073,13632251
2010-08-05,27.57759,28.43059,27.48376,28.1491,323800,1051,10624966
2010-08-06,27.38139,27.69701,25.76069,26.09336,2617200,5315,81037762
2010-08-09,26.27249,26.27249,24.91621,25.06976,2025700,3612,59751139
2010-08-10,24.77974,25.83746,24.64326,25.50479,1340900,2497,39580696
2010-08-11,25.10388,25.32566,24.95034,24.99299,492500,1193,14477671
2010-08-12,24.8565,25.48773,24.74562,24.99299,485900,958,14243330
2010-08-13,25.04417,25.24889,24.53237,24.86504,606500,1519,17689848
2010-08-16,24.65179,24.89063,24.58355,24.81385,429700,1431,12453363
2010-08-17,24.99299,25.16359,24.84798,24.99299,462600,1156,13549559
2010-08-18,24.99299,24.99299,24.60914,24.63473,649400,2215,18801556
2010-08-19,24.80532,25.53891,24.24234,25.17212,1280300,3097,37461213
2010-08-20,25.28301,25.59009,25.03564,25.41096,596800,1861,17729585
