Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.44404,14.03283,13.44404,13.83656,184400,909,2606503
2010-01-05,13.83656,13.88563,13.32628,13.62067,311900,362,4325180
2010-01-06,13.62067,13.9347,13.44404,13.9347,374200,1049,5170867
2010-01-07,13.91507,14.96508,13.6403,14.42535,766500,880,11108906
2010-01-08,14.6118,15.01414,14.47442,14.47442,731900,381,10942017
2010-01-11,14.2389,14.47442,14.21928,14.21928,309500,371,4517807
2010-01-12,14.21928,14.3076,13.79731,14.22909,253000,363,3651734
2010-01-13,14.22909,14.22909,14.04264,14.22909,199700,191,2890626
2010-01-14,14.22909,14.22909,13.74825,13.83656,172000,284,2452664
2010-01-15,13.97395,13.97395,13.4931,13.73843,268500,706,3736506
2010-01-18,13.73843,13.98376,13.6403,13.83656,67300,61,950618
2010-01-19,14.05245,14.05245,13.65011,13.73843,473600,235,6636800
2010-01-20,13.68937,13.9347,13.44404,13.44404,540500,156,7459747
2010-01-21,13.55198,13.56179,12.76693,12.95338,444300,433,5915036
2010-01-22,12.95338,12.95338,12.43328,12.65898,405700,280,5252984
2010-01-26,12.60992,12.7473,12.46272,12.46272,640700,397,8194316
2010-01-27,12.60992,12.60992,11.98187,12.02113,928200,208,11562499
2010-01-28,12.25664,12.33515,12.08001,12.16832,987700,156,12248689
2010-01-29,12.30571,13.05151,12.16832,13.05151,421800,523,5391266
2010-02-01,13.22815,13.83656,12.80618,13.83656,753900,647,10249940
2010-02-02,13.84638,14.18002,13.56179,14.03283,885800,476,12552864
2010-02-03,13.83656,13.96413,13.33609,13.73843,585400,553,8203597
2010-02-04,13.83656,13.84638,13.39497,13.73843,364200,128,5080000
2010-02-05,13.42441,13.73843,13.42441,13.44404,362300,149,4976156
2010-02-08,13.6403,14.14077,13.36553,13.36553,562800,971,7722704
2010-02-09,13.70899,13.88563,13.51273,13.59123,384000,620,5339688
2010-02-10,13.7875,13.9347,13.56179,13.7188,103000,230,1441944
2010-02-11,13.72862,13.72862,13.4146,13.6403,151900,72,2112884
2010-02-12,13.73843,13.73843,13.24777,13.39497,151100,286,2079870
2010-02-17,13.44404,13.92488,13.05151,13.24777,299000,449,4037000
2010-02-18,13.11039,13.63049,13.05151,13.44404,108600,237,1475598
2010-02-19,13.24777,13.69918,13.24777,13.44404,205100,409,2830646
2010-02-22,13.44404,13.57161,13.18889,13.22815,268600,139,3631407
2010-02-23,13.14964,13.38516,12.41365,12.70805,468300,561,6092197
2010-02-24,12.85525,12.90431,12.56085,12.56085,120700,104,1568399
2010-02-25,12.56085,12.83562,12.08982,12.83562,379200,294,4773257
2010-02-26,12.99263,13.10058,12.46272,13.10058,125100,60,1643169
2010-03-01,12.75711,13.01226,12.6688,12.87487,436100,284,5671752
2010-03-02,13.25759,13.4931,12.97301,13.36553,92800,239,1253710
