Date,Open,High,Low,Close,Volume,Neg,Fin
2013-10-28,6.05224,6.05224,5.91567,5.96223,4219600,3072,81554278
2013-10-29,5.95912,5.97464,5.85049,5.87532,598100,1146,11370994
2013-10-30,5.83498,5.83498,5.74497,5.74497,510700,1017,9499433
2013-10-31,5.67979,5.99326,5.67979,5.95292,990900,1110,18572765
2013-11-01,5.87532,6.19811,5.86291,6.17638,179900,483,3502657
2013-11-04,6.29743,6.6047,6.24156,6.51158,527200,1099,10941681
2013-11-05,6.50848,6.70091,6.45572,6.67298,189700,394,4012124
2013-11-06,6.67608,6.79402,6.47124,6.48055,71200,155,1496351
2013-11-07,6.48055,6.67298,6.48055,6.67298,105600,461,2258035
2013-11-08,6.67298,6.73505,6.57366,6.68539,91300,496,1955942
2013-11-11,6.64194,6.68229,6.63573,6.68229,8600,19,185021
2013-11-12,6.64194,6.68229,6.57055,6.65746,232100,622,4975469
2013-11-13,6.65746,6.71953,6.62642,6.71953,46200,129,995816
2013-11-14,6.71953,6.82506,6.65746,6.82506,111100,306,2418735
2013-11-18,6.82816,6.8561,6.74436,6.7785,229400,92,5010760
2013-11-19,6.78161,6.78161,6.524,6.75057,139800,703,3013464
2013-11-21,6.66987,6.71953,6.524,6.524,196100,720,4188722
2013-11-22,6.56124,6.6078,6.30674,6.39985,178600,760,3690595
2013-11-25,6.36881,6.53331,6.34399,6.42468,54400,338,1126665
2013-11-26,6.53021,6.71643,6.2726,6.71643,88000,325,1828405
2013-11-27,6.65746,6.71643,6.58607,6.70401,47300,272,1021001
2013-11-28,6.70401,6.71953,6.62642,6.6885,51800,36,1118352
2013-11-29,6.62642,6.75057,6.59849,6.6885,56000,52,1202495
2013-12-02,6.54883,6.65125,6.5209,6.65125,45900,110,972823
2013-12-03,6.53641,6.6078,6.38123,6.51469,130700,195,2736774
2013-12-04,6.36571,6.51469,6.36261,6.4402,110800,95,2292189
2013-12-05,6.28191,6.51779,6.24156,6.42468,189000,461,3862470
2013-12-06,6.39364,6.39364,6.23225,6.39364,102900,310,2087395
2013-12-09,6.34709,6.34709,6.26329,6.30053,178400,922,3624951
2013-12-10,6.28812,6.30364,6.09569,6.23535,544700,1768,10853098
2013-12-11,6.22294,6.25708,6.1888,6.24156,325100,1362,6518400
2013-12-12,6.21052,6.2726,6.14535,6.22294,223400,1338,4464788
2013-12-13,6.21052,6.37812,6.21052,6.37812,378000,1858,7634409
2013-12-16,6.37502,6.44951,6.31915,6.44951,266000,1463,5473202
2013-12-17,6.42158,6.51779,6.42158,6.51779,344900,1314,7195156
2013-12-18,6.55193,6.63883,6.41847,6.63883,335900,893,7018907
2013-12-19,6.59228,6.79713,6.58918,6.79713,217000,875,4681609
2013-12-20,6.79402,6.82506,6.5271,6.72884,521900,1479,11224872
2013-12-23,6.72574,6.79713,6.66677,6.79713,138200,448,2995643
2013-12-26,6.79402,6.79713,6.67298,6.67298,76200,318,1649455
2013-12-27,6.72884,6.72884,6.5271,6.57987,193200,888,4098637
2013-12-30,6.62953,6.62953,6.45882,6.57987,474400,1812,10015278
2014-01-02,6.59228,6.59228,6.33157,6.4402,134400,408,2810377
2014-01-03,6.46192,6.51469,6.37812,6.42468,188400,521,3894646
2014-01-06,6.39364,6.46192,6.33467,6.36261,358600,1458,7382450
2014-01-07,6.39364,6.43709,6.25398,6.25398,82300,547,1674068
2014-01-08,6.24466,6.30984,6.1919,6.29122,113200,694,2277408
2014-01-09,6.26329,6.37812,6.05534,6.14535,125600,550,2503805
2014-01-10,6.14535,6.17328,5.97464,6.06775,165900,303,3229353
2014-01-13,6.06465,6.06775,5.97775,6.0212,145500,792,2820670
2014-01-14,6.01809,6.08327,5.99326,6.05224,91500,285,1783811
2014-01-15,6.04603,6.17638,6.04603,6.16087,150300,299,2966361
2014-01-16,6.20432,6.25398,6.1888,6.25087,26500,152,532713
2014-01-17,6.29432,6.3595,6.20432,6.3595,22400,55,454718
2014-01-20,6.36261,6.36261,6.05224,6.1919,214600,460,4260646
2014-01-21,6.17638,6.20742,6.00878,6.05224,89400,411,1753945
2014-01-22,6.04292,6.04292,5.91567,5.9436,226000,626,4332996
2014-01-23,5.92809,5.9436,5.80394,5.80394,76900,222,1455128
2014-01-24,5.84739,5.95602,5.76669,5.95602,38200,141,722618
2014-01-27,5.91878,6.00568,5.78532,5.86601,45900,141,865871
2014-01-28,5.89705,6.04292,5.84118,5.85049,53700,376,1022956
2014-01-29,5.86601,5.86601,5.66427,5.74186,78300,306,1446677
2014-01-30,5.77911,5.87843,5.68289,5.68289,45100,330,837350
2014-01-31,5.66427,5.86601,5.54633,5.70772,376400,973,6864231
2014-02-03,5.74186,5.74186,5.5184,5.55564,72700,163,1310138
2014-02-04,5.55875,5.61772,5.47805,5.55254,88900,216,1589576
2014-02-05,5.53081,5.67979,5.53081,5.64875,26100,131,474123
2014-02-06,5.62082,5.83187,5.62082,5.83187,327800,546,6105364
2014-02-07,5.80394,6.05224,5.77911,5.97464,89400,231,1711768
2014-02-10,5.97464,5.97464,5.79773,5.95912,132900,500,2517875
2014-02-11,5.96533,5.99016,5.90946,5.9436,194200,649,3718317
2014-02-12,5.95292,5.95292,5.84429,5.89705,148200,735,2810593
2014-02-13,5.83498,5.94981,5.70462,5.89705,149600,602,2810059
2014-02-14,5.91567,5.91567,5.77911,5.78532,226700,588,4261272
2014-02-17,5.81015,5.88774,5.75118,5.86601,51500,228,965916
2014-02-18,5.8567,5.86601,5.76359,5.84739,96700,411,1818978
2014-02-19,5.72635,5.7698,5.55564,5.66427,358100,798,6521474
2014-02-20,5.6084,5.67979,5.56495,5.61772,93400,298,1694977
2014-02-21,5.63634,5.73566,5.6022,5.66427,76000,341,1383446
2014-02-24,5.6053,5.71083,5.6053,5.69841,174900,548,3198318
2014-02-25,5.63944,6.05224,5.63944,5.91257,272700,472,5116068
2014-02-26,5.88463,6.08017,5.88463,5.95912,157900,719,3042855
2014-02-27,5.98395,6.0212,5.86912,5.95912,110900,375,2120166
2014-02-28,5.96533,6.20742,5.88153,6.20742,449800,358,8909624
2014-03-05,6.07706,6.1081,6.01499,6.06775,92700,424,1808827
2014-03-06,6.03361,6.16087,5.95912,5.99016,253400,556,4906975
2014-03-07,5.96533,6.05224,5.83498,5.95912,265000,513,5090616
2014-03-10,5.89395,5.90326,5.7698,5.7698,123500,523,2318663
2014-03-11,5.81635,5.89705,5.78221,5.83498,111200,708,2095484
2014-03-12,5.79152,5.90015,5.74497,5.8536,81500,451,1527560
2014-03-13,5.89395,5.91567,5.76049,5.8536,88000,540,1652740
2014-03-14,5.89705,5.9436,5.77601,5.81015,48400,262,910071
2014-03-17,5.87222,5.9436,5.74807,5.9436,151600,644,2854066
2014-03-18,5.89705,5.9436,5.84118,5.9436,319700,541,6103834
2014-03-19,6.04603,6.08327,5.88774,5.94671,157900,711,3027362
2014-03-20,5.90326,6.11431,5.85981,6.06465,424900,1170,8266702
2014-03-21,6.06775,6.06775,5.89705,6.01189,195400,584,3763543
2014-03-24,6.13293,6.13293,5.90636,6.01809,305900,641,5866705
2014-03-25,6.01809,6.05224,5.95292,6.05224,772600,255,14915675
2014-03-26,6.1081,6.32536,5.99326,6.28501,389900,1176,7795419
2014-03-27,6.23846,6.41227,6.23846,6.41227,190600,792,3916957
2014-03-28,6.45572,6.63263,6.41847,6.62332,374700,1505,7941944
2014-03-31,6.62332,6.74436,6.62332,6.66987,970500,639,20888155
2014-04-01,6.65436,6.78471,6.61401,6.61401,464600,1020,10017744
2014-04-02,6.58607,6.73505,6.57987,6.67298,255800,253,5497513
2014-04-03,6.72884,6.72884,6.55193,6.57987,71800,338,1522365
2014-04-04,6.6109,6.70401,6.49296,6.56124,82200,318,1746357
2014-04-07,6.62953,6.62953,6.53331,6.56124,83200,339,1756893
2014-04-08,6.66677,6.66677,6.48055,6.50538,28400,180,595994
2014-04-09,6.47124,6.48986,6.38433,6.45572,122400,491,2545201
2014-04-10,6.45261,6.49607,6.39675,6.39675,146800,298,3035626
2014-04-11,6.64194,7.25027,6.64194,7.09198,2220500,1788,49164385
2014-04-14,7.09508,7.38683,7.09508,7.31234,247100,621,5819686
2014-04-15,7.26579,7.37752,7.20061,7.35579,153500,303,3601883
2014-04-16,7.4458,7.60409,7.38062,7.58857,266700,697,6452621
2014-04-17,7.60719,7.75928,7.5296,7.75928,525900,1263,12929244
2014-04-22,7.71582,7.96102,7.70341,7.72824,147900,557,3712895
2014-04-23,7.66616,7.80273,7.65375,7.79031,340100,514,8495360
2014-04-24,7.80893,7.85859,7.54202,7.54202,284600,827,7075248
2014-04-25,7.57305,7.59478,7.45201,7.51098,339000,584,8198446
2014-04-28,7.42408,7.69099,7.41787,7.53581,344000,560,8393277
2014-04-29,7.61651,7.82756,7.60719,7.75928,221100,1308,5494014
2014-04-30,7.78721,7.86791,7.65685,7.80583,312800,1740,7866656
2014-05-02,7.79904,8.22937,7.79904,8.17012,723900,1746,18894461
2014-05-05,8.17012,8.3198,8.10775,8.29486,409000,469,10768115
2014-05-06,8.30421,8.39464,8.26367,8.36658,195000,397,5219620
2014-05-07,8.36658,8.90917,8.27303,8.57551,481900,1633,12986525
2014-05-08,8.52873,8.67841,8.2169,8.24184,942900,1432,25405591
2014-05-09,8.10775,8.37281,8.09216,8.34163,5185400,753,135520064
2014-05-12,8.3697,8.6597,8.36658,8.53497,231200,1008,6316546
2014-05-13,8.57863,8.82498,8.57863,8.73143,564600,694,15683713
2014-05-14,8.76261,8.85616,8.68465,8.7782,259200,998,7271910
2014-05-15,8.73143,8.82186,8.68777,8.72831,85200,243,2388931
2014-05-16,8.70024,8.7782,8.63788,8.7782,213900,353,5978420
2014-05-19,8.71895,8.931,8.71895,8.79379,324000,672,9157048
2014-05-20,8.79691,8.91853,8.77508,8.85616,146000,513,4148917
2014-05-21,8.88111,8.9653,8.73143,8.79068,93100,484,2637386
2014-05-22,8.82498,8.89982,8.78132,8.87799,136300,817,3860424
2014-05-23,8.90294,9.10563,8.82498,8.88734,128500,481,3697928
2014-05-26,8.91541,9.18047,8.87175,9.05885,93400,306,2701535
2014-05-27,9.19918,9.20542,8.78132,8.78132,135300,586,3847528
2014-05-28,8.81562,8.95283,8.80003,8.95283,324100,501,9234286
2014-05-29,8.97778,8.99649,8.84681,8.87487,117000,783,3344255
2014-05-30,8.8624,9.19918,8.84681,9.19606,694400,779,20218847
2014-06-02,9.19606,9.40811,9.06509,9.18671,619500,1280,18430622
2014-06-03,9.12122,9.29273,9.12122,9.27402,501200,394,14823741
2014-06-04,9.18671,9.3208,9.14617,9.22413,126200,693,3730796
2014-06-05,9.23972,9.32392,9.20854,9.23036,146800,785,4354619
2014-06-06,9.30832,9.33951,9.13681,9.13993,502900,1029,14760922
2014-06-09,9.17735,9.23036,9.13993,9.17735,82900,445,2444236
2014-06-10,9.23036,9.7293,9.14305,9.50166,264300,1101,7974759
2014-06-11,9.58586,9.74489,9.52661,9.65446,345900,1257,10683932
2014-06-13,9.6607,9.71371,9.52037,9.56715,390000,800,12008694
2014-06-16,9.56715,9.58898,9.47983,9.57339,227100,1437,6945600
2014-06-17,9.55467,9.61081,9.42682,9.46424,136500,661,4153306
2014-06-18,9.50166,9.54532,9.168,9.23036,310000,1713,9259444
2014-06-20,9.22725,9.33951,9.19918,9.21477,166000,889,4937945
2014-06-23,9.2865,9.41435,9.08068,9.09004,120100,735,3538943
2014-06-24,9.12746,9.38005,8.95595,9.26155,213700,1113,6324448
2014-06-25,9.25531,9.41123,9.10563,9.2865,125500,835,3747553
2014-06-26,9.38316,9.45801,9.15241,9.26155,136500,909,4068717
2014-06-27,9.26155,9.35198,9.15241,9.29585,82000,666,2435784
2014-06-30,9.31768,9.31768,9.17112,9.2865,291400,1278,8632551
2014-07-01,9.30832,9.30832,9.14929,9.14929,261500,1624,7749334
2014-07-02,9.14929,9.18983,9.04638,9.12122,333800,1070,9752529
2014-07-03,9.12434,9.168,8.85616,8.8624,773000,1793,22130283
2014-07-04,8.8967,9.10563,8.87487,8.88734,180100,637,5198989
2014-07-07,8.94036,9.04326,8.90605,8.93412,414300,1233,11924947
2014-07-08,8.95283,9.26779,8.93724,9.04326,248500,786,7213569
2014-07-10,9.05262,9.19294,8.89358,8.95907,142800,788,4102423
2014-07-11,8.99025,9.05885,8.92788,9.05885,127800,508,3696187
2014-07-14,9.09004,9.18047,8.88734,8.88734,198400,870,5751365
2014-07-15,8.91853,8.94971,8.71583,8.76261,186700,772,5315488
2014-07-16,8.7782,8.7782,8.42894,8.64723,206400,1022,5647711
2014-07-17,8.67841,8.67841,8.4383,8.66282,111600,683,3054301
2014-07-18,8.78756,8.80627,8.5225,8.55056,169000,1074,4653294
2014-07-21,8.57863,8.62852,8.42894,8.45077,148500,1081,4035000
2014-07-22,8.4726,8.78132,8.41959,8.75637,168500,1292,4632620
2014-07-23,8.69712,9.07757,8.6753,8.99649,252700,1457,7235877
2014-07-24,9.10875,9.25219,8.9653,9.1337,327600,1163,9576454
2014-07-25,9.13681,9.13681,8.94348,9.05574,196200,1274,5672528
2014-07-28,9.06509,9.06509,8.6753,8.70024,278900,1681,7844895
2014-07-29,8.73454,8.7439,8.46636,8.62228,173700,1206,4763781
2014-07-30,8.60669,8.71583,8.35722,8.71583,172600,1196,4700590
2014-07-31,8.7782,8.99025,8.60669,8.99025,400800,1703,11393580
2014-08-01,8.99337,8.99337,8.79068,8.91229,239400,1420,6821737
2014-08-04,9.04326,9.08068,8.70024,8.90917,179400,1326,5101663
2014-08-05,8.92476,8.92476,8.78444,8.8967,176100,1010,5007498
2014-08-06,8.92165,8.94971,8.73143,8.73143,108500,688,3053544
2014-08-07,8.73766,8.7782,8.60981,8.70336,172700,908,4801609
2014-08-08,8.66594,8.66594,8.2855,8.31357,434000,1479,11644948
2014-08-11,8.33228,8.41023,8.2855,8.32604,276600,894,7402806
2014-08-12,8.42583,8.66282,8.37905,8.59734,913900,3032,24942195
2014-08-13,8.64411,8.64411,8.46636,8.52561,111200,626,3036552
2014-08-14,8.60981,8.69401,8.43206,8.52873,848100,978,23483715
2014-08-15,8.57551,8.57551,8.45077,8.56615,305300,992,8326691
2014-08-18,8.66906,8.66906,8.42894,8.45077,463100,1109,12709246
2014-08-19,8.46636,8.60357,8.41959,8.4726,619900,1534,16907158
2014-08-20,8.49443,8.53185,8.40712,8.51626,542800,694,14741626
2014-08-21,8.52561,8.6753,8.45077,8.65659,1083700,1271,29437709
