Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,5.74223,5.89513,5.74223,5.87814,21000,86,723492
2010-01-05,5.9444,5.9444,5.77961,5.81019,151100,315,5230770
2010-01-06,5.75073,5.86116,5.73034,5.80509,110500,432,3768466
2010-01-07,5.80339,5.82038,5.61821,5.80679,115700,329,3924814
2010-01-08,5.77451,5.96309,5.76772,5.96309,40000,145,1384887
2010-01-11,5.98857,5.98857,5.90363,5.92911,196500,129,6873106
2010-01-12,5.9461,6.06672,5.91212,6.06672,503000,218,17671593
2010-01-13,6.11259,6.23491,5.82378,6.08201,116100,238,4174362
2010-01-14,6.19923,6.19923,6.04803,6.07012,64900,144,2329057
2010-01-15,6.14657,6.14657,6.04973,6.13298,262700,217,9447488
2010-01-18,6.13128,6.15846,6.07351,6.0905,16500,52,592670
2010-01-19,6.14997,6.45576,6.05653,6.38441,116400,223,4274301
2010-01-20,6.36403,6.36572,5.98857,6.2519,248300,289,9085057
2010-01-21,6.33684,6.33684,6.08201,6.08201,198400,189,7154511
2010-01-22,6.099,6.11599,6.06332,6.0905,186200,111,6674661
2010-01-26,5.98347,6.0905,5.97498,6.04973,284400,410,10119494
2010-01-27,6.04803,6.11599,5.99876,6.04803,72400,124,2573898
2010-01-28,6.11599,6.13977,6.00046,6.02255,254300,189,9046112
2010-01-29,6.02255,6.14997,6.02255,6.03104,116800,127,4151780
2010-02-01,6.00556,6.13298,6.00556,6.099,299000,122,10740298
2010-02-02,6.11769,6.38781,6.11599,6.38781,209800,344,7652011
2010-02-03,6.42179,6.42179,6.20603,6.30286,124300,221,4649344
2010-02-04,6.34534,6.34534,6.07351,6.08201,242200,323,8850904
2010-02-05,5.99707,6.17035,5.81019,5.86116,377600,396,13107531
2010-02-08,5.92911,6.01405,5.73034,5.92911,159800,265,5497659
2010-02-09,6.11599,6.16695,6.03104,6.11599,109800,167,3953484
2010-02-10,6.11599,6.2502,6.04973,6.099,175300,80,6298100
2010-02-11,6.19923,6.19923,6.05653,6.13298,213400,117,7689413
2010-02-12,6.13128,6.13128,6.03104,6.11429,66500,108,2382721
2010-02-17,6.11089,6.36403,6.10919,6.28588,187100,134,6883433
2010-02-18,6.30286,6.45576,6.30286,6.45576,541600,600,20376762
2010-02-19,6.33684,6.50673,6.33684,6.48125,120900,152,4594370
2010-02-22,6.60527,6.60527,6.2553,6.38781,51600,135,1946209
2010-02-23,6.32155,6.38781,6.21282,6.30117,80100,231,2951704
2010-02-24,6.28588,6.43877,6.2536,6.35383,53900,105,2009122
2010-02-25,6.26889,6.43877,6.23661,6.43877,52700,111,1959530
2010-02-26,6.51523,6.51523,6.33684,6.44387,102100,173,3853934
2010-03-01,6.53901,6.62225,6.37082,6.52372,68600,269,2633086
2010-03-02,6.52372,6.60696,6.48465,6.5577,293300,376,11316268
2010-03-03,6.56959,6.79554,6.46936,6.65114,400500,487,15612711
2010-03-04,6.7106,6.86519,6.63415,6.84651,137700,164,5493615
2010-03-05,6.93145,6.97732,6.72758,6.79384,81000,137,3273122
2010-03-08,6.88049,6.88049,6.7106,6.7106,127900,142,5089850
2010-03-09,6.79384,6.79384,6.54071,6.77685,69500,328,2734060
2010-03-10,6.77855,6.8584,6.65963,6.76156,147700,113,5882502
2010-03-11,6.79384,6.79384,6.57469,6.7106,95500,497,3759569
2010-03-12,6.79214,6.79554,6.57978,6.72758,300500,527,11849666
2010-03-15,6.64264,6.74458,6.62565,6.72758,142900,90,5638859
2010-03-16,6.77685,6.80404,6.65114,6.73608,100300,198,3978610
2010-03-17,6.69191,6.76156,6.69191,6.74118,100800,222,3986736
2010-03-18,6.73948,6.82952,6.7089,6.82952,93700,137,3714703
2010-03-19,6.81933,6.89238,6.72928,6.89238,125900,115,5027569
2010-03-22,6.8567,6.96543,6.79384,6.96543,69500,172,2811037
2010-03-23,6.88218,7.00281,6.88218,7.00281,85300,140,3494012
2010-03-24,6.96543,7.05037,6.82782,7.05037,107600,125,4404677
2010-03-25,7.0164,7.03339,6.95014,6.96543,129000,227,5307967
2010-03-26,6.96543,6.97902,6.92296,6.94844,85800,115,3513640
2010-03-29,7.08435,7.13532,6.94844,7.13532,137300,150,5660544
2010-03-30,7.06736,7.18628,7.06566,7.08435,39200,75,1633043
2010-03-31,6.88218,7.11833,6.88049,6.96543,131700,288,5428094
2010-04-01,7.06397,7.06397,6.91956,6.99091,104300,80,4276933
2010-04-05,6.98921,6.98921,6.88558,6.88558,42900,50,1755192
2010-04-06,6.94844,6.95014,6.88728,6.89408,116300,72,4728772
2010-04-07,6.88558,6.93145,6.88558,6.93145,213800,56,8688377
2010-04-08,6.94674,7.10134,6.91446,7.05037,88400,310,3633134
2010-04-09,7.13362,7.21177,7.06057,7.08435,99100,282,4152531
2010-04-12,7.15061,7.35957,7.08435,7.14891,170200,377,7137812
2010-04-13,7.13532,7.28822,7.13532,7.27123,8900,33,379068
2010-04-14,7.23725,7.34768,7.20327,7.30351,34800,228,1488044
2010-04-15,7.32219,7.37316,7.21177,7.29162,10500,42,449663
2010-04-16,7.25084,7.27123,7.22026,7.22026,32000,31,1363377
2010-04-19,7.20327,7.23046,7.13702,7.23046,135700,370,5733169
2010-04-20,7.26953,7.45301,7.23725,7.38845,106100,120,4574191
2010-04-22,7.38845,7.41224,7.32729,7.39864,44100,68,1911782
2010-04-23,7.43942,7.54985,7.39864,7.4751,7100,39,311258
2010-04-26,7.64329,7.64329,7.42413,7.4751,172100,88,7526305
2010-04-27,7.45811,7.45811,7.18628,7.18628,130200,450,5601743
2010-04-28,7.27123,7.35617,7.01809,7.04528,118500,319,4953442
2010-04-29,7.04528,7.04528,6.96543,6.98242,78100,225,3218521
2010-04-30,7.05207,7.06736,6.82952,6.96373,196200,194,7974364
2010-05-03,7.05354,7.06906,6.98283,7.01905,179500,72,7286033
2010-05-04,6.95179,6.95179,6.8121,6.8121,133800,123,5311499
2010-05-05,6.72759,6.84486,6.63964,6.82762,53000,146,2069962
2010-05-06,6.89143,6.89143,6.53961,6.6931,101200,156,3979776
2010-05-07,6.72587,6.78968,6.57238,6.68275,58400,117,2261908
2010-05-10,6.68275,6.98283,6.68275,6.77761,37300,120,1471549
2010-05-11,6.78968,6.86556,6.72759,6.86556,84100,150,3315345
2010-05-12,6.98456,7.16046,6.83279,6.89833,46700,198,1878752
2010-05-13,6.90178,7.05354,6.89833,6.89833,71400,134,2878129
2010-05-14,6.89833,6.93109,6.74311,6.88108,30200,77,1197129
2010-05-17,6.95524,6.95524,6.69138,6.79485,124000,100,4850584
2010-05-18,6.89143,6.89315,6.59135,6.74311,63900,138,2490294
2010-05-19,6.73449,6.76036,6.5879,6.74139,14600,52,565677
2010-05-20,6.53961,6.67413,6.40855,6.4827,90100,225,3386105
2010-05-21,6.43269,6.89833,6.43269,6.87763,28900,61,1107119
2010-05-24,6.87073,6.87073,6.72587,6.74484,79500,184,3130387
2010-05-25,6.61205,6.63964,6.54479,6.63964,64500,246,2460770
2010-05-26,6.74311,6.8897,6.41717,6.72587,84100,186,3245699
2010-05-27,6.8966,6.98456,6.69138,6.98456,49700,117,1966417
2010-05-28,6.8052,6.95179,6.80348,6.84659,128900,138,5120826
2010-05-31,6.99318,6.99318,6.76036,6.8966,40200,160,1607994
2010-06-01,6.89833,6.89833,6.82072,6.83969,33400,126,1330409
2010-06-02,6.88108,6.89833,6.81382,6.89833,52500,192,2090219
2010-06-04,6.89833,6.93282,6.81382,6.89833,31000,119,1240253
2010-06-07,6.95696,6.95869,6.86728,6.89833,10300,41,412209
2010-06-08,6.90522,6.97938,6.87246,6.87246,66200,55,2650630
2010-06-09,6.96559,6.96559,6.8828,6.88453,15100,80,604122
2010-06-10,6.88453,7.02939,6.88453,7.02939,35300,119,1423207
2010-06-11,7.00698,7.03629,6.91557,7.03629,25500,56,1034286
