Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-05,11627.82324,11684.0791,11627.82324,11684.0791,10000,3,1074904
2010-01-06,11738.17188,11738.17188,11738.17188,11738.17188,1000,6,108500
2010-01-07,11738.17188,11738.17188,11651.62305,11651.62305,2000,4,216920
2010-01-08,11770.62793,11770.62793,11770.62793,11770.62793,100,1,10880
2010-01-11,11770.62793,11792.26563,11770.62793,11792.26563,900,2,97940
2010-01-12,11899.36816,11900.45117,11899.36816,11900.45117,700,5,76999
2010-01-13,11900.45117,11900.45117,11900.45117,11900.45117,200,1,22000
2010-01-18,11961.03516,11961.03516,11857.17773,11857.17773,3700,2,101404
2010-01-19,11255.66406,12973.65527,11251.33594,12008.63672,3200,22,90603
2010-01-20,12008.63672,12008.63672,12008.63672,12008.63672,700,1,19425
2010-01-21,11255.66406,11900.45117,11251.33594,11684.0791,7600,18,206149
2010-01-22,11662.44238,11662.44238,11662.44238,11662.44238,100,1,2695
2010-01-26,11679.75098,11679.75098,11679.75098,11679.75098,700,3,18893
2010-01-27,11086.89258,12116.82422,11034.96289,12112.49414,2300,9,60722
2010-01-28,11900.45117,12527.92871,11900.45117,12527.92871,8900,48,253356
2010-01-29,12549.56836,12549.56836,12160.09766,12545.23926,4700,5,135399
2010-02-01,12246.64551,12441.38086,12246.64551,12289.9209,800,8,22817
2010-02-02,12337.52344,12337.52344,12333.19434,12333.19434,1900,5,54152
2010-02-03,12333.19434,12333.19434,12333.19434,12333.19434,200,1,5700
2010-02-04,12142.78613,12142.78613,12142.78613,12142.78613,1800,1,50508
2010-02-08,12432.72754,12432.72754,12432.72754,12432.72754,100,1,2873
2010-02-09,12034.60254,12480.32813,11619.16895,11900.45117,18700,54,511038
2010-02-10,11900.45117,12112.49414,11900.45117,12112.49414,2200,5,60843
2010-02-11,12242.32031,12242.32031,12242.32031,12242.32031,400,3,11316
2010-02-12,12203.37305,12225.00684,11948.05176,12199.04492,2600,7,72889
2010-02-17,12138.46094,12138.46094,12138.46094,12138.46094,1200,1,33660
2010-02-18,12138.46094,12138.46094,12138.46094,12138.46094,2600,3,72930
2010-02-22,12116.82422,12116.82422,12116.82422,12116.82422,200,1,5600
2010-02-24,12809.21289,12809.21289,12549.56836,12549.56836,900,3,26340
2010-02-25,12441.38086,12497.63672,12346.17773,12497.63672,1900,10,54517
2010-02-26,12458.69141,12510.62012,12445.70703,12510.62012,100300,22,2899134
2010-03-01,12510.62012,12523.60254,12510.62012,12523.60254,38600,4,1115929
2010-03-02,12523.60254,12597.16797,12510.62012,12597.16797,900,6,26058
2010-03-03,12337.52344,12545.23926,12337.52344,12359.1582,300,3,8606
2010-03-05,12359.1582,12359.1582,12116.82422,12116.82422,7100,18,199068
2010-03-08,12116.82422,12333.19434,12116.82422,12333.19434,14500,8,412934
2010-03-09,12333.19434,13843.47168,12333.19434,13631.42773,109700,45,3252203
2010-03-10,13415.05469,13696.33887,12592.84277,13696.33887,1000,6,30210
2010-03-11,12553.89453,13631.42773,12553.89453,13631.42773,3100,9,94866
2010-03-12,13051.5498,13627.09863,13051.5498,13588.15137,400,4,12393
2010-03-15,13380.43652,13588.15137,13306.86719,13588.15137,1500,9,46713
