Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,3.05004,3.13718,3.05004,3.05004,161100,38,56618
2010-01-05,3.13718,3.13718,3.05004,3.13718,203100,22,72464
2010-01-06,3.05004,3.13718,3.05004,3.13718,75300,12,26635
2010-01-07,3.13718,3.13718,3.05004,3.05004,80500,17,28295
2010-01-08,3.05004,3.13718,3.05004,3.13718,91600,24,32327
2010-01-11,3.13718,3.39862,3.05004,3.31147,825800,113,310418
2010-01-12,3.39862,4.09577,3.39862,3.66005,2801000,335,1203914
2010-01-13,3.66005,3.92148,3.39862,3.83434,969100,185,417504
2010-01-14,3.92148,5.57722,3.83434,4.88007,7646900,1458,4280526
2010-01-15,4.96721,8.19154,4.96721,6.27437,20246900,2694,15963512
2010-01-18,6.79723,7.3201,5.57722,5.75151,7817600,1199,5727559
2010-01-19,5.92579,6.71009,5.92579,6.27437,5315700,707,3891895
2010-01-20,6.27437,6.36151,5.83865,5.92579,1342900,200,927792
2010-01-21,6.01294,6.71009,6.01294,6.18722,2421600,380,1763800
2010-01-22,6.18722,6.18722,5.49007,5.83865,1198100,236,798723
2010-01-26,6.01294,6.01294,5.31579,5.57722,694200,145,445714
2010-01-27,5.75151,5.83865,5.31579,5.31579,368200,98,235179
2010-01-28,5.49007,5.75151,5.1415,5.1415,469100,96,289643
2010-01-29,5.31579,6.18722,5.1415,5.40293,1255800,228,817245
2010-02-01,5.57722,5.75151,5.40293,5.49007,388900,80,245079
2010-02-02,5.66436,5.66436,5.40293,5.40293,299200,90,189029
2010-02-03,5.40293,5.57722,5.31579,5.49007,298500,73,186662
2010-02-04,5.57722,6.27437,5.1415,5.22864,2223700,365,1460340
2010-02-05,5.22864,5.40293,4.53149,4.79292,676500,180,378655
2010-02-08,5.05435,5.05435,4.79292,4.96721,166700,53,94180
2010-02-09,5.22864,5.49007,4.96721,4.96721,831100,162,499966
2010-02-10,5.05435,5.83865,5.05435,5.66436,1986800,514,1272837
2010-02-11,5.83865,6.18722,5.66436,5.83865,1301900,261,889281
2010-02-12,5.92579,6.01294,5.49007,5.66436,330200,147,217070
2010-02-17,5.83865,5.83865,5.49007,5.49007,126300,30,81526
2010-02-18,5.57722,5.75151,5.49007,5.66436,131900,33,84741
2010-02-19,5.66436,6.01294,5.49007,5.49007,423000,82,277066
2010-02-22,5.57722,5.66436,5.31579,5.31579,526300,93,325911
2010-02-23,5.31579,5.49007,5.22864,5.31579,229200,57,140233
2010-02-24,5.31579,5.49007,5.05435,5.49007,209900,46,128191
2010-02-25,5.22864,5.40293,5.1415,5.31579,161900,55,97995
2010-02-26,5.49007,6.10008,5.40293,5.40293,2314500,665,1533096
2010-03-01,5.49007,5.75151,5.31579,5.40293,651500,118,410838
2010-03-02,5.49007,5.57722,5.31579,5.40293,484200,77,302071
2010-03-03,5.40293,5.75151,5.31579,5.40293,867900,151,554376
2010-03-04,5.57722,8.01725,5.49007,8.01725,15861900,3176,12131319
2010-03-05,7.40724,12.81017,6.71009,7.93011,99093800,19300,118022949
2010-03-08,7.49439,10.10871,7.23295,7.66867,23702000,4433,24254038
2010-03-09,7.93011,9.23727,7.75582,8.10439,10512300,1799,10284374
2010-03-10,8.54012,8.7144,7.40724,7.66867,4499500,780,4148839
2010-03-11,7.66867,8.62726,7.40724,7.93011,5368200,1291,4922370
2010-03-12,8.36583,8.45297,7.75582,7.75582,1619600,267,1499298
2010-03-15,7.84296,8.10439,7.3201,7.40724,1767600,281,1538720
2010-03-16,7.58153,8.19154,7.58153,7.75582,4458900,621,4012849
2010-03-17,7.84296,8.10439,7.49439,7.49439,2098400,289,1865000
2010-03-18,7.58153,7.93011,7.40724,7.75582,1584600,240,1394507
2010-03-19,7.75582,9.67299,7.58153,8.45297,55103600,9811,56118634
2010-03-22,8.45297,9.23727,7.93011,7.93011,24423500,4376,24447852
2010-03-23,8.01725,8.54012,7.66867,7.66867,8717600,1266,8005643
2010-03-24,7.84296,7.93011,7.49439,7.49439,2985000,504,2634244
2010-03-25,7.23295,7.3201,6.36151,6.44866,11255900,1940,8975263
2010-03-26,6.36151,6.44866,5.75151,5.92579,8190500,1131,5689365
2010-03-29,5.75151,7.05867,5.75151,7.05867,16502800,2637,12610745
2010-03-30,7.05867,7.66867,6.62294,6.71009,9516600,1658,7897831
2010-03-31,6.88438,7.14581,6.44866,6.5358,3112400,510,2412946
2010-04-01,6.62294,6.97152,6.36151,6.5358,1648400,282,1255699
2010-04-05,6.62294,6.88438,6.27437,6.36151,2084300,342,1567286
2010-04-06,6.36151,6.71009,6.10008,6.71009,2025400,430,1469126
2010-04-07,6.5358,6.62294,6.36151,6.36151,838100,147,620167
2010-04-08,6.5358,6.5358,6.10008,6.18722,1340100,202,952836
2010-04-09,6.27437,6.5358,6.10008,6.27437,2154700,232,1556245
2010-04-12,6.36151,6.88438,6.18722,6.44866,7524600,1277,5668067
2010-04-13,6.36151,6.71009,6.27437,6.27437,3788700,402,2780785
2010-04-14,6.36151,6.44866,6.18722,6.18722,1085100,146,782179
2010-04-15,6.36151,6.36151,6.01294,6.18722,910800,157,646107
2010-04-16,6.10008,6.27437,5.92579,6.10008,1098700,190,764399
2010-04-19,6.10008,6.10008,5.75151,5.83865,1254800,149,854410
2010-04-20,5.92579,6.27437,5.83865,5.83865,2313800,427,1601636
2010-04-22,5.83865,5.92579,5.57722,5.66436,953300,212,625605
2010-04-23,5.75151,5.92579,5.66436,5.66436,914400,159,604107
2010-04-26,5.75151,5.83865,5.31579,5.40293,1630500,269,1031333
2010-04-27,5.31579,6.27437,5.05435,5.57722,12096800,5487,7992956
2010-04-28,5.75151,5.92579,5.22864,5.22864,6203900,1845,3939670
2010-04-29,5.31579,5.92579,5.22864,5.49007,6116300,1574,3893375
2010-04-30,5.57722,5.66436,5.31579,5.31579,2221300,218,1371346
2010-05-03,5.40293,5.49007,5.05435,5.05435,1477900,902,888332
2010-05-04,5.05435,5.1415,4.61863,4.70578,2753600,341,1518813
2010-05-05,4.70578,4.70578,4.27006,4.3572,2355800,311,1191787
2010-05-06,4.44434,4.53149,3.83434,3.92148,1682200,195,787395
