Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.61835,0.61835,0.60884,0.61835,635000,60,409770
2010-01-05,0.61835,0.61835,0.60884,0.60884,622000,72,401560
2010-01-06,0.61835,0.61835,0.60884,0.61835,526000,70,341550
2010-01-07,0.61835,0.61835,0.60884,0.61835,370000,53,238230
2010-01-08,0.61835,0.61835,0.59933,0.61835,735000,97,471430
2010-01-11,0.61835,0.64689,0.60884,0.62787,1779000,204,1166780
2010-01-12,0.63738,0.65641,0.62787,0.63738,1706000,177,1148630
2010-01-13,0.63738,0.64689,0.62787,0.62787,465000,80,311230
2010-01-14,0.63738,0.64689,0.62787,0.62787,424000,45,283050
2010-01-15,0.63738,0.63738,0.61835,0.62787,334000,72,220900
2010-01-18,0.62787,0.62787,0.61835,0.61835,549000,66,361100
2010-01-19,0.62787,0.63738,0.62787,0.63738,781000,95,520170
2010-01-20,0.63738,0.63738,0.60884,0.61835,1758000,213,1153310
2010-01-21,0.62787,0.63738,0.60884,0.61835,905000,123,585600
2010-01-22,0.60884,0.60884,0.58981,0.59933,701000,103,443480
2010-01-26,0.59933,0.63738,0.58981,0.61835,3581000,220,2310030
2010-01-27,0.62787,0.81813,0.62787,0.78959,27623000,2492,20845580
2010-01-28,0.76105,0.78008,0.69446,0.69446,16313000,1708,12541930
2010-01-29,0.71349,0.723,0.66592,0.66592,2986000,402,2190510
2010-02-01,0.68495,0.723,0.65641,0.71349,2253000,312,1644600
2010-02-02,0.723,0.74202,0.70397,0.70397,1781000,235,1345510
2010-02-03,0.71349,0.71349,0.69446,0.69446,705000,108,522180
2010-02-04,0.69446,0.70397,0.63738,0.64689,2040000,281,1431150
2010-02-05,0.64689,0.65641,0.62787,0.64689,1486000,190,1002910
2010-02-08,0.65641,0.67543,0.65641,0.65641,922000,137,645840
2010-02-09,0.66592,0.69446,0.66592,0.68495,1641000,200,1178690
2010-02-10,0.69446,0.70397,0.68495,0.68495,816000,115,593050
2010-02-11,0.69446,0.71349,0.68495,0.70397,1097000,105,805490
2010-02-12,0.70397,0.74202,0.69446,0.71349,1866000,263,1406870
2010-02-17,0.71349,0.74202,0.71349,0.71349,973000,116,737550
2010-02-18,0.71349,0.723,0.70397,0.71349,540000,74,405170
2010-02-19,0.723,0.723,0.70397,0.70397,483000,88,359830
2010-02-22,0.71349,0.73251,0.70397,0.70397,664000,93,501010
2010-02-23,0.71349,0.71349,0.68495,0.69446,407000,59,298150
2010-02-24,0.69446,0.70397,0.68495,0.69446,317000,48,231330
2010-02-25,0.69446,0.78008,0.68495,0.73251,5861000,601,4563280
2010-02-26,0.73251,0.78008,0.723,0.76105,4879000,424,3877860
2010-03-01,0.78008,0.78959,0.75154,0.76105,3889000,365,3155850
2010-03-02,0.77056,0.78959,0.74202,0.74202,2651000,215,2143710
2010-03-03,0.76105,0.78008,0.74202,0.74202,2487000,176,1988900
2010-03-04,0.76105,0.78008,0.75154,0.76105,794000,111,638210
2010-03-05,0.76105,0.78008,0.76105,0.77056,625000,84,504750
2010-03-08,0.77056,0.77056,0.74202,0.74202,790000,116,624930
2010-03-09,0.75154,0.76105,0.74202,0.75154,892000,94,698020
2010-03-10,0.76105,0.77056,0.74202,0.75154,388000,84,307660
2010-03-11,0.75154,0.7991,0.75154,0.78959,1248000,180,1017590
2010-03-12,0.78959,0.7991,0.77056,0.7991,655000,92,540990
2010-03-15,0.78959,0.80862,0.78008,0.80862,1010000,149,848750
2010-03-16,0.81813,0.88472,0.81813,0.84667,4241000,504,3797190
2010-03-17,0.85618,0.89423,0.83716,0.85618,1376000,204,1249810
2010-03-18,0.8657,0.87521,0.80862,0.85618,759000,114,675680
2010-03-19,0.84667,0.85618,0.80862,0.81813,2230000,1236,1926460
2010-03-22,0.82764,0.82764,0.80862,0.82764,226000,53,193300
2010-03-23,0.81813,0.83716,0.80862,0.82764,237000,49,204610
2010-03-24,0.81813,0.82764,0.7991,0.80862,367000,53,312950
2010-03-25,0.80862,0.83716,0.80862,0.80862,364000,81,316820
2010-03-26,0.80862,0.82764,0.80862,0.82764,399000,69,343400
2010-03-29,0.82764,0.85618,0.80862,0.85618,1763000,185,1565410
2010-03-30,0.85618,0.8657,0.82764,0.82764,362000,70,320970
2010-03-31,0.82764,0.84667,0.82764,0.84667,112000,31,97920
2010-04-01,0.84667,0.84667,0.82764,0.83716,210000,47,184810
2010-04-05,0.83716,0.84667,0.82764,0.83716,253000,37,220830
2010-04-06,0.82764,0.83716,0.82764,0.82764,153000,29,133380
2010-04-07,0.81813,0.83716,0.81813,0.82764,184000,36,158810
2010-04-08,0.81813,0.83716,0.80862,0.83716,132000,33,114170
2010-04-09,0.83716,0.85618,0.81813,0.83716,772000,336,685840
2010-04-12,0.84667,0.84667,0.81813,0.81813,225000,44,194890
2010-04-13,0.81813,0.83716,0.80862,0.82764,270000,49,230080
2010-04-14,0.80862,0.82764,0.80862,0.81813,166000,34,142890
2010-04-15,0.81813,0.82764,0.80862,0.82764,57000,23,48880
2010-04-16,0.81813,0.82764,0.78959,0.81813,210000,69,177280
2010-04-19,0.80862,0.80862,0.7991,0.7991,621000,26,523860
2010-04-20,0.80862,0.80862,0.78008,0.78959,321000,156,265610
2010-04-22,0.78959,0.78959,0.78008,0.78959,165000,39,135790
2010-04-23,0.78959,0.7991,0.78959,0.78959,118000,20,97950
2010-04-26,0.78959,0.7991,0.78008,0.7991,109000,19,90600
2010-04-27,0.78008,0.78959,0.76105,0.76105,546000,80,444060
2010-04-28,0.75154,0.76105,0.74202,0.76105,140000,43,111150
2010-04-29,0.76105,0.78008,0.75154,0.77056,145000,31,116350
2010-04-30,0.78008,0.78008,0.75154,0.75154,160000,24,126920
2010-05-03,0.75154,0.77056,0.74202,0.76105,219000,38,174620
2010-05-04,0.76105,0.76105,0.723,0.723,222000,60,170520
2010-05-05,0.71349,0.74202,0.71349,0.723,176000,42,134180
2010-05-06,0.73251,0.73251,0.67543,0.67543,446000,81,327560
2010-05-07,0.69446,0.71349,0.66592,0.66592,588000,93,421420
2010-05-10,0.69446,0.73251,0.69446,0.69446,544000,58,408000
2010-05-11,0.71349,0.71349,0.67543,0.68495,509000,72,367970
2010-05-12,0.69446,0.71349,0.67543,0.69446,400000,85,289540
2010-05-13,0.70397,0.70397,0.66592,0.69446,364000,63,260270
2010-05-14,0.69446,0.69446,0.66592,0.67543,214000,44,152260
2010-05-17,0.66592,0.68495,0.65641,0.68495,279000,30,196730
2010-05-18,0.68495,0.6946,0.67531,0.68495,276000,42,195210
2010-05-19,0.68495,0.68495,0.63672,0.65601,290000,71,196710
2010-05-20,0.64636,0.64636,0.60778,0.62707,261000,91,168410
2010-05-21,0.63672,0.66566,0.61742,0.65601,212000,62,141710
2010-05-24,0.64636,0.66566,0.63672,0.66566,117000,53,79860
2010-05-25,0.64636,0.64636,0.61742,0.64636,297000,60,194490
2010-05-26,0.65601,0.65601,0.63672,0.63672,420000,83,282730
2010-05-27,0.65601,0.66566,0.65601,0.66566,238000,50,162950
2010-05-28,0.67531,0.68495,0.65601,0.66566,244000,48,169080
2010-05-31,0.67531,0.67531,0.66566,0.67531,63000,18,44000
2010-06-01,0.65601,0.67531,0.65601,0.65601,69000,31,47300
2010-06-02,0.67531,0.67531,0.66566,0.67531,149000,24,103160
2010-06-04,0.67531,0.67531,0.66566,0.66566,140000,25,97700
2010-06-07,0.66566,0.66566,0.64636,0.65601,91000,26,61670
2010-06-08,0.65601,0.67531,0.64636,0.66566,86000,21,58770
2010-06-09,0.66566,0.66566,0.65601,0.66566,149000,33,101750
2010-06-10,0.66566,0.70425,0.66566,0.6946,588000,88,414830
2010-06-11,0.6946,0.73319,0.6946,0.72354,837000,152,618660
2010-06-14,0.72354,0.72354,0.70425,0.72354,474000,87,350210
2010-06-15,0.7139,0.72354,0.70425,0.72354,67000,21,49560
2010-06-16,0.7139,0.72354,0.70425,0.72354,409000,31,304420
2010-06-17,0.72354,0.72354,0.70425,0.72354,136000,26,101160
2010-06-18,0.7139,0.7139,0.70425,0.70425,150000,43,109740
2010-06-21,0.70425,0.72354,0.6946,0.7139,326000,47,238660
2010-06-22,0.7139,0.7139,0.70425,0.7139,142000,15,104150
2010-06-23,0.7139,0.7139,0.70425,0.7139,165000,21,121510
2010-06-24,0.70425,0.7139,0.6946,0.7139,68000,25,49480
2010-06-25,0.70425,0.7139,0.70425,0.7139,31000,20,22790
2010-06-28,0.7139,0.7139,0.6946,0.70425,98000,32,71790
2010-06-29,0.6946,0.70425,0.67531,0.67531,318000,62,226350
2010-06-30,0.6946,0.6946,0.68495,0.6946,150000,20,107000
2010-07-01,0.68495,0.6946,0.68495,0.6946,130000,23,92360
2010-07-02,0.68495,0.6946,0.67531,0.67531,107000,16,75990
2010-07-05,0.67531,0.68495,0.67531,0.67531,65000,15,45850
2010-07-06,0.68495,0.70425,0.68495,0.6946,36000,15,25910
2010-07-07,0.68495,0.6946,0.67531,0.6946,40000,17,28610
2010-07-08,0.6946,0.6946,0.68495,0.6946,27000,13,19420
2010-07-12,0.6946,0.6946,0.68495,0.68495,21000,12,15000
2010-07-13,0.68495,0.6946,0.68495,0.6946,20000,9,14310
2010-07-14,0.6946,0.6946,0.68495,0.68495,36000,8,25580
2010-07-15,0.6946,0.7139,0.6946,0.7139,442000,40,320960
2010-07-16,0.7139,0.7139,0.6946,0.70425,54000,17,39500
2010-07-19,0.70425,0.70425,0.6946,0.6946,86000,19,62150
2010-07-20,0.6946,0.7139,0.67531,0.6946,375000,69,268890
2010-07-21,0.70425,0.70425,0.6946,0.70425,88000,23,63880
2010-07-22,0.70425,0.72354,0.70425,0.72354,733000,59,537490
2010-07-23,0.7139,0.72354,0.70425,0.72354,268000,35,198450
2010-07-26,0.72354,0.74284,0.70425,0.70425,514000,94,387160
2010-07-27,0.7139,0.72354,0.7139,0.7139,71000,13,52640
2010-07-28,0.72354,0.72354,0.70425,0.70425,274000,33,200880
2010-07-29,0.7139,0.72354,0.70425,0.7139,114000,24,84120
2010-07-30,0.70425,0.7139,0.6946,0.7139,171000,24,125940
2010-08-02,0.72354,0.72354,0.7139,0.72354,211000,21,158230
2010-08-03,0.72354,0.72354,0.7139,0.72354,104000,17,77610
2010-08-04,0.72354,0.72354,0.7139,0.72354,183000,19,136800
2010-08-05,0.7139,0.72354,0.7139,0.7139,273000,41,202900
2010-08-06,0.72354,0.72354,0.70425,0.72354,134000,21,99230
2010-08-09,0.7139,0.75248,0.7139,0.74284,400000,64,304250
2010-08-10,0.73319,0.75248,0.72354,0.74284,275000,59,210650
2010-08-11,0.72354,0.74284,0.72354,0.74284,135000,26,102670
2010-08-12,0.73319,0.73319,0.72354,0.72354,102000,22,76830
2010-08-13,0.73319,0.73319,0.72354,0.73319,128000,24,96750
2010-08-16,0.73319,0.80072,0.73319,0.77178,991000,150,788480
2010-08-17,0.78147,0.82054,0.78147,0.80101,980000,131,798490
2010-08-18,0.79124,0.80101,0.79124,0.80101,97000,20,79050
2010-08-19,0.80101,0.80101,0.79124,0.79124,57000,11,46180
2010-08-20,0.79124,0.81077,0.78147,0.81077,214000,27,173330
2010-08-23,0.80101,0.81077,0.80101,0.81077,236000,40,194800
2010-08-24,0.81077,0.81077,0.80101,0.80101,265000,28,217930
2010-08-25,0.80101,0.87915,0.80101,0.86938,1231000,150,1050070
2010-08-26,0.86938,0.87915,0.84008,0.84008,1254000,107,1093300
2010-08-27,0.84008,0.85962,0.84008,0.85962,158000,30,136900
2010-08-30,0.85962,0.85962,0.84985,0.84985,221000,26,193480
2010-08-31,0.85962,0.85962,0.81077,0.84008,276000,36,237740
2010-09-01,0.84008,0.84985,0.84008,0.84008,145000,19,125140
2010-09-02,0.83031,0.84008,0.83031,0.83031,194000,16,165060
2010-09-03,0.84985,0.85962,0.84008,0.84008,153000,22,131750
2010-09-06,0.84008,0.84985,0.84008,0.84008,25000,8,21560
2010-09-08,0.83031,0.84008,0.82054,0.83031,98000,18,83250
2010-09-09,0.83031,0.84985,0.83031,0.84985,198000,18,171380
2010-09-10,0.84985,0.85962,0.84985,0.84985,200000,18,174060
2010-09-13,0.84985,0.85962,0.84985,0.85962,29000,8,25340
2010-09-14,0.84008,0.85962,0.84008,0.84985,161000,25,141040
2010-09-15,0.84985,0.85962,0.84008,0.84985,429000,21,373230
2010-09-16,0.84985,0.85962,0.84985,0.84985,105000,10,91360
2010-09-17,0.84985,0.85962,0.84985,0.85962,39000,13,33980
2010-09-20,0.85962,0.85962,0.84985,0.84985,151000,24,132840
2010-09-21,0.85962,0.85962,0.84985,0.85962,50000,12,43780
2010-09-22,0.85962,0.85962,0.84008,0.84008,516000,22,449780
2010-09-23,0.84985,0.84985,0.83031,0.83031,376000,26,325050
2010-09-24,0.84008,0.84008,0.83031,0.84008,215000,23,184110
2010-09-27,0.84008,0.84985,0.84008,0.84985,36000,7,30980
2010-09-28,0.84985,0.85962,0.84008,0.85962,108000,17,93960
2010-09-29,0.8795,0.8795,0.84985,0.84985,9000,6,7810
2010-09-30,0.85973,0.86962,0.85973,0.85973,95000,19,82730
2010-10-01,0.85973,0.93879,0.85973,0.92891,834000,131,752440
2010-10-04,0.94867,1.00796,0.90914,0.90914,2084000,336,2012030
2010-10-05,0.90914,0.94867,0.90914,0.93879,249000,47,235360
2010-10-06,0.92891,0.92891,0.90914,0.91903,224000,22,208500
2010-10-07,0.90914,0.90914,0.86962,0.88938,228000,74,202960
2010-10-08,0.8795,0.88938,0.86962,0.86962,89000,28,79300
2010-10-11,0.86962,0.90914,0.86962,0.89926,78000,22,70790
