Date,Open,High,Low,Close,Volume,Neg,Fin
2011-05-02,7.07299,7.78028,7.07299,7.07299,110800,44,332719
2011-05-03,7.75671,10.5859,7.5681,7.5681,47200,166,176973
2011-05-04,8.95912,9.43065,6.93153,7.12014,21600,67,76576
2011-05-05,8.01605,8.25182,6.97868,7.75671,16600,40,52642
2011-05-06,8.20467,8.20467,7.42664,8.15751,3100,10,10169
2011-05-09,8.01605,8.69977,8.01605,8.29897,3300,17,11642
2011-05-10,8.48758,8.48758,8.32255,8.48758,4600,12,16535
2011-05-11,8.48758,9.17131,8.01605,8.01605,2000,13,7044
2011-05-12,8.72335,11.43466,8.69977,10.13795,18900,74,81299
2011-05-13,10.63306,12.25984,10.37371,11.55254,16300,65,77544
2011-05-16,11.57612,13.20291,11.34035,12.61349,48800,93,260388
2011-05-17,12.96714,13.86305,12.73138,12.89641,22800,63,128703
2011-05-18,13.4151,13.43867,11.41109,11.55254,27100,84,138654
2011-05-19,11.81189,12.25984,10.37371,10.42087,7300,39,33507
2011-05-20,10.46802,10.4916,9.43065,9.64284,18600,63,77368
2011-05-23,9.7843,10.02006,9.7843,10.02006,3300,13,13770
2011-05-24,11.05744,11.05744,9.64284,9.68999,4700,18,20630
2011-05-25,10.09079,10.82167,10.09079,10.82167,2900,18,12914
2011-05-26,11.76474,12.02408,10.84525,11.26963,11800,35,57872
2011-05-27,11.26963,11.76474,11.26963,11.76474,200,2,977
2011-05-30,11.08101,11.08101,11.03386,11.05744,1700,7,7984
2011-05-31,10.60948,10.82167,9.54853,9.66642,10700,37,45579
2011-06-01,9.66642,9.7843,8.95912,9.00627,16500,54,65517
2011-06-02,9.02985,9.54853,9.02985,9.05342,9100,27,35634
2011-06-03,9.19488,9.19488,9.05342,9.05342,2600,3,10000
2011-06-06,9.05342,9.43065,9.05342,9.17131,1700,5,6676
2011-06-07,9.12415,9.12415,9.05342,9.12415,4500,11,17379
2011-06-08,8.72335,8.72335,8.72335,8.72335,500,2,1850
2011-06-09,8.72335,8.72335,8.72335,8.72335,13200,10,48840
2011-06-10,8.72335,8.72335,8.25182,8.69977,13200,16,47847
2011-06-13,8.27539,8.72335,8.25182,8.72335,2300,6,8218
2011-06-14,8.95912,8.95912,8.95912,8.95912,100,1,380
2011-06-15,8.74693,8.74693,8.60547,8.60547,2400,7,8886
2011-06-16,8.0632,8.81766,8.0632,8.81766,5400,9,18500
2011-06-17,8.39328,8.39328,8.0632,8.08678,1800,7,6317
2011-06-20,8.25182,8.48758,8.25182,8.48758,2500,6,8816
2011-06-21,8.48758,8.48758,8.48758,8.48758,2000,5,7200
2011-06-22,8.48758,8.48758,8.48758,8.48758,1500,3,5400
2011-06-24,7.6624,8.46401,7.42664,8.46401,10000,20,32350
2011-06-28,7.78028,7.78028,7.6624,7.78028,1900,4,6220
2011-06-29,7.30875,7.78028,7.07299,7.78028,1300,6,4082
2011-06-30,7.33233,7.78028,7.09656,7.78028,1100,6,3415
2011-07-01,7.78028,7.89817,7.54452,7.89817,1200,4,3955
2011-07-04,7.89817,8.13393,7.89817,8.13393,1400,5,4783
2011-07-05,8.13393,8.25182,8.13393,8.25182,1900,3,6635
2011-07-07,8.13393,8.13393,7.54452,7.54452,2500,7,8253
2011-07-08,8.08678,8.08678,8.08678,8.08678,400,1,1372
2011-07-11,8.15751,8.15751,7.6624,7.6624,1200,3,4026
2011-07-13,7.30875,7.30875,7.30875,7.30875,600,1,1860
2011-07-14,7.30875,7.30875,7.30875,7.30875,3500,5,10850
2011-07-18,7.30875,7.30875,7.30875,7.30875,100,1,310
2011-07-19,7.30875,7.54452,7.19087,7.54452,3400,8,10410
2011-07-20,7.54452,7.54452,7.54452,7.54452,100,1,320
2011-07-21,7.54452,8.20467,7.54452,8.13393,1700,5,5858
2011-07-22,8.13393,8.13393,7.30875,7.30875,1700,9,5368
2011-07-25,7.42664,7.42664,7.42664,7.42664,200,1,630
2011-07-26,7.30875,7.30875,7.21445,7.21445,800,2,2472
2011-07-27,7.09656,7.30875,7.07299,7.30875,2200,8,6631
2011-07-28,6.9551,6.9551,6.9551,6.9551,800,2,2360
2011-08-01,7.42664,7.42664,7.42664,7.42664,100,1,315
2011-08-02,7.42664,7.54452,7.42664,7.42664,2400,6,7580
2011-08-03,7.07299,7.07299,6.9551,7.07299,1000,3,2990
2011-08-08,6.9551,7.04941,5.91773,7.04941,800,4,2148
2011-08-10,7.04941,7.04941,7.04941,7.04941,300,1,897
2011-08-11,7.14372,7.14372,7.14372,7.14372,100,1,303
