Date,Open,High,Low,Close,Volume,Neg,Fin
2017-04-11,21.81,22.98,21.77,22.4,13060500,18483,292446466
2017-04-12,22.45,22.99,22.3,22.96,1745900,4782,39625615
2017-04-13,22.97,23.01,22.55,22.99,549600,2125,12543130
2017-04-17,23.0,23.0,22.62,22.85,249300,1176,5688519
2017-04-18,22.82,24.79,22.6,23.91,1125100,3013,26881451
2017-04-19,24.0,24.34,23.9,23.92,442100,1454,10655407
2017-04-20,24.11,24.39,23.51,23.86,740100,2798,17782320
2017-04-24,24.1,24.42,23.7,24.2,383100,1228,9215122
2017-04-25,24.2,24.25,23.93,24.1,285100,1524,6875875
2017-04-26,24.02,24.39,23.71,23.94,443900,1854,10696070
2017-04-27,23.61,23.85,23.24,23.73,221500,679,5233478
2017-04-28,23.73,24.09,23.71,23.96,131500,658,3146957
2017-05-02,24.0,25.7,23.97,25.4,871400,1761,21448644
2017-05-03,25.43,25.91,25.01,25.5,206000,855,5235758
2017-05-04,25.43,26.49,25.4,26.26,232600,1029,6078547
2017-05-05,26.99,26.99,26.2,26.6,133400,667,3550375
2017-05-08,26.61,27.44,25.64,26.0,312600,1977,8231517
2017-05-09,26.47,26.5,25.61,25.8,200700,1154,5194891
2017-05-10,25.82,26.39,25.64,25.69,444900,1407,11514527
2017-05-11,25.6,25.68,24.88,25.25,233200,1305,5887840
2017-05-12,25.79,25.79,24.9,25.25,155600,1009,3924817
2017-05-15,26.69,26.69,25.36,25.68,1205200,3987,31239197
2017-05-16,25.89,26.3,25.7,26.3,768700,1051,19985529
2017-05-17,26.34,26.9,26.0,26.5,1085600,2119,28756872
2017-05-18,23.0,24.14,21.76,22.72,829700,5953,18924964
2017-05-19,23.61,23.95,23.0,23.0,547400,3334,12829885
2017-05-22,23.12,23.12,21.72,22.2,1301800,6727,28799335
2017-05-23,22.23,22.62,21.8,22.04,614600,2150,13604214
2017-05-24,22.1,24.72,22.1,23.95,892100,3860,21322938
2017-05-25,24.12,25.64,24.12,25.11,1087100,7167,27290023
2017-05-26,25.33,25.53,25.02,25.21,461200,2891,11613260
