Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,27.11906,27.91668,25.52382,26.32145,2599000,274,1742910
2010-01-05,26.32145,27.51787,25.52382,27.11906,1907000,171,1264150
2010-01-06,26.72025,27.11906,25.52382,25.92263,1896000,156,1242640
2010-01-07,26.32145,26.72025,25.92263,26.32145,1233000,102,812700
2010-01-08,26.32145,33.10121,26.32145,31.50596,13933000,1373,10403420
2010-01-11,33.89883,37.0893,33.50002,34.29764,13923000,1592,12200890
2010-01-12,35.09526,35.09526,30.70835,31.50596,4672000,708,3776220
2010-01-13,31.90478,33.89883,31.90478,33.10121,2056000,275,1697900
2010-01-14,33.10121,33.50002,32.30359,32.7024,789000,139,647010
2010-01-15,32.30359,35.49407,31.90478,33.50002,2892000,364,2463690
2010-01-18,34.29764,34.69645,32.7024,33.10121,774000,152,647410
2010-01-19,33.50002,33.50002,32.30359,33.10121,1902000,229,1562650
2010-01-20,33.89883,34.69645,32.30359,33.89883,2524000,302,2120730
2010-01-21,34.69645,34.69645,32.7024,33.10121,1464000,199,1224700
2010-01-22,33.10121,33.10121,31.50596,31.90478,1459000,217,1178200
2010-01-26,32.7024,32.7024,30.70835,31.50596,1857000,153,1453370
2010-01-27,31.50596,31.50596,29.91073,30.30954,667000,130,510060
2010-01-28,31.10716,35.09526,31.10716,32.7024,10005000,965,8359660
2010-01-29,33.10121,33.89883,31.90478,32.30359,1317000,198,1078180
2010-02-01,32.7024,32.7024,31.90478,31.90478,499000,88,402270
2010-02-02,32.30359,32.7024,31.50596,31.50596,799000,102,636500
2010-02-03,31.90478,32.7024,31.10716,31.10716,1913000,133,1503810
2010-02-04,31.90478,31.90478,28.31549,28.71431,2278000,314,1726420
2010-02-05,28.31549,28.71431,26.32145,27.11906,2027000,275,1393280
2010-02-08,28.31549,29.91073,27.91668,28.31549,1173000,180,849530
2010-02-09,28.71431,29.51192,27.51787,27.91668,3184000,286,2266550
2010-02-10,28.71431,29.91073,27.91668,28.71431,2460000,253,1767420
2010-02-11,29.51192,30.30954,28.31549,29.11311,3598000,375,2656830
2010-02-12,29.51192,30.30954,28.31549,28.31549,1552000,200,1126680
2010-02-17,29.11311,29.91073,28.71431,29.51192,1176000,118,865270
2010-02-18,29.51192,30.70835,29.51192,29.91073,4013000,383,3015600
