Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,41.74401,43.19712,41.74401,42.00821,2282100,436,14649334
2010-01-05,42.00821,42.47057,41.28165,41.28165,117600,79,742465
2010-01-06,40.9514,42.86686,40.9514,42.40451,150500,163,958198
2010-01-07,42.80081,42.80081,41.94216,42.60266,89600,129,574460
2010-01-08,42.60266,43.26317,41.81005,42.33846,230800,103,1472189
2010-01-11,42.40451,42.86686,41.94216,42.40451,82700,52,531063
2010-01-12,41.94216,46.0373,41.67796,46.0373,1115900,530,7614673
2010-01-13,47.75462,49.14168,46.89596,47.88671,1021400,801,7406511
2010-01-14,48.87748,48.87748,46.76386,47.88671,462800,107,3342983
2010-01-15,47.55647,47.88671,46.76386,47.82066,158500,223,1137024
2010-01-18,47.55647,47.55647,46.76386,46.76386,65400,35,465548
2010-01-19,46.63175,49.33983,46.63175,48.94352,515800,238,3744104
2010-01-20,48.87748,49.07563,47.49042,48.74538,536400,106,3908625
2010-01-21,48.87748,48.87748,47.55647,48.21697,467800,82,3415211
2010-01-22,48.08487,48.08487,46.82991,46.89596,53800,46,383232
2010-01-26,46.76386,47.22622,45.24469,45.24469,242100,471,1670308
2010-01-27,44.9805,47.88671,44.9805,47.88671,3493700,261,24339823
2010-01-28,48.54723,49.47194,46.96201,49.47194,216800,106,1597347
2010-01-29,49.53798,52.31211,48.67932,52.31211,1179000,331,9129693
2010-02-01,52.31211,55.61465,50.9911,55.48254,3145300,342,25818162
2010-02-02,55.87885,56.4733,55.15229,56.01095,1766000,180,14981105
2010-02-03,55.9449,59.37953,55.41649,56.14304,2657300,383,22905132
2010-02-04,57.13381,57.13381,52.44421,55.48254,450900,181,3680562
2010-02-05,55.41649,55.41649,53.50103,54.75599,1335600,182,11082503
2010-02-08,53.83128,56.14304,52.37816,52.37816,677600,261,5576939
2010-02-09,53.83128,53.96338,50.52874,51.45345,1462100,631,11537009
2010-02-10,52.84052,53.17077,51.32135,52.77447,1587900,403,12580063
2010-02-11,53.50103,57.92641,53.50103,54.8881,2112400,894,17668441
2010-02-12,55.87885,55.87885,53.83128,54.8881,760000,366,6295137
2010-02-17,55.15229,55.68069,54.35968,55.48254,634100,330,5306575
2010-02-18,56.14304,56.80357,54.55783,55.41649,607600,235,5089355
2010-02-19,54.82204,55.48254,54.49178,55.08623,591800,311,4933051
2010-02-22,56.077,57.72826,53.83128,54.49178,1395200,818,11734162
2010-02-23,54.8881,55.15229,53.30287,55.15229,600500,548,4935761
2010-02-24,55.8128,55.8128,53.96338,54.16153,1385700,755,11412256
2010-02-25,54.09547,54.82204,53.23683,54.82204,986800,888,8124912
2010-02-26,55.48254,55.48254,53.83128,54.16153,1640100,491,13474196
2010-03-01,54.16153,54.75599,53.36893,53.76524,845500,503,6877113
2010-03-02,53.83128,54.35968,53.30287,53.83128,911000,577,7421466
2010-03-03,53.50103,54.42574,52.90657,53.30287,600600,192,4870989
2010-03-04,54.02943,54.09547,51.6516,52.77447,341000,214,2718628
2010-03-05,53.96338,56.80357,53.17077,55.9449,3454200,2697,28869678
2010-03-08,57.46406,59.37953,56.077,59.11533,2733200,2577,24009813
2010-03-09,59.57769,60.8987,55.61465,56.60541,2434200,1771,21559742
2010-03-10,56.53935,58.45483,55.15229,57.46406,2015400,1524,17405537
2010-03-11,58.12458,58.12458,56.53935,57.46406,1698800,987,14708835
2010-03-12,57.92641,58.78507,56.53935,57.79432,1370900,692,11941527
2010-03-15,57.59617,57.59617,55.68069,56.14304,891700,504,7596024
2010-03-16,56.14304,56.60541,55.68069,56.53935,611900,417,5217796
2010-03-17,57.13381,57.39801,55.8128,56.14304,848000,1107,7214486
2010-03-18,56.14304,59.31347,56.14304,59.18139,5254800,2765,46349120
2010-03-19,60.83265,61.75736,57.33197,57.99247,3598600,1451,31990549
2010-03-22,57.79432,58.78507,56.80357,58.45483,1556600,666,13615024
2010-03-23,59.11533,59.31347,57.33197,57.92641,605600,333,5307488
2010-03-24,57.39801,57.46406,56.40726,57.13381,1496800,508,12912903
2010-03-25,57.39801,57.53012,53.50103,55.41649,1169600,564,9890744
2010-03-26,55.48254,55.48254,51.91581,53.50103,2552700,1355,20736881
2010-03-29,54.16153,54.16153,52.24606,53.96338,700500,661,5645532
2010-03-30,53.83128,53.83128,52.51026,52.57632,366000,251,2927001
2010-03-31,52.31211,52.44421,50.19849,51.18925,1230300,840,9531517
2010-04-01,51.58555,52.37816,49.67008,51.5195,1381800,1474,10560103
2010-04-05,51.5195,52.70841,51.18925,51.84975,801400,996,6312152
2010-04-06,51.98186,52.77447,50.39665,50.39665,767000,637,5927400
2010-04-07,51.18925,52.04791,49.80219,51.5195,1501000,768,11651265
2010-04-08,51.5195,54.22758,50.859,53.63312,3176900,1055,25418414
2010-04-09,54.16153,55.02018,53.83128,54.16153,1229600,658,10135773
2010-04-12,54.49178,54.49178,52.90657,53.50103,277200,439,2255065
2010-04-13,54.10246,55.04221,52.82709,54.97507,931200,364,7543946
2010-04-14,55.3107,56.38469,53.76684,54.70657,447800,962,3681112
2010-04-15,54.30384,55.51208,54.16958,54.97507,487100,356,3980227
2010-04-16,55.37782,55.71346,54.37096,54.63946,541700,259,4430958
2010-04-19,53.69971,54.37096,53.02847,53.69971,538800,410,4304617
2010-04-20,54.30384,54.57233,51.88734,52.35722,951700,872,7447574
2010-04-22,51.88734,52.69284,51.2161,51.95447,295400,357,2284234
2010-04-23,52.08872,52.89421,51.61884,52.42434,160300,205,1246559
2010-04-26,52.69284,52.69284,51.55172,52.22297,174500,104,1351620
2010-04-27,51.68597,54.37096,51.68597,53.69971,846000,451,6715388
2010-04-28,54.30384,54.37096,52.35722,52.35722,791300,797,6239940
2010-04-29,53.16271,54.16958,51.2161,52.35722,1416100,601,11023096
2010-04-30,52.62572,53.69971,52.0216,53.02847,982000,627,7656841
2010-05-03,53.02847,53.02847,51.88734,51.88734,309400,222,2404065
2010-05-04,51.68597,52.22297,47.32287,49.00098,2541900,952,19006482
2010-05-05,48.66536,49.00098,45.64476,46.98725,4522400,1224,31850034
2010-05-06,46.98725,46.98725,41.61728,44.63789,1009600,496,6798879
2010-05-07,44.97351,44.97351,40.61041,40.61041,983900,695,6141414
2010-05-10,43.09402,43.09402,39.93916,40.07341,1519300,748,9294411
2010-05-11,39.20079,42.62415,37.99255,42.62415,4704100,1190,28170633
2010-05-12,42.95977,46.316,42.89264,45.10776,2154200,1212,14388275
2010-05-13,45.37626,46.316,43.63102,45.30913,865300,372,5806951
2010-05-14,44.90639,44.90639,42.48989,43.29539,1147000,1029,7433453
2010-05-17,43.63102,43.63102,40.20766,40.94603,1339400,918,8154113
2010-05-18,41.4159,41.6844,38.46242,39.06654,2954400,1484,17325615
2010-05-19,38.26104,39.06654,34.70344,36.65005,3244500,3197,17255710
2010-05-20,34.23356,36.65005,32.55545,34.50207,6950400,4010,35715220
2010-05-21,34.56919,38.1268,34.56919,37.99255,5544300,1499,29947842
2010-05-24,37.99255,39.60354,36.65005,36.65005,968200,599,5394169
2010-05-25,34.83769,37.3213,33.96507,36.91855,227900,261,1220608
2010-05-26,37.92542,40.00629,36.98567,38.39529,1238400,1707,7116108
2010-05-27,39.80491,40.94603,38.93229,40.94603,870100,529,5137840
2010-05-28,40.34191,41.88578,39.60354,39.87204,617600,680,3728501
2010-05-31,40.07341,40.07341,38.26104,39.60354,414500,212,2406163
2010-06-01,39.13366,41.08028,37.99255,40.74465,659800,700,3932578
2010-06-02,40.27479,41.9529,39.33504,40.40903,1103900,506,6750533
2010-06-04,40.07341,40.07341,37.65692,37.65692,944000,420,5445666
2010-06-07,38.05967,38.93229,36.38156,36.58292,450400,324,2494751
2010-06-08,37.72404,37.72404,35.30756,36.85143,1889800,558,10068644
2010-06-09,36.91855,37.92542,35.97881,36.31443,302100,227,1650475
2010-06-10,35.64318,38.26104,35.64318,37.65692,578100,878,3220761
2010-06-11,37.3213,38.59667,37.11993,38.46242,408900,563,2326680
2010-06-14,38.99942,39.93916,38.32817,39.93916,1022100,972,5990286
2010-06-15,39.60354,40.94603,39.60354,40.94603,1152800,463,6868719
2010-06-16,40.87891,41.28165,39.93916,40.87891,689800,1047,4197534
2010-06-17,40.14053,41.21453,39.80491,39.80491,367300,411,2200974
2010-06-18,40.20766,40.20766,38.73092,39.93916,521700,561,3088948
2010-06-21,40.14053,40.87891,39.26791,39.87204,1239200,434,7463289
2010-06-22,40.27479,40.27479,39.33504,39.80491,530000,425,3132695
2010-06-23,39.26791,39.93916,39.20079,39.60354,226800,156,1337211
2010-06-24,39.73779,39.73779,38.99942,39.60354,233900,522,1370046
2010-06-25,38.93229,41.75152,38.6638,41.75152,463800,373,2798947
2010-06-28,41.88578,42.82552,41.4159,41.75152,1441700,253,8963183
2010-06-29,40.74465,40.74465,38.39529,38.93229,581900,249,3434835
2010-06-30,39.87204,39.87204,38.79804,39.06654,218200,139,1276980
2010-07-01,38.59667,39.13366,38.1268,38.26104,222600,194,1280605
2010-07-02,38.79804,38.93229,37.38843,38.6638,431300,246,2465119
2010-07-05,39.26791,39.26791,38.05967,38.52954,183800,50,1053760
2010-07-06,39.40216,39.60354,37.5898,38.79804,283300,298,1647489
2010-07-07,39.06654,40.27479,38.6638,40.27479,451500,132,2687251
2010-07-08,40.54328,40.61041,39.40216,39.73779,618500,172,3681870
2010-07-12,39.87204,40.87891,37.8583,37.99255,922300,390,5372765
2010-07-13,38.93229,39.80491,37.79118,39.13366,940400,571,5399031
2010-07-14,38.93229,39.26791,38.46242,39.13366,467300,294,2697386
2010-07-15,39.46928,40.87891,39.26791,40.87891,525800,745,3163205
2010-07-16,40.61041,40.61041,39.60354,40.14053,341100,253,2030010
2010-07-19,40.27479,43.96664,40.27479,43.96664,958900,1120,6095450
2010-07-20,43.76526,44.57076,42.42277,42.95977,421500,546,2750630
2010-07-21,43.49677,43.56388,42.35564,42.82552,293100,162,1873064
2010-07-22,43.63102,46.316,43.42964,44.97351,4320800,667,28344490
2010-07-23,44.97351,45.10776,43.69814,45.10776,361700,236,2408677
2010-07-26,45.242,47.52424,45.10776,45.84613,493900,488,3396865
2010-07-27,45.71188,47.25574,45.57763,45.91326,250700,141,1725313
2010-07-28,45.10776,46.18175,44.30226,45.91326,198700,316,1344785
2010-07-29,46.316,46.85299,45.98038,46.316,317800,393,2195018
2010-07-30,46.316,46.51737,45.51051,46.51737,683000,558,4690423
2010-08-02,46.85299,47.92699,46.18175,46.98725,2185700,950,15301373
2010-08-03,46.98725,47.72562,46.38313,47.18862,491200,298,3442207
2010-08-04,46.98725,47.32287,45.84613,46.65162,204200,180,1410407
2010-08-05,46.316,46.85299,45.98038,46.5845,1006500,242,6991047
2010-08-06,46.51737,47.85987,45.98038,47.6585,265400,197,1864464
2010-08-09,47.25574,47.32287,46.51737,46.85299,85900,179,600685
2010-08-10,46.92012,46.92012,44.90639,46.78587,248000,185,1706458
2010-08-11,47.05437,47.05437,43.42964,43.96664,2129500,626,14079722
2010-08-12,44.23513,44.50364,42.95977,44.30226,839500,256,5512252
2010-08-13,43.83239,44.70501,43.49677,43.63102,1744000,245,11351590
2010-08-16,44.30226,44.30226,42.95977,43.83239,454100,518,2964014
2010-08-17,44.30226,45.71188,44.30226,44.97351,1659400,485,11038490
2010-08-18,45.44338,45.44338,44.63789,44.97351,439500,387,2941816
2010-08-19,44.70501,45.242,44.30226,44.90639,214900,235,1434648
2010-08-20,44.43652,44.90639,44.36939,44.90639,155700,137,1038429
2010-08-23,44.97351,45.64476,44.30226,44.77213,460900,249,3081964
2010-08-24,44.43652,44.43652,42.75839,43.49677,481900,356,3116686
2010-08-25,42.82552,43.83239,42.28852,43.76526,332600,437,2141280
2010-08-26,44.16801,44.63789,43.29539,44.16801,384100,439,2505066
2010-08-27,44.30226,44.70501,44.03377,44.30226,1008200,518,6654534
2010-08-30,44.83925,44.83925,44.03377,44.30226,265200,76,1742187
2010-08-31,44.30226,45.98038,44.10089,44.36939,660300,687,4393152
2010-09-01,44.36939,46.45025,44.36939,46.45025,647900,486,4385244
2010-09-02,46.45025,46.98725,45.44338,46.18175,296300,279,2034703
2010-09-03,45.98038,46.85299,45.779,46.04751,275400,154,1895847
2010-09-06,46.98725,46.98725,45.71188,46.5845,85500,192,588033
2010-09-08,46.45025,46.5845,45.44338,45.51051,181200,297,1235613
2010-09-09,45.84613,45.84613,44.10089,44.90639,465300,631,3092157
2010-09-10,45.44338,45.44338,44.16801,44.97351,289500,427,1930800
2010-09-13,45.30913,46.98725,45.242,46.98725,420200,473,2908798
2010-09-14,46.92012,49.53798,46.92012,49.53798,788300,817,5651458
2010-09-15,49.33661,50.88047,48.73249,50.67911,581900,483,4336716
2010-09-16,51.2161,51.2161,48.32973,50.34348,808000,1509,5960297
2010-09-17,49.20236,51.01473,49.00098,51.01473,612100,2177,4579833
2010-09-20,50.41061,51.2161,50.20923,51.2161,169400,398,1280639
2010-09-21,51.2161,51.2161,49.47086,49.67223,552900,414,4112044
2010-09-22,49.06811,50.47773,48.66536,50.00785,174400,244,1296489
2010-09-23,49.33661,50.9476,49.33661,50.81335,343700,190,2591832
2010-09-24,50.67911,51.2161,49.40373,50.88047,403400,593,3028099
2010-09-27,50.67911,51.2161,50.34348,51.01473,264700,262,2002120
2010-09-28,50.07498,52.15584,50.07498,50.88047,626600,591,4792393
2010-09-29,50.88047,51.35035,48.79961,49.67223,431800,671,3196607
2010-09-30,49.67223,50.61197,48.06124,50.34348,1437500,1159,10640485
2010-10-01,50.81335,50.81335,49.20236,49.67223,862400,1028,6401923
2010-10-04,50.00785,53.02847,49.26949,53.02847,14772700,1215,115722419
2010-10-05,53.36408,54.37096,51.7531,53.69971,2060900,1389,16449217
2010-10-06,52.96134,56.04908,52.82709,55.71346,1649200,1650,13609035
2010-10-07,55.8477,57.45869,55.24358,56.38469,1493500,1216,12587156
2010-10-08,56.04908,57.99569,54.70657,57.05595,1459900,753,12376611
2010-10-11,57.32444,60.41218,56.72032,60.07655,782900,680,6820315
2010-10-13,60.00942,62.76154,59.94231,62.76154,1317400,1611,12021669
2010-10-14,63.36566,63.7684,60.41218,62.49304,573700,686,5273892
2010-10-15,62.82866,64.90953,59.33818,60.00942,1486400,1627,13654062
2010-10-18,59.20393,59.27105,57.86144,57.86144,1008600,710,8824531
2010-10-19,57.52581,57.92856,55.04221,55.37782,1202500,1949,9980203
2010-10-20,55.78058,59.00256,54.37096,57.79431,1797100,2039,15067370
2010-10-21,58.39843,58.86831,56.92169,57.05595,1042700,779,8923862
2010-10-22,57.19019,59.00256,56.45182,59.00256,417700,1558,3563065
2010-10-25,59.00256,59.74092,57.52581,59.00256,550400,472,4760576
2010-10-26,59.00256,59.00256,58.12994,58.39843,624900,437,5439500
2010-10-27,58.39843,60.34505,58.39843,60.34505,227200,676,2014015
2010-10-28,59.60668,61.21767,59.33818,60.41218,1513100,510,13578506
2010-10-29,60.41218,63.03004,60.41218,63.03004,876100,1409,8120358
2010-11-01,63.63415,63.7684,61.21767,62.89578,471300,531,4387044
2010-11-03,63.23141,63.23141,61.2848,61.75466,2777100,861,25804474
2010-11-04,61.88892,62.62729,61.55329,62.42591,670900,797,6226179
2010-11-05,63.09716,63.63415,61.75466,61.75466,554700,900,5147619
2010-11-08,61.21767,63.4999,59.74092,63.09716,615000,795,5642389
2010-11-09,62.62729,66.58765,62.29166,62.42591,1815900,3106,17373786
2010-11-10,62.76154,63.4999,59.74092,61.15055,1110500,1866,10207082
2010-11-11,61.75466,64.43966,60.14368,63.09716,769400,954,7136810
2010-11-12,63.03004,63.7684,62.02316,62.0903,483700,599,4503294
2010-11-16,63.03004,63.03004,61.62041,61.75466,1100100,1030,10166972
2010-11-17,62.89578,63.56703,61.48617,62.22454,1339000,791,12375286
2010-11-18,63.36566,64.10403,61.55329,64.10403,2362200,1027,21952443
2010-11-19,63.43278,64.10403,62.82866,64.03691,277700,208,2629391
2010-11-22,64.37252,64.57389,62.6944,63.63415,711600,842,6728197
2010-11-23,63.43278,63.43278,60.81493,60.81493,1132900,695,10400365
2010-11-24,62.35878,62.6944,61.0163,61.82179,543300,2007,5006585
2010-11-25,62.35878,63.70129,61.48617,63.70129,73700,96,682047
2010-11-26,62.6944,63.36566,61.62041,63.36566,55300,164,516302
2010-11-29,63.23141,63.36566,61.41904,62.15742,572200,400,5296570
2010-11-30,62.15742,63.09716,61.68754,63.09716,1308500,735,12095485
2010-12-01,63.4999,63.56703,61.68754,62.96291,1114200,852,10300804
2010-12-02,62.42591,63.63415,61.41904,63.63415,505000,1259,4681894
2010-12-03,63.09716,65.51365,62.42591,65.11091,576600,1233,5486564
2010-12-06,65.04377,66.78902,64.43966,64.43966,1035600,1847,10145457
2010-12-07,65.78215,66.25201,62.42591,62.42591,1348500,784,12666286
2010-12-08,63.03004,63.03004,59.80804,60.54642,806100,1229,7273224
2010-12-09,60.00942,60.54642,58.46556,58.93543,904800,883,8010643
2010-12-10,60.2108,60.2108,57.79431,58.86831,920000,2156,8044817
2010-12-13,59.6738,61.88892,58.19706,61.62041,514500,1316,4637827
2010-12-14,62.89578,63.7684,61.62041,62.42591,742800,2076,6937060
2010-12-15,62.6944,62.6944,59.74092,59.74092,1071400,1003,9624123
2010-12-16,61.08342,61.48617,56.25044,56.92169,976000,1100,8478073
2010-12-17,56.72032,56.72032,54.97507,56.18332,2010300,978,16732859
2010-12-20,57.39157,57.39157,54.43808,54.97507,368900,1066,3035832
2010-12-21,54.43808,58.26418,54.43808,57.05595,950000,1137,7954231
2010-12-22,56.72032,59.27105,56.72032,59.27105,596200,667,5123553
2010-12-23,58.39843,62.35878,58.06282,62.35878,740500,1006,6714503
2010-12-27,60.74779,62.35878,60.74779,62.35878,430000,580,3955931
2010-12-28,63.09716,63.70129,61.62041,63.63415,328200,344,3062267
2010-12-29,62.76154,63.09716,61.55329,63.09716,465700,947,4340063
2010-12-30,63.09716,64.70816,61.82179,64.10403,872000,463,8221836
2011-01-03,62.89578,66.11777,62.89578,63.70129,130400,294,1245280
2011-01-04,63.70129,65.11091,62.42591,62.42591,252200,186,2366606
2011-01-05,62.89578,62.96291,61.08342,61.48617,252700,656,2329568
2011-01-06,62.02316,62.15742,61.41904,61.41904,209000,235,1920800
2011-01-07,61.08342,61.68754,60.41218,60.74779,126100,257,1145328
2011-01-10,60.34505,61.48617,59.87518,61.48617,505300,402,4602059
2011-01-11,61.75466,62.89578,61.08342,62.89578,733100,656,6780995
2011-01-12,63.29853,63.70129,62.15742,63.70129,418600,524,3947281
2011-01-13,63.09716,63.70129,62.82866,63.29853,259000,327,2436463
2011-01-14,63.4999,63.4999,61.62041,62.42591,321700,520,3004977
2011-01-17,62.76154,62.76154,61.08342,62.0903,148500,573,1365427
2011-01-18,62.15742,62.96291,61.88892,62.76154,406100,437,3788751
2011-01-19,63.70129,63.70129,61.88892,62.02316,195700,174,1815526
2011-01-20,63.09716,63.43278,60.41218,61.62041,370300,374,3391654
2011-01-21,62.29166,62.29166,61.08342,61.2848,81400,28,744687
2011-01-24,62.15742,62.15742,59.87518,60.41218,193900,225,1746948
2011-01-26,61.08342,61.08342,57.45869,59.40531,1155700,695,10080536
2011-01-27,59.40531,59.40531,57.19019,57.92856,1531600,662,13183964
2011-01-28,57.72719,57.72719,54.7737,55.04221,331500,658,2737066
2011-01-31,55.51208,55.51208,52.96134,54.37096,718200,821,5767361
2011-02-01,55.37782,56.1162,54.63946,54.63946,490200,539,4059055
2011-02-02,55.64633,55.91482,53.69971,54.43808,770400,400,6251211
2011-02-03,54.90795,55.04221,53.63258,54.03534,770000,1237,6214194
2011-02-04,54.03534,54.03534,51.4846,53.56546,6732700,3015,53114409
2011-02-07,53.63258,53.63258,51.55172,52.0216,1383100,2158,10751469
2011-02-08,52.0216,52.75997,51.35035,52.69284,1018900,1481,7924235
2011-02-09,52.0216,52.35722,49.00098,49.00098,1423300,946,10626068
2011-02-10,48.59823,50.9476,48.59823,50.9476,1042800,1075,7705103
2011-02-11,51.01473,51.01473,49.33661,50.00785,713100,643,5285492
2011-02-14,51.01473,51.55172,49.67223,51.55172,391100,482,2965503
2011-02-15,51.4846,52.35722,50.88047,51.55172,299900,450,2297010
2011-02-16,52.2901,52.2901,50.00785,51.2161,341300,491,2575181
2011-02-17,51.95447,51.95447,50.74623,51.35035,190700,308,1456111
2011-02-18,51.35035,53.02847,50.74623,52.96134,4631000,868,35668069
2011-02-21,52.89421,52.89421,51.68597,52.75997,197300,315,1533862
2011-02-22,51.68597,51.88734,50.47773,51.35035,457900,802,3478240
2011-02-23,51.35035,52.22297,50.67911,51.01473,709100,819,5422733
2011-02-24,50.47773,52.2901,50.47773,52.2901,158600,224,1213568
2011-02-25,52.62572,52.62572,51.01473,51.01473,470700,520,3602063
2011-02-28,51.01473,52.96134,50.20923,52.0216,443700,565,3373308
2011-03-01,51.68597,52.69284,50.74623,51.4846,665400,728,5127541
2011-03-02,51.88734,52.0216,50.67911,50.67911,349200,763,2672969
2011-03-03,51.55172,51.55172,50.74623,50.9476,904100,1363,6870626
2011-03-04,50.67911,50.88047,49.40373,50.34348,614200,1033,4589925
2011-03-09,50.41061,50.61197,49.40373,49.67223,481900,960,3583151
2011-03-10,49.40373,50.00785,48.46399,49.00098,1173600,1740,8639769
2011-03-11,48.66536,49.13524,47.99412,48.19549,1049000,1940,7608851
2011-03-14,48.19549,48.53111,46.65162,47.38999,977500,1424,6936784
2011-03-15,46.92012,47.12149,45.71188,46.98725,1508700,928,10501169
2011-03-16,47.52424,48.86674,47.12149,47.99412,1830900,1043,13023764
2011-03-17,48.86674,51.01473,48.32973,50.67911,1181000,2365,8747973
2011-03-18,51.88734,51.95447,50.47773,51.2161,304100,555,2321812
2011-03-21,51.88734,51.88734,50.47773,50.74623,191700,476,1452049
