Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.676352864582374,4.708601242030703,4.652161751002203,4.692477053306539,134300,386,780706
2010-01-05,4.740849619479032,4.958540658737022,4.732792355610875,4.877919715116202,2515900,2140,15218595
2010-01-06,4.950483394868867,5.143983320546687,4.950483394868867,5.119801867954366,1853100,2027,11647054
2010-01-07,5.07948656565003,5.256862302603686,4.998855961041358,5.232671189023515,1557600,2394,10038468
2010-01-08,5.264929227459694,5.603556512642842,5.264929227459694,5.563241210338506,2482900,1592,16899992
2010-01-11,5.684187117251514,5.772874985728342,5.329425982356351,5.458429153137514,1032300,1037,7190423
2010-01-12,5.345550171080514,5.684187117251514,5.192365547707031,5.627747626223014,955500,859,6498732
2010-01-13,5.539059757746186,5.627747626223014,5.426180775689186,5.627747626223014,433900,597,2981498
2010-01-14,5.563241210338506,5.627747626223014,5.474553341861679,5.571308135194514,625300,1334,4303502
2010-01-15,5.55518394647035,5.7486838721481694,5.482620266717686,5.700311305975678,509300,859,3587307
2010-01-18,5.684187117251514,6.079253893463162,5.643871814947178,6.047005516014833,1211900,1186,8992596
2010-01-19,6.047005516014833,6.248572366548661,5.740626608280014,5.901878156509506,1292700,1782,9675909
2010-01-20,5.909935420377662,5.909935420377662,5.579375060050522,5.676120192395506,737100,740,5204452
2010-01-21,5.764808060872334,5.764808060872334,5.49874445544185,5.63580489009117,480800,558,3357422
2010-01-22,5.595499248774686,5.595499248774686,5.401989662109014,5.44230496441335,753200,518,5132796
2010-01-26,5.3939323982408585,5.490677530585843,5.305234868776179,5.377798548528842,339800,421,2278640
2010-01-27,5.361674359804679,5.522935569022022,5.200422811575186,5.522935569022022,235400,308,1563409
2010-01-28,5.63580489009117,5.7486838721481694,5.305234868776179,5.5309928328901785,340900,278,2354595
2010-01-29,5.563241210338506,5.619680701367006,5.450362228281506,5.55518394647035,263500,243,1814195
2010-02-01,5.522935569022022,5.547117021614342,5.401989662109014,5.547117021614342,156700,136,1066318
2010-02-02,5.563241210338506,5.63580489009117,5.514868644166014,5.55518394647035,164900,177,1139662
2010-02-03,5.643871814947178,5.643871814947178,5.418113850833179,5.49874445544185,139000,110,949549
2010-02-04,5.55518394647035,5.55518394647035,5.07948656565003,5.418113850833179,329300,432,2175840
2010-02-05,5.369741284660686,5.44230496441335,5.039171263345695,5.321368718488194,797700,415,5243924
2010-02-08,5.24880503873553,5.490677530585843,5.192365547707031,5.345550171080514,378300,370,2480633
2010-02-09,5.3939323982408585,5.514868644166014,5.313301793632186,5.313301793632186,296400,229,2000204
2010-02-10,5.426180775689186,5.44230496441335,5.208489736431194,5.353617095936523,438400,267,2905563
2010-02-11,5.38586547338485,5.619680701367006,5.313301793632186,5.514868644166014,585600,734,3953252
2010-02-12,5.410056586965022,5.44230496441335,5.321368718488194,5.434238039557342,155500,142,1042462
2010-02-17,5.539059757746186,5.603556512642842,5.482620266717686,5.563241210338506,71100,68,489855
2010-02-18,5.522935569022022,5.595499248774686,5.410056586965022,5.522935569022022,555100,132,3809692
2010-02-19,5.474553341861679,5.482620266717686,5.361674359804679,5.361674359804679,363100,157,2437771
2010-02-22,5.38586547338485,5.563241210338506,5.38586547338485,5.506801719310007,599800,513,4079314
2010-02-23,5.522935569022022,5.539059757746186,5.3939323982408585,5.434238039557342,191700,130,1291922
2010-02-24,5.426180775689186,5.595499248774686,5.264929227459694,5.353617095936523,1429200,388,9498503
2010-02-25,5.313301793632186,5.401989662109014,5.264929227459694,5.401989662109014,241000,161,1595001
2010-02-26,5.353617095936523,5.426180775689186,5.1681744341268585,5.321368718488194,487900,266,3194807
2010-03-01,5.369741284660686,5.3939323982408585,5.264929227459694,5.321368718488194,429800,259,2833415
2010-03-02,5.361674359804679,5.426180775689186,5.321368718488194,5.361674359804679,781200,340,5200750
2010-03-03,5.3939323982408585,5.418113850833179,5.16010750927085,5.208489736431194,480900,464,3128104
2010-03-04,5.200422811575186,5.329425982356351,5.095610754374195,5.16010750927085,525900,309,3364330
2010-03-05,5.264929227459694,5.369741284660686,5.127859131822523,5.345550171080514,381400,364,2486995
2010-03-08,5.272986491327851,5.321368718488194,5.216547000299351,5.224613925155358,206200,99,1345027
2010-03-09,5.281053416183859,5.321368718488194,5.176231697995015,5.200422811575186,272200,211,1765927
2010-03-10,5.281053416183859,5.281053416183859,5.143983320546687,5.240738113879522,436400,150,2828947
2010-03-11,5.200422811575186,5.321368718488194,5.176231697995015,5.264929227459694,261900,291,1699477
2010-03-12,5.313301793632186,5.329425982356351,5.208489736431194,5.240738113879522,289300,214,1893575
2010-03-15,5.216547000299351,5.869629779061177,5.216547000299351,5.659996003671342,2402000,1905,16695122
2010-03-16,5.563241210338506,5.69224438111967,5.321368718488194,5.676120192395506,1030900,886,7102569
2010-03-17,5.603556512642842,5.69224438111967,5.482620266717686,5.651938739803186,311300,354,2165457
2010-03-18,5.659996003671342,5.764808060872334,5.643871814947178,5.700311305975678,303400,283,2149685
2010-03-19,5.724502419555849,5.780932249596498,5.5309928328901785,5.780932249596498,323600,236,2277913
2010-03-22,5.780932249596498,5.990566024986333,5.643871814947178,5.893811231653498,680000,693,4949132
2010-03-23,5.91800234523367,6.08732081831917,5.813190288032677,5.966374911406162,776000,691,5773968
2010-03-24,5.966374911406162,6.1598844980718335,5.861562854205169,6.1598844980718335,599700,446,4525049
