Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-13,17.90179,17.90179,17.0017,17.36174,38200,42,667476
2010-01-14,17.50175,17.50175,17.30173,17.30173,12700,35,221272
2010-01-15,17.49175,17.64176,16.75167,17.43174,20300,41,353006
2010-01-18,17.49175,17.49175,16.90169,16.90169,5400,24,92920
2010-01-19,16.79168,17.17172,16.31163,16.9917,8100,22,137526
2010-01-20,16.51165,16.69167,16.0016,16.62166,13300,32,218915
2010-01-21,16.30163,16.50165,16.30163,16.50165,63700,34,1039214
2010-01-22,16.51165,16.90169,15.71157,16.85169,6700,30,110239
2010-01-26,16.50165,17.10171,16.50165,17.10171,5400,9,90675
2010-01-27,16.61166,17.0017,16.50165,16.89169,3600,12,60097
2010-01-28,17.25173,17.25173,16.50165,16.60166,30100,16,499913
2010-01-29,16.9517,17.45175,16.40164,17.40174,50100,15,825103
2010-02-01,17.25173,17.50175,17.25173,17.40174,25200,26,438734
2010-02-02,17.40174,17.40174,17.0217,17.40174,12400,12,212722
2010-02-03,17.35174,17.35174,16.63166,17.0017,13800,26,234944
2010-02-04,16.50165,17.0017,15.91159,16.49165,38000,62,622100
2010-02-05,16.0016,16.0016,15.10151,15.53155,14000,28,217230
2010-02-08,15.70157,16.79168,15.70157,15.75158,56700,40,898769
2010-02-09,16.0016,16.80168,15.80158,16.45165,136300,163,2202891
2010-02-10,16.45165,16.9917,16.45165,16.85169,13200,23,221981
2010-02-11,16.61166,16.85169,16.30163,16.85169,6800,14,113621
2010-02-12,16.80168,16.9917,16.50165,16.9917,10700,17,178073
2010-02-17,16.50165,17.15171,16.50165,17.15171,2600,5,44113
2010-02-18,17.29173,17.29173,16.90169,17.25173,10700,8,182549
2010-02-22,17.35174,17.35174,17.25173,17.25173,200,2,3460
2010-02-23,16.90169,17.0017,16.80168,16.9917,7100,11,120008
2010-02-25,16.61166,16.89169,16.45165,16.89169,5000,10,83355
2010-02-26,17.0017,17.0017,16.71167,16.9917,26300,32,442863
2010-03-01,16.90169,17.35174,16.90169,17.35174,9800,9,167865
2010-03-02,17.0017,17.30173,17.0017,17.20172,21500,19,366442
2010-03-03,17.45175,17.45175,17.45175,17.45175,500,1,8725
2010-03-04,17.40174,17.40174,17.06171,17.35174,2400,7,41324
2010-03-05,17.40174,17.50175,17.20172,17.20172,148400,21,2595380
2010-03-08,17.39174,17.40174,17.39174,17.40174,200,2,3479
2010-03-09,17.40174,17.40174,17.0517,17.40174,9500,15,164905
2010-03-10,17.10171,17.50175,17.10171,17.50175,70400,20,1231349
2010-03-11,17.49175,17.50175,17.40174,17.49175,86000,29,1504755
2010-03-12,17.9518,17.9518,17.49175,17.50175,73900,15,1293534
2010-03-15,17.80178,17.80178,17.20172,17.30173,9600,11,165864
2010-03-16,17.48175,17.48175,17.39174,17.39174,1900,4,33077
2010-03-17,17.20172,17.38174,17.20172,17.38174,2600,5,44823
2010-03-19,17.39174,17.39174,17.25173,17.25173,2000,20,34748
2010-03-22,17.30173,17.30173,17.30173,17.30173,100,1,1730
2010-03-23,17.0517,17.30173,17.0017,17.30173,9500,16,162355
2010-03-24,17.0317,17.30173,17.0017,17.30173,203700,12,3519676
2010-03-25,17.20172,17.20172,17.20172,17.20172,323900,3,5571080
2010-03-26,17.0017,17.17172,16.80168,16.80168,30800,4,528724
2010-03-29,17.0017,17.29173,17.0017,17.29173,97100,9,1651140
2010-03-30,17.20172,17.30173,17.0517,17.10171,14600,12,251283
2010-03-31,17.0017,17.20172,16.9917,17.20172,24800,8,421610
2010-04-01,17.0017,17.18172,17.0017,17.18172,8100,5,137718
2010-04-05,17.15171,17.15171,17.0017,17.15171,6000,10,102455
2010-04-06,17.0117,17.10171,17.0017,17.10171,3700,6,63165
2010-04-07,17.10171,17.20172,17.10171,17.20172,15000,12,257409
2010-04-08,17.10171,17.30173,17.10171,17.30173,113600,9,1945541
2010-04-09,17.11171,17.19172,17.10171,17.19172,5600,4,95820
2010-04-12,17.15171,17.20172,17.10171,17.20172,137400,7,2349780
2010-04-13,17.0117,17.25173,17.0017,17.20172,133100,17,2269065
2010-04-14,17.0017,17.17172,17.0017,17.0017,104600,8,1778217
2010-04-15,17.18172,17.18172,17.0017,17.14171,61700,18,1048994
2010-04-19,16.76168,17.08171,16.76168,17.08171,200,2,3384
2010-04-20,17.10171,17.10171,17.10171,17.10171,200,1,3420
2010-04-22,17.15171,17.15171,17.09171,17.10171,165000,6,2825990
2010-04-23,17.0017,17.09171,16.05161,16.9917,73700,43,1246715
2010-04-26,16.91169,17.0017,16.65166,17.0017,11800,12,199888
2010-04-27,16.90169,17.0017,16.72167,17.0017,300,3,5062
2010-04-28,16.75167,16.9917,16.75167,16.9917,1100,5,18665
2010-04-30,16.75167,16.75167,16.75167,16.75167,1500,3,25125
2010-05-03,16.76168,16.94169,16.75167,16.94169,1100,6,18542
2010-05-04,16.75167,16.75167,16.50165,16.75167,47800,14,793145
2010-05-05,16.50165,16.75167,16.50165,16.75167,11100,4,183175
2010-05-06,16.50165,16.50165,16.30163,16.50165,13700,13,225554
2010-05-07,16.50165,16.85169,16.49165,16.49165,14000,5,231090
2010-05-10,16.88169,16.88169,16.40164,16.71167,500,3,8327
2010-05-11,16.30163,16.76168,16.30163,16.64166,700,4,11558
2010-05-14,16.49165,16.50165,16.40164,16.50165,1800,3,29557
2010-05-17,16.40164,16.40164,16.40164,16.40164,1700,1,27880
2010-05-24,16.50165,16.50165,16.50165,16.50165,1400,3,23100
2010-05-26,16.56166,16.56166,16.15162,16.15162,8400,9,135701
2010-05-27,16.59166,16.59166,16.0016,16.50165,1100,8,18059
2010-05-28,16.12161,16.37164,16.12161,16.36164,600,6,9769
2010-05-31,16.44164,16.44164,16.44164,16.44164,100,1,1644
2010-06-01,16.50165,16.50165,15.9816,15.9816,16500,48,268908
2010-06-02,15.90159,15.90159,15.90159,15.90159,600,3,9540
2010-06-04,15.50155,15.9916,15.50155,15.9916,1000,3,15745
2010-06-07,15.60156,15.9916,13.25133,13.40134,1184200,128,15702331
2010-06-08,13.42134,13.65137,13.41134,13.50135,16500,33,223295
2010-06-09,13.65137,13.65137,13.64136,13.64136,600,3,8185
2010-06-10,13.40134,13.80138,13.40134,13.80138,19500,14,268468
2010-06-11,13.60136,13.9814,13.50135,13.9614,5600,13,77525
2010-06-14,13.9614,14.0014,13.9614,14.0014,2000,3,27980
2010-06-15,13.9914,14.10141,13.85139,14.10141,168000,20,2332487
