Date,Open,High,Low,Close,Volume,Neg,Fin
2018-04-30,28.13882,28.46987,24.49732,24.49732,1288200,5393,101861681
2018-05-02,24.50394,24.79195,24.24573,24.74561,255300,688,18950192
2018-05-03,24.79857,25.14286,24.74892,25.0601,113200,264,8553179
2018-05-04,24.79195,24.79195,22.31574,23.55053,542200,1996,38702328
2018-05-07,23.55384,24.15304,23.55384,24.06696,353400,673,25685218
2018-05-08,24.16628,24.66284,24.10007,24.53043,300400,385,22103473
2018-05-09,24.65291,24.65953,24.49732,24.49732,47800,187,3538047
2018-05-10,24.50394,24.64629,22.83878,24.64629,185500,723,13404882
2019-07-19,14.36735,14.53287,13.80457,14.13231,930300,3461,39674699
2019-07-22,14.37066,14.67522,13.67215,14.30114,613000,2564,25920236
2019-07-23,14.21507,14.21507,13.70526,14.10251,566300,2685,23818839
2019-07-24,14.05286,14.31438,13.80457,14.17865,519700,2133,22249537
2019-07-25,14.20183,14.23493,13.89726,14.06941,401200,2434,17006043
2019-07-26,14.15879,14.23493,13.83768,13.90389,946200,3388,39987890
2019-07-29,13.90389,13.99658,13.33449,13.35766,1898100,1412,78696316
2019-07-30,16.2212,16.2212,15.29096,15.69153,2756200,8927,131296017
2019-07-31,15.76767,18.27368,15.76767,16.75087,2499200,10480,129925679
2019-08-01,18.04195,18.80335,17.62814,18.20747,2696200,12425,146659655
2019-08-02,18.38623,19.2006,17.26399,17.94264,2054200,8183,112937136
2019-08-05,17.44607,17.69435,17.14813,17.31365,734100,2219,38727107
2019-08-06,17.56855,17.8698,17.14813,17.3633,945400,2059,49842262
2019-08-07,17.44607,17.85987,17.01902,17.85987,1042100,2168,54320871
2019-08-08,17.81021,19.29661,17.72083,18.86956,1561400,3340,86066185
2019-08-09,19.2006,20.02822,19.0417,19.86269,2157500,4351,128874896
2019-08-12,19.86269,20.94852,19.79648,20.16064,2447200,6307,150201095
2019-08-13,20.52809,21.97145,20.07456,21.97145,2673000,5146,167533270
2019-08-14,22.04097,23.90144,21.7,23.43798,1847300,6862,128979027
2019-08-15,23.81868,24.49732,19.69717,20.69031,2226600,8501,147971516
2019-08-16,21.51792,21.84896,16.91308,19.76338,3259900,10820,182755791
2019-08-19,20.22353,20.50823,17.9956,18.20747,1454300,5240,81946280
2019-08-20,18.20747,19.9918,16.75418,19.2006,1861800,7614,102418789
2019-08-21,19.36282,20.56451,19.17081,20.52478,870200,3873,52728665
2019-08-22,20.85583,21.15377,19.62434,20.52148,712500,3059,44014582
2019-08-23,19.9587,20.82273,19.46544,19.63096,707300,2312,42545734
2019-08-26,20.2765,20.2765,19.22709,19.33302,451500,1826,26528319
2019-08-27,19.33302,19.92559,18.57824,19.92559,320900,1498,18750111
2019-08-28,19.73028,20.52148,19.36613,20.32285,1624300,4745,98342031
2019-08-29,20.49168,20.80617,20.13746,20.25995,2494400,2222,154135753
2019-08-30,20.43209,20.72672,20.17057,20.23346,1061700,2388,65164502
2019-09-02,20.23677,20.26326,19.85607,20.25995,685900,4393,41726781
2019-09-03,20.12753,20.4354,19.82628,19.86269,501200,2294,30432074
2019-09-04,20.14408,20.14408,19.55813,19.60779,256600,984,15274982
2019-09-05,19.66738,19.90242,19.66738,19.82959,352600,1626,21088585
2019-09-06,19.72696,19.90904,19.0715,19.42571,548900,2962,32437170
2019-09-09,19.43233,19.43565,17.82677,18.04195,1292600,6068,71709529
2019-09-10,18.0254,18.0254,16.91308,17.3633,1969600,5244,102629324
2019-09-11,17.63807,18.42265,17.52552,18.42265,402900,1704,21991395
2019-09-12,18.63452,18.83315,18.24388,18.83315,815700,1481,45358132
2019-09-13,18.79673,19.2006,18.4392,19.2006,637200,2524,36314397
2019-09-16,19.82628,20.03815,19.12115,19.53165,1037100,3775,60806409
2019-09-17,19.39923,19.51841,19.01522,19.29992,491500,1427,28666497
2019-09-18,19.28337,19.81304,19.09467,19.81304,376100,1437,21987251
2019-09-19,19.73359,19.85607,19.38268,19.62103,641900,1730,37810520
2019-09-20,19.6111,19.6111,18.95232,18.95232,897400,2035,51785897
2019-09-23,18.98542,19.2006,18.77687,19.2006,349800,1721,20081852
2019-09-24,19.0417,19.34626,18.80335,18.80335,222600,929,12688264
2019-09-25,18.79673,18.86956,18.42265,18.86625,842000,2268,47167161
2019-09-26,18.90598,19.19729,18.70735,19.19729,474900,1646,27129734
2019-09-27,19.03508,19.05494,18.67424,18.80335,506700,2431,28861150
2019-09-30,18.75369,18.86956,18.53852,18.7868,366900,1907,20727057
2019-10-01,18.62992,18.6763,17.89108,17.92753,792000,2678,43198108
2019-10-02,17.75193,17.75193,16.8375,16.96339,2276600,6479,117160803
2019-10-03,17.12906,17.33447,16.17155,16.26763,1580100,4775,78324815
2019-10-04,16.33721,16.53268,15.46916,15.57187,1770200,5761,84099012
2019-10-07,15.52217,15.52217,14.74358,14.80984,1541200,4126,69572610
2019-10-08,14.78002,15.06495,14.41226,14.65412,1078000,6207,47983578
2019-10-09,14.77671,15.83692,14.3228,15.83692,1818400,5711,82244640
2019-10-10,15.89324,16.43329,15.32007,15.40621,1041600,5368,49349523
2019-10-11,15.79054,16.53268,15.4791,16.53268,922400,2866,44425434
2019-10-14,16.68178,17.82482,16.66521,17.39411,1944500,7559,102599983
2019-10-15,17.72542,18.451,16.74804,16.74804,2110100,4287,113192679
2019-10-16,16.97002,17.192,16.26432,16.48299,1507800,4877,75144912
