Date,Open,High,Low,Close,Volume,Neg,Fin
2010-04-23,2.98067,2.98067,2.98067,2.98067,1000,1,3110
2010-05-28,2.69315,2.69315,2.69315,2.69315,1000,1,2810
2010-07-23,3.06693,3.06693,3.06693,3.06693,1000,1,3200
2010-08-24,2.87524,2.87524,2.87524,2.87524,2000,1,6000
2010-08-31,2.87524,2.87524,2.87524,2.87524,2000,1,6000
2010-09-09,2.904,2.904,2.904,2.904,1000,1,3030
2010-09-22,2.904,2.904,2.904,2.904,1000,1,3030
2010-10-04,2.82732,2.82732,2.82732,2.82732,2000,1,5900
2010-10-08,2.68356,2.68356,2.68356,2.68356,2000,1,5600
2010-12-07,2.54938,2.54938,2.54938,2.54938,3000,2,7980
2010-12-30,2.45354,2.45354,2.45354,2.45354,2000,1,5120
2011-04-01,2.45354,2.45354,2.45354,2.45354,1000,1,2560
2011-06-14,2.68356,2.68356,2.68356,2.68356,4000,4,11200
2011-06-15,2.87524,2.87524,1.83057,1.83057,6000,6,13940
2011-06-22,1.72515,1.72515,1.72515,1.72515,1000,1,1800
2011-08-01,1.44721,1.44721,1.44721,1.44721,1000,1,1510
2011-08-08,1.3897,1.3897,1.3897,1.3897,2000,2,2900
2011-08-11,1.3897,1.3897,1.3897,1.3897,1000,1,1450
2011-08-12,1.43762,1.43762,1.43762,1.43762,1000,1,1500
2011-08-31,1.72515,1.72515,1.72515,1.72515,1000,1,1800
2011-09-08,2.01267,2.01267,2.01267,2.01267,2000,2,4200
2011-12-23,3.35445,3.35445,3.34487,3.34487,172000,4,601800
2012-01-09,1.7539,1.90725,1.7539,1.90725,2000,2,3820
2012-01-10,1.90725,1.90725,1.90725,1.90725,1000,1,1990
2012-01-20,1.54305,1.54305,1.54305,1.54305,1000,1,1610
2012-02-02,1.53346,1.53346,1.53346,1.53346,2000,2,3200
2012-02-10,2.06059,2.06059,2.06059,2.06059,4000,3,8600
2012-02-15,2.06059,2.06059,2.06059,2.06059,1000,1,2150
2012-02-24,2.20435,2.20435,2.20435,2.20435,2000,2,4600
2012-02-27,2.39604,2.39604,2.39604,2.39604,12000,3,30000
2012-02-28,2.39604,2.39604,2.39604,2.39604,1000,1,2500
2012-02-29,2.63564,2.63564,2.63564,2.63564,1000,1,2750
2012-03-01,2.7794,2.97109,2.7794,2.97109,9000,7,27290
2012-03-02,3.35445,3.83366,3.35445,3.73782,9000,8,35200
2012-03-05,3.73782,3.9295,3.73782,3.9295,3000,3,12000
2012-03-06,3.9295,3.9295,2.69315,2.69315,6000,6,19240
2012-03-14,2.63564,2.63564,2.63564,2.63564,1000,1,2750
2012-04-20,2.40562,2.40562,2.40562,2.40562,1000,1,2510
2012-04-23,2.40562,2.40562,2.40562,2.40562,1000,1,2510
2012-05-28,2.87524,2.87524,2.87524,2.87524,1000,1,3000
2012-06-01,2.87524,2.87524,2.87524,2.87524,1000,1,3000
2012-06-04,2.87524,2.87524,2.87524,2.87524,1000,1,3000
2012-06-25,2.7794,2.7794,2.7794,2.7794,1000,1,2900
2012-07-12,2.87524,2.87524,2.87524,2.87524,1000,1,3000
2012-09-18,2.97109,2.97109,2.97109,2.97109,1000,1,3100
2012-12-28,4.68665,4.68665,4.36079,4.36079,3000,3,13990
2013-01-18,4.60998,4.60998,4.60998,4.60998,2000,2,9620
2013-01-30,4.79207,4.79207,4.79207,4.79207,1000,1,5000
2013-02-06,4.79207,4.79207,4.79207,4.79207,2000,1,10000
2013-02-07,4.79207,4.79207,4.79207,4.79207,1000,1,5000
2013-02-14,4.79207,4.79207,4.79207,4.79207,2000,1,10000
2013-02-18,6.52681,6.52681,6.52681,6.52681,2000,2,13620
2013-02-19,7.04435,8.09861,7.04435,8.09861,4000,4,31250
2013-02-20,8.09861,8.09861,8.09861,8.09861,1000,1,8450
2013-02-21,8.86534,8.86534,8.19445,8.62574,5000,4,44800
2013-02-22,8.62574,8.62574,7.66732,7.66732,9000,7,78120
2013-02-26,6.69932,6.69932,6.69932,6.69932,1000,1,6990
2013-03-05,7.66732,7.66732,7.66732,7.66732,3000,2,24000
2013-03-28,7.66732,7.66732,7.66732,7.66732,9000,4,72000
2013-04-15,7.58106,7.58106,7.58106,7.58106,1000,1,7910
2013-05-03,7.1977,7.1977,7.1977,7.1977,1000,1,7510
2013-05-06,7.23603,7.23603,7.23603,7.23603,2000,2,15100
2013-05-07,7.28395,7.28395,7.28395,7.28395,1000,1,7600
2013-05-10,7.37979,7.37979,7.37979,7.37979,2000,2,15400
2013-05-13,7.37979,7.37979,7.37979,7.37979,1000,1,7700
2013-05-14,7.37979,7.37979,7.37979,7.37979,2000,2,15400
2013-05-21,7.64815,7.64815,7.64815,7.64815,1000,1,7980
2013-05-29,7.66732,7.66732,7.66732,7.66732,2000,2,16000
2013-05-31,8.43405,8.43405,8.43405,8.43405,2000,2,17600
2013-06-11,7.66732,7.66732,7.57148,7.57148,2000,2,15900
2013-06-12,7.47564,7.47564,7.47564,7.47564,1000,1,7800
2013-06-17,9.58415,9.58415,9.58415,9.58415,1000,1,10000
2013-08-28,7.66732,7.66732,7.66732,7.66732,57000,5,456000
2013-08-29,7.66732,8.14653,7.66732,8.14653,3000,2,24500
2013-09-03,8.01235,8.01235,8.01235,8.01235,1000,1,8360
2013-09-04,8.62574,8.62574,8.62574,8.62574,1000,1,9000
2013-09-05,8.65449,8.65449,8.65449,8.65449,1000,1,9030
2013-09-06,8.68324,8.7695,8.67365,8.7695,3000,3,27260
2013-09-10,8.62574,8.81742,8.62574,8.81742,7000,6,63200
2013-09-11,8.99952,8.99952,8.99952,8.99952,1000,1,9390
2013-09-12,8.72158,8.99952,8.72158,8.99952,2000,2,18490
2013-09-13,8.81742,8.91326,8.6449,8.91326,3000,3,27520
2013-09-16,8.91326,9.0091,8.91326,9.0091,2000,2,18700
2013-09-17,9.10494,9.10494,9.10494,9.10494,1000,1,9500
2013-09-18,9.10494,9.10494,9.10494,9.10494,198000,7,1881000
2013-09-26,8.62574,8.89409,8.62574,8.89409,28000,10,252560
2013-09-27,8.91326,9.20078,8.91326,9.20078,4000,2,37500
2013-09-30,9.10494,9.10494,9.10494,9.10494,3000,3,28500
2013-10-04,9.10494,9.10494,9.10494,9.10494,62000,8,589000
2013-10-10,9.10494,9.10494,9.10494,9.10494,14000,3,133000
2013-10-11,9.10494,9.10494,9.10494,9.10494,36000,3,342000
2013-10-15,9.10494,9.10494,9.10494,9.10494,6000,3,57000
2013-10-16,8.72158,9.10494,8.72158,9.10494,11000,6,102150
2013-10-17,8.81742,9.10494,8.81742,9.10494,9000,3,85200
2013-10-22,9.10494,9.48831,9.10494,9.10494,61000,10,579900
2013-10-23,9.10494,9.10494,9.10494,9.10494,11000,2,104500
2013-10-28,9.57456,10.35088,9.10494,9.10494,13000,6,134590
2013-10-30,9.10494,9.10494,9.10494,9.10494,28000,12,266000
2013-10-31,9.10494,9.10494,9.10494,9.10494,23000,4,218500
2013-11-01,9.10494,9.11453,9.10494,9.11453,6000,2,57050
2013-11-04,9.11453,9.39247,9.11453,9.39247,7000,3,68010
2013-11-06,9.10494,9.20078,9.10494,9.20078,11000,3,105100
2013-11-07,9.15286,9.16245,9.15286,9.16245,4000,2,38220
2013-11-08,9.22954,9.22954,9.22954,9.22954,1000,1,9630
2013-11-11,9.48831,9.58415,9.48831,9.58415,10000,6,99580
2013-11-12,9.67999,9.77583,9.40205,9.40205,8000,6,80610
2013-11-13,9.67999,9.87167,9.67999,9.87167,10000,5,102070
2013-11-14,9.87167,9.87167,9.87167,9.87167,1000,1,10300
2013-11-18,9.67999,9.67999,9.67999,9.67999,1000,1,10100
2013-11-21,10.00585,10.06336,9.58415,9.58415,139000,16,1395630
2013-11-25,9.56498,9.58415,9.56498,9.58415,26000,8,259940
2013-11-26,9.58415,9.58415,9.58415,9.58415,17000,3,170000
2013-11-27,9.58415,9.58415,9.58415,9.58415,100000,2,1000000
2013-11-28,9.58415,9.58415,9.58415,9.58415,4000,1,40000
2013-11-29,9.58415,9.58415,9.58415,9.58415,200000,5,2000000
2013-12-02,9.10494,9.58415,9.10494,9.58415,22000,7,219000
2013-12-04,8.73116,9.57456,8.73116,9.57456,2000,2,19100
2013-12-05,9.56498,9.56498,9.56498,9.56498,1000,1,9980
2013-12-06,9.5554,9.58415,9.5554,9.58415,7000,5,69940
2013-12-10,9.58415,9.58415,9.58415,9.58415,4000,2,40000
2013-12-11,9.57456,9.58415,9.57456,9.58415,36000,2,359990
2013-12-12,9.53623,9.53623,9.53623,9.53623,1000,1,9950
2013-12-13,9.39247,9.39247,9.29662,9.29662,3000,3,29200
2013-12-16,9.48831,9.58415,9.48831,9.58415,122000,3,1219800
2013-12-17,9.5554,9.56498,9.5554,9.56498,2000,2,19950
2013-12-18,9.56498,9.58415,9.0091,9.58415,10000,8,98860
2013-12-19,9.57456,9.57456,9.57456,9.57456,1000,1,9990
2013-12-26,9.10494,9.57456,9.10494,9.57456,4000,2,38490
2013-12-30,9.57456,9.57456,9.57456,9.57456,1000,1,9990
2014-02-03,9.61361,9.62343,9.23063,9.57433,10400,10,100997
2014-02-04,9.32883,9.32883,9.32883,9.32883,3000,2,28500
2014-02-05,9.13244,9.28955,8.93604,9.28955,1500,7,13974
2014-02-06,9.29937,9.29937,9.27973,9.27973,2100,3,19866
2014-02-07,9.04406,9.26991,9.03424,9.26009,2600,5,24239
2014-02-10,8.98514,9.18154,8.98514,9.18154,2000,6,18600
2014-02-11,9.26009,9.27973,9.08334,9.27973,4600,10,43040
2014-02-12,9.13244,9.22082,9.13244,9.22082,1100,2,10239
2014-02-13,8.59235,9.17172,8.59235,9.17172,400,4,3634
2014-02-14,9.17172,9.23063,9.17172,9.23063,2900,3,27112
2014-02-19,8.83784,9.03424,8.83784,8.83784,6000,3,54100
2014-02-20,8.73964,8.83784,8.59235,8.8182,2500,6,22246
2014-02-21,8.83784,9.17172,8.83784,9.17172,3200,3,29190
2014-02-24,8.90658,9.20118,8.83784,9.18154,4700,12,43386
2014-02-25,9.22082,9.22082,8.95568,9.13244,2200,5,20454
2014-02-26,9.1619,9.1619,9.1619,9.1619,200,1,1866
2014-02-27,9.10298,9.17172,9.10298,9.17172,3200,4,29708
2014-02-28,9.19136,9.19136,9.19136,9.19136,300,2,2808
2014-03-05,9.22082,9.23063,9.22082,9.23063,2900,2,27250
2014-03-06,9.13244,9.23063,9.03424,9.03424,2300,3,21340
2014-03-07,9.20118,9.20118,8.73964,8.82802,13300,13,119625
2014-03-10,9.08334,9.08334,8.83784,8.83784,1500,2,13625
2014-03-11,9.03424,9.03424,9.03424,9.03424,500,1,4600
2014-03-13,8.80838,8.83784,8.80838,8.83784,1600,2,14370
2014-03-14,8.82802,8.82802,8.82802,8.82802,1100,2,9889
2014-03-17,8.80838,8.80838,8.64145,8.64145,2000,2,17770
2014-03-18,8.8182,8.8182,8.8182,8.8182,1000,1,8980
2014-03-19,8.8182,8.8182,8.8182,8.8182,1000,1,8980
2014-03-20,8.8182,8.8182,8.35667,8.35667,3000,4,26210
2014-03-21,8.60217,8.93604,8.54325,8.73964,32500,20,291400
2014-03-24,8.83784,8.83784,8.83784,8.83784,600,2,5400
2014-03-26,8.59235,8.82802,8.50397,8.50397,1100,3,9604
2014-03-27,8.73964,8.82802,8.73964,8.82802,200,2,1789
2014-03-28,8.60217,8.60217,8.59235,8.59235,500,3,4376
2014-03-31,8.63163,8.63163,8.63163,8.63163,200,2,1758
2014-04-01,8.73964,8.73964,8.73964,8.73964,100,1,890
2014-04-02,8.59235,8.80838,8.35667,8.35667,6600,8,56606
2014-04-03,8.60217,8.80838,8.54325,8.73964,500,5,4404
2014-04-04,8.64145,8.73964,8.64145,8.73964,200,2,1770
2014-04-07,8.44505,8.72982,8.44505,8.72982,3700,5,31969
2014-04-11,8.73964,8.73964,8.73964,8.73964,200,2,1780
2014-04-15,8.39595,8.39595,8.39595,8.39595,200,1,1710
2014-04-16,8.39595,8.39595,8.39595,8.39595,2200,2,18810
2014-04-17,8.83784,8.83784,8.83784,8.83784,100,1,900
2014-04-24,8.82802,8.82802,8.82802,8.82802,200,2,1798
2014-04-25,8.80838,8.80838,8.80838,8.80838,100,1,897
2014-04-29,8.49415,8.49415,8.44505,8.44505,800,3,6886
2014-04-30,8.64145,8.73964,8.64145,8.73964,700,3,6175
2014-05-06,8.39595,8.82802,8.39595,8.82802,6200,8,55129
2014-05-07,8.72982,8.73964,8.72982,8.73964,1600,3,14237
2014-05-09,8.39595,8.72,8.39595,8.72,400,3,3478
2014-05-12,7.95406,8.44505,7.95406,8.44505,1600,6,13233
2014-05-15,8.43523,8.44505,8.43523,8.44505,900,2,7739
2014-05-16,8.14063,8.43523,8.14063,8.43523,500,4,4177
2014-05-19,7.85586,7.85586,7.66928,7.66928,38000,25,303428
2014-05-20,7.85586,7.85586,7.53181,7.75766,700,3,5425
