Date,Open,High,Low,Close,Volume,Neg,Fin
2017-12-18,17.69054,17.939,17.54146,17.54146,20735900,13468,369823387
2017-12-19,17.46196,17.49177,16.91534,17.07435,5367900,6699,92662484
2017-12-20,17.05448,17.62097,16.89546,17.34269,2352000,4811,40923458
2017-12-21,17.48183,17.48183,16.9054,17.19361,1759000,2395,30247648
2017-12-22,17.09423,17.24331,16.94515,17.17374,927800,2348,15970317
2017-12-26,17.09423,17.18368,16.9054,17.05448,1986300,2101,34005345
2017-12-27,16.99485,17.47189,16.95509,17.34269,947300,1304,16464008
2017-12-28,17.44208,17.44208,17.10417,17.39239,729000,652,12739929
2018-01-02,17.49177,17.61103,17.24331,17.61103,1393900,4385,24510991
2018-01-03,17.60109,17.78993,17.45202,17.78993,2736300,2401,48712380
2018-01-04,17.78993,17.83962,17.59116,17.78993,1305200,1282,23310158
2018-01-05,17.74023,17.82968,17.64085,17.69054,1063300,2545,18944250
2018-01-08,17.72036,17.76011,17.50171,17.69054,800000,1648,14177888
2018-01-09,17.74023,17.74023,17.49177,17.49177,1186300,1771,20936769
2018-01-10,17.39239,17.64085,17.19361,17.49177,779500,1165,13713273
2018-01-11,17.54146,17.81974,17.54146,17.74023,551400,932,9796743
2018-01-12,17.77999,17.91913,17.60109,17.88931,894400,2769,16048305
2018-01-15,17.88931,17.90919,17.61103,17.64085,169900,483,3029873
2018-01-16,17.61103,17.78993,17.4222,17.62097,341100,520,6042641
2018-01-17,17.50171,17.64085,17.46196,17.54146,1187900,1002,20975347
2018-01-18,17.64085,17.64085,17.0346,17.57128,1129900,2335,19794499
2018-01-19,17.56134,17.56134,17.33276,17.39239,84100,417,1476620
2018-01-22,17.59116,17.59116,17.20355,17.25325,299800,503,5211723
2018-01-23,17.09423,17.35263,16.98491,17.05448,575500,1432,9889004
2018-01-24,17.31288,17.54146,17.0346,17.54146,811600,2220,14077796
2018-01-26,17.54146,17.78993,17.01472,17.05448,1263400,2969,21826783
2018-01-29,17.11411,17.28306,16.78614,16.78614,983400,1005,16730828
2018-01-30,16.80602,16.95509,16.52773,16.69669,1019800,2136,17162045
2018-01-31,16.97497,17.04454,16.80602,16.87558,2096400,1715,35676296
2018-02-01,16.87558,17.38245,16.79608,17.14392,1941800,2766,33523875
2018-02-02,17.19361,17.19361,16.69669,16.72651,607700,1418,10260345
2018-02-05,16.69669,16.94515,16.56749,16.69669,153700,402,2587570
2018-02-06,16.93522,16.93522,16.58737,16.89546,240300,546,4070188
