Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,20.99014,20.99014,20.51309,20.51309,4000,4,1730
2010-01-05,20.03604,20.51309,20.03604,20.51309,20000,7,8480
2010-01-06,20.51309,20.99014,20.51309,20.51309,29000,5,12490
2010-01-07,20.03604,20.51309,20.03604,20.51309,15000,5,6320
2010-01-08,20.03604,25.76063,19.55899,25.28358,1934000,279,932480
2010-01-11,26.71472,27.19177,24.80652,25.76063,733000,95,405930
2010-01-12,26.23768,26.23768,23.37539,26.23768,525000,45,269000
2010-01-13,24.80652,28.14586,24.80652,26.71472,620000,68,342140
2010-01-14,26.23768,26.71472,25.28358,25.76063,45000,8,24240
2010-01-15,23.85243,25.28358,23.85243,25.28358,28000,6,14470
2010-01-18,25.28358,25.28358,25.28358,25.28358,2000,1,1060
2010-01-19,25.28358,25.76063,25.28358,25.76063,3000,3,1600
2010-01-20,24.80652,24.80652,23.85243,24.32948,136000,17,69120
2010-01-21,23.37539,24.32948,22.89834,24.32948,109000,20,53650
2010-01-22,24.32948,26.23768,23.85243,23.85243,42000,18,21740
2010-01-26,24.80652,24.80652,23.85243,24.32948,27000,8,13670
2010-01-27,24.80652,24.80652,22.89834,23.37539,40000,13,19790
2010-01-28,24.80652,27.66882,24.80652,26.71472,988000,160,545720
2010-01-29,29.09997,29.57701,26.23768,26.23768,768000,154,452280
2010-02-01,25.76063,25.76063,24.80652,25.28358,78000,17,41580
2010-02-02,25.28358,25.76063,24.80652,24.80652,48000,16,25300
2010-02-03,25.28358,25.76063,24.80652,24.80652,180000,24,94240
2010-02-04,25.76063,26.71472,23.85243,23.85243,233000,46,121270
2010-02-05,22.89834,22.89834,21.94423,22.42129,86000,12,40840
2010-02-08,24.32948,24.80652,23.85243,24.80652,71000,16,36080
2010-02-09,25.28358,25.76063,24.32948,25.76063,75000,22,39790
2010-02-10,25.28358,27.19177,24.80652,27.19177,69000,19,37050
2010-02-11,25.76063,28.62292,25.28358,28.14586,726000,107,413330
2010-02-12,27.66882,28.62292,26.23768,26.71472,336000,65,191940
2010-02-17,27.19177,35.3016,26.71472,33.39341,2544000,426,1683550
2010-02-18,32.91636,32.91636,28.62292,30.05407,2004000,281,1308130
2010-02-19,31.00816,31.00816,28.62292,29.09997,412000,88,253920
2010-02-22,30.05407,30.05407,26.71472,27.19177,431000,86,254300
2010-02-23,27.66882,27.66882,26.71472,27.66882,146000,34,83490
2010-02-24,29.09997,30.05407,27.66882,29.09997,624000,81,379530
2010-02-25,29.57701,29.57701,26.71472,29.09997,191000,51,112630
2010-02-26,29.09997,31.48521,29.09997,30.05407,1145000,196,725960
2010-03-01,29.57701,30.05407,28.62292,29.57701,206000,51,126400
2010-03-02,29.09997,29.09997,28.14586,28.62292,131000,25,78910
2010-03-03,29.09997,29.09997,28.14586,28.14586,108000,26,64780
2010-03-04,28.62292,29.09997,27.66882,27.66882,190000,35,113240
2010-03-05,28.14586,31.00816,28.14586,28.62292,998000,122,622690
2010-03-08,28.62292,28.62292,28.14586,28.14586,170000,38,101130
2010-03-09,28.14586,34.3475,28.14586,31.00816,4744000,642,3180100
2010-03-10,32.46218,32.46218,29.55512,30.03962,897000,143,575870
2010-03-11,30.03962,30.03962,29.0706,29.0706,200000,35,120150
2010-03-12,30.03962,30.03962,29.0706,29.0706,189000,34,115700
2010-03-15,29.0706,30.03962,28.10159,28.10159,243000,42,146210
2010-03-16,29.0706,29.0706,28.58609,28.58609,174000,34,103680
2010-03-17,28.58609,30.03962,28.10159,28.58609,338000,55,203610
2010-03-18,29.0706,29.0706,28.10159,28.58609,100000,35,58510
2010-03-19,28.58609,28.58609,27.61707,28.58609,246000,37,142730
2010-03-22,27.61707,28.10159,27.13256,27.13256,244000,37,138950
2010-03-23,27.61707,28.58609,27.13256,28.58609,406000,38,236820
2010-03-24,29.0706,29.0706,27.61707,27.61707,165000,30,97170
2010-03-25,27.61707,28.58609,27.13256,27.13256,126000,31,72230
2010-03-26,28.10159,28.58609,27.13256,27.61707,104000,31,59680
2010-03-29,27.13256,27.61707,26.64806,26.64806,250000,31,139540
2010-03-30,27.13256,27.13256,25.67903,25.67903,115000,31,62090
2010-03-31,26.64806,26.64806,24.71001,25.67903,136000,34,71400
