Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-10,28.45,28.5,20.21,21.4,29329400,54578,688319648
2021-02-11,21.81,22.35,20.45,22.16,5116000,15088,111421167
2021-02-12,22.25,22.3,21.4,22.2,1484400,3513,32700800
2021-02-17,22.0,22.14,21.52,21.8,943200,2488,20610105
2021-02-18,21.6,21.9,20.85,21.65,1312800,4562,28094747
2021-02-19,21.64,22.97,21.21,22.4,1339100,2889,29993740
2021-02-22,21.85,23.15,21.21,22.9,1349700,4039,30009628
2021-02-23,23.2,25.18,23.03,24.8,3612800,6003,87626959
2021-02-24,25.06,27.56,25.06,26.61,3475200,8347,91657245
2021-02-25,27.3,28.5,25.1,25.19,3789400,9135,103899992
2021-02-26,25.8,27.2,24.76,25.81,2462600,9009,63810394
2021-03-01,27.0,27.1,26.0,26.0,1040700,4878,27445323
2021-03-02,25.75,26.25,24.89,25.28,1205100,5353,30626116
2021-03-03,25.5,26.47,24.51,26.15,1719200,3572,43582863
2021-03-04,26.4,27.04,25.09,25.21,1903500,4992,49629182
2021-03-05,25.33,25.64,23.6,23.85,1438700,3328,34991196
2021-03-08,23.86,23.86,21.95,21.95,1801400,5800,40337743
2021-03-09,22.06,22.78,21.52,22.0,2691400,8654,58639065
2021-03-10,22.22,22.59,21.31,21.51,4271100,4201,92776937
2021-03-11,21.77,22.22,21.46,22.01,1100300,3415,24171289
2021-03-12,22.05,22.1,21.53,22.06,2120900,4756,46289832
2021-03-15,22.06,22.46,21.86,21.93,430400,1266,9516077
2021-03-16,21.8,22.68,21.8,21.9,951900,1890,21191115
2021-03-17,21.83,22.09,21.41,21.9,686800,2481,14936370
2021-03-18,21.8,21.8,20.07,20.22,1160400,3358,24374416
2021-03-19,20.44,20.65,19.57,19.77,1137600,3125,22656471
2021-03-22,19.95,20.0,19.5,19.75,451300,2210,8894940
2021-03-23,19.58,20.42,19.54,19.75,925500,2529,18356056
2021-03-24,20.3,21.2,19.72,19.8,1136200,5018,23183453
2021-03-25,19.7,20.44,19.5,19.86,2237000,4203,44283900
2021-03-26,19.88,20.07,19.55,19.91,725300,1545,14342469
2021-03-29,19.82,20.17,19.5,19.52,813900,2557,16011431
2021-03-30,19.4,19.66,18.04,18.8,2399500,4222,45552334
2021-03-31,18.9,19.5,18.47,18.51,735900,2503,13939934
2021-04-01,18.7,19.31,18.57,18.75,272900,903,5132318
2021-04-05,18.9,19.06,18.1,18.11,641300,1903,11757516
2021-04-06,18.11,18.27,17.57,17.8,735400,2510,13100046
2021-04-07,17.8,17.91,17.46,17.53,750200,2603,13220065
2021-04-08,18.25,19.01,18.25,19.01,2047300,6341,38181079
2021-04-09,18.9,19.0,18.33,18.43,596500,2273,11045187
2021-04-12,18.39,18.64,17.96,18.24,580700,1921,10584867
2021-04-13,18.36,18.49,17.76,17.76,1048600,2254,18935773
2021-04-14,17.81,18.08,17.6,18.0,853500,1994,15186686
2021-04-15,18.11,19.85,17.86,19.65,1764300,4295,33216835
2021-04-16,19.66,21.5,19.37,20.96,2422900,6488,50393037
2021-04-19,21.24,22.32,20.56,21.01,1159000,3763,24963352
2021-04-20,20.95,21.4,20.33,20.68,450500,1968,9342339
2021-04-22,20.94,21.37,20.11,20.14,552800,1706,11486613
2021-04-23,20.29,20.38,19.2,19.2,834900,3554,16337276
2021-04-26,19.25,19.5,18.41,18.58,960900,3791,17993239
2021-04-27,18.53,18.93,18.21,18.55,700600,2286,12997745
2021-04-28,18.57,19.17,18.3,18.64,672200,1701,12538873
2021-04-29,18.69,20.01,18.46,19.49,1546600,4004,30103004
2021-04-30,19.5,20.23,19.34,19.81,1011000,1960,19993679
2021-05-03,19.84,20.65,19.72,20.31,655600,1832,13338270
2021-05-04,20.32,20.84,19.88,20.5,724700,1594,14675086
2021-05-05,20.59,21.5,20.5,20.85,434400,1584,9134073
2021-05-06,20.94,21.48,20.58,20.82,445900,1472,9339264
2021-05-07,20.98,21.12,20.69,21.01,527200,1211,11060567
2021-05-10,21.03,21.5,20.28,20.36,754500,3068,15588545
2021-05-11,20.51,21.57,20.17,20.86,1018900,2895,21402253
2021-05-12,20.67,20.93,19.14,19.23,1679000,2984,32873793
2021-05-13,19.53,19.6,18.24,18.84,1210300,3462,22829120
2021-05-14,19.19,20.2,19.1,19.35,7012500,2324,135415765
2021-05-17,19.35,20.1,19.35,19.48,2348200,2005,45901543
2021-05-18,19.68,20.41,19.55,20.07,2215800,3150,44525684
2021-05-19,19.85,20.74,19.65,20.39,2252100,1439,45545675
2021-05-20,20.39,21.95,20.39,21.78,1133900,3529,24348210
2021-05-21,21.78,22.8,21.63,22.58,1226900,4068,27430674
2021-05-24,22.81,23.54,22.34,23.26,984500,3773,22794268
2021-05-25,23.38,23.96,22.84,23.64,589500,2463,13860003
2021-05-26,23.69,23.85,22.9,23.0,565600,1654,13139824
2021-05-27,22.89,23.65,22.38,23.5,1842600,1564,42431863
2021-05-28,23.53,23.81,23.05,23.25,817700,1090,19021537
2021-05-31,23.3,23.84,22.75,23.28,376800,1021,8731902
2021-06-01,23.44,23.53,22.49,22.59,760500,2147,17316141
2021-06-02,22.64,22.96,21.76,22.2,953100,2326,21052987
2021-06-04,22.29,22.3,21.16,21.3,3506800,3585,74793632
2021-06-07,21.49,21.49,20.92,21.0,764000,2037,16144799
2021-06-08,21.11,21.3,20.4,20.6,484200,1807,10052093
2021-06-09,20.6,22.53,20.57,22.5,1658500,4540,36030318
2021-06-10,22.69,23.0,21.71,21.73,1116900,3613,24864077
2021-06-11,21.65,22.04,21.23,21.41,375500,1340,8083201
2021-06-14,21.65,22.34,21.04,21.28,1095500,2942,23646361
2021-06-15,21.32,21.56,20.82,21.0,476600,1496,10055557
2021-06-16,21.05,21.4,19.95,20.48,715000,2333,14711393
2021-06-17,20.4,20.55,20.09,20.38,707200,1430,14365765
2021-06-18,20.4,20.63,19.97,20.18,455300,1750,9202467
2021-06-21,20.41,21.05,20.11,21.05,781300,1794,16158713
2021-06-22,21.2,21.74,21.2,21.55,715000,2232,15330851
2021-06-23,21.55,22.59,21.55,22.32,780500,2540,17247635
2021-06-24,22.78,22.78,21.94,22.2,1614600,2800,35728618
2021-06-25,22.2,22.25,21.3,21.72,609300,2638,13296348
2021-06-28,21.71,22.62,21.71,22.5,759200,2083,16843242
2021-06-29,22.5,23.21,22.11,23.03,1111900,3299,25420073
2021-06-30,22.98,23.75,22.71,23.45,1149300,4177,26911449
2021-07-01,23.52,23.75,23.26,23.53,782700,3328,18412518
2021-07-02,23.53,24.9,23.34,24.7,1074100,3667,26107708
2021-07-05,24.65,25.35,24.44,25.15,710300,2875,17828595
2021-07-06,25.29,25.41,23.76,23.76,831900,3105,20186095
2021-07-07,23.87,23.99,22.68,22.94,1267200,3506,29321252
2021-07-08,22.4,22.92,22.26,22.7,504400,2032,11414092
2021-07-12,22.9,23.43,22.33,22.67,564700,2541,12889282
2021-07-13,22.57,23.21,22.33,23.07,580500,1864,13267953
2021-07-14,23.2,23.41,22.72,23.13,383800,1701,8865111
2021-07-15,23.3,23.35,22.5,22.5,394600,1116,8954710
2021-07-16,22.6,22.82,21.99,22.25,259400,1237,5790131
2021-07-19,21.97,21.97,20.97,21.72,546900,1903,11761354
2021-07-20,21.55,22.24,21.55,21.88,268800,1267,5899831
2021-07-21,21.88,22.0,20.55,21.28,679700,2831,14365144
2021-07-22,21.14,21.29,20.07,20.07,2065900,4885,42005139
2021-07-23,20.16,20.69,19.54,20.12,1266000,4785,25351691
2021-07-26,20.0,20.18,19.12,20.0,1728800,3776,33790320
2021-07-27,19.99,20.06,18.92,19.4,1296300,3906,25043729
2021-07-28,19.4,19.85,19.0,19.0,732100,2551,14062123
2021-07-29,19.0,19.33,18.66,19.18,544800,2172,10359228
2021-07-30,19.01,19.19,18.6,18.9,921000,3388,17354034
2021-08-02,19.2,19.68,18.84,19.5,857600,2586,16542192
2021-08-03,19.51,20.21,18.64,20.15,1056300,3799,20848005
2021-08-04,20.03,20.33,19.72,20.0,1976900,3085,39457499
2021-08-05,20.2,20.68,19.27,19.49,942000,4088,18817613
2021-08-06,19.44,20.49,19.43,20.48,462200,1749,9268957
2021-08-09,20.07,20.99,20.07,20.79,626000,2417,12983848
2021-08-10,20.8,21.4,20.67,21.15,702000,3212,14763731
2021-08-11,20.97,22.25,20.8,21.6,1272300,4225,27413221
2021-08-12,21.59,22.13,20.96,21.7,952800,3183,20554577
2021-08-13,22.84,22.99,21.0,22.18,2051800,8489,44655628
2021-08-16,22.4,23.15,21.4,21.7,1885700,6529,41778966
2021-08-17,22.0,22.09,19.56,19.93,2069300,10118,42533784
2021-08-18,19.93,20.02,19.13,19.47,1853100,6145,36147796
2021-08-19,18.7,20.29,18.69,20.16,1085000,4694,21335335
2021-08-20,19.99,21.3,19.82,21.04,1241400,3610,25733240
2021-08-23,21.25,23.14,21.09,23.07,1332700,5605,29717741
2021-08-24,23.61,23.81,22.32,22.78,1060800,4462,24332377
2021-08-25,22.64,23.94,22.64,23.73,751400,2839,17583621
2021-08-26,23.8,24.08,23.13,23.39,711800,2502,16812245
2021-08-27,23.33,24.38,23.33,24.0,595500,2399,14300907
2021-08-30,23.93,24.39,23.73,23.91,634800,3714,15227265
2021-08-31,23.85,24.33,22.57,22.95,1735400,3758,40992268
2021-09-01,22.95,23.45,22.51,22.99,470100,2474,10832698
2021-09-02,22.96,22.96,22.1,22.1,601600,2220,13508774
2021-09-03,22.68,23.23,21.72,23.1,1866600,4696,42532861
2021-09-06,22.69,23.02,22.26,22.47,419100,1552,9439044
2021-09-08,22.51,22.51,20.31,20.31,704500,3120,14791575
2021-09-09,20.03,20.35,19.0,19.5,1975800,6559,38585693
2021-09-10,20.03,20.5,19.2,19.2,1099000,4360,21637319
2021-09-13,19.69,20.24,19.5,20.18,630900,2762,12566582
2021-09-14,20.31,20.72,19.75,20.19,766700,3202,15482893
