Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,68.55685,69.45693,68.30682,69.37693,168300,106,11632598
2010-01-05,69.46694,70.03699,69.32693,69.90698,185100,619,12899031
2010-01-06,69.74696,70.32703,69.70696,70.30703,187400,145,13132478
2010-01-07,69.52694,70.137,69.52694,70.007,104900,220,7321889
2010-01-08,69.41694,70.007,69.31693,69.48695,177000,473,12362374
2010-01-11,70.24702,70.46704,69.62696,69.99699,180200,90,12606155
2010-01-12,69.64696,69.71696,68.70686,69.70696,233800,220,16139621
2010-01-13,69.66696,70.007,68.97689,70.007,89200,67,6191795
2010-01-14,70.007,70.007,69.1369,69.50694,176000,130,12214480
2010-01-15,68.80688,69.19691,68.17681,68.50684,286200,187,19620600
2010-01-18,68.77687,69.22691,68.53684,68.90688,366200,334,25243286
2010-01-19,68.50684,69.42693,68.12681,68.12681,194200,262,13422278
2010-01-20,68.52684,68.61685,66.92668,67.70676,269300,289,18199237
2010-01-21,68.00679,68.00679,65.37653,65.90659,995600,324,65870587
2010-01-22,65.60655,65.96659,64.91649,65.59655,653300,988,42823651
2010-01-26,65.0565,65.36653,64.12641,64.9865,456800,533,29514898
2010-01-27,64.99649,65.00649,63.90639,64.90649,443900,187,28618007
2010-01-28,65.0665,66.49664,63.98639,65.20651,243700,274,15739725
2010-01-29,65.50655,65.99659,64.70646,64.90649,128900,317,8414835
2010-02-01,65.40653,66.16661,64.79647,66.0566,172200,171,11316869
2010-02-02,66.95669,66.95669,65.99659,66.70666,221000,550,14686987
2010-02-03,66.50665,66.65666,66.20661,66.59665,269700,745,17919931
2010-02-04,66.10661,66.21661,63.12631,63.40634,285500,460,18217866
2010-02-05,62.31623,63.49635,60.76607,62.0062,679400,549,41796033
2010-02-08,63.50635,63.50635,62.1062,62.60625,250800,388,15713498
2010-02-09,63.70637,64.89648,63.63636,64.0964,363900,469,23370138
2010-02-10,64.30643,64.56644,63.75637,64.55645,157000,383,10085811
2010-02-11,64.49644,65.60655,63.69637,65.60655,373100,727,24195493
2010-02-12,65.32652,65.60655,64.40643,65.60655,364000,156,23641781
2010-02-17,66.93668,67.00669,66.30663,66.94669,236000,237,15725010
2010-02-18,66.63665,67.60675,65.88658,67.60675,402800,168,26908868
2010-02-19,66.79668,67.40674,66.65666,67.40674,113600,100,7621811
2010-02-22,67.40674,67.52674,66.46664,67.00669,541700,1608,36278551
2010-02-23,66.0366,66.45663,65.23652,66.00659,410500,523,26963671
2010-02-24,65.69656,65.95659,64.97649,65.60655,296000,382,19407122
2010-02-25,64.70646,66.00659,64.00639,66.00659,383100,488,24845719
2010-02-26,66.00659,66.50665,65.01649,66.50665,198700,131,13083617
2010-03-01,66.42664,67.20671,66.25661,67.20671,130800,374,8734490
2010-03-02,67.20671,67.61675,67.00669,67.14671,104500,226,7024759
2010-03-03,67.60675,68.0768,66.95669,67.40674,226800,483,15297353
2010-03-04,67.1067,67.45673,66.31662,67.30672,237700,327,15936249
2010-03-05,68.1068,68.50684,67.74677,68.50684,272200,252,18549309
2010-03-08,68.60685,68.60685,67.79678,67.84677,171700,473,11704935
2010-03-09,67.75677,69.56695,67.72677,69.20691,235400,434,16262277
2010-03-10,69.25692,69.81697,68.98689,69.70696,175000,279,12164980
2010-03-11,69.1369,69.50694,68.75687,69.50694,271700,254,18829106
2010-03-12,69.70696,69.86698,68.69686,68.90688,315000,730,21772301
2010-03-15,68.38683,68.79688,68.0168,68.50684,458700,787,31386599
2010-03-16,68.90688,70.057,68.60685,69.50694,311300,391,21453405
2010-03-17,69.84698,69.84698,68.62686,69.30692,349400,397,24165933
2010-03-18,69.24692,69.37693,68.39684,69.20691,298700,752,20557818
2010-03-19,69.0169,69.40694,68.0868,68.50684,238800,254,16329070
2010-03-22,68.00679,68.45683,67.30672,68.45683,239800,321,16359556
2010-03-23,68.79688,68.89688,68.40684,68.89688,236900,553,16270267
