Date,Open,High,Low,Close,Volume,Neg,Fin
2011-06-27,426.85898,429.85437,405.89044,409.38519,4320000,225,72685700
2011-06-28,399.40018,416.37469,384.42267,400.64828,1600000,71,25620700
2011-06-29,402.14609,426.35965,401.89642,426.35965,1050000,72,17579400
2011-06-30,434.34766,434.34766,423.11462,428.8559,1120000,69,19167200
2011-07-01,428.10706,428.10706,421.86646,424.36273,90000,9,1529900
2011-07-04,419.37009,426.85898,415.62579,426.85898,230000,23,3877200
2011-07-05,419.37009,421.86646,413.37921,419.37009,260000,16,4365800
2011-07-06,424.11307,424.11307,418.12204,421.36722,370000,7,6271800
2011-07-07,416.87393,419.12057,411.88144,411.88144,280000,20,4651800
2011-07-08,407.13852,418.12204,406.88889,418.12204,340000,15,5602600
2011-07-11,415.62579,419.61981,415.62579,415.62579,450000,8,7494100
2011-07-12,406.88889,414.37769,406.88889,413.87842,60000,5,987700
2011-07-13,414.37769,421.61682,414.37769,421.11755,110000,9,1844500
2011-07-14,420.61829,420.61829,403.14453,404.39267,390000,22,6394700
2011-07-15,405.89044,409.13553,401.89642,401.89642,120000,11,1947000
2011-07-18,399.64984,409.13553,396.90393,396.90393,120000,6,1918000
2011-07-19,399.40018,399.40018,399.40018,399.40018,220000,5,3520000
2011-07-20,399.40018,399.40018,398.15204,398.15204,40000,4,639500
2011-07-21,402.89493,402.89493,400.64828,400.64828,50000,2,803400
2011-07-22,396.15506,399.40018,391.91144,391.91144,210000,15,3327300
2011-07-25,389.41516,389.41516,375.68579,381.67682,170000,16,2607700
2011-07-26,381.92642,381.92642,365.70074,371.94141,850000,12,12736500
2011-07-27,374.18799,374.43765,361.95639,368.19705,810000,37,11848500
2011-07-28,366.94891,372.93991,361.95639,367.94742,190000,18,2788600
2011-07-29,368.19705,386.91891,368.19705,381.67682,920000,40,13932200
2011-08-01,381.67682,381.92642,381.67682,381.67682,270000,8,4130400
2011-08-02,374.43765,374.43765,369.44522,369.44522,30000,3,448000
2011-08-03,364.45267,364.45267,358.21204,358.21204,630000,18,9130200
2011-08-04,351.97141,351.97141,336.99387,343.23453,300000,18,4123500
2011-08-05,339.49017,339.49017,317.0239,317.0239,390000,26,5106600
2011-08-08,309.53513,309.53513,285.82077,285.82077,120000,9,1421000
2011-08-09,293.05988,312.0314,282.07639,312.0314,210000,18,2411300
2011-08-10,300.29901,300.29901,290.81326,299.55014,70000,7,828100
2011-08-11,299.55014,309.53513,287.06888,309.53513,420000,14,4980100
2011-08-12,312.0314,313.27951,311.53214,313.27951,50000,5,625200
2011-08-15,312.0314,324.51263,312.0314,324.51263,110000,11,1408300
2011-08-16,332.0014,332.0014,323.26453,327.00894,230000,11,3028100
2011-08-17,332.0014,358.21204,332.0014,358.21204,300000,11,4179000
2011-08-18,347.72778,358.21204,347.72778,358.21204,40000,4,566300
2011-08-19,359.46014,365.70074,354.46765,365.70074,420000,11,6057000
2011-08-22,365.70074,378.18204,365.70074,378.18204,110000,11,1631100
2011-08-23,366.94891,386.91891,366.94891,381.67682,70000,7,1060800
2011-08-24,385.67081,385.67081,384.42267,384.42267,190000,2,2926500
2011-08-26,374.43765,390.6633,374.43765,384.42267,40000,4,612500
2011-08-29,386.91891,419.37009,386.91891,403.14453,310000,13,4913200
2011-08-30,403.14453,403.14453,391.91144,391.91144,100000,6,1581500
2011-08-31,389.41516,389.41516,374.18799,374.18799,350000,7,5410700
2011-09-01,384.42267,386.91891,369.44522,369.44522,310000,9,4661700
2011-09-02,368.19705,377.9324,368.19705,371.94141,320000,5,4778800
2011-09-05,371.6918,371.6918,371.6918,371.6918,10000,1,148900
2011-09-08,371.94141,371.94141,369.44522,369.44522,80000,7,1187000
2011-09-09,374.43765,374.43765,369.44522,369.44522,30000,3,447100
2011-09-12,374.43765,379.43011,372.93991,372.93991,220000,22,3308000
2011-09-13,373.93839,374.43765,369.94443,369.94443,90000,9,1345000
2011-09-14,374.43765,385.42117,372.44064,373.18954,120000,12,1802200
2011-09-15,374.43765,374.43765,373.68878,373.68878,150000,7,2248200
2011-09-16,366.20004,380.67828,365.70074,380.67828,780000,34,11825500
2011-09-19,380.67828,391.91144,374.43765,383.67377,60000,6,918200
2011-09-20,381.42715,394.40768,381.42715,385.67081,170000,15,2646600
2011-09-21,389.41516,389.41516,389.41516,389.41516,110000,2,1716000
2011-09-22,379.43011,379.43011,368.19705,368.19705,60000,6,895500
2011-09-23,368.19705,368.19705,368.19705,368.19705,20000,2,295000
2011-09-26,368.19705,368.19705,368.19705,368.19705,10000,1,147500
2011-09-27,368.19705,368.19705,368.19705,368.19705,60000,4,885000
2011-09-28,369.44522,374.43765,369.44522,374.43765,60000,5,890000
2011-09-29,369.44522,374.18799,356.9639,356.9639,120000,10,1751900
2011-09-30,346.97888,349.47516,334.49765,349.47516,190000,11,2576000
2011-10-03,354.46765,354.46765,354.46765,354.46765,10000,1,142000
2011-10-04,354.46765,354.46765,336.99387,344.4827,300000,6,4145000
2011-10-05,344.4827,344.4827,344.4827,344.4827,120000,3,1656000
2011-10-06,354.46765,356.9639,339.49017,356.9639,70000,7,982900
2011-10-07,349.47516,349.47516,349.47516,349.47516,30000,2,420000
2011-10-10,349.47516,349.47516,349.47516,349.47516,10000,1,140000
2011-10-13,356.9639,356.9639,356.9639,356.9639,20000,2,286000
2011-10-14,354.46765,354.46765,354.46765,354.46765,10000,1,142000
2011-10-17,356.9639,356.9639,356.71426,356.71426,20000,2,285900
2011-10-18,350.7233,350.7233,349.47516,349.47516,110000,4,1540500
2011-10-19,349.47516,349.47516,339.49017,339.49017,50000,5,691000
2011-10-20,343.23453,343.23453,335.74576,335.74576,30000,3,409500
