Date,Open,High,Low,Close,Volume,Neg,Fin
2021-06-21,18.45,18.97,16.55,16.55,2639000,7121,45957752
2021-06-22,17.0,17.6,16.72,17.35,1648800,4629,28298018
2021-06-23,18.0,19.34,17.82,18.78,1009000,3597,18923493
2021-06-24,19.99,21.58,19.63,20.05,1627700,6447,33284415
2021-06-25,21.01,22.54,20.45,21.12,1016800,3380,21640815
2021-06-28,22.89,23.75,22.11,22.7,1266300,3657,28998548
2021-06-29,23.0,23.17,21.2,21.49,1366600,5136,30318116
2021-06-30,21.95,22.8,21.7,21.7,1223900,4984,26969409
2021-07-01,22.0,22.53,21.1,21.49,1052600,4117,22945474
2021-07-02,21.57,21.94,21.11,21.13,694600,2538,14843030
2021-07-05,21.55,21.93,21.3,21.39,912200,4061,19639893
2021-07-06,21.49,21.73,21.2,21.37,575800,2573,12303925
2021-07-07,21.78,21.89,21.21,21.48,789200,3009,16983998
2021-07-08,21.2,21.75,20.6,20.66,568100,1919,11998326
2021-07-12,20.85,21.34,20.57,20.7,521700,2161,10955698
2021-07-13,20.87,21.18,20.6,20.7,271600,1333,5662073
2021-07-14,20.74,20.96,20.25,20.5,313500,1036,6436127
2021-07-15,20.7,21.24,20.47,20.9,281900,905,5899530
2021-07-16,21.0,21.4,20.63,20.8,235700,860,4930192
2021-07-19,20.53,21.06,20.4,20.49,373200,1215,7723400
2021-07-20,20.49,21.7,20.4,21.56,543200,1222,11381155
2021-07-21,21.61,22.2,21.1,21.65,395900,1313,8530515
2021-07-22,21.6,23.27,21.31,23.05,754400,2889,17167358
2021-07-23,23.22,24.85,22.72,24.3,756400,2699,18149772
2021-07-26,24.3,25.82,24.18,24.7,644500,2318,16214174
2021-07-27,24.63,25.8,23.57,24.17,680100,2286,16677069
2021-07-28,25.0,25.16,23.1,23.1,653900,2153,15679069
2021-07-29,23.55,24.02,22.58,23.0,667800,2742,15562381
2021-07-30,22.89,25.16,22.6,23.95,1547400,7141,37280050
2021-08-02,24.27,25.53,23.68,24.03,1291000,5002,31783855
2021-08-03,24.27,24.63,23.11,23.98,628800,2417,15026883
2021-08-04,23.85,26.22,23.78,26.13,800000,3113,20032725
2021-08-05,26.49,28.97,26.2,26.99,1154800,4607,31802591
2021-08-06,27.6,28.4,26.68,27.28,576000,2150,15779567
2021-08-09,27.08,28.89,26.94,28.34,592400,2222,16700732
2021-08-10,28.4,29.51,26.7,26.7,1234000,5116,34217705
2021-08-11,26.8,27.21,25.3,25.82,785300,3629,20512507
2021-08-12,25.67,27.63,24.9,26.8,728400,2966,19144417
2021-08-13,26.68,27.26,25.98,27.0,425100,1643,11337903
2021-08-16,26.84,26.9,24.2,25.0,831000,3236,20831044
2021-08-17,24.41,25.84,22.5,25.3,1283400,4740,30374185
2021-08-18,25.12,25.8,24.17,24.84,569300,2689,14256342
2021-08-19,24.0,25.25,23.55,24.25,608500,2300,14833660
2021-08-20,24.15,25.47,23.91,24.33,497400,2317,12231340
2021-08-23,24.41,25.1,23.75,23.75,499700,1822,12262679
2021-08-24,24.2,24.58,23.76,24.13,460500,1331,11074102
2021-08-25,23.8,24.48,23.8,24.3,273000,1022,6611243
2021-08-26,24.1,24.46,22.8,22.8,722300,2839,16909073
2021-08-27,23.34,23.6,22.62,23.34,590400,2122,13700379
2021-08-30,23.02,25.09,23.02,24.36,1746200,6727,42167900
2021-08-31,24.8,25.88,23.5,23.91,1323000,6201,32402434
2021-09-01,24.08,24.68,23.5,23.5,598200,2504,14337996
2021-09-02,23.46,23.68,22.2,22.34,1036600,3365,23556231
2021-09-03,22.65,22.9,21.62,22.7,666600,2285,14727130
2021-09-06,23.0,23.9,22.61,23.64,559200,2006,13109500
2021-09-08,23.47,23.9,21.55,21.55,851000,3120,18957661
2021-09-09,21.55,22.85,20.89,22.19,939400,3418,20263715
2021-09-10,22.8,23.84,21.81,21.82,1079700,4573,24473179
2021-09-13,22.25,22.6,21.86,22.35,590100,2319,13132009
2021-09-14,22.45,23.0,22.04,22.26,338500,1512,7630414
2021-09-15,22.27,22.44,21.55,22.1,912700,1380,20202589
2021-09-16,21.7,22.1,21.01,21.1,655400,2500,14113242
2021-09-17,21.01,21.2,19.52,20.6,1310700,4848,26415384
2021-09-20,19.5,19.9,19.12,19.55,983500,3487,19207511
2021-09-21,19.9,20.4,19.81,20.4,495300,2007,9971646
2021-09-22,20.69,21.29,20.69,20.75,501100,1178,10499078
2021-09-23,20.79,21.74,20.7,21.31,351300,1122,7524136
2021-09-24,21.15,22.0,20.73,21.94,553900,1950,11858800
2021-09-27,21.94,22.47,21.79,22.2,298200,1377,6617477
2021-09-28,21.81,22.2,20.31,20.31,963800,4114,20382725
2021-09-29,20.7,20.9,20.45,20.65,874200,1627,18071372
2021-09-30,20.55,20.89,19.6,19.65,820300,3606,16379695
2021-10-01,19.7,20.22,18.9,19.99,608600,2417,11919264
2021-10-04,19.75,20.09,18.9,18.9,288700,1671,5561275
2021-10-05,18.95,19.41,18.7,18.9,192300,856,3658005
2021-10-06,18.69,19.6,17.9,19.2,501900,2348,9407489
2021-10-07,19.34,19.76,19.3,19.4,336700,1249,6615089
2021-10-08,19.58,20.79,19.39,20.25,810700,5124,16217909
2021-10-11,20.24,20.91,19.01,19.6,134100,676,2708563
2021-10-13,19.94,19.95,19.27,19.8,104400,481,2068625
2021-10-14,19.56,20.16,19.34,20.16,93900,485,1847597
2021-10-15,19.8,20.5,19.46,19.46,142200,651,2840520
2021-10-18,19.19,20.98,19.19,20.75,205100,641,4117208
2021-10-19,20.99,20.99,19.88,20.13,228700,923,4638193
2021-10-20,20.07,20.38,19.55,19.6,204300,779,4045975
2021-10-21,19.0,19.49,18.75,19.1,321200,764,6130441
2021-10-22,18.65,19.5,17.68,19.2,337800,1045,6287956
2021-10-25,19.51,20.47,18.6,19.85,192200,963,3715887
2021-10-26,19.42,19.58,18.89,18.89,755300,312,14463991
2021-10-27,18.7,19.49,17.85,17.85,627500,470,11892427
2021-10-28,17.85,18.2,17.02,17.05,121700,610,2142640
