Date,Open,High,Low,Close,Volume,Neg,Fin
2017-12-15,11.50451,12.03456,11.38506,11.94498,49278500,32925,766169446
2017-12-18,12.05696,12.15401,11.72847,11.98231,7464200,10646,120099813
2017-12-19,11.98231,12.13162,11.72101,11.90765,4742200,6867,75959977
2017-12-20,11.91512,12.31079,11.91512,12.20627,4956300,14536,80309199
2017-12-21,12.18388,12.86325,12.18388,12.39292,15236900,12507,256009409
2017-12-22,12.35559,12.69154,12.28093,12.46757,2934200,7466,49422731
2017-12-26,12.4825,12.61688,12.12415,12.4825,1084300,3453,18009187
2017-12-27,12.46757,12.5049,12.41531,12.5049,553900,2792,9246473
2017-12-28,12.5049,12.7662,12.44517,12.7662,1838200,2201,31245065
2018-01-02,12.69154,13.02003,12.5049,12.86325,3689600,6283,63660801
2018-01-03,12.78859,13.02749,12.72887,12.91551,7242200,10926,125293802
2018-01-04,12.87818,13.01256,12.7662,12.84085,1458600,6376,25121882
2018-01-05,12.82592,13.06482,12.75126,13.06482,3257800,5176,56186358
2018-01-08,13.00509,13.03496,12.78859,12.99016,3398500,3615,59054777
2018-01-09,12.99016,12.99016,12.81099,12.99016,3093400,5685,53424543
2018-01-10,12.96777,13.02749,12.73633,12.87818,5538800,7328,95720190
2018-01-11,12.91551,12.97523,12.75873,12.80352,1076200,2339,18486040
2018-01-12,12.69154,12.87071,12.37052,12.7438,2609200,5196,44527439
2018-01-15,12.90058,13.11708,12.77366,13.11708,608900,2549,10580933
2018-01-16,13.16187,13.32612,13.02003,13.12454,4828100,6662,85047365
2018-01-17,13.12454,13.25146,12.92297,13.25146,3530100,3716,62018318
2018-01-18,13.25146,13.36344,13.12454,13.36344,1925400,5364,34253720
2018-01-19,13.28879,13.36344,13.16934,13.36344,1528500,2330,27081042
2018-01-22,13.28879,13.36344,13.13948,13.16187,981600,1394,17346437
2018-01-23,13.4381,13.57995,13.33358,13.4605,4985800,5931,89606937
2018-01-24,13.55009,14.70725,13.51276,14.25932,3397300,6105,63766925
2018-01-26,14.40863,14.78191,14.28171,14.66992,6020100,10272,117541444
2018-01-29,14.6326,15.08053,14.52061,15.00588,8861300,8800,177651839
2018-01-30,15.05067,15.22985,14.90136,15.00588,3436400,5100,69115862
2018-01-31,15.1328,15.7599,15.11786,15.67778,7566200,13211,156820327
2018-02-01,15.90175,16.42434,15.90175,16.16305,2905600,6374,62925153
2018-02-02,16.04446,16.21311,15.93714,16.09812,1789300,3599,37605065
2018-02-05,16.05979,16.05979,15.48485,15.48485,2430100,4965,49670732
2018-02-06,15.1399,15.6305,14.86393,15.57684,1824000,3152,36553969
2018-02-07,15.59218,15.92947,15.23189,15.53085,2391300,4644,48551710
2018-02-08,15.59984,15.96013,15.50785,15.96013,4325800,4861,88372994
2018-02-09,15.9448,15.9448,15.44653,15.51552,4344300,6694,88427254
2018-02-14,15.88347,16.40475,15.53085,16.22844,2739300,8832,57035243
2018-02-15,16.26676,16.76504,16.26676,16.5964,4821400,3884,104169069
2018-02-16,16.51207,16.84936,16.51207,16.74204,2047900,3749,44703132
2018-02-19,16.82637,16.8647,16.58106,16.78804,622300,971,13568057
2018-02-20,16.71138,16.84936,16.41242,16.8417,3916300,5256,85697500
2018-02-21,16.73438,16.8647,16.68072,16.78804,2284200,2986,50036206
2018-02-22,16.78804,16.94902,16.71138,16.87236,3044700,6994,66828018
2018-02-23,16.95668,17.09467,16.56573,16.76504,1368600,4330,30088111
2018-02-26,16.8647,17.24032,16.72671,16.91836,1839300,5212,40970598
2018-02-27,16.8647,17.32464,16.73438,17.27098,1883500,3630,41975080
2018-02-28,17.32464,17.50862,16.93369,16.93369,1606400,4578,35882971
2018-03-01,17.01801,17.32464,16.74971,17.32464,2299000,2497,51004965
2018-03-02,17.01801,17.133,16.74971,17.05634,968700,2281,21438646
2018-03-05,17.05634,17.28631,17.01801,17.24798,854500,3773,19152431
2018-03-06,17.26332,17.3783,17.01035,17.23265,1270000,3738,28553670
2018-03-07,17.24798,17.4013,16.63473,17.09467,2576100,3298,57478087
2018-03-08,17.09467,17.27865,16.66539,16.66539,4401900,4317,97678452
2018-03-09,16.66539,16.89536,16.42775,16.82637,4633500,6098,100291599
2018-03-12,17.09467,17.20965,16.91836,17.01801,3619600,6243,80363343
