Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-29,12.87,14.11,12.56,13.93,12894300,18136,172527862
2021-07-30,13.89,14.34,13.68,13.98,1007000,3837,14023946
2021-08-02,13.98,14.34,13.22,13.61,2443500,5377,33620848
2021-08-03,13.6,13.6,13.05,13.4,677600,2221,8945044
2021-08-04,13.42,13.74,12.9,13.06,990200,1709,12942749
2021-08-05,13.27,13.37,12.9,12.91,555200,1513,7176942
2021-08-06,12.89,13.49,12.89,13.49,189700,361,2522068
2021-08-09,13.49,13.88,13.2,13.6,230900,575,3108850
2021-08-10,13.6,13.88,13.38,13.38,233700,751,3152201
2021-08-11,13.28,13.62,13.03,13.32,661300,1250,8805444
2021-08-12,13.16,13.68,13.1,13.38,386300,872,5189647
2021-08-13,13.59,13.59,12.95,13.25,1018200,1908,13351299
2021-08-16,13.11,13.23,12.85,12.85,781600,1066,10143258
2021-08-17,12.8,12.98,11.93,12.57,1091400,2285,13431341
2021-08-18,12.7,13.33,12.43,12.75,1210600,1283,15250778
2021-08-19,12.75,12.75,12.13,12.47,691200,1077,8573350
2021-08-20,12.69,12.7,12.4,12.7,663600,303,8315832
2021-08-23,12.71,12.88,12.6,12.6,332100,445,4240790
2021-08-24,12.39,12.93,12.39,12.93,267400,390,3395588
2021-08-25,13.05,13.08,12.73,12.96,482900,675,6217096
2021-08-26,12.87,13.12,12.78,12.88,177900,268,2291269
2021-08-27,12.96,13.12,12.84,12.84,657200,950,8537077
2021-08-30,12.7,13.03,12.67,12.67,59700,188,763028
2021-08-31,12.75,12.84,12.54,12.84,124500,291,1586121
2021-09-01,12.84,12.86,12.33,12.33,106500,375,1337376
2021-09-02,12.33,12.33,11.93,11.93,124300,488,1498782
2021-09-03,11.93,12.19,11.28,11.9,5798700,479,65730648
2021-09-06,11.88,12.68,11.88,12.15,119400,402,1458323
2021-09-08,12.1,12.1,11.46,11.85,472200,958,5543761
2021-09-09,11.72,11.91,11.44,11.44,351300,791,4073861
2021-09-10,11.75,12.1,11.05,11.05,367900,932,4109955
2021-09-13,11.21,11.59,11.02,11.02,95700,442,1072773
2021-09-14,11.11,11.59,10.95,11.0,144500,517,1604230
2021-09-15,11.0,11.3,10.74,10.93,110500,328,1206169
2021-09-16,10.96,10.99,10.49,10.55,210100,554,2231255
2021-09-17,10.49,10.49,10.14,10.37,555600,1547,5716994
2021-09-20,10.1,10.5,9.72,9.72,669200,1125,6618447
2021-09-21,10.3,10.3,9.9,10.04,61400,302,617656
2021-09-22,10.19,10.61,10.12,10.59,221300,573,2300725
2021-09-23,10.48,10.9,10.48,10.9,80300,228,870146
2021-09-24,10.82,11.6,10.55,11.3,217400,540,2432695
2021-09-27,12.07,12.09,11.2,11.2,199200,548,2316879
2021-09-28,11.15,11.39,10.7,10.71,149700,280,1634452
2021-09-29,10.73,11.46,10.73,10.76,148700,391,1626243
2021-09-30,10.89,11.06,10.83,10.84,256800,1445,2809794
2021-10-01,10.9,11.34,10.55,11.34,262800,692,2869611
2021-10-04,11.02,11.4,10.57,10.65,196700,362,2107735
2021-10-05,10.85,11.0,10.38,10.65,253100,661,2691091
2021-10-06,10.63,10.66,9.65,10.6,728200,1587,7349214
2021-10-07,10.5,10.74,9.68,9.79,2628100,1094,25850200
2021-10-08,9.89,10.05,9.6,9.81,530900,1601,5245640
2021-10-11,9.81,9.95,9.58,9.58,113500,453,1107912
2021-10-13,9.76,9.76,9.16,9.67,434500,2117,4090142
2021-10-14,9.56,9.76,9.08,9.15,287400,822,2650041
2021-10-15,9.1,9.23,8.81,9.0,4648300,864,41382238
2021-10-18,8.9,9.06,8.8,8.99,281600,432,2517310
2021-10-19,8.8,9.04,8.42,8.62,206400,574,1793467
2021-10-20,8.77,9.6,8.74,9.15,585300,3133,5337072
2021-10-21,8.89,8.99,8.26,8.69,275100,889,2342914
2021-10-22,8.59,8.69,7.6,8.38,686100,2365,5528018
2021-10-25,8.45,8.89,8.36,8.69,319700,1521,2801585
2021-10-26,8.72,8.85,8.62,8.62,203700,1073,1781830
2021-10-27,8.62,8.79,8.43,8.54,154700,473,1323692
2021-10-28,8.53,8.59,8.19,8.19,86200,323,713316
2021-10-29,8.19,8.21,7.67,7.76,383400,1264,3010659
2021-11-01,7.82,8.0,7.35,7.5,366600,1561,2793582
2021-11-03,7.5,7.94,7.26,7.6,539800,1903,4093040
