Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.0555,6.16433,6.01922,6.02759,862000,1473,18783957
2010-01-05,6.06108,6.15596,6.03876,6.13922,935200,860,20515497
2010-01-06,6.15317,6.43781,6.15317,6.41827,908800,1276,20731584
2010-01-07,6.40432,6.45734,6.27874,6.33456,462900,1719,10556409
2010-01-08,6.41827,6.46013,6.23688,6.27874,329200,1287,7461593
2010-01-11,6.39037,6.41269,6.1141,6.16991,682100,1032,15344574
2010-01-12,6.18387,6.18387,6.04155,6.10573,244100,497,5341114
2010-01-13,6.11968,6.21735,6.04155,6.09736,1239600,1666,27265269
2010-01-14,6.13643,6.13643,5.79319,5.79319,1935700,1434,40928305
2010-01-15,5.86016,5.91597,5.80435,5.86853,1788000,1558,37527101
2010-01-18,5.87132,5.89923,5.83784,5.86016,684900,503,14406250
2010-01-19,6.01364,6.12247,5.86853,5.89086,2286700,3375,49198215
2010-01-20,5.97178,6.19503,5.88807,6.16712,21406600,3310,468588974
2010-01-21,6.18666,6.27037,5.8769,5.97178,2137500,3140,46470797
2010-01-22,5.90202,6.15596,5.87411,6.08341,751600,1397,16134538
2010-01-26,6.03318,6.13922,5.9662,5.98574,958700,1485,20799404
2010-01-27,5.91039,6.06666,5.84342,5.84342,1820600,2684,38545750
2010-01-28,5.85737,5.92993,5.7011,5.74854,1600000,1693,33184164
2010-01-29,5.74854,5.90202,5.6425,5.72063,1382700,1250,28309115
2010-02-01,5.7011,5.77644,5.6425,5.68436,1478500,1431,30157238
2010-02-02,5.74575,5.93551,5.66482,5.83784,1008800,854,20907041
2010-02-03,5.86295,6.08341,5.83784,6.0555,1285400,1477,27706099
2010-02-04,5.95783,5.95783,5.66761,5.84621,1481200,1764,30919314
2010-02-05,5.72622,5.84342,5.52529,5.78481,517800,1140,10563591
2010-02-08,5.83784,5.96899,5.77644,5.94388,275800,840,5789012
2010-02-09,5.99132,6.13922,5.91876,6.13922,1119100,1203,24456644
2010-02-10,6.18107,6.20898,6.03318,6.20061,395000,905,8713306
2010-02-11,6.13643,6.31502,6.13643,6.31502,151500,438,3378695
2010-02-12,6.2034,6.22293,6.13922,6.22293,624300,325,13835099
2010-02-17,6.27874,6.34851,6.27874,6.34851,763200,1188,17273209
2010-02-18,6.29828,6.34572,6.27874,6.34014,671700,1165,15230929
2010-02-19,6.26758,6.37641,6.22851,6.34572,885000,1400,19997303
2010-02-22,6.32898,6.32898,6.24247,6.31781,728200,1101,16413528
2010-02-23,6.30944,6.30944,6.09736,6.26479,335500,598,7419218
2010-02-24,6.262,6.26479,6.12247,6.19503,307100,1089,6795762
2010-02-25,6.10852,6.33735,6.03876,6.33176,592800,1385,13093195
2010-02-26,6.28712,6.60803,6.1141,6.5578,1135400,1513,26100963
2010-03-01,6.49641,6.50757,6.42106,6.47408,423900,695,9808375
2010-03-02,6.44618,6.59966,6.42385,6.47408,607500,1833,14229593
2010-03-03,6.45734,6.55222,6.34851,6.37641,604700,1335,13968722
2010-03-04,6.38199,6.46571,6.14759,6.22293,1064000,2269,24110777
2010-03-05,6.29828,6.30944,6.07782,6.09736,1582500,2999,34987072
2010-03-08,6.15317,6.27316,6.12247,6.16712,1122300,1692,24887947
2010-03-09,6.16712,6.34572,6.16712,6.34572,1160000,1473,26095417
2010-03-10,6.36525,6.51594,6.27037,6.3792,845300,2713,19367160
2010-03-11,6.41827,6.52989,6.40432,6.46013,784500,618,18184800
2010-03-12,6.51594,6.55501,6.39316,6.48804,447000,590,10377998
2010-03-15,6.48804,6.52431,6.42664,6.46013,319500,803,7405982
2010-03-16,6.42943,6.46013,6.15596,6.22014,2019000,2434,45706648
2010-03-17,6.262,6.3206,6.07503,6.09178,584200,1738,12872669
2010-03-18,6.11131,6.20619,6.01643,6.15317,809600,1537,17776207
2010-03-19,6.20061,6.25363,6.03038,6.10294,468300,1555,10229113
2010-03-22,6.03876,6.2927,5.89923,6.16991,833800,1522,18301042
2010-03-23,6.20061,6.25642,6.12526,6.20619,630800,1048,13993108
2010-03-24,6.25084,6.25084,6.00248,6.04434,619000,786,13575958
2010-03-25,6.0862,6.10852,5.91597,5.97178,612200,1001,13151992
2010-03-26,5.97178,5.97178,5.75133,5.92993,1007700,1905,21156186
2010-03-29,5.89086,6.04992,5.89086,5.99969,1141900,2343,24404517
2010-03-30,6.0248,6.08341,5.86853,5.91597,681000,1190,14405137
2010-03-31,5.84063,5.9969,5.78203,5.86016,1159700,2447,24329868
2010-04-01,5.88807,6.01364,5.88807,5.97178,435600,1074,9290835
2010-04-05,5.97178,6.07782,5.97178,5.99969,308200,617,6643160
2010-04-06,5.99969,6.0555,5.86016,5.98574,452900,843,9673671
2010-04-07,5.97178,5.97178,5.87132,5.94388,371700,1390,7893408
2010-04-08,5.94109,5.95225,5.84342,5.91597,607600,905,12858866
2010-04-09,5.93272,5.97178,5.78203,5.78203,994800,1594,20733301
2010-04-12,5.80156,5.82667,5.74296,5.77644,697200,795,14428417
2010-04-13,5.78203,5.95783,5.77644,5.95783,944400,1075,19726803
2010-04-14,5.96062,6.13922,5.96062,6.13922,413400,901,8998936
2010-04-15,6.13922,6.19503,6.0555,6.10852,657800,1026,14509720
2010-04-16,6.11131,6.13922,6.01085,6.08341,263700,798,5755525
2010-04-19,6.09178,6.13922,6.02201,6.09736,446900,651,9700306
2010-04-20,6.06387,6.13643,5.94109,6.0555,342800,1335,7412764
2010-04-22,5.94667,6.19503,5.94667,6.19503,477600,1082,10380295
2010-04-23,6.19503,6.22293,6.08061,6.18107,414400,1115,9155202
2010-04-26,6.18107,6.19224,6.05829,6.11131,457100,813,10049109
2010-04-27,6.13643,6.13643,5.89923,5.97178,359100,710,7678695
2010-04-28,5.95504,6.04992,5.83505,5.99969,834900,867,17707071
2010-04-29,5.9662,6.13643,5.91318,6.0555,432600,537,9298975
2010-04-30,6.08341,6.18387,5.98853,6.17828,892300,968,19544741
2010-05-03,6.23688,6.23688,6.11131,6.23409,434200,1283,9662296
2010-05-04,6.2542,6.25702,5.9862,6.0793,616000,1063,13308769
2010-05-05,5.98338,6.2006,5.87054,6.17239,672100,1409,14545926
2010-05-06,6.14982,6.16393,5.92696,6.12161,863800,1302,18627822
2010-05-07,6.00877,6.16111,5.83387,6.00877,639700,1205,13470767
2010-05-10,6.16111,6.29087,6.0398,6.23163,587600,1536,12811582
2010-05-11,6.15547,6.31626,6.13572,6.26266,652600,874,14494330
2010-05-12,6.29087,6.44603,6.16393,6.44603,1236000,1222,27813815
2010-05-13,6.32191,6.60401,6.23727,6.29087,711100,2033,16029916
2010-05-14,6.25138,6.27677,6.04545,6.19778,487700,1731,10617635
2010-05-17,6.18932,6.34447,5.95517,6.27959,1013900,2201,22108719
2010-05-18,6.34447,6.38115,5.94107,6.147,701900,1348,15335244
2010-05-19,6.01723,6.09622,5.85926,6.09622,1426600,2576,30073714
2010-05-20,5.89311,6.11879,5.80848,6.00595,605800,1626,12827200
2010-05-21,5.92414,6.19778,5.92414,6.1865,1104100,1314,23789230
2010-05-24,6.10751,6.31626,6.02852,6.20624,470900,1683,10406075
2010-05-25,5.96646,6.147,5.96364,6.12161,873000,1678,18752411
2010-05-26,6.21189,6.33037,6.07366,6.32473,2340000,2658,52152684
2010-05-27,6.3473,6.54195,6.31344,6.39243,790800,1723,18027299
2010-05-28,6.41782,6.51091,6.34165,6.50245,400100,1214,9156245
2010-05-31,6.48835,6.54477,6.42064,6.54477,268800,423,6208389
2010-06-01,6.40089,6.54195,6.29087,6.29087,804400,2801,18311876
2010-06-02,6.23445,6.5363,6.09905,6.40089,718700,1437,16472361
2010-06-04,6.3755,6.41782,6.27677,6.31908,424600,1243,9544244
2010-06-07,6.3614,6.36986,6.22317,6.24856,993500,592,22116469
2010-06-08,6.31344,6.34447,6.2006,6.29087,230600,345,5122229
2010-06-09,6.36704,6.39807,6.1865,6.20624,271500,790,6026811
2010-06-10,6.23445,6.27113,6.1865,6.24856,777100,1486,17149760
2010-06-11,6.20624,6.25984,6.10187,6.13572,191100,828,4181846
2010-06-14,6.23163,6.24856,5.99185,6.02288,584100,1893,12550397
2010-06-15,6.04827,6.34447,6.03698,6.21471,621800,2360,13710937
2010-06-16,6.21471,6.31626,6.20624,6.26266,193700,600,4306825
2010-06-17,6.3078,6.45731,6.25138,6.415,747800,2395,16797249
2010-06-18,6.35011,6.62093,6.35011,6.57298,1084900,3472,25181939
2010-06-21,6.54477,6.77045,6.48835,6.77045,867200,1436,20446343
2010-06-22,6.77045,6.92842,6.66043,6.88329,779500,1582,18925451
2010-06-23,6.88329,7.24438,6.82687,7.22181,1184400,2894,29481810
2010-06-24,7.14846,7.21617,7.02716,7.08076,534900,1795,13488507
2010-06-25,7.05255,7.23309,7.05255,7.15693,128500,354,3275523
2010-06-28,7.12308,7.13718,6.98767,7.07794,212500,875,5315417
2010-06-29,7.04973,7.04973,6.78737,6.82687,972700,2762,23769034
2010-06-30,6.88047,6.88047,6.6294,6.6294,997700,1421,23876598
2010-07-01,6.60401,6.67735,6.39243,6.53066,688200,2275,15815711
2010-07-02,6.54477,6.78737,6.50527,6.6971,555900,1068,13157766
2010-07-05,6.73942,6.78173,6.73942,6.74224,376700,261,9034950
2010-07-06,6.75634,6.79019,6.57862,6.61529,489600,1119,11626758
2010-07-07,6.60119,6.62093,6.46296,6.47988,503700,1731,11639399
2010-07-08,6.53912,6.65479,6.40654,6.55887,858800,1623,19871353
2010-07-12,6.51656,7.08076,6.51656,6.6294,987900,2204,23521578
2010-07-13,6.79866,6.872,6.72531,6.73659,1386200,1525,33283087
2010-07-14,6.66043,6.66325,6.38115,6.41782,2054700,2711,47553147
2010-07-15,6.35858,6.80712,6.24574,6.79866,22115200,2781,528855567
2010-07-16,6.74224,6.82687,6.60401,6.74224,891700,1931,21295417
2010-07-19,6.74224,6.96228,6.67171,6.96228,823500,1518,19998638
2010-07-20,6.89739,6.99613,6.80994,6.95099,1582200,1098,38819290
2010-07-21,6.95099,6.99613,6.87765,6.9115,484400,1156,11921822
2010-07-22,6.99613,7.1936,6.82123,7.1936,721300,1434,17962980
2010-07-23,7.19642,7.32055,7.09204,7.28669,637100,1916,16255878
2010-07-26,7.32619,7.4757,7.23309,7.36004,816700,1741,21365811
2010-07-27,7.33747,7.43339,7.28669,7.3149,800100,1430,20807254
2010-07-28,7.25002,7.34594,7.18232,7.33465,309400,807,7998441
2010-07-29,7.33465,7.39107,7.26413,7.26695,298400,796,7744822
2010-07-30,7.16821,7.4757,7.16821,7.38825,528100,816,13830018
2010-08-02,7.34876,7.75498,7.34876,7.56879,872400,2327,23324125
2010-08-03,7.72677,7.72677,7.07512,7.07512,1800500,3203,46616383
2010-08-04,7.22181,7.39107,7.21899,7.30644,5300400,2563,136169513
2010-08-05,7.24156,7.37979,7.08076,7.26977,358400,1054,9191962
2010-08-06,7.33183,7.36286,7.11743,7.16257,843400,981,21661460
2010-08-09,7.16257,7.27823,7.05255,7.22181,395400,1600,10142879
2010-08-10,7.20489,7.27259,7.06665,7.25002,598000,1002,15297401
2010-08-11,7.21899,7.30644,7.13718,7.22745,445400,985,11410334
2010-08-12,7.27823,7.46442,7.15129,7.29234,511100,1218,13218979
2010-08-13,7.39107,7.44749,7.23309,7.36286,414900,1423,10863968
2010-08-16,7.53212,7.53212,7.36286,7.40518,283700,663,7487523
2010-08-17,7.4757,7.52366,7.36286,7.44467,228300,588,6012716
2010-08-18,7.44467,7.72959,7.40518,7.72959,791400,1834,21302419
2010-08-19,7.75498,7.75498,7.56597,7.70703,570300,732,15504629
2010-08-20,7.61675,7.64496,7.53212,7.53212,1076300,1101,28993342
2010-08-23,7.46442,7.61393,7.34876,7.48981,561600,1314,14938113
2010-08-24,7.29798,7.74088,7.29798,7.74088,662500,1611,17923846
2010-08-25,7.68728,7.8509,7.61675,7.84243,641200,1099,17556796
2010-08-26,7.83397,7.91296,7.66753,7.68164,771500,2496,21399494
2010-08-27,7.69574,7.87347,7.4616,7.71831,1624500,1504,43737433
2010-08-30,7.63086,7.70138,7.59136,7.61675,148300,338,4009832
2010-08-31,7.58854,7.88475,7.50955,7.75781,739300,2371,20232877
2010-09-01,7.78319,7.87064,7.70138,7.87064,462800,1624,12813934
2010-09-02,7.80294,7.92142,7.78319,7.92142,258200,897,7201621
2010-09-03,7.92142,8.02862,7.87911,7.89886,436400,2366,12283485
2010-09-06,7.89603,7.90732,7.74652,7.89321,49000,300,1363727
2010-09-08,7.79166,7.87629,7.68164,7.72959,797600,1019,22018556
2010-09-09,7.78601,7.80012,7.66189,7.67317,875100,2092,23934592
2010-09-10,7.71831,7.81422,7.65625,7.75498,383800,1228,10558612
2010-09-13,7.79448,7.8114,7.59983,7.6365,838300,2111,22842010
2010-09-14,7.6365,7.89603,7.63086,7.81422,1016800,2663,28104269
2010-09-15,7.80294,8.27687,7.74934,8.20635,1266500,2555,36065706
2010-09-16,8.18096,8.22609,8.04273,8.18096,721300,1555,20846590
2010-09-17,8.17814,8.26841,8.06812,8.26841,1059500,1156,30758811
2010-09-20,8.27405,8.27405,8.12454,8.18096,393900,1355,11433886
2010-09-21,8.18096,8.23456,8.05683,8.23456,815700,747,23583237
2010-09-22,8.2007,8.20352,8.00041,8.00041,852100,1744,24301680
2010-09-23,7.99759,8.03709,7.82833,7.82833,643500,1893,18091184
2010-09-24,8.0149,8.18423,7.83429,7.94153,1389000,2605,19785273
2010-09-27,8.12215,8.12779,7.90202,8.04312,1266400,2718,18078505
2010-09-28,8.13908,8.13908,7.84557,7.94153,1783100,1911,25047362
2010-09-29,7.95846,7.9641,7.63109,7.8738,1192700,2843,16601066
2010-09-30,7.8738,7.98104,7.58593,7.98104,2906300,2339,39890110
2010-10-01,7.94153,8.40436,7.94153,8.04312,15388700,4594,219718398
2010-10-04,8.09957,8.18423,7.98668,8.07134,1870900,4923,26734049
2010-10-05,8.05441,8.3592,8.05441,8.29712,1777000,2960,25761749
2010-10-06,8.29712,8.68657,8.07699,8.46645,1282400,2863,19093801
2010-10-07,8.53418,8.60191,8.16165,8.60191,649100,1893,9702323
2010-10-08,8.59626,8.90106,8.55675,8.88977,1247800,2265,19385675
2010-10-11,8.94621,9.03088,8.664,9.00266,944200,2932,14760684
2010-10-13,9.07038,9.29051,8.86155,9.13247,2737800,5308,44417345
2010-10-14,9.27358,9.27358,8.88977,9.03088,1265800,3912,20283190
2010-10-15,9.08167,9.08167,8.86155,8.91235,478000,1354,7552521
