Date,Open,High,Low,Close,Volume,Neg,Fin
2010-03-08,6.41481,6.41481,6.19753,6.27161,3578900,1342,45561052
2010-03-09,6.27161,6.4,6.20247,6.34568,776100,449,9913585
2010-03-10,6.35556,6.44445,6.30124,6.41481,2767100,714,35907434
2010-03-11,6.40988,6.41975,6.32099,6.40494,496800,139,6444018
2010-03-12,6.41975,6.44445,6.38519,6.41481,468800,305,6085981
2010-03-15,6.44938,6.48395,6.37037,6.4,160500,279,2082922
2010-03-16,6.38025,6.41975,6.35062,6.40494,102800,130,1331962
2010-03-17,6.40988,6.41975,6.2963,6.4,160100,96,2067903
2010-03-18,6.41481,6.43951,6.34568,6.41481,559500,155,7244633
2010-03-19,6.41975,6.41975,6.34568,6.39506,180100,62,2326779
2010-03-22,6.40988,6.40988,6.30617,6.39012,880600,93,11308329
2010-03-23,6.40988,6.45432,6.32099,6.39506,1162700,167,14928065
2010-03-24,6.3358,6.40988,6.30124,6.39012,651600,71,8444120
2010-03-25,6.37037,6.5679,6.37037,6.4642,465000,282,6062055
2010-03-26,6.52346,6.59259,6.41975,6.41975,609400,175,7946569
2010-03-29,6.46914,6.47407,6.38519,6.39506,417100,247,5414715
2010-03-30,6.41975,6.44445,6.39506,6.41481,448200,76,5814994
2010-03-31,6.41975,6.44445,6.35062,6.38025,147700,182,1910317
2010-04-01,6.41975,6.42963,6.24691,6.39506,1943900,268,25224172
2010-04-05,6.22716,6.39506,6.17284,6.32099,412900,275,5273445
2010-04-06,6.39506,6.41481,6.32099,6.39506,1154100,69,14932917
2010-04-07,6.40988,6.41975,6.32099,6.39506,48100,30,622603
2010-04-08,6.32099,6.40494,6.32099,6.32099,96700,86,1241513
2010-04-09,6.22716,6.40988,6.22716,6.40988,126200,130,1610689
2010-04-12,6.34568,6.41975,6.32099,6.41975,108200,45,1405241
2010-04-13,6.41975,6.41975,6.27654,6.31111,239500,159,3059795
2010-04-14,6.38025,6.41975,6.29136,6.41975,679800,222,8773078
2010-04-15,6.33086,6.36543,6.20741,6.31605,204200,49,2605995
2010-04-16,6.36543,6.36543,6.20741,6.21728,148600,61,1874317
2010-04-19,6.07407,6.31111,6.07407,6.30617,86400,30,1093462
2010-04-20,6.22716,6.31605,6.22222,6.31605,89400,141,1138448
2010-04-22,6.34568,6.34568,6.27654,6.27654,359500,36,4609038
2010-04-23,6.34074,6.34074,6.20741,6.20741,771900,34,9726828
2010-04-26,6.20192,6.33556,6.19697,6.28111,64700,84,820566
2010-04-27,6.38011,6.38011,6.15242,6.28111,25200,28,318863
2010-04-28,6.38506,6.38506,6.04848,6.28111,53300,118,669668
2010-04-29,6.19202,6.27616,6.04848,6.22667,77400,87,962426
2010-04-30,6.23657,6.23657,6.05838,6.16232,268600,85,3341429
2010-05-03,6.16232,6.16232,6.13757,6.13757,75800,45,942663
2010-05-04,6.08808,6.08808,5.93959,6.08808,350900,52,4260291
2010-05-05,6.08808,6.08808,5.85049,6.01383,123400,81,1491516
2010-05-06,6.08313,6.08313,5.91484,5.98908,17400,24,210313
2010-05-07,5.96434,5.96434,5.54362,5.6921,1115900,141,12607161
2010-05-10,5.93959,6.08313,5.80595,5.93464,63600,62,767707
2010-05-11,5.93959,6.01383,5.7911,5.89009,55500,25,661554
2010-05-12,5.86534,5.89009,5.86039,5.88514,72600,35,861061
2010-05-13,5.93959,5.93959,5.7911,5.91484,30100,27,359367
2010-05-14,5.93959,5.93959,5.84059,5.91484,14400,92,171868
2010-05-17,5.90494,5.90494,5.8109,5.89009,122600,14,1457097
2010-05-18,5.8208,5.8208,5.69705,5.7416,123300,6,1447876
2010-05-19,5.7416,5.7416,5.44462,5.57826,254300,55,2856901
2010-05-20,5.44462,5.59311,5.0734,5.24664,1239000,124,13121137
2010-05-21,5.17239,5.44462,5.17239,5.25159,104000,40,1119688
2010-05-24,5.32088,5.44462,5.29613,5.39513,163100,88,1759935
2010-05-25,5.19219,5.39513,5.0041,5.38523,267900,66,2855693
2010-05-26,5.29613,5.44462,5.29613,5.29613,642000,181,6999001
2010-05-27,5.14764,5.7911,5.14764,5.7911,555100,100,6023865
2010-05-28,5.6921,5.7911,5.44957,5.7911,70700,79,813253
2010-05-31,5.7416,5.7911,5.7416,5.7416,10300,5,119880
2010-06-01,5.6921,5.6921,5.44957,5.44957,31400,13,348788
2010-06-02,5.68716,5.6921,5.49412,5.66241,139900,36,1565333
2010-06-04,5.6921,5.85544,5.44462,5.61786,18700,89,213376
2010-06-07,5.64261,5.76635,5.54362,5.64261,40500,22,461826
2010-06-08,5.61786,5.7416,5.49412,5.62776,358300,33,4007468
2010-06-09,5.46442,5.68716,5.46442,5.68716,9100,10,103707
2010-06-10,5.64261,5.6921,5.45452,5.64261,16500,24,187344
2010-06-11,5.55351,5.702,5.54857,5.702,114900,41,1319485
2010-06-14,5.6921,5.76635,5.64261,5.7416,748600,295,8612590
2010-06-15,5.7416,6.08313,5.71685,6.08313,403600,155,4800487
2010-06-16,6.06333,6.20687,6.00888,6.13757,373500,225,4604146
2010-06-17,6.12273,6.13757,6.06333,6.11283,378700,344,4670501
2010-06-18,6.23657,6.31081,6.13757,6.31081,1215400,300,15373835
2010-06-21,6.27122,6.42465,6.27122,6.40981,317200,42,4063199
2010-06-22,6.4296,6.4296,6.36031,6.40981,84800,188,1099167
2010-06-23,6.34546,6.4296,6.14252,6.38011,203500,139,2627121
2010-06-24,6.33556,6.33556,6.24152,6.29101,9100,21,115882
2010-06-25,6.29596,6.4296,6.23162,6.38506,60100,77,770565
2010-06-28,6.4296,6.4296,6.18212,6.38506,72000,50,922267
2010-06-29,6.35041,6.35041,6.28606,6.33061,5200,9,66435
2010-06-30,6.24152,6.36031,6.17717,6.36031,92800,33,1181619
2010-07-01,6.36031,6.4296,6.33556,6.4296,154000,162,1989107
2010-07-02,6.4197,6.4197,6.10788,6.38506,151900,48,1952966
2010-07-05,6.39001,6.4197,6.28606,6.41475,30900,42,398881
2010-07-06,6.25142,6.42465,6.25142,6.38506,231200,190,2981466
2010-07-07,6.42465,6.42465,6.28606,6.38506,424000,202,5468562
2010-07-08,6.38506,6.40981,6.38506,6.40485,280700,66,3622546
2010-07-12,6.39991,6.39991,6.33556,6.38506,30900,50,396921
2010-07-13,6.36031,6.38506,6.31081,6.33556,238600,53,3058464
2010-07-14,6.30091,6.38011,6.28606,6.36031,38200,23,489172
