Date,Open,High,Low,Close,Volume,Neg,Fin
2013-04-19,14.17,14.17,12.65,12.85,1134400,1230,14865492
2013-04-22,12.84,13.04,12.65,13.02,350100,812,4509590
2013-04-23,13.1,13.2,12.85,13.02,98800,314,1283308
2013-04-24,13.05,13.1,12.95,13.0,87300,97,1135134
2013-04-25,13.0,13.3,12.96,13.1,105300,91,1381175
2013-04-26,12.96,13.07,12.95,13.0,61200,70,795541
2013-04-29,13.0,13.02,12.95,13.0,68800,34,894120
2013-04-30,12.96,13.13,12.95,13.13,67700,108,884996
2013-05-02,12.99,13.7,12.99,13.15,75200,90,993992
2013-05-03,13.11,13.35,13.11,13.2,19700,21,259916
2013-05-06,13.1,13.38,13.01,13.38,2100,15,27844
2013-05-07,13.23,13.4,13.18,13.23,134200,34,1794331
2013-05-08,13.24,13.48,13.24,13.31,15100,59,201705
2013-05-09,13.24,13.75,13.24,13.75,27200,41,368342
2013-05-10,13.6,13.9,13.5,13.5,20900,44,283695
2013-05-13,13.37,13.7,13.37,13.7,161500,31,2186896
2013-05-14,13.68,14.35,13.68,13.8,27600,36,386774
2013-05-15,13.73,14.2,13.73,13.96,47500,35,664727
2013-05-16,13.88,14.3,13.88,14.0,37000,24,521255
2013-05-17,14.09,14.2,14.0,14.0,98600,23,1394124
2013-05-20,13.93,14.03,13.93,14.0,16300,10,228202
2013-05-21,13.97,14.0,13.97,14.0,4200,6,58797
2013-05-22,14.0,14.0,14.0,14.0,500000,1,7000000
2013-05-23,13.8,13.94,13.72,13.72,20000,14,275317
2013-05-24,13.69,13.85,12.9,13.85,15800,45,214036
2013-05-27,13.9,13.9,13.55,13.85,3000,15,41514
2013-05-28,13.7,13.85,13.65,13.85,3200,9,44200
2013-05-29,13.98,14.0,13.85,13.85,4900,16,68253
2013-05-31,13.83,13.9,13.8,13.9,15300,15,211964
2013-06-03,13.9,13.9,13.58,13.73,24100,64,333607
2013-06-04,13.75,13.75,13.75,13.75,100,1,1375
2013-06-05,13.5,13.5,13.47,13.47,300,3,4047
2013-06-06,13.79,13.79,13.5,13.55,1200,9,16261
2013-06-07,13.39,13.56,13.11,13.56,13400,21,177491
2013-06-10,13.29,13.6,13.29,13.4,12500,26,167579
2013-06-11,13.4,13.47,13.25,13.25,582900,33,7839495
2013-06-12,13.3,13.32,13.2,13.32,6000,13,79763
2013-06-13,13.4,13.4,13.4,13.4,1000,2,13400
2013-06-14,13.28,13.4,13.28,13.4,300100,2,4021328
2013-06-18,13.34,13.37,13.15,13.37,7300,14,97033
2013-06-19,13.69,13.69,13.0,13.29,4300,11,56805
2013-06-20,13.2,13.31,13.2,13.31,5800,16,77187
2013-06-21,13.32,13.32,13.0,13.15,39500,15,519486
2013-06-24,12.8,12.93,12.5,12.9,43500,33,552726
2013-06-25,13.0,13.0,12.87,12.99,2200,3,28339
2013-06-26,13.0,13.0,12.88,13.0,700,6,9052
2013-06-27,12.9,13.0,12.85,13.0,106800,28,1388063
2013-06-28,12.81,12.81,12.65,12.69,2000,9,25406
2013-07-01,13.1,13.1,12.72,12.97,2800,6,36217
2013-07-02,12.74,12.74,12.73,12.73,1000,8,12731
2013-07-03,12.6,12.7,12.54,12.7,600,5,7584
2013-07-04,12.75,12.75,12.68,12.68,200,2,2543
2013-07-05,12.62,12.72,12.5,12.72,2600,6,32580
2013-07-08,12.52,12.73,12.41,12.73,4900,11,61311
2013-07-10,12.73,12.73,12.47,12.6,12800,15,161011
2013-07-11,12.6,12.6,12.5,12.5,500,3,6280
2013-07-12,12.4,12.49,12.4,12.49,6100,9,76119
2013-07-15,12.49,12.49,12.4,12.49,500,5,6228
2013-07-16,12.49,12.49,12.49,12.49,100,1,1249
2013-07-17,12.49,12.5,12.39,12.39,1900,11,23568
2013-07-18,12.4,12.4,12.3,12.3,700,5,8659
2013-07-19,12.3,12.3,12.3,12.3,6600,4,81180
2013-07-22,12.3,12.45,12.3,12.3,1000,6,12376
2013-07-23,12.3,12.3,12.18,12.28,3800,9,46651
2013-07-24,12.28,12.28,12.06,12.07,4800,12,58362
2013-07-25,12.07,12.11,12.07,12.11,200,2,2418
2013-07-26,12.11,12.17,12.03,12.17,1900,8,22953
2013-07-29,12.17,12.28,12.01,12.28,4200,10,50848
2013-07-30,12.3,12.3,12.19,12.3,3100,9,38071
2013-07-31,12.3,12.3,12.19,12.2,1000,8,12216
2013-08-01,12.13,12.24,12.13,12.24,600,4,7311
2013-08-02,12.14,12.14,11.8,11.8,5600,10,67105
2013-08-05,11.85,12.12,11.84,11.9,8100,11,96954
2013-08-06,11.9,11.9,11.9,11.9,100,1,1190
2013-08-07,11.86,11.9,11.86,11.9,8000,3,95193
2013-08-08,11.86,11.95,11.77,11.77,2400,10,28431
2013-08-09,11.77,11.77,11.3,11.3,23000,28,262515
2013-08-12,11.32,11.43,11.0,11.0,12600,17,142811
2013-08-13,10.84,11.15,10.84,10.95,21200,19,234337
2013-08-14,10.7,10.81,10.12,10.12,224200,31,2415074
2013-08-15,9.82,9.82,9.08,9.18,73000,49,683150
2013-08-16,9.2,9.2,8.3,8.5,44200,78,378187
2013-08-19,8.35,8.45,7.96,8.16,13100,64,107313
2013-08-20,7.98,8.65,7.98,8.46,11400,16,96769
2013-08-21,8.35,8.7,8.35,8.68,43700,21,372654
2013-08-22,8.7,8.89,8.7,8.7,12300,43,107506
2013-08-23,8.85,8.85,8.84,8.85,2200,6,19469
2013-08-26,8.59,8.83,8.44,8.83,8600,13,74598
2013-08-27,8.63,8.85,8.63,8.85,20200,15,178376
2013-08-28,8.76,9.12,8.76,9.12,51200,16,461426
2013-08-29,9.1,9.34,9.1,9.34,18200,9,168321
2013-08-30,9.29,9.49,9.13,9.36,16700,17,156824
2013-09-02,9.41,9.45,9.3,9.45,10800,36,101338
2013-09-03,9.25,9.45,9.1,9.45,13600,37,127268
2013-09-05,9.2,9.45,9.13,9.45,6700,13,62321
2013-09-06,9.47,9.56,9.2,9.56,14000,19,132977
2013-09-09,9.37,9.57,9.36,9.36,8500,11,80765
2013-09-10,9.35,9.4,9.35,9.4,4800,6,44996
2013-09-11,9.26,9.5,9.26,9.4,6600,9,61806
2013-09-12,9.31,9.57,9.31,9.57,18200,12,172067
2013-09-13,9.43,9.6,9.43,9.6,1700,4,16065
2013-09-16,9.61,9.75,9.56,9.75,2600,9,25043
2013-09-17,9.59,9.75,9.0,9.0,19100,10,185265
2013-09-18,8.92,8.92,8.69,8.83,3100,10,27488
2013-09-19,8.8,8.89,8.78,8.78,2200,3,19538
2013-09-20,8.78,8.78,7.7,7.7,39000,161,316036
2013-09-23,7.7,7.86,7.65,7.65,8800,18,68050
2013-09-24,7.85,7.89,7.85,7.89,1200,8,9448
2013-09-25,7.89,7.97,7.89,7.97,1100,2,8759
2013-09-26,8.2,8.34,8.2,8.34,800,5,6602
2013-09-27,8.34,8.41,8.34,8.41,500,2,4198
2013-09-30,8.41,8.45,8.41,8.45,2300,4,19351
2013-10-01,8.45,9.09,8.45,9.09,3900,11,35387
2013-10-02,9.09,9.1,8.92,9.1,3000,6,27046
2013-10-03,9.29,9.3,9.21,9.25,600,4,5555
2013-10-04,9.29,9.29,9.0,9.0,5300,5,48378
2013-10-07,9.0,9.0,9.0,9.0,100,1,900
2013-10-08,9.0,9.09,9.0,9.01,4600,7,41598
2013-10-09,9.0,9.0,8.5,8.5,3100,7,27488
2013-10-10,8.5,9.3,8.5,9.0,8500,15,77066
2013-10-11,9.0,9.25,8.94,8.94,2300,7,20771
2013-10-14,8.94,8.94,8.9,8.9,200,2,1784
2013-10-15,8.9,8.99,8.6,8.6,9400,11,83787
2013-10-16,8.6,9.19,8.45,8.9,66300,50,568584
2013-10-17,8.65,8.84,8.56,8.56,3100,7,27073
2013-10-18,8.44,9.24,8.4,8.64,13200,18,115896
2013-10-21,8.65,9.05,8.65,8.89,141500,7,1224932
2013-10-22,8.9,9.3,8.9,9.21,12600,13,112851
2013-10-23,9.8,9.8,9.0,9.1,13400,38,123622
2013-10-24,9.03,9.36,9.03,9.36,9400,12,86916
2013-10-25,9.36,9.36,9.13,9.13,300,3,2777
2013-10-28,9.02,9.51,9.02,9.4,28900,15,269357
2013-10-29,9.4,9.4,9.31,9.35,5000,6,46839
2013-10-30,9.4,9.4,9.23,9.35,1400,6,13064
2013-10-31,9.29,10.24,9.29,10.03,91100,47,912085
2013-11-01,10.06,10.06,9.8,10.03,3200,8,31469
2013-11-04,10.0,10.0,9.6,9.6,2700,11,26452
2013-11-05,9.7,9.8,9.62,9.62,2400,5,23473
2013-11-06,9.62,9.9,9.6,9.8,1900,6,18383
2013-11-07,9.8,9.9,9.72,9.72,4200,5,41492
2013-11-08,9.9,9.9,9.9,9.9,3000,3,29700
2013-11-11,10.0,10.0,9.85,9.85,5600,7,55189
2013-11-12,9.9,9.9,9.75,9.75,2100,6,20545
2013-11-13,9.75,9.75,9.75,9.75,1000,10,9750
2013-11-14,9.72,9.82,9.72,9.8,2600,3,25482
2013-11-18,9.99,10.0,9.75,9.75,4800,6,47826
2013-11-19,9.85,9.87,9.85,9.87,700,3,6907
2013-11-21,9.95,10.14,9.87,9.95,2900,8,28897
2013-11-22,9.83,9.83,9.83,9.83,600,2,5898
2013-11-25,9.81,9.98,9.8,9.8,400,4,3939
2013-11-26,9.98,9.99,9.91,9.91,2700,4,26959
2013-11-27,10.0,10.0,9.9,9.9,200,2,1990
2013-11-28,9.8,9.8,9.8,9.8,100,1,980
2013-11-29,9.95,9.95,9.95,9.95,100,1,995
2013-12-02,9.79,9.79,9.79,9.79,200,1,1958
2013-12-03,9.78,9.78,9.78,9.78,1200,2,11736
2013-12-04,9.8,9.95,9.8,9.95,300,2,2955
2013-12-05,9.95,9.95,9.92,9.92,200,2,1987
2013-12-06,9.92,9.93,9.92,9.92,800,3,7939
2013-12-09,9.47,10.01,9.47,10.01,900,3,8901
2013-12-10,10.01,10.01,9.82,9.82,600,3,5930
2013-12-11,9.81,9.81,9.81,9.81,2200,2,21582
2013-12-13,9.62,9.63,9.62,9.63,1000,5,9625
2013-12-16,9.4,9.4,9.0,9.0,200,2,1840
2013-12-17,9.0,9.4,9.0,9.35,37100,11,346207
2013-12-18,9.35,9.35,9.35,9.35,100,1,935
2013-12-19,9.35,9.82,9.27,9.55,1900,10,18121
2013-12-20,9.55,9.65,9.55,9.65,1010600,7,9651277
2013-12-23,9.65,9.65,9.65,9.65,100,1,965
2013-12-26,9.7,9.7,9.7,9.7,288600,2,2799420
2013-12-27,9.8,9.95,9.8,9.95,2200,5,21830
2013-12-30,10.01,10.01,9.81,9.81,1400,6,13814
2014-01-02,9.81,9.81,9.81,9.81,3100,3,30411
2014-01-06,10.0,10.0,9.81,9.81,200,2,1981
2014-01-07,9.83,9.83,9.63,9.63,125400,5,1232642
2014-01-08,9.74,9.95,9.74,9.95,800,4,7924
2014-01-09,9.82,9.82,9.66,9.66,3000,3,29380
2014-01-10,9.67,9.67,9.52,9.6,5100,8,49127
2014-01-13,9.56,9.56,9.55,9.55,900,2,8598
2014-01-14,9.7,9.9,9.7,9.9,6000,7,58785
2014-01-15,9.99,10.16,9.99,10.16,46900,8,471716
2014-01-16,10.15,10.21,10.15,10.21,42000,12,428500
2014-01-17,10.13,10.13,10.13,10.13,2000,1,20260
2014-01-20,10.1,10.39,10.1,10.28,4800,5,49238
2014-01-21,10.11,10.3,10.11,10.3,4100,5,42211
2014-01-22,10.21,10.4,10.21,10.4,7600,7,79021
2014-01-23,10.35,10.35,10.2,10.2,200,2,2055
2014-01-24,10.1,10.1,10.1,10.1,5000,1,50500
2014-01-28,10.1,10.1,10.0,10.1,21700,9,218250
2014-01-29,10.15,10.15,10.15,10.15,1600,1,16240
2014-01-30,10.2,10.2,10.1,10.1,3300,2,33410
2014-01-31,10.1,10.1,10.05,10.05,5000,6,50375
2014-02-03,10.05,10.1,10.05,10.1,2900,4,29175
2014-02-04,10.0,10.0,10.0,10.0,200,1,2000
2014-02-06,9.9,10.09,9.9,9.91,3100,10,30752
2014-02-10,9.95,9.95,9.95,9.95,21500,2,213925
2014-02-11,9.95,10.05,9.9,10.05,2800,4,27745
2014-02-12,9.9,9.9,9.9,9.9,2500,2,24750
2014-02-13,9.85,9.85,9.85,9.85,2500,1,24625
2014-02-14,10.0,10.0,9.08,9.08,24400,19,229192
2014-02-17,9.01,9.01,9.0,9.0,400,3,3601
2014-02-18,9.0,9.0,9.0,9.0,100,1,900
2014-02-19,9.01,9.09,9.0,9.0,2900,5,26110
2014-02-20,9.01,9.01,9.01,9.01,100,1,901
2014-02-21,9.0,9.0,9.0,9.0,600,2,5400
2014-02-24,9.0,9.0,9.0,9.0,200,2,1800
2014-02-25,9.02,9.02,9.02,9.02,100,1,902
2014-02-26,9.02,9.5,9.02,9.02,3100,8,28406
2014-02-27,9.2,9.5,9.15,9.15,520200,32,4760352
2014-03-05,9.1,9.1,9.1,9.1,44400,3,404040
2014-03-07,9.11,9.11,9.11,9.11,100,1,911
2014-03-10,9.23,9.23,9.05,9.05,200,2,1828
2014-03-11,9.05,9.05,9.05,9.05,20000,1,181000
2014-03-12,9.01,9.01,8.9,8.9,1700,3,15295
2014-03-13,8.96,8.96,8.96,8.96,100,1,896
2014-03-14,8.96,8.96,8.9,8.9,163000,4,1460450
2014-03-18,8.95,8.95,8.85,8.85,200,2,1780
2014-03-20,8.8,8.85,8.8,8.85,2900,3,25630
2014-03-21,8.8,8.8,8.7,8.7,3400,2,29800
