Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,17.679,18.924,17.43,18.675,343100,106,252647
2010-01-05,18.675,18.675,17.928,17.928,100200,41,73683
2010-01-06,18.177,18.177,17.181,17.43,417800,81,294828
2010-01-07,17.928,18.177,17.679,18.177,158600,66,114834
2010-01-08,18.177,20.418,18.177,19.671,1722900,302,1337056
2010-01-11,20.169,20.418,18.426,18.675,396400,98,307061
2010-01-12,18.924,20.169,18.924,18.924,350700,91,272409
2010-01-13,19.671,19.92,18.924,19.173,166800,58,130241
2010-01-14,19.173,19.422,18.675,18.924,148100,51,113034
2010-01-15,19.173,22.41,19.173,21.414,1865700,434,1553658
2010-01-18,22.161,22.41,20.667,20.916,623100,134,544733
2010-01-19,21.165,26.145,21.165,24.9,1569200,456,1517915
2010-01-20,25.896,31.623,25.149,29.88,1967800,599,2315726
2010-01-21,31.374,32.37,28.884,28.884,1217300,319,1499442
2010-01-22,28.884,30.876,28.635,29.382,168600,68,203162
2010-01-26,29.88,30.129,27.141,28.884,360900,115,409093
2010-01-27,29.88,29.88,27.888,27.888,141800,71,164137
2010-01-28,28.635,29.382,27.888,27.888,186700,61,213622
2010-01-29,28.635,29.631,27.639,28.137,142700,60,164032
2010-02-01,28.635,31.125,28.386,29.631,636700,126,755686
2010-02-02,29.88,30.129,28.635,28.635,206600,50,242339
2010-02-03,29.631,29.631,28.635,29.382,156500,39,183204
2010-02-04,28.884,28.884,25.647,26.643,276000,98,300051
2010-02-05,25.896,25.896,23.904,24.9,160000,67,161007
2010-02-08,25.149,25.647,25.149,25.398,147700,33,149950
2010-02-09,26.145,31.125,26.145,27.639,242400,65,275788
2010-02-10,28.635,29.631,27.639,27.639,167700,66,191723
2010-02-11,27.888,29.382,27.639,28.635,254600,58,292413
2010-02-12,29.133,29.133,28.137,28.635,453300,32,521707
2010-02-17,29.133,29.133,28.137,28.137,72000,12,82269
2010-02-18,28.137,28.884,28.137,28.635,58400,23,66174
2010-02-19,28.635,28.635,27.639,27.888,231000,47,258355
2010-02-22,28.386,28.386,27.888,28.137,83700,35,94764
2010-02-23,28.386,28.386,27.639,27.639,44100,15,49014
2010-02-24,27.639,28.137,27.639,27.888,50800,17,57192
2010-02-25,28.137,28.884,27.639,28.884,160600,42,182034
2010-02-26,29.133,32.121,29.133,29.88,1127900,255,1389240
2010-03-01,29.88,30.378,29.133,29.133,422300,105,507597
2010-03-02,30.378,31.872,29.88,31.125,1151100,220,1428992
2010-03-03,31.374,37.101,31.374,35.358,2352600,550,3287132
2010-03-04,34.611,35.358,32.619,34.113,509300,144,693089
2010-03-05,35.109,35.109,32.37,32.619,248900,55,333527
2010-03-08,33.366,34.611,32.868,33.615,152500,47,205837
2010-03-09,33.615,34.362,32.121,32.37,499700,68,668297
2010-03-10,32.868,33.366,29.631,29.88,1163100,135,1412706
2010-03-11,31.125,31.125,30.129,30.378,111100,28,135143
2010-03-12,30.876,31.872,29.382,30.378,496400,109,602389
2010-03-15,30.876,32.37,30.876,30.876,313000,81,392560
2010-03-16,31.125,31.374,30.129,30.129,47300,33,57976
2010-03-17,30.627,31.125,30.129,30.129,74400,25,90533
2010-03-18,30.129,30.876,30.129,30.627,95200,15,115941
2010-03-19,30.876,31.872,30.876,31.623,170000,51,213717
2010-03-22,31.374,31.374,30.876,31.125,30900,11,38632
2010-03-23,31.125,31.374,30.378,30.378,61600,5,76961
2010-03-24,30.378,31.125,30.129,30.876,36500,13,44813
2010-03-25,30.876,31.125,30.129,30.378,32200,14,39542
2010-03-26,29.631,30.129,29.631,29.88,85200,25,101869
2010-03-29,29.382,29.382,29.133,29.382,86000,24,100975
2010-03-30,29.382,30.378,29.382,29.631,26300,10,31864
2010-03-31,29.631,29.631,29.133,29.382,43100,17,50695
2010-04-01,29.382,29.382,28.635,29.382,77100,22,89825
2010-04-05,28.635,29.382,28.635,28.884,6100,10,7057
2010-04-06,29.382,29.631,28.386,28.386,411600,31,484969
2010-04-07,28.635,28.635,27.888,27.888,24400,11,27868
2010-04-08,28.137,28.386,28.137,28.386,82400,12,93596
2010-04-09,28.884,29.133,28.386,28.884,18100,10,21063
2010-04-12,28.884,29.133,28.386,28.386,23400,12,26972
2010-04-13,28.635,28.884,28.137,28.137,18100,9,20694
2010-04-14,28.884,28.884,28.137,28.137,21700,6,24581
2010-04-15,28.635,28.635,27.639,27.888,74500,14,82878
2010-04-16,27.888,27.888,26.643,26.643,56200,23,61587
2010-04-19,26.145,26.145,25.149,25.149,126700,46,130324
2010-04-20,25.398,29.133,25.398,25.647,254100,190,267009
2010-04-22,26.145,26.145,25.398,25.896,86300,48,89803
2010-04-23,26.145,26.145,25.647,25.647,7400,4,7624
2010-04-26,25.647,26.145,25.149,25.149,138500,33,141328
2010-04-27,24.9,24.9,23.904,24.153,105100,36,103003
2010-04-28,24.153,24.651,23.406,23.655,60200,15,57313
2010-04-29,22.908,23.406,22.908,23.157,161100,38,149848
2010-04-30,23.655,23.655,23.406,23.406,8600,6,8104
2010-05-03,23.157,23.157,21.912,22.161,514900,42,463608
2010-05-04,22.161,22.659,22.161,22.161,69000,21,61771
2010-05-05,21.912,21.912,21.414,21.663,304300,33,264689
2010-05-06,21.414,21.663,20.916,21.165,73900,22,63389
2010-05-07,21.912,21.912,20.916,20.916,11700,13,10019
2010-05-10,21.912,22.41,20.418,21.165,72900,33,62746
2010-05-11,21.663,22.161,21.165,21.165,15000,10,12969
2010-05-12,21.165,22.41,21.165,21.414,16300,6,14020
2010-05-13,22.161,22.161,21.663,21.663,7700,12,6800
2010-05-14,22.161,22.161,20.418,20.418,46700,16,39421
2010-05-17,21.165,21.165,18.924,19.173,118700,33,93614
