Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.51857,1.51857,1.51857,1.51857,2700,3,16861
2010-01-05,1.46997,1.54529,1.46997,1.51857,4000,15,24788
2010-01-06,1.51614,1.55258,1.46997,1.53071,15800,29,98978
2010-01-07,1.6109,1.62547,1.6109,1.61575,1700,3,11307
2010-01-08,1.62547,1.74939,1.57202,1.73724,34500,55,236310
2010-01-11,1.69108,1.90489,1.69108,1.88302,31900,63,241589
2010-01-12,1.88302,1.88302,1.76154,1.78097,9600,23,71411
2010-01-13,1.82228,2.11384,1.82228,2.04095,29000,70,234398
2010-01-14,2.11141,2.28149,2.04095,2.19888,25900,65,226414
2010-01-15,2.20131,2.21103,2.06525,2.06768,5400,24,47261
2010-01-18,2.18431,2.22318,2.10655,2.11141,5100,11,44930
2010-01-19,2.06282,2.18674,2.06282,2.18674,7900,28,68477
2010-01-20,2.18674,2.18674,2.09441,2.18431,2100,7,18258
2010-01-21,2.18674,2.18674,1.99965,2.13571,4600,17,39986
2010-01-22,2.17216,2.25234,2.16973,2.2329,4600,20,41648
2010-01-26,2.19888,2.19888,2.19888,2.19888,400,3,3620
2010-01-27,2.19888,2.37625,2.18674,2.25963,8100,27,75530
2010-01-28,2.19888,2.21103,2.09441,2.18674,8600,21,76900
2010-01-29,2.27178,2.67268,2.27178,2.42242,28900,59,290938
2010-02-01,2.38111,2.52446,2.33495,2.52446,10200,20,100084
2010-02-02,2.52446,2.52446,2.52446,2.52446,400,1,4156
2010-02-03,2.39326,2.46615,2.33738,2.46129,6600,18,65529
2010-02-04,2.33981,2.42728,2.31551,2.3228,13500,31,131230
2010-02-05,2.24991,2.35439,2.18674,2.33252,10000,30,93026
2010-02-08,2.36896,2.42971,2.36896,2.42971,1000,6,9855
2010-02-09,2.38111,2.56091,2.32037,2.56091,15000,22,148532
2010-02-10,2.42971,2.61193,2.42971,2.61193,3800,11,39776
2010-02-11,2.44185,2.79416,2.44185,2.79416,18900,47,203274
2010-02-12,2.72127,2.86705,2.41756,2.42971,27300,59,283915
2010-02-17,2.42971,2.5026,2.42971,2.45643,700,5,7112
