Date,Open,High,Low,Close,Volume,Neg,Fin
2020-11-05,1.6082,1.64649,1.54493,1.55659,9795200,11400,93495878
2020-11-06,1.5466,1.60653,1.49333,1.60653,1280500,3668,12012755
2020-11-09,1.61319,1.65148,1.55659,1.5799,838400,2462,7974890
2020-11-10,1.59654,1.6315,1.55492,1.6315,440500,572,4216685
2020-11-11,1.63983,1.65648,1.6032,1.63983,409100,595,4008051
2020-11-12,1.6648,1.67479,1.56824,1.58988,853800,1399,8235562
2020-11-13,1.58323,1.66147,1.55492,1.62318,848700,1362,8160658
2020-11-16,1.6648,1.71474,1.62318,1.6648,505200,1594,5049164
2020-11-17,1.66314,1.68145,1.65814,1.66314,128400,400,1287258
2020-11-18,1.67812,1.68145,1.6315,1.6315,194500,265,1939538
2020-11-19,1.61819,1.68145,1.60653,1.68145,245600,629,2440102
2020-11-20,1.68145,1.68145,1.64815,1.66147,249000,798,2508858
2020-11-23,1.66314,1.67978,1.66314,1.67312,325500,497,3280674
2020-11-24,1.67312,1.68145,1.65315,1.67312,330600,394,3324268
2020-11-25,1.6698,1.68145,1.65148,1.67312,71500,222,717158
2020-11-26,1.66647,1.68145,1.64815,1.68145,135400,225,1359793
2020-11-27,1.68145,1.68145,1.62818,1.6315,342300,575,3376436
2020-11-30,1.6365,1.6648,1.63317,1.63317,66600,167,659230
2020-12-01,1.67312,1.67312,1.58156,1.59821,637100,1842,6115866
2020-12-02,1.62318,1.67312,1.62318,1.67312,394800,1667,3892234
2020-12-03,1.67645,1.73139,1.67146,1.68145,341800,1007,3471178
2020-12-04,1.70309,1.73639,1.68145,1.70809,139300,719,1432245
2020-12-07,1.73139,1.74804,1.68311,1.6931,498800,1551,5166592
2020-12-08,1.6931,1.76968,1.6931,1.73139,141900,629,1479216
2020-12-09,1.75803,1.77301,1.68977,1.73139,216300,677,2256074
2020-12-10,1.75304,1.78966,1.74804,1.78966,218000,1131,2316309
2020-12-11,1.78966,2.09765,1.78966,2.081,1771000,2980,20724585
2020-12-14,2.17256,2.4972,2.16757,2.24748,1561200,4399,21558140
2020-12-15,2.33738,2.45059,2.28078,2.44726,2093900,6349,29853809
2020-12-16,2.47722,2.68699,2.47722,2.66368,2268100,7556,35405397
2020-12-17,2.71362,2.79686,2.57212,2.64703,1533600,5508,24571672
2020-12-18,2.67866,2.67866,2.44892,2.54715,1189900,5556,18220793
2020-12-21,2.4972,2.63039,2.38233,2.56379,1130400,3858,17266808
2020-12-22,2.57045,2.64703,2.57045,2.58044,496900,2034,7762060
2020-12-23,2.57878,2.66535,2.51551,2.53882,617800,2474,9586069
2020-12-28,2.54881,2.58044,2.47223,2.54715,555200,1968,8451506
2020-12-29,2.55547,2.57378,2.50719,2.53383,248400,1591,3785356
2020-12-30,2.54049,2.56379,2.48055,2.49887,418900,1539,6320064
2021-01-04,2.58044,2.98998,2.54382,2.84015,3850200,9973,64079318
2021-01-05,2.91007,3.06656,2.75691,2.91507,2987200,11209,52877271
2021-01-06,2.94004,2.97999,2.67201,2.67201,2077300,7702,34611281
2021-01-07,2.72861,2.75691,2.57212,2.70697,1569400,4844,25022017
2021-01-08,2.81684,3.30296,2.81684,3.30296,3107000,9604,56956452
2021-01-11,3.2447,3.94724,3.18476,3.82904,6360200,20366,139851736
2021-01-12,3.94558,4.65978,3.94558,4.5782,6931700,25926,180850688
2021-01-13,4.77465,4.9944,4.12871,4.21195,7884500,24463,213026558
2021-01-14,4.24025,4.41172,4.00551,4.23692,4749900,13755,119245176
2021-01-15,4.22859,4.49496,4.09874,4.29519,3062500,11126,79587875
2021-01-18,4.35512,4.41172,4.24524,4.28353,1724400,7680,44774526
2021-01-19,4.31683,4.35012,4.11206,4.14036,1354300,6061,34017676
2021-01-20,4.28686,4.70972,4.24857,4.70806,4420500,14389,117194086
2021-01-21,4.77798,5.42559,4.75967,5.42059,6559800,22739,202328252
2021-01-22,5.17919,5.91004,5.056,5.15422,10955400,36020,361832477
2021-01-26,5.24412,5.4106,4.36178,4.41172,7109700,23195,202084897
2021-01-27,4.37343,4.758,4.13204,4.24191,6793800,24317,180613890
2021-01-28,4.29019,4.71805,4.27854,4.56821,4618800,15741,125133901
2021-01-29,4.61982,4.69474,4.465,4.59485,3136100,9487,86607690
2021-02-01,4.67143,4.84457,4.37177,4.65312,4743400,15714,129299414
2021-02-02,4.70806,4.85456,4.66477,4.77298,2591700,8478,74215107
2021-02-03,5.07764,5.40561,5.01937,5.40228,6525900,17422,203941870
2021-02-04,5.55711,6.01326,5.49384,5.67697,9434100,26536,328305863
2021-02-05,5.8268,6.10482,5.5621,5.71027,6479300,22352,227204967
2021-02-08,5.89672,5.94334,5.42059,5.42059,2653900,9057,90161944
2021-02-09,5.46721,5.4722,5.02936,5.2358,4977600,17214,155094001
2021-02-10,5.24745,5.43557,4.74635,4.94612,4369200,15544,134984961
2021-02-11,5.07431,5.12259,4.758,4.758,2634600,8717,77291496
2021-02-12,4.758,4.83125,4.51993,4.71139,3521000,12066,97956988
2021-02-17,4.73303,4.99107,4.7297,4.78297,1753600,5306,51106584
2021-02-18,4.80961,4.92781,4.55157,4.60484,3036200,9833,84821401
2021-02-19,4.60484,4.78297,4.44668,4.61816,2009700,7778,55955829
2021-02-22,4.41172,4.60983,4.27521,4.39507,2309800,8400,61549823
2021-02-23,4.44502,4.50828,4.2519,4.47831,2017200,6908,52795404
2021-02-24,4.54491,4.9045,4.47998,4.86788,3524300,12455,100879908
2021-02-25,4.95112,5.04435,4.45667,4.50994,2629700,8462,75060889
2021-02-26,4.55656,5.03103,4.34513,4.69474,4897300,14088,139243797
2021-03-01,4.87787,4.94279,4.70639,4.75967,1903500,7125,55196167
2021-03-02,4.71805,4.77465,4.56155,4.63148,1537200,5076,43040035
2021-03-03,4.59984,4.92448,4.41339,4.71139,3634100,13224,102511680
2021-03-04,4.74801,4.82626,4.45334,4.50162,2996400,11987,82943990
2021-03-05,4.50162,4.5499,4.15867,4.38841,2946100,10191,76595437
2021-03-08,4.24524,4.33514,3.78243,3.80573,4109500,12960,99868469
2021-03-09,3.86733,3.97887,3.78243,3.80906,1909700,6208,44540153
2021-03-10,3.864,3.9872,3.74747,3.95557,2359900,7232,55041681
2021-03-11,4.04047,4.10207,3.90229,4.06211,1579000,5164,37969952
2021-03-12,4.02715,4.23525,3.96556,4.19197,1489300,4753,36962744
2021-03-15,4.15701,4.22526,4.09707,4.12205,1525600,4447,38001059
2021-03-16,4.12704,4.37843,4.12704,4.35345,1694500,5579,43723558
2021-03-17,4.33681,4.36844,4.20695,4.24691,1467200,5593,37699431
2021-03-18,4.23858,4.23858,3.91228,3.97721,1251900,5084,30540475
2021-03-19,4.00218,4.09874,3.90562,3.97055,1325400,3754,31806479
2021-03-22,3.97055,4.08875,3.93892,3.99719,799500,3059,19305392
2021-03-23,3.97554,4.0438,3.92061,3.97554,493000,2077,11799516
2021-03-24,3.99053,4.01383,3.72416,3.7791,805100,3129,18707661
2021-03-25,3.78909,3.86234,3.60762,3.72915,1274500,4938,28666514
2021-03-26,3.79575,3.86067,3.74913,3.83237,1141700,4173,26142466
2021-03-29,3.78076,3.90396,3.71584,3.78243,1047500,4341,23873137
2021-03-30,3.7791,3.89397,3.73415,3.89397,1637600,5136,37363619
2021-03-31,4.162,4.24524,4.0488,4.09541,2894000,9393,72263289
2021-04-01,4.10207,4.30684,3.99719,4.2236,1755700,7442,43836204
