Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-15,11.9,12.5,11.6,11.89,14458900,33299,174410837
2021-07-16,12.06,12.26,11.56,11.9,4487400,7128,53364566
2021-07-19,11.78,11.78,11.28,11.34,1464100,3788,16713705
2021-07-20,11.28,11.49,11.2,11.49,1038600,2475,11756507
2021-07-21,11.52,11.67,11.2,11.58,1553500,1684,17658267
2021-07-22,11.51,11.53,11.25,11.25,1746200,7366,19948312
2021-07-23,11.35,11.4,11.15,11.4,2788600,1877,31360674
2021-07-26,11.45,11.49,11.2,11.3,723500,1526,8142930
2021-07-27,11.25,11.3,10.78,11.2,2567700,2704,28329522
2021-07-28,11.13,11.28,10.99,11.0,4945400,2924,54698098
2021-07-29,11.0,11.29,11.0,11.24,2175300,702,24336944
2021-07-30,11.21,11.35,11.0,11.25,1016300,1027,11392949
2021-08-02,11.27,11.34,11.1,11.15,424500,923,4743012
2021-08-03,11.14,11.35,11.0,11.35,1076000,3580,12021700
2021-08-04,11.38,11.44,11.25,11.34,1434700,2684,16254641
2021-08-05,11.45,11.45,11.2,11.35,2920500,2921,32943370
2021-08-06,11.35,11.45,11.2,11.4,558300,1540,6328573
2021-08-09,11.45,11.56,11.32,11.33,945400,3181,10853805
2021-08-10,11.4,11.65,11.26,11.64,752800,1486,8681966
2021-08-11,11.6,11.63,11.33,11.55,963800,1801,11104169
2021-08-12,11.6,11.97,11.35,11.97,513400,1641,5964687
2021-08-13,11.83,11.97,11.67,11.71,275400,917,3252921
2021-08-16,11.68,11.68,11.01,11.26,1068800,1678,12099853
2021-08-17,11.26,11.35,10.4,10.68,1829500,3320,19990039
2021-08-18,10.63,10.74,10.14,10.27,1154000,5019,11850066
2021-08-19,9.96,10.74,9.8,10.45,1151700,4532,11769399
2021-08-20,10.29,11.75,10.2,11.0,702500,3141,7640749
2021-08-23,11.17,11.81,11.17,11.48,1616800,6440,18575669
2021-08-24,11.7,12.0,11.61,11.85,1386100,4061,16378347
2021-08-25,11.86,12.01,11.6,11.83,1574300,4224,18726915
2021-08-26,11.78,11.92,11.52,11.87,697500,3155,8221612
2021-08-27,11.85,11.98,11.66,11.86,510600,1754,6054835
2021-08-30,11.75,12.0,11.7,11.98,724800,1929,8666605
2021-08-31,11.99,12.21,11.75,12.15,829700,2624,9930487
2021-09-01,12.06,12.65,11.9,12.5,1101100,3048,13575510
2021-09-02,12.42,13.36,12.24,12.8,3855500,6501,49868217
2021-09-03,12.8,13.28,12.63,12.63,1293000,5068,16835574
2021-09-06,12.8,13.9,12.73,13.5,2330900,5306,31569410
2021-09-08,13.51,14.21,12.9,13.35,2782200,8375,37368559
2021-09-09,13.42,13.98,13.17,13.87,3089800,10512,42530333
2021-09-10,14.2,14.46,13.63,13.74,2405700,5347,33539404
2021-09-13,14.0,15.05,14.0,14.2,3754700,7094,53601818
2021-09-14,14.26,14.63,14.01,14.22,2261600,8849,32453473
2021-09-15,14.27,15.27,14.12,14.33,4271200,16314,62240063
2021-09-16,14.2,14.4,13.51,13.97,2441700,7723,34004999
2021-09-17,13.99,14.0,13.19,13.77,1742100,6584,23680605
2021-09-20,13.5,13.54,12.24,12.8,2243200,8738,28471525
2021-09-21,12.8,13.21,12.75,12.96,1294900,3160,16705022
