Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,5.23262,5.33558,5.12965,5.29814,135200,194,761040
2010-01-05,5.33558,5.33558,5.2139,5.3075,50500,71,285166
2010-01-06,5.28878,5.33558,5.24198,5.33558,169000,215,959928
2010-01-07,5.31686,5.66321,5.2607,5.58832,707300,440,4160121
2010-01-08,5.71001,6.17804,5.69129,6.13124,905900,645,5761734
2010-01-11,5.99083,6.28101,5.99083,6.0938,361800,351,2380883
2010-01-12,6.08444,6.08444,5.86914,6.02827,149500,192,956587
2010-01-13,6.03764,6.13124,5.94403,6.0938,450600,256,2928569
2010-01-14,6.22485,6.24357,5.81298,5.82234,202200,237,1309953
2010-01-15,5.88786,5.88786,5.7849,5.86914,85400,232,532430
2010-01-18,5.8317,6.06572,5.8317,5.97211,392500,141,2461847
2010-01-19,5.98147,5.99083,5.8785,5.93467,75500,146,478448
2010-01-20,5.99083,5.99083,5.65385,5.65385,87200,104,533505
2010-01-21,5.71001,5.76618,5.42919,5.42919,161300,113,946839
2010-01-22,5.34494,5.47599,5.3075,5.47599,59300,73,339303
2010-01-26,5.33558,5.35431,5.2607,5.35431,367000,185,2072547
2010-01-27,5.36367,5.47599,5.28878,5.47599,95400,102,548724
2010-01-28,5.48536,5.59768,5.36367,5.36367,29700,36,172984
2010-01-29,5.41983,5.42919,5.23262,5.27942,80800,122,460293
2010-02-01,5.32622,5.5228,5.25134,5.41983,92400,132,531088
2010-02-02,5.47599,5.54152,5.36367,5.41983,44000,36,255199
2010-02-03,5.48536,5.48536,5.31686,5.41983,87900,38,510889
2010-02-04,5.42919,5.42919,5.14837,5.14837,118800,124,659069
2010-02-05,5.06413,5.06413,4.78331,4.79267,409800,133,2110290
2010-02-08,4.90499,4.98924,4.82075,4.83947,41100,89,214671
2010-02-09,4.86755,5.05476,4.86755,4.9986,30800,73,164320
2010-02-10,5.07349,5.42919,5.07349,5.35431,114900,236,651723
2010-02-11,5.19517,5.35431,5.11093,5.24198,94300,167,526021
2010-02-12,5.3075,5.3075,5.00796,5.08285,112100,151,608655
2010-02-17,5.14837,5.29814,5.01732,5.15773,30900,47,170939
2010-02-18,5.01732,5.34494,5.01732,5.33558,147400,106,817636
2010-02-19,5.28878,5.33558,5.19517,5.33558,56000,63,315667
2010-02-22,5.27006,5.40111,5.2139,5.40111,314500,127,1780385
