Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.1099242603919945,6.142004605080135,5.981583005341609,6.126729670202294,363500,1140,14541286
2010-01-05,6.111454735324453,6.245907951955758,6.088537363933234,6.210766657402702,875700,2678,35525210
2010-01-06,6.190900297727487,6.491887075678238,6.15728947810689,6.417022999923665,1330700,2214,55115244
2010-01-07,6.384942655235525,6.462857742706101,6.3436893991015495,6.3574338590469335,367800,1521,15385051
2010-01-08,6.380361168587063,6.461327267773644,6.342158924169092,6.355913322263388,413600,1864,17327467
2010-01-11,6.381881705370609,6.443001321179799,6.3482708857500105,6.417022999923665,471000,1415,19746007
2010-01-12,6.325353514358793,6.444521857963345,6.23368402879392,6.417022999923665,900300,1916,37720113
2010-01-13,6.44758280782826,6.453694769409179,6.267294848414519,6.325353514358793,1622900,1457,67693782
2010-01-14,6.2871512699408205,6.598841434269865,6.2871512699408205,6.355913322263388,864200,2277,36541614
2010-01-15,6.355913322263388,6.493417550610696,6.30395667975112,6.30395667975112,514200,1916,21514982
2010-01-18,6.342158924169092,6.44758280782826,6.297854656319113,6.334516487655715,259500,710,10819601
2010-01-19,6.33299595087217,6.776068443818691,6.33299595087217,6.722601202671789,965300,2408,42002545
2010-01-20,6.597310959337406,6.783710880332066,6.517865396934372,6.753151072427472,650200,2123,28337752
2010-01-21,6.812740213304203,6.818852174885123,6.536201281677129,6.600371909202321,884000,2406,38417201
2010-01-22,6.569812101297726,6.569812101297726,6.17256441298473,6.264233898549603,1621900,3741,67111121
2010-01-26,6.224511117348086,6.224511117348086,6.012142813246204,6.1099242603919945,1017900,2603,40623814
2010-01-27,6.085476414068319,6.336046962588172,6.050335119515263,6.218399155767167,1148500,2854,46826857
2010-01-28,6.279518771576356,6.342158924169092,6.102281823878618,6.226041592280543,1272000,1933,51876547
2010-01-29,6.2871512699408205,6.336046962588172,6.036590659569879,6.145065554945051,651100,1554,26601831
2010-02-01,6.134372106715671,6.334516487655715,6.1145057470404565,6.25048943860422,871200,2564,35630047
2010-02-02,6.26576437348206,6.331465475939711,6.129780681918298,6.186318811079026,719000,1703,29107970
2010-02-03,6.158819953039346,6.325353514358793,6.091588375649239,6.17256441298473,563600,2071,22809545
2010-02-04,6.108393785459538,6.241316527158385,5.839497290345839,5.912830891167954,830600,2680,32234350
2010-02-05,5.912830891167954,6.04728410779926,5.639342971256882,5.805876532576328,1276600,3817,49174797
2010-02-08,5.885332033128275,5.9113004162354965,5.688228725755322,5.760041789793892,1289000,3674,48613585
2010-02-09,5.851711275358765,5.894495006425198,5.789071122766029,5.851711275358765,1623500,3669,61987915
2010-02-10,5.859353711872141,5.949502660653469,5.6790657524584,5.77226571295573,1174700,3047,44869165
2010-02-11,5.749348341564512,5.931166775910711,5.714207047011456,5.866996148385518,1193000,3400,45859617
2010-02-12,5.850190738575218,5.9158819028839575,5.75087881649697,5.760041789793892,392800,2114,14918451
2010-02-17,5.821161405603082,5.906718929587036,5.555305984056475,5.805876532576328,1056800,2770,40319409
