Date,Open,High,Low,Close,Volume,Neg,Fin
2012-05-25,730.073,900.09003,716.07166,851.08521,8501300,2238,68061020
2012-05-28,853.08527,934.09338,815.08148,820.08203,1418600,1634,12251056
2012-05-29,839.08392,840.08398,758.07587,758.07587,1748800,1885,13727791
2012-05-30,763.07629,778.07788,680.06799,700.07007,1554400,2582,11061568
2012-05-31,700.07007,730.073,594.05939,594.05939,3491400,4952,22160127
2012-06-01,589.0589,589.0589,495.0495,495.0495,2784300,3420,14817974
2012-06-04,495.0495,558.05579,463.04633,540.05402,4199800,5049,21479735
2012-06-05,545.0545,590.05902,529.05292,538.05383,1085500,1026,6108479
2012-06-06,545.0545,570.05701,515.05151,540.05402,2283400,1833,12221215
2012-06-08,540.05402,591.05908,535.05353,580.05804,565200,268,3201005
2012-06-11,595.05951,619.06195,559.05591,561.05615,443600,335,2614202
2012-06-12,570.05701,579.05792,547.05469,565.05652,171700,161,968636
2012-06-13,579.05792,600.06,565.05652,572.05719,677400,310,3933016
2012-06-14,581.05811,581.05811,555.05548,575.0575,336900,313,1918953
2012-06-15,580.05804,582.05823,546.05463,561.05615,374500,365,2085103
2012-06-18,560.05603,564.0564,530.05304,534.05341,174300,350,947072
2012-06-19,535.05353,535.05353,505.05051,505.05051,615000,846,3196187
2012-06-20,508.05081,516.05157,475.04749,481.0481,405100,629,1981616
2012-06-21,478.04782,495.0495,455.0455,485.04852,363300,354,1733133
2012-06-22,490.04901,510.05099,480.04797,497.04968,385800,455,1918594
2012-06-25,482.04822,495.0495,482.04822,485.04852,195200,372,947352
2012-06-26,485.04852,494.04941,464.04639,485.04852,600300,455,2885313
2012-06-27,475.04749,479.04791,445.04453,466.0466,1214100,1203,5549283
2012-06-28,463.04633,467.04669,422.04218,425.04248,333400,350,1466752
2012-06-29,440.04401,459.0459,412.04117,450.04501,522700,973,2246323
2012-07-02,450.04501,450.04501,435.04352,435.04352,96700,173,425766
2012-07-03,426.04263,444.04443,414.04138,425.04248,483000,325,2049361
2012-07-04,428.04285,435.04352,420.04199,429.04294,278600,98,1197390
2012-07-05,437.0437,439.04388,415.0415,430.043,409400,221,1755071
