Date,Percent
1999-12-31,0.068485
2000-03-01,0.068318
2000-04-01,0.068218
2000-05-01,0.068184
2000-06-01,0.068218
2000-07-01,0.068218
2000-10-01,0.068218
2000-11-01,0.068285
2000-12-01,0.068184
2000-01-13,0.068184
2000-01-14,0.068251
2000-01-17,0.068184
2000-01-18,0.068151
2000-01-19,0.067984
2000-01-20,0.06795
2000-01-21,0.068251
2000-01-24,0.068251
2000-01-25,0.068285
2000-01-26,0.068117
2000-01-27,0.068017
2000-01-28,0.068017
2000-01-31,0.067984
2000-01-02,0.068084
2000-02-02,0.068051
2000-03-02,0.068051
2000-04-02,0.068117
2000-07-02,0.068017
2000-08-02,0.068117
2000-09-02,0.068017
2000-10-02,0.068084
2000-11-02,0.068051
2000-02-14,0.068051
2000-02-15,0.068084
2000-02-16,0.068151
2000-02-17,0.068051
2000-02-18,0.068184
2000-02-21,0.068318
2000-02-22,0.068251
2000-02-23,0.068251
2000-02-24,0.068218
2000-02-25,0.068184
2000-02-28,0.068151
2000-02-29,0.068251
2000-01-03,0.068218
2000-02-03,0.068251
2000-03-03,0.068218
2000-08-03,0.068218
2000-09-03,0.068251
2000-10-03,0.068251
2000-03-13,0.068251
2000-03-14,0.068318
2000-03-15,0.068318
2000-03-16,0.068318
2000-03-17,0.068251
2000-03-20,0.068251
2000-03-21,0.068285
2000-03-22,0.067682
2000-03-23,0.068084
2000-03-24,0.068352
2000-03-27,0.068318
2000-03-28,0.068251
2000-03-29,0.067079
2000-03-30,0.066979
2000-03-31,0.066945
2000-03-04,0.066878
2000-04-04,0.066912
2000-05-04,0.067046
2000-06-04,0.067079
2000-07-04,0.067046
2000-10-04,0.067012
2000-11-04,0.067046
2000-12-04,0.067079
2000-04-13,0.06718
2000-04-14,0.067314
2000-04-17,0.067314
2000-04-18,0.067314
2000-04-19,0.067146
2000-04-20,0.06728
2000-04-24,0.06728
2000-04-25,0.06728
2000-04-26,0.06728
2000-04-27,0.06728
2000-04-28,0.06728
2000-02-05,0.067347
2000-03-05,0.067347
2000-04-05,0.067414
2000-05-05,0.067414
2000-08-05,0.067314
2000-09-05,0.06718
2000-10-05,0.06718
2000-11-05,0.06718
2000-12-05,0.067113
2000-05-15,0.067113
2000-05-16,0.067113
2000-05-17,0.067079
2000-05-18,0.067079
2000-05-19,0.067079
2000-05-22,0.067079
2000-05-23,0.067079
2000-05-24,0.067113
2000-05-25,0.067113
2000-05-26,0.067146
2000-05-29,0.067113
2000-05-30,0.067046
2000-05-31,0.067012
2000-01-06,0.066979
2000-02-06,0.066945
2000-05-06,0.066878
2000-06-06,0.066777
2000-07-06,0.066643
2000-08-06,0.066576
2000-09-06,0.066576
2000-12-06,0.066542
2000-06-13,0.066509
2000-06-14,0.066475
2000-06-15,0.066509
2000-06-16,0.066542
2000-06-19,0.066509
2000-06-20,0.066206
2000-06-21,0.063779
2000-06-23,0.063678
2000-06-26,0.063509
2000-06-27,0.063407
2000-06-28,0.062967
2000-06-29,0.063102
2000-06-30,0.063035
2000-03-07,0.062899
2000-04-07,0.062933
2000-05-07,0.063001
2000-06-07,0.063068
2000-07-07,0.062967
2000-10-07,0.062119
2000-11-07,0.061983
2000-12-07,0.061949
2000-07-13,0.061915
2000-07-14,0.061949
2000-07-17,0.061949
2000-07-18,0.061915
2000-07-19,0.061745
2000-07-20,0.060588
2000-07-21,0.06052
2000-07-24,0.060452
2000-07-25,0.060383
2000-07-26,0.060349
2000-07-27,0.060315
2000-07-28,0.060281
2000-07-31,0.060213
2000-01-08,0.060179
2000-02-08,0.060179
2000-03-08,0.060179
2000-04-08,0.060179
2000-07-08,0.060213
2000-08-08,0.060247
2000-09-08,0.060213
2000-10-08,0.060281
2000-11-08,0.060383
2000-08-14,0.060452
2000-08-15,0.060315
2000-08-16,0.060247
2000-08-17,0.060315
2000-08-18,0.060349
2000-08-21,0.060554
2000-08-22,0.060315
2000-08-23,0.059427
2000-08-24,0.060213
2000-08-25,0.060315
2000-08-28,0.060349
2000-08-29,0.060383
2000-08-30,0.060315
