Date,Open,High,Low,Close,Volume,Neg,Fin
2019-10-28,17.12187,17.14163,16.79583,16.80571,21065700,18249,361035972
2019-10-29,16.89463,17.06259,16.64763,16.79583,3375900,9593,57444550
2019-10-30,16.80571,16.84523,16.64763,16.82547,2241600,4428,38059473
2019-10-31,16.76619,16.77607,16.49944,16.77607,1497500,1441,25254215
2019-11-01,16.88475,17.20091,16.62787,17.13175,2049800,3418,35193390
2019-11-04,17.13175,17.72454,17.12187,17.68502,2610900,5417,46124321
2019-11-05,17.78382,17.78382,17.54671,17.78382,862100,3126,15457337
2019-11-06,17.78382,17.8431,17.42815,17.63563,1352600,1054,24152871
2019-11-07,17.63563,17.63563,16.92427,17.48743,2452400,4072,42956225
2019-11-08,17.43803,17.62575,17.03295,17.28983,463500,1668,8157307
2019-11-11,17.11199,17.33923,16.97367,17.27995,2507900,1856,43431012
2019-11-12,17.27007,17.34911,16.43028,16.59823,2855600,5055,48141307
2019-11-13,16.10424,16.30184,14.64201,14.81985,9002100,11476,138436636
2019-11-14,14.87913,15.23481,13.99982,14.81985,6889800,13963,100651658
2019-11-18,14.91865,15.68928,14.83961,15.43241,4129300,4898,64377004
2019-11-19,15.61025,15.74856,15.07673,15.21505,1475000,2017,22935571
2019-11-21,15.22493,15.41265,14.93841,15.27433,946900,1946,14523364
2019-11-22,15.08661,15.70904,15.05697,15.64977,1005200,5730,15739180
2019-11-25,15.65965,15.84736,15.42253,15.71892,316000,916,5007047
2019-11-26,15.50157,16.16352,15.49169,16.16352,3631800,2189,58778124
2019-11-27,16.30184,16.33148,15.85724,16.0746,575100,1433,9360947
2019-11-28,16.0746,16.4698,16.01532,16.4698,238200,807,3918757
2019-11-29,16.40064,16.59823,16.08448,16.55872,377300,924,6305344
2019-12-02,16.5686,16.97367,16.39076,16.94403,881700,1809,14926124
2019-12-03,16.93415,17.40839,16.72668,17.28983,976200,2761,16971378
2019-12-04,17.53683,17.70478,17.21079,17.60599,976000,2478,17331275
2019-12-05,17.93202,17.97154,17.78382,17.78382,1168600,2476,21122913
2019-12-06,17.98142,18.02094,17.64551,17.70478,1067700,3639,19211981
2019-12-09,17.86286,17.90238,17.72454,17.78382,474400,1488,8541504
2019-12-10,17.88262,18.55446,17.72454,18.27782,1162400,3639,21265209
2019-12-11,18.56434,19.51281,18.50506,19.11761,2363200,5779,45408646
2019-12-12,19.31521,19.49305,18.78169,18.92001,1801300,3827,34836174
2019-12-13,19.13737,19.13737,17.80358,18.27782,3257200,10950,59939678
2019-12-16,18.51494,18.6335,18.17902,18.40626,1329000,4151,24759871
2019-12-17,18.42602,18.47542,18.06046,18.27782,664900,2210,12266109
2019-12-18,18.27782,18.55446,17.71466,18.09998,2120800,6227,38795801
