Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,11.1944,11.77759,11.14698,11.59741,909100,2968,22166403
2010-01-05,11.68276,12.20431,11.68276,11.90086,1334600,3831,33770737
2010-01-06,11.85345,12.14268,11.70173,12.04311,913800,2328,23000394
2010-01-07,11.96724,12.44612,11.78707,12.44612,890300,1904,23039306
2010-01-08,12.43664,12.44138,12.00992,12.04311,727500,1288,18642185
2010-01-11,11.99569,12.06681,11.55474,12.01466,1407900,2613,35166525
2010-01-12,11.74914,12.13319,11.65431,12.11423,871600,1298,22085741
2010-01-13,12.13319,12.37975,11.99569,12.26121,723300,1939,18636999
2010-01-14,12.18535,12.23276,11.86293,11.94828,714900,1766,18138774
2010-01-15,11.71121,11.98621,11.49785,11.79655,675700,1884,16688260
2010-01-18,11.83923,11.99569,11.47888,11.47888,507600,1544,12441859
2010-01-19,11.43147,12.00518,11.38405,11.92457,613600,1533,15146227
2010-01-20,11.61638,11.75388,11.23707,11.40302,858600,2166,20801659
2010-01-21,11.45992,11.47414,10.76293,10.76293,1450400,4173,33523779
2010-01-22,10.76293,10.87673,10.45948,10.67285,1679400,4107,37808957
2010-01-26,10.54957,11.18966,10.43104,11.18966,1121300,2841,25462045
2010-01-27,11.12328,11.16595,10.71552,11.14225,1008400,3183,23318910
2010-01-28,11.14225,11.2513,10.75345,10.76293,959400,1935,22126764
2010-01-29,11.45992,12.06681,10.99526,11.1375,4519100,5670,109094727
2010-02-01,11.18966,11.73492,10.82932,11.49785,1746200,2085,41940223
2010-02-02,11.43147,11.75862,11.28448,11.65905,1033500,1899,25245206
2010-02-03,11.55474,11.94828,11.4931,11.85345,866700,1529,21561020
2010-02-04,11.73492,11.79655,11.1944,11.26078,1912400,3606,45993678
2010-02-05,11.26078,11.49785,11.0,11.45043,1622700,2089,38909236
2010-02-08,11.45043,12.28018,11.26078,11.81078,1915100,3745,47617172
2010-02-09,11.97199,12.08104,11.79181,11.80604,975400,2477,24482890
2010-02-10,11.79181,11.79181,11.39354,11.42673,1201300,2845,29177993
2010-02-11,11.14225,11.4125,11.05216,11.35087,1390000,2349,32910885
2010-02-12,11.11854,11.28923,10.84828,11.0,950900,2307,22087781
2010-02-17,11.30819,11.42673,11.08535,11.09483,1163900,4249,27615338
2010-02-18,11.09483,11.1944,10.91466,10.93836,884200,2839,20470790
2010-02-19,10.93836,11.01423,10.7819,10.81035,881200,2064,20201777
2010-02-22,10.90517,11.21336,10.87673,11.15647,932500,2332,21708763
2010-02-23,11.09957,11.27026,10.95259,11.05216,792200,1717,18626410
2010-02-24,11.14225,11.27026,11.00474,11.15173,709700,1462,16696280
2010-02-25,11.02371,11.21336,10.92414,11.02371,958300,2702,22416348
2010-02-26,11.02845,11.11854,10.90517,11.02371,581300,1562,13525833
2010-03-01,11.15647,11.36035,11.04742,11.29397,522400,1204,12389008
2010-03-02,11.28448,11.58319,11.28448,11.37931,823800,1762,19920714
2010-03-03,11.43147,11.6875,11.26078,11.26078,1074400,2961,26070631
2010-03-04,11.27975,11.47414,10.95259,10.95259,952500,2445,22374017
2010-03-05,11.14225,11.35561,11.09483,11.18966,754500,1748,17826346
2010-03-08,11.23233,11.34138,10.98104,11.14225,557300,1550,13100959
2010-03-09,11.14225,11.51207,11.03794,11.33664,800500,2234,19093592
2010-03-10,11.42673,11.54526,11.24655,11.49785,719900,1615,17363910
2010-03-11,11.4694,11.55474,11.32242,11.51681,439700,1575,10606394
2010-03-12,11.48362,11.52155,11.30819,11.37931,313100,1258,7526414
2010-03-15,11.28923,11.45992,11.27975,11.45043,313200,1045,7527391
2010-03-16,11.35561,11.65905,11.35561,11.54526,382100,1010,9312780
2010-03-17,11.61638,11.7444,11.47414,11.50733,504700,1143,12385074
2010-03-18,11.54526,11.61164,11.37931,11.43147,367400,991,8890116
2010-03-19,11.48837,11.52155,11.15647,11.21811,328800,748,7869382
2010-03-22,11.14225,11.39828,11.09483,11.29871,357400,1006,8472535
2010-03-23,11.26552,11.36509,11.11854,11.31768,302100,1144,7163279
2010-03-24,11.18966,11.28448,10.89569,10.90043,645800,1517,15009379
2010-03-25,10.92888,10.95733,10.44052,10.48319,1753700,3710,39303436
2010-03-26,10.50216,10.69181,10.47845,10.66811,683800,1600,15312147
2010-03-29,10.66811,10.89569,10.66811,10.85302,552400,1598,12618686
2010-03-30,10.92414,11.18017,10.79138,11.1375,954000,1921,22241053
2010-03-31,11.11854,11.6069,11.01423,11.6069,2114300,3770,50700139
2010-04-01,11.6069,11.6875,11.2513,11.30819,625900,1734,15136404
2010-04-05,11.4694,11.4694,11.2513,11.37931,822900,1713,19714512
2010-04-06,11.28448,11.61164,11.19914,11.33664,616700,1027,14898048
2010-04-07,11.29397,11.50733,11.21336,11.28448,891700,1475,21459501
2010-04-08,11.3319,11.57845,11.26552,11.28448,1150900,2045,27822375
2010-04-09,11.33664,11.40302,11.09483,11.23233,555600,1608,13138043
2010-04-12,11.14698,11.42199,11.14698,11.28448,646200,1924,15447508
2010-04-13,11.23233,11.56897,11.21336,11.42673,811600,2231,19579337
2010-04-14,11.36983,11.65431,11.30819,11.54526,874000,2038,21240535
2010-04-15,11.54526,11.55,11.28448,11.37457,516900,1508,12403704
2010-04-16,11.28448,11.47414,11.18966,11.3319,598800,1709,14330027
2010-04-19,11.43147,11.43147,11.14225,11.28448,529800,1794,12581138
2010-04-20,11.30345,11.4125,11.21336,11.3319,484400,1388,11568184
2010-04-22,11.18966,11.29397,11.04742,11.18966,480300,1279,11343854
2010-04-23,11.16121,11.32716,11.15647,11.27975,522700,906,12372690
2010-04-26,11.27975,11.57845,11.27975,11.52155,896700,3046,21676207
2010-04-27,11.42673,11.62586,11.29397,11.38405,831800,2102,20174767
2010-04-28,11.49785,11.73017,11.38405,11.55,913700,2012,22361047
2010-04-29,11.59741,12.15216,11.48362,12.13793,1264700,2072,31906216
2010-04-30,12.04311,12.17586,11.61638,11.9388,1222600,2735,30978049
2010-05-03,11.8594,11.9499,11.60221,11.89751,822700,1851,20321127
2010-05-04,11.71652,11.95466,11.46886,11.67365,738900,3051,18060618
2010-05-05,11.50219,11.76415,11.50219,11.54982,774700,1715,18895805
2010-05-06,11.54982,11.6546,10.6687,11.05925,1432000,3305,33249163
2010-05-07,11.02591,11.47838,10.98305,11.14975,937400,2239,21970886
2010-05-10,11.34502,11.83559,11.34026,11.54029,744100,1813,17956896
