Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-30,30.0,30.35,27.56,28.5,16822000,45925,488271952
2021-08-02,28.51,30.5,28.51,29.69,2010600,7416,59305102
2021-08-03,29.92,30.25,28.51,29.5,1348800,2260,39743582
2021-08-04,29.98,29.98,28.2,29.0,1615700,3998,46976194
2021-08-05,29.07,29.13,28.37,29.0,850200,1670,24612316
2021-08-06,29.0,29.41,27.67,28.79,420700,1969,12023861
2021-08-09,28.78,29.16,27.69,29.0,3308000,2076,94776435
2021-08-10,29.4,29.41,28.9,28.9,556200,1476,16154020
2021-08-11,28.92,29.67,28.5,29.0,1060700,2713,30522561
2021-08-12,28.9,29.43,28.29,28.45,582800,1507,16724735
2021-08-13,29.0,29.1,27.66,28.4,414600,1194,11588689
2021-08-16,28.06,28.9,27.56,27.85,419600,1901,11707908
2021-08-17,27.5,28.07,25.96,26.96,554400,1515,14884040
2021-08-18,27.23,27.9,26.64,27.56,265400,971,7312066
2021-08-19,27.23,29.7,26.28,29.1,681700,3403,18893188
2021-08-20,28.44,29.15,28.14,28.5,125500,501,3589488
2021-08-23,28.8,29.08,28.46,28.5,82800,458,2382897
2021-08-24,28.5,29.0,28.0,28.73,764000,1641,21746283
2021-08-25,28.76,28.85,27.82,28.7,482200,1834,13627796
2021-08-26,28.68,28.87,27.95,28.06,320100,1240,9047998
2021-08-27,28.06,28.17,27.5,27.8,566000,1226,15795599
2021-08-30,27.6,27.75,26.92,27.01,434100,2186,11889369
2021-08-31,27.01,27.27,25.87,26.2,551400,1422,14489697
2021-09-01,26.2,27.29,26.2,27.29,569300,1756,15221003
2021-09-02,27.0,27.41,26.61,27.41,277200,977,7496572
2021-09-03,27.4,27.95,26.98,27.67,316200,1450,8716476
2021-09-06,27.67,27.77,27.4,27.65,250200,969,6919353
2021-09-08,27.65,27.76,26.75,26.75,1312700,2080,35775045
2021-09-09,26.6,27.48,26.01,27.39,695100,1311,18557784
2021-09-10,27.61,27.88,27.16,27.71,283100,738,7787923
2021-09-13,27.0,27.63,26.33,27.29,798800,2726,21588123
2021-09-14,27.05,28.46,26.79,27.9,468200,1695,12975368
2021-09-15,27.98,27.98,27.26,27.49,355500,1217,9781966
2021-09-16,27.12,27.47,26.86,27.05,357800,1562,9685468
2021-09-17,27.0,27.34,26.43,26.5,745700,2286,19843507
2021-09-20,25.89,26.18,25.41,25.62,573200,1496,14792150
2021-09-21,25.97,26.43,25.63,25.69,219900,999,5686728
