Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.59993,4.70732,4.58203,4.67152,1069100,1235,5559917
2010-01-05,4.67152,4.73417,4.56413,4.68942,1164200,743,6099492
2010-01-06,4.67152,4.71627,4.64467,4.70732,760700,610,3980453
2010-01-07,4.69837,4.69837,4.62677,4.68942,697400,793,3633786
2010-01-08,4.66257,4.69837,4.63572,4.69837,933500,597,4866324
2010-01-11,4.69837,4.69837,4.63572,4.68047,823000,989,4295481
2010-01-12,4.65362,4.76101,4.61782,4.74311,1494900,854,7868763
2010-01-13,4.75206,4.83261,4.74311,4.76101,1316900,1212,7045877
2010-01-14,4.77891,4.77891,4.68047,4.72522,702300,594,3701430
2010-01-15,4.70732,4.76101,4.66257,4.71627,484400,1261,2549048
2010-01-18,4.71627,4.73417,4.66257,4.67152,589300,958,3096204
2010-01-19,4.72522,4.74311,4.68047,4.73417,615300,642,3249546
2010-01-20,4.67152,4.72522,4.64467,4.70732,631200,621,3307362
2010-01-21,4.71627,4.74311,4.55518,4.56413,704500,1026,3641399
2010-01-22,4.53728,4.59098,4.49253,4.56413,472400,755,2406808
2010-01-26,4.56413,4.56413,4.40304,4.47464,1051700,2390,5247932
2010-01-27,4.50148,4.53728,4.40304,4.46569,710700,553,3544266
2010-01-28,4.49253,4.52833,4.39409,4.41199,951500,1097,4716865
2010-01-29,4.44779,4.45674,4.3583,4.42094,798100,648,3940641
2010-02-01,4.42989,4.45674,4.40304,4.45674,750500,471,3710495
2010-02-02,4.46569,4.65362,4.46569,4.64467,1728700,724,8842950
2010-02-03,4.60888,4.60888,4.50148,4.53728,699000,302,3550484
2010-02-04,4.55518,4.55518,4.3046,4.40304,1117100,650,5480009
2010-02-05,4.3225,4.3225,4.09877,4.20616,1442900,962,6781773
2010-02-08,4.2688,4.2688,4.16141,4.21511,851600,1351,4000022
2010-02-09,4.25985,4.38514,4.2509,4.29565,488000,654,2356089
2010-02-10,4.2688,4.31355,4.21511,4.23301,554600,619,2632895
2010-02-11,4.27775,4.36724,4.21511,4.3404,570100,362,2741054
2010-02-12,4.2509,4.34935,4.2509,4.29565,517000,969,2484928
2010-02-17,4.3583,4.42094,4.34935,4.38514,311900,381,1529311
2010-02-18,4.38514,4.39409,4.31355,4.3404,381700,322,1856805
2010-02-19,4.34935,4.34935,4.29565,4.3225,351400,412,1694970
2010-02-22,4.3225,4.3404,4.2867,4.31355,308500,738,1485971
2010-02-23,4.3583,4.39409,4.2867,4.3046,812500,1266,3938197
2010-02-24,4.34935,4.40304,4.24196,4.2509,929200,689,4463107
2010-02-25,4.22406,4.2509,4.11666,4.22406,710400,489,3327297
2010-02-26,4.2509,4.33145,4.20616,4.2867,721500,637,3446303
2010-03-01,4.3046,4.3404,4.2688,4.29565,540700,403,2596641
2010-03-02,4.2867,4.3225,4.2688,4.2688,379000,296,1821324
2010-03-03,4.2867,4.31355,4.24196,4.2509,474700,392,2271382
2010-03-04,4.2509,4.31355,4.2509,4.31355,247700,206,1189277
2010-03-05,4.3046,4.40304,4.3046,4.39409,937700,477,4574830
2010-03-08,4.38514,4.42094,4.2509,4.41199,644000,444,3156952
2010-03-09,4.38514,4.47464,4.33145,4.39409,1421600,536,7050085
2010-03-10,4.42989,4.47464,4.3404,4.47464,1166500,513,5790840
2010-03-11,4.44779,4.47464,4.41199,4.45674,292300,155,1456253
2010-03-12,4.46569,4.50148,4.42989,4.42989,805600,192,4024702
