Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.86119,1.89625,1.85088,1.89625,90500,167,1634128
2010-01-05,1.89625,1.92925,1.8581,1.92822,32100,92,594403
2010-01-06,1.8715,2.01071,1.8715,1.97049,184100,286,3521873
2010-01-07,1.98493,2.01071,1.96018,1.97977,181500,455,3487594
2010-01-08,2.00658,2.04164,1.95915,2.00039,179100,454,3482217
2010-01-11,2.00452,2.03133,1.94884,1.94884,59400,92,1150538
2010-01-12,1.95915,2.01071,1.95399,2.01071,51000,68,980851
2010-01-13,2.01174,2.07979,2.00039,2.06948,134700,230,2667050
2010-01-14,2.08289,2.10351,2.04164,2.05195,53900,121,1077647
2010-01-15,2.04164,2.06226,2.03545,2.05195,50000,106,994152
2010-01-18,2.0468,2.05092,2.00452,2.05092,6200,19,122126
2010-01-19,2.01277,2.05711,2.01277,2.05711,28900,126,573229
2010-01-20,2.03339,2.05195,1.99318,2.04886,36400,33,720955
2010-01-21,2.06226,2.06226,1.9643,2.01071,41400,62,797861
2010-01-22,2.00968,2.07257,2.00968,2.05195,156400,189,3126058
2010-01-26,2.0468,2.06226,1.97462,2.06226,65100,125,1270102
2010-01-27,2.03133,2.04164,1.99111,2.02411,62000,48,1216736
2010-01-28,2.06226,2.06226,1.96843,1.97049,106800,304,2059790
2010-01-29,2.01174,2.01174,1.95502,1.96946,64900,87,1241536
2010-02-01,1.99318,2.01071,1.92925,1.92925,22300,29,426527
2010-02-02,1.9179,1.92822,1.89831,1.92822,18700,36,346368
2010-02-03,1.9179,1.97874,1.9179,1.95399,17000,25,321673
2010-02-04,1.93543,1.93543,1.85604,1.90759,51200,59,938995
2010-02-05,1.85604,1.87666,1.8282,1.87666,30300,38,542249
2010-02-08,1.92822,1.92822,1.90759,1.90759,1200,4,22220
2010-02-09,1.92718,1.94368,1.89728,1.92822,116300,111,2158210
2010-02-10,1.93853,1.95915,1.93337,1.95915,2900,10,54550
2010-02-11,1.94884,1.97874,1.9045,1.97874,21300,26,399272
2010-02-12,1.96843,1.96843,1.93853,1.93853,1300,3,24548
2010-02-17,1.90244,1.96946,1.90244,1.95296,6300,16,119148
2010-02-18,1.90759,1.94884,1.90759,1.94884,100700,23,1899139
2010-02-19,1.93853,1.9643,1.90759,1.9643,15900,22,298282
2010-02-22,1.93853,1.9643,1.93853,1.9643,4200,6,79510
2010-02-23,1.92822,1.96327,1.90966,1.93853,15300,17,287078
2010-02-24,1.95399,1.95399,1.89213,1.92822,7200,19,134295
2010-02-25,1.88697,1.90759,1.83541,1.87666,60800,223,1104214
2010-02-26,1.9375,1.9375,1.86429,1.9179,13000,22,240923
