Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.05329,2.11125,2.04667,2.11125,371700,1455,14029281
2010-01-05,2.12173,2.13884,2.08917,2.11401,400500,1555,15330254
2010-01-06,2.11401,2.16479,2.08806,2.12339,462100,1325,17852539
2010-01-07,2.11953,2.12891,2.09248,2.10297,605600,2017,23148276
2010-01-08,2.11511,2.13222,2.04225,2.11125,584900,2218,22364871
2010-01-11,2.12946,2.15264,2.11511,2.14436,562400,1424,21739417
2010-01-12,2.10849,2.19018,2.10849,2.18687,632400,2012,24824065
2010-01-13,2.17251,2.183,2.12836,2.14602,776100,2601,30274677
2010-01-14,2.11621,2.14712,2.09745,2.1118,365200,1609,13998569
2010-01-15,2.05881,2.11401,2.05881,2.08089,349900,860,13179522
2010-01-18,2.09193,2.12505,2.05881,2.06543,170600,473,6421951
2010-01-19,2.05163,2.09634,2.04667,2.09634,379000,1279,14292439
2010-01-20,2.06709,2.08641,2.00913,2.05881,838900,1944,31131185
2010-01-21,2.03342,2.08365,2.02459,2.05329,647600,2005,24178790
2010-01-22,2.06819,2.08641,2.02073,2.05881,324700,1389,12146678
2010-01-26,2.02569,2.10517,2.02569,2.0991,509300,1382,19091078
2010-01-27,2.07868,2.12394,2.05274,2.09634,898000,3007,33764093
2010-01-28,2.08641,2.12394,2.05991,2.10628,821800,2511,31166043
2010-01-29,2.1278,2.19128,2.0704,2.12725,846600,1744,32715169
2010-02-01,2.12725,2.16423,2.11953,2.13884,487800,1374,18967181
2010-02-02,2.13884,2.17031,2.11953,2.11953,636800,1373,24700299
2010-02-03,2.11401,2.13001,2.09303,2.09414,402400,1189,15330697
2010-02-04,2.09469,2.09469,2.04887,2.05826,506600,1345,18987321
2010-02-05,2.04943,2.09303,2.03618,2.0555,950100,2628,35462965
2010-02-08,2.05605,2.08475,2.0406,2.06764,315200,1298,11812635
2010-02-09,2.07151,2.14988,2.07151,2.11953,574800,1612,22033014
2010-02-10,2.11953,2.1543,2.10186,2.1543,407000,1852,15747416
2010-02-11,2.15816,2.19514,2.11953,2.19404,431800,1546,16934716
2010-02-12,2.19073,2.20784,2.1554,2.18576,478500,1792,18932101
2010-02-17,2.19349,2.23157,2.1681,2.18024,475800,1535,18858768
2010-02-18,2.19625,2.19625,2.13498,2.13498,646700,2373,25194963
2010-02-19,2.1394,2.15044,2.10021,2.10849,467400,2084,18007225
