Date,Open,High,Low,Close,Volume,Neg,Fin
2013-07-19,12.05421,12.19414,11.81433,12.01423,894100,1431,10776435
2013-07-22,12.09419,12.09419,11.99424,12.01423,393200,358,4735953
2013-07-23,11.99424,12.09419,11.84431,11.84431,77500,75,920889
2013-07-24,11.74436,11.79434,11.62442,11.69438,102700,103,1204320
2013-07-25,11.59443,11.70438,11.39453,11.50448,194000,141,2244971
2013-07-26,11.50448,11.59443,11.49448,11.54446,36900,21,425854
2013-07-29,11.49448,11.84431,11.49448,11.74436,23600,32,277409
2013-07-30,11.77435,11.89429,11.67439,11.71438,31600,22,374160
2013-07-31,11.74436,11.8643,11.74436,11.83432,31400,9,370244
2013-08-01,11.83432,11.83432,11.59443,11.79434,16100,17,188403
2013-08-02,11.79434,11.79434,11.69438,11.69438,28400,34,334593
2013-08-05,11.94426,11.94426,11.94426,11.94426,3800,2,45410
2013-08-06,11.69438,11.73437,11.67439,11.73437,8000,10,93602
2013-08-07,11.94426,11.94426,11.88429,11.88429,2517200,17,30080295
2013-08-08,11.88429,11.88429,11.69438,11.8643,2800,9,32854
2013-08-09,11.8743,12.14417,11.8643,12.14417,302300,76,3598094
2013-08-12,11.94426,12.14417,11.79434,12.14417,31700,31,380734
2013-08-13,11.88429,12.14417,11.79434,12.13417,24400,23,291445
2013-08-14,11.99424,12.09419,11.69438,12.09419,27800,15,335131
2013-08-15,11.99424,12.09419,11.91428,12.0842,13000,14,156908
2013-08-16,11.99424,12.89381,11.99424,12.494,28600,30,353478
2013-08-19,12.484,12.484,12.19414,12.19414,600,3,7436
2013-08-20,11.85431,11.85431,11.85431,11.85431,100,1,1186
2013-08-22,11.91428,11.99424,11.91428,11.91428,3300,11,39436
2013-08-26,11.97425,11.97425,11.67439,11.67439,23700,40,279052
2013-08-27,11.99424,11.99424,11.69438,11.83432,1800,9,21328
2013-08-28,11.98425,11.98425,11.70438,11.88429,8500,24,100187
2013-08-29,11.88429,11.88429,11.61442,11.84431,11600,19,136150
2013-08-30,11.89429,11.97425,11.64441,11.97425,4211100,23,49733344
2013-09-02,11.98425,11.98425,11.90428,11.97425,5200,5,62290
2013-09-03,11.62442,11.97425,11.62442,11.92427,12000,16,142823
2013-09-04,11.98425,11.98425,11.69438,11.69438,1200,8,14160
2013-09-05,12.04422,12.04422,11.74436,11.92427,3300,9,38952
2013-09-06,11.98425,11.98425,11.79434,11.79434,11700,19,138277
2013-09-09,11.89429,11.97425,11.88429,11.96426,5700,13,68107
2013-09-10,11.97425,11.97425,11.89429,11.96426,7800,12,93300
2013-09-11,11.98425,11.98425,11.81433,11.98425,2500,7,29789
2013-09-12,11.98425,12.0742,11.98425,12.04422,4800,13,57770
2013-09-13,12.0742,12.18415,11.98425,11.98425,11500,27,138381
2013-09-16,12.16416,12.16416,11.99424,11.99424,8200,16,98590
