Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.93386,6.95247,6.82217,6.84079,37200,87,549064
2010-01-05,6.84079,7.25961,6.84079,7.23634,212100,166,3233563
2010-01-06,7.32941,7.32941,7.23634,7.25961,66800,68,1043719
2010-01-07,7.25961,7.25961,7.12,7.23634,16700,27,258757
2010-01-08,7.27357,7.48764,7.21307,7.48764,124500,193,1968071
2010-01-11,7.51556,7.67378,7.51556,7.6319,120600,102,1979490
2010-01-12,7.49229,7.6319,7.49229,7.6319,46200,48,745186
2010-01-13,7.65517,7.84131,7.6319,7.72962,72600,60,1207161
2010-01-14,7.77151,7.88784,7.65051,7.77151,52600,67,879225
2010-01-15,7.74824,7.86458,7.72497,7.77151,49000,114,819204
2010-01-18,7.72497,7.79477,7.67843,7.79477,22500,29,375245
2010-01-19,7.81339,7.81339,7.75289,7.77151,15500,56,259201
2010-01-20,7.77151,7.77151,7.27357,7.60863,58500,97,955008
2010-01-21,7.67378,7.67378,7.34338,7.35268,42000,76,672621
2010-01-22,7.36664,7.53417,7.32941,7.35268,33800,37,535532
2010-01-26,7.44575,7.44575,7.07812,7.42249,24000,71,376285
2010-01-27,7.41783,7.41783,7.06416,7.27357,81600,48,1284979
2010-01-28,7.28288,7.29684,7.02693,7.16654,78500,42,1206845
2010-01-29,7.18981,7.32476,7.03624,7.25961,28000,65,435839
2010-02-01,7.3806,7.42714,7.15723,7.42714,32700,82,513712
2010-02-02,7.43179,7.51556,7.28288,7.42249,24900,61,398340
2010-02-03,7.40853,7.53882,7.40853,7.53882,8200,20,132561
2010-02-04,7.42249,7.42249,7.16189,7.32476,31100,36,487721
2010-02-05,7.28753,7.28753,6.79425,6.97109,123000,137,1835980
2010-02-08,6.9199,7.12931,6.9199,6.93851,93200,134,1401527
2010-02-09,6.9199,7.38526,6.91059,7.27357,44000,227,685121
2010-02-10,7.36664,7.41318,7.18981,7.30149,150700,78,2349674
2010-02-11,7.25961,7.37595,7.16654,7.21307,81500,72,1265909
2010-02-12,7.21307,7.21307,7.05951,7.08743,26900,50,415078
2010-02-17,7.21307,7.30615,7.21307,7.30615,5500,19,85975
2010-02-18,7.29218,7.34803,7.28288,7.34803,37300,97,586433
2010-02-19,7.34803,7.34803,7.16654,7.23634,30200,46,471084
2010-02-22,7.26426,7.32476,7.22238,7.2503,17700,31,275765
2010-02-23,7.21307,7.21307,7.00366,7.00366,32200,12,492340
2010-02-24,7.16654,7.16654,6.80356,6.80356,21300,40,320041
2010-02-25,6.82217,6.97574,6.79425,6.97574,208800,28,3063512
2010-02-26,6.98039,6.98039,6.74771,6.97109,48000,60,703203
2010-03-01,6.97574,7.12,6.83613,7.0502,245800,286,3693042
2010-03-02,7.09208,7.16654,7.09208,7.12,258700,62,3953046
2010-03-03,7.00366,7.18981,6.79425,6.86405,215000,305,3276315
2010-03-04,6.93386,7.0502,6.91059,6.91059,12400,41,185378
2010-03-05,6.98039,7.14327,6.97574,7.14327,65800,41,991348
2010-03-08,7.12,7.15258,6.98039,7.15258,11500,18,175933
2010-03-09,7.07347,7.25496,7.07347,7.24565,27500,35,427280
2010-03-10,7.22238,7.35268,7.21307,7.32941,46200,69,722359
2010-03-11,7.39922,7.52021,7.3108,7.44575,31200,96,500373
2010-03-12,7.49229,7.49229,7.31545,7.39922,33900,197,541279
2010-03-15,7.44575,7.49229,7.30615,7.44575,103800,81,1657160
2010-03-16,7.52952,7.58071,7.49694,7.58071,60700,103,982373
2010-03-17,7.58536,7.79477,7.58536,7.77151,266700,471,4429199
2010-03-18,7.832,7.88319,7.80873,7.81804,101500,89,1705437
2010-03-19,7.85992,7.91111,7.77151,7.84131,23000,66,387310
2010-03-22,7.84131,7.84131,7.77151,7.84131,16100,51,270221
2010-03-23,7.84131,7.84131,7.74824,7.74824,11200,34,187605
2010-03-24,7.80408,7.91577,7.80408,7.91577,67400,241,1139713
2010-03-25,7.90181,7.90181,7.83666,7.83666,40700,124,688379
