Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,5.79061,5.90381,5.74707,5.74707,77800,91,2586399
2010-01-05,5.75926,5.90032,5.74707,5.74707,109200,126,3612515
2010-01-06,5.72965,5.77319,5.69482,5.74707,147600,353,4864292
2010-01-07,5.74707,5.74707,5.39876,5.39876,377900,535,11921691
2010-01-08,5.13753,5.25944,5.04697,5.1741,968600,1518,28616335
2010-01-11,5.24202,5.24202,5.08528,5.1027,348600,300,10290457
2010-01-12,5.15146,5.15146,5.03652,5.05045,420200,985,12199354
2010-01-13,5.13753,5.13753,4.94596,4.96338,364100,957,10522316
2010-01-14,5.02955,5.03304,4.8763,4.8763,544800,969,15455696
2010-01-15,4.8763,4.88152,4.65861,4.65861,740300,1392,20223447
2010-01-18,4.70911,4.78226,4.58024,4.61333,640400,614,17330130
2010-01-19,4.7004,4.74568,4.54715,4.61507,1319800,1188,35343765
2010-01-20,4.61507,4.77181,4.57153,4.77181,1533000,2117,41391576
2010-01-21,4.83973,4.86237,4.6708,4.75439,704700,1219,19314351
2010-01-22,4.73698,4.73698,4.60113,4.65861,749900,905,20109878
2010-01-26,4.58895,4.60113,4.49142,4.52799,674400,992,17594969
2010-01-27,4.52799,4.56805,4.51058,4.56282,402100,963,10496025
2010-01-28,4.61333,4.62378,4.4444,4.47575,744100,1479,19270234
2010-01-29,4.51754,4.55412,4.35906,4.44092,1079900,1174,27715403
2010-02-01,4.52103,4.52625,4.42698,4.48445,346500,520,8899513
2010-02-02,4.51406,4.54018,4.48445,4.48445,404600,574,10488500
2010-02-03,4.50883,4.57327,4.49839,4.55237,479100,494,12473850
2010-02-04,4.56979,4.62726,4.39389,4.46181,418200,760,10780176
2010-02-05,4.39215,4.49839,4.37996,4.37996,396500,414,10083866
2010-02-08,4.4235,4.44962,4.34513,4.34513,407100,650,10232599
2010-02-09,4.36255,4.40609,4.27547,4.28418,716800,1474,17744824
2010-02-10,4.28418,4.32075,4.24935,4.24935,411800,633,10117371
2010-02-11,4.29985,4.49142,4.26154,4.42002,471600,795,11885826
2010-02-12,4.44092,4.44092,4.24064,4.2685,502100,1042,12345388
2010-02-17,4.31901,4.51058,4.31378,4.48619,353400,1131,8988094
2010-02-18,4.47575,4.51928,4.41479,4.43221,282100,576,7212115
2010-02-19,4.45485,4.50013,4.38867,4.44962,257300,423,6589298
2010-02-22,4.48445,4.5158,4.42176,4.44092,191500,642,4900514
2010-02-23,4.43047,4.47401,4.32075,4.37996,317900,966,7976304
2010-02-24,4.39738,4.41131,4.26154,4.31901,239600,449,5945937
2010-02-25,4.29114,4.34165,4.24586,4.30159,153100,371,3772080
2010-02-26,4.32771,4.41131,4.28418,4.40609,291200,748,7266879
2010-03-01,4.43047,4.43047,4.28766,4.30159,345800,554,8590656
2010-03-02,4.33468,4.39564,4.29811,4.38867,481500,927,12073270
2010-03-03,4.39738,4.49142,4.38867,4.40609,386300,1512,9833257
2010-03-04,4.43917,4.47052,4.35384,4.38867,288700,490,7275654
2010-03-05,4.43917,4.43917,4.35384,4.4235,453700,515,11497263
2010-03-08,4.43221,4.43221,4.37996,4.38867,197100,466,4991015
2010-03-09,4.38867,4.46878,4.36255,4.43917,414400,507,10547012
2010-03-10,4.43917,4.50187,4.40086,4.4235,302400,527,7740799
2010-03-11,4.39912,4.4235,4.36777,4.41479,92500,190,2338268
2010-03-12,4.4235,4.43743,4.30159,4.31553,231700,377,5761473
2010-03-15,4.30159,4.39912,4.29114,4.33991,383800,274,9567508
2010-03-16,4.3521,4.41305,4.3521,4.41305,103200,348,2597591
2010-03-17,4.41305,4.43917,4.32771,4.38519,228000,307,5766455
2010-03-18,4.38519,4.41479,4.31901,4.35558,129300,354,3238371
2010-03-19,4.39738,4.4026,4.3103,4.4026,190400,175,4795474
2010-03-22,4.3521,4.43917,4.32771,4.35732,213100,233,5347838
2010-03-23,4.3817,4.43221,4.32771,4.34513,84400,157,2108625
2010-03-24,4.35036,4.39738,4.32249,4.35384,182400,792,4563907
2010-03-25,4.35384,4.39564,4.28592,4.3312,203600,288,5074212
2010-03-26,4.32771,4.32771,4.22322,4.25631,288100,707,7043671
2010-03-29,4.33294,4.43221,4.33294,4.37125,242400,375,6113147
2010-03-30,4.41131,4.44092,4.37125,4.42002,244300,646,6171937
2010-03-31,4.4235,4.47575,4.35384,4.47575,326300,716,8269143
2010-04-01,4.56185,4.58887,4.52043,4.53664,378600,1563,9555802
2010-04-05,4.56905,4.59247,4.53844,4.54744,126300,455,3194944
2010-04-06,4.55645,4.61048,4.52943,4.54924,206900,530,5262616
2010-04-07,4.59247,4.59247,4.52043,4.53664,192600,762,4847953
2010-04-08,4.53483,4.57986,4.48441,4.50422,411000,645,10290459
2010-04-09,4.55285,4.57806,4.50242,4.55645,145600,382,3678496
2010-04-12,4.54744,4.57446,4.51322,4.52043,119100,306,2993680
2010-04-13,4.53664,4.55465,4.4754,4.53304,351600,963,8824367
2010-04-14,4.50422,4.57626,4.50422,4.56365,124200,370,3133781
2010-04-15,4.51322,4.55645,4.50962,4.53844,119600,198,3009599
2010-04-16,4.54564,4.57986,4.50242,4.55645,145900,349,3671150
2010-04-19,4.55465,4.58346,4.50602,4.57266,241700,404,6098575
2010-04-20,4.57266,4.57266,4.50242,4.55465,225800,366,5692438
2010-04-22,4.44839,4.53844,4.41237,4.51142,325200,605,8140867
2010-04-23,4.50242,4.52583,4.48981,4.50242,234800,574,5881823
2010-04-26,4.51142,4.52043,4.4754,4.50242,137800,656,3446559
