Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,11.12527,11.2842,11.12527,11.165,792900,217,11120501
2010-01-05,11.17295,11.2842,11.12527,11.20473,760500,203,10659523
2010-01-06,11.27625,11.76099,11.13321,11.6418,361500,273,5157082
2010-01-07,11.32393,11.8643,11.31598,11.71332,454100,167,6675610
2010-01-08,11.73715,11.84046,11.64974,11.84046,138500,177,2051742
2010-01-11,11.76099,12.65896,11.76099,12.55566,1180900,454,18127498
2010-01-12,12.4603,12.6828,12.20601,12.63512,1355900,1487,21260623
2010-01-13,12.63512,13.11192,12.49209,12.63512,850100,478,13573524
2010-01-14,12.79406,12.99272,12.63512,12.99272,801100,490,12864541
2010-01-15,12.86557,13.11192,12.61923,13.11192,672500,465,10804749
2010-01-18,12.95299,13.40594,12.91326,13.35032,171800,274,2867206
2010-01-19,13.17549,13.58873,12.97683,13.58873,991700,413,16527475
2010-01-20,13.50925,13.50925,13.11192,13.16755,1172500,759,19586422
2010-01-21,13.12781,13.12781,12.47619,12.72254,1333000,285,21305946
2010-01-22,12.6987,12.84174,12.6987,12.71459,220900,304,3535566
2010-01-26,12.51593,12.79406,12.31726,12.51593,269000,76,4286840
2010-01-27,12.31726,12.6987,11.82457,12.07091,244700,440,3697950
2010-01-28,12.23779,12.31726,11.82457,11.91198,347500,321,5231542
2010-01-29,11.84046,12.23779,11.53849,11.53849,290800,160,4312012
2010-02-01,11.2842,12.07886,11.2842,11.99939,694400,171,10359846
2010-02-02,11.99939,12.15833,11.72921,12.15833,693000,113,10322005
2010-02-03,11.91993,12.22985,11.80073,11.91993,734700,142,10974022
2010-02-04,11.84046,11.91993,11.00607,11.12527,1005300,475,14191411
2010-02-05,11.12527,11.34777,10.83919,11.12527,2149500,1457,30134182
2010-02-08,11.29214,11.60207,11.165,11.2842,219400,362,3119574
2010-02-09,11.51465,12.15833,11.32393,11.91993,1297400,349,19133447
2010-02-10,11.91993,11.99939,11.76894,11.91993,119400,55,1795009
2010-02-11,12.03913,12.51593,11.8802,11.88814,814200,80,12237734
2010-02-12,11.91993,12.39673,11.54644,11.95966,116900,176,1764295
2010-02-17,11.91993,12.71459,11.6259,12.31726,176000,218,2742883
2010-02-18,12.31726,12.65896,12.27753,12.39673,80500,67,1262460
2010-02-19,12.53977,12.53977,11.91993,12.11859,379300,334,5798591
2010-02-22,11.96761,12.27753,11.96761,12.07886,390600,104,5935099
2010-02-23,12.07886,12.23779,11.80867,12.07886,45100,60,682767
2010-02-24,11.91993,12.2219,11.78484,12.07886,229800,220,3500660
2010-02-25,11.93583,12.07091,11.76099,11.84841,297700,239,4455357
2010-02-26,11.99939,11.99939,11.36367,11.51465,758500,518,11186988
2010-03-01,11.39545,11.67358,11.24446,11.2842,252700,471,3616738
2010-03-02,11.32393,11.51465,11.165,11.30009,374800,520,5340939
2010-03-03,11.4034,11.51465,11.05375,11.08553,333700,389,4714818
2010-03-04,11.20473,11.20473,10.83919,10.85508,187900,363,2592872
2010-03-05,10.96633,11.0458,10.8074,10.84713,254300,91,3481911
2010-03-08,10.99812,10.99812,10.47365,10.47365,1278700,231,17012512
2010-03-09,10.42596,10.7041,10.41802,10.52927,736100,275,9795111
2010-03-10,10.41007,10.83919,10.41007,10.569,475000,652,6350676
2010-03-11,10.71204,10.8074,10.48954,10.72793,1407600,321,18777194
2010-03-12,10.99812,11.0458,10.74383,11.0458,437200,447,6011747
2010-03-15,11.03785,11.03785,10.73588,10.94249,260200,293,3579982
2010-03-16,10.99812,11.32393,10.9266,11.32393,488400,925,6888579
2010-03-17,11.34777,11.75305,11.20473,11.2842,424300,518,6112158
2010-03-18,11.44313,11.95172,11.2683,11.76099,303000,617,4462808
2010-03-19,11.68153,12.07886,11.68153,12.07886,1507300,274,22722429
2010-03-22,11.95966,12.31726,11.89609,12.15833,821600,459,12494801
2010-03-23,12.19806,12.54771,12.08681,12.30931,307400,649,4774609
2010-03-24,12.18217,12.27753,12.07886,12.07886,203100,207,3090368
2010-03-25,12.07886,12.23779,11.84841,12.07886,951800,235,14463320
2010-03-26,12.07886,12.07886,11.64974,11.7451,90600,90,1342143
2010-03-29,11.6418,11.87225,11.53055,11.58617,199000,220,2921296
2010-03-30,11.60207,11.7451,11.43519,11.61796,325900,314,4765524
2010-03-31,11.59412,11.72127,11.29214,11.29214,165000,337,2367475
2010-04-01,11.5226,11.73715,11.165,11.41929,228400,395,3302839
2010-04-05,11.60207,11.76099,11.39545,11.39545,64400,129,934365
2010-04-06,11.43519,11.73715,11.25241,11.49876,254600,346,3694209
2010-04-07,11.60207,11.6418,11.29214,11.34777,136500,148,1976492
2010-04-08,11.35572,11.47492,11.17295,11.17295,192200,345,2741373
2010-04-09,11.18884,11.4034,10.84713,10.84713,326500,441,4508303
2010-04-12,10.86303,10.95839,10.74383,10.81535,906000,374,12326427
2010-04-13,10.84713,11.05375,10.8074,10.96633,48300,61,666186
2010-04-14,10.96633,11.07759,10.75178,10.9266,367800,155,5042496
2010-04-15,10.9266,10.97428,10.03658,10.52927,369500,559,4901581
2010-04-16,10.67231,10.67231,10.13194,10.25114,350700,309,4535707
2010-04-19,10.33061,10.33061,9.86176,10.01274,774600,283,9832449
2010-04-20,10.17167,10.33061,9.98096,9.98096,526500,109,6766402
2010-04-22,10.12399,10.29882,9.94122,10.29087,475200,187,6056907
2010-04-23,10.33061,10.52927,10.05247,10.05247,1274200,181,16575280
2010-04-26,10.10015,10.10015,9.55184,9.69488,1155700,769,14172859
2010-04-27,9.66309,10.16373,9.54389,10.05247,1969800,2332,24729477
2010-04-28,10.09221,10.33061,10.01274,10.13194,1431100,1442,18220537
2010-04-29,10.13989,10.64052,10.05247,10.41007,1267200,1029,16474630
2010-04-30,10.32266,10.60079,10.29087,10.48954,828000,377,10890330
2010-05-03,10.45775,10.72793,10.37034,10.60874,785900,472,10461683
2010-05-04,10.59334,10.6176,10.21327,10.39117,794000,244,10326245
2010-05-05,10.10814,10.74698,10.10814,10.52865,717500,362,9324822
2010-05-06,10.83593,10.83593,10.1971,10.56099,807000,593,10467566
2010-05-07,10.56099,10.71463,10.47204,10.60142,178200,270,2331015
2010-05-10,10.71463,11.23217,10.71463,10.9168,236700,402,3192184
2010-05-11,10.71463,10.99766,10.5529,10.77932,253100,467,3383751
2010-05-12,10.94914,11.44242,10.75507,11.44242,369600,358,5119343
2010-05-13,11.11087,11.9357,11.11087,11.72545,608600,743,8822866
2010-05-14,11.56372,11.56372,11.25643,11.25643,570000,353,8028159
2010-05-17,11.33019,11.43539,11.03884,11.24116,987100,380,13639080
