Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,39.10836,40.92735,38.19887,38.19887,1800,3,7640
2010-01-06,39.10836,39.10836,36.83463,36.92558,106300,10,455627
2010-01-07,37.56222,37.65317,36.83463,36.83463,900,4,3712
2010-01-08,38.10792,38.10792,38.10792,38.10792,100,1,419
2010-01-11,36.74367,37.92602,36.56177,37.28937,2000,8,8110
2010-01-12,37.83507,39.47216,37.83507,39.01741,28400,35,121707
2010-01-13,40.01786,40.47261,37.10747,37.28937,66300,43,277215
2010-01-14,39.10836,39.10836,37.28937,38.92646,2900,8,11990
2010-01-15,37.10747,38.10792,37.10747,38.10792,200,2,827
2010-01-18,36.83463,37.56222,36.83463,37.56222,4300,7,17438
2010-01-19,37.74412,38.10792,37.74412,38.10792,2100,5,8719
2010-01-20,38.19887,38.19887,37.74412,38.19887,3200,11,13370
2010-01-21,38.19887,38.65361,37.28937,38.47171,23800,18,99387
2010-01-22,39.10836,40.01786,39.10836,39.56311,7500,14,32475
2010-01-26,39.10836,39.10836,37.10747,38.92646,13200,6,55188
2010-01-27,37.19842,38.92646,36.37988,37.92602,13500,18,54765
2010-01-28,38.10792,38.47171,37.28937,38.10792,3500,5,14690
2010-01-29,37.74412,38.10792,36.92558,37.47127,2700,17,11121
2010-02-01,37.56222,38.01697,37.56222,38.01697,1000,2,4135
2010-02-02,37.74412,37.74412,37.65317,37.65317,1100,3,4564
2010-02-03,38.01697,39.10836,37.92602,39.01741,10200,14,42897
2010-02-04,38.65361,39.10836,36.83463,38.83552,7200,9,30357
2010-02-08,37.10747,37.10747,37.10747,37.10747,100,1,408
2010-02-09,37.56222,37.65317,36.37988,37.65317,2300,11,9421
2010-02-10,37.65317,38.01697,37.65317,38.01697,5500,7,22774
2010-02-11,37.83507,38.01697,37.83507,38.01697,200,2,834
2010-02-17,38.74457,38.74457,37.28937,38.01697,500,5,2090
2010-02-18,37.74412,38.19887,37.74412,38.19887,600,2,2495
2010-02-19,37.38032,38.01697,37.38032,38.01697,400,4,1657
2010-02-22,37.47127,38.01697,37.38032,38.01697,3700,7,15248
2010-02-23,38.01697,39.01741,37.74412,37.74412,2300,5,9612
2010-02-24,39.01741,39.01741,39.01741,39.01741,500,2,2145
2010-02-25,37.19842,38.65361,37.19842,38.65361,23600,15,96952
2010-02-26,38.19887,39.10836,37.56222,37.56222,2500,11,10504
2010-03-01,38.92646,40.01786,37.56222,39.74501,7100,9,29644
2010-03-02,39.74501,39.83596,39.29026,39.83596,1100,4,4784
2010-03-03,37.74412,39.92691,37.74412,39.92691,117600,18,500637
2010-03-09,39.56311,39.56311,39.56311,39.56311,2700,1,11745
2010-03-10,39.56311,40.01786,39.56311,40.01786,1900,2,8270
2010-03-11,39.83596,40.1088,39.83596,40.1088,6500,5,28646
2010-03-12,40.19976,40.47261,40.19976,40.47261,3500,7,15557
2010-03-15,40.01786,40.47261,40.01786,40.47261,1100,2,4845
2010-03-17,40.01786,40.01786,40.01786,40.01786,100,1,440
2010-03-18,39.74501,39.74501,39.74501,39.74501,1000,1,4370
2010-03-19,40.74546,40.92735,38.28982,40.47261,10600,19,46937
2010-03-22,40.92735,48.02143,40.47261,45.3839,17200,26,83333
2010-03-23,46.56624,46.56624,40.92735,45.47485,236500,66,1121736
2010-03-24,45.3839,46.11149,44.56535,45.47485,5700,15,28427
2010-03-25,45.29295,45.3839,40.92735,45.0201,63600,26,298348
2010-03-26,41.9278,45.0201,41.38211,45.0201,47100,18,217053
2010-03-29,44.92915,45.29295,43.65585,45.0201,3800,16,18563
2010-03-30,44.56535,45.29295,43.2011,45.29295,2300,10,11290
2010-03-31,44.01965,44.56535,43.2011,44.56535,11300,14,54683
2010-04-01,44.56535,45.0201,43.65585,44.4744,23800,17,116586
2010-04-05,43.83775,44.74725,43.65585,44.56535,9100,17,44061
2010-04-06,44.20155,44.56535,43.65585,44.56535,5200,7,25268
2010-04-07,43.65585,44.1106,42.74635,42.74635,9400,13,44646
2010-04-08,43.47395,44.4744,42.74635,43.65585,9700,12,46346
2010-04-09,44.38345,44.38345,43.47395,44.38345,500,3,2410
2010-04-12,43.29205,44.38345,43.2011,44.1106,1700,9,8148
2010-04-13,43.29205,43.65585,42.4735,43.47395,4000,8,18929
2010-04-14,43.5649,43.5649,43.47395,43.5649,2700,5,12913
2010-04-15,43.2011,43.5649,42.6554,42.6554,5600,7,26344
2010-04-16,43.65585,43.65585,43.65585,43.65585,100,1,480
2010-04-19,44.38345,44.38345,44.38345,44.38345,100,1,488
2010-04-20,42.6554,44.38345,42.6554,44.38345,400,4,1924
2010-04-26,43.5649,44.92915,41.83685,43.11015,53100,36,248200
2010-04-27,43.11015,43.65585,42.6554,42.74635,2100,5,9880
2010-04-28,43.2011,43.2011,42.74635,43.2011,1500,5,7065
2010-04-29,43.2011,43.65585,42.74635,42.74635,1800,4,8505
2010-04-30,43.2011,43.2011,42.74635,42.74635,3600,5,16980
2010-05-03,43.2011,44.38345,43.11015,43.2011,7300,6,35186
2010-05-04,43.47395,43.47395,43.47395,43.47395,100,1,478
2010-05-06,42.74635,42.74635,38.65361,41.74591,800,3,3524
2010-05-07,41.65495,44.20155,41.65495,44.20155,5400,7,24801
2010-05-10,43.65585,43.65585,43.65585,43.65585,2800,2,13440
2010-05-11,43.65585,43.65585,43.65585,43.65585,5200,3,24960
2010-05-13,40.92735,43.11015,40.01786,42.4735,21200,15,95014
2010-05-14,39.19932,42.4735,39.19932,41.74591,5000,15,22112
2010-05-17,42.20065,42.20065,42.20065,42.20065,100,1,464
2010-05-18,38.83552,40.47261,37.83507,40.47261,15100,18,63802
2010-05-19,39.92691,40.01786,37.47127,39.01741,111400,17,486382
2010-05-20,40.01786,40.01786,36.83463,39.01741,3600,9,14699
2010-05-24,37.19842,38.65361,37.10747,38.65361,5200,12,21346
2010-05-26,37.28937,38.10792,36.83463,38.10792,6400,13,26351
2010-05-27,37.10747,38.01697,36.37988,37.19842,9500,16,38368
2010-05-28,36.37988,36.37988,36.37988,36.37988,3300,5,13200
2010-05-31,35.47038,36.65273,34.83373,36.37988,12400,13,49424
2010-06-01,38.65361,38.65361,38.65361,38.65361,100,1,425
2010-06-02,35.92513,36.37988,35.47038,36.37988,8500,10,33479
2010-06-04,36.37988,36.37988,36.37988,36.37988,1000,1,4000
2010-06-07,35.47038,36.37988,35.01563,36.37988,2300,9,8942
2010-06-10,36.37988,37.92602,36.37988,36.37988,4600,11,18417
2010-06-11,36.37988,36.37988,36.37988,36.37988,100,1,400
2010-06-14,36.37988,38.10792,35.28848,38.10792,3300,6,13207
2010-06-16,38.19887,40.92735,36.37988,40.74546,8400,18,35263
2010-06-17,38.28982,40.74546,38.19887,39.01741,1300,4,5498
2010-06-18,39.56311,39.56311,37.74412,39.56311,6900,6,29138
2010-06-21,37.74412,39.56311,37.28937,38.56266,9800,10,40481
2010-06-22,37.38032,38.38077,36.56177,38.19887,5800,12,23851
2010-06-24,36.56177,37.65317,33.28759,35.19753,3500,8,13340
2010-06-25,35.47038,37.19842,35.47038,37.19842,300,3,1208
2010-06-28,37.74412,37.74412,37.65317,37.65317,200,2,829
2010-06-29,37.28937,37.28937,37.28937,37.28937,200,1,820
2010-06-30,37.56222,37.65317,37.56222,37.65317,200,2,827
2010-07-02,36.37988,38.10792,36.37988,38.10792,1800,6,7275
2010-07-06,36.47083,38.10792,36.37988,38.10792,1700,7,6868
2010-07-16,37.28937,38.10792,37.28937,38.10792,1800,3,7389
2010-07-22,37.28937,38.19887,37.28937,38.19887,59500,13,244586
2010-07-23,38.19887,40.74546,38.19887,39.92691,2200,7,9351
2010-07-27,36.92558,39.10836,35.10658,35.56133,17300,28,69044
2010-07-28,36.56177,38.74457,36.01608,37.28937,9800,21,39474
2010-07-29,36.01608,37.83507,35.65228,37.83507,4000,6,15949
2010-07-30,37.47127,38.01697,37.10747,38.01697,2200,6,9036
2010-08-02,38.10792,39.01741,37.28937,38.65361,46100,25,193346
2010-08-03,39.74501,39.74501,37.28937,38.83552,5400,10,22251
2010-08-05,38.10792,38.10792,36.47083,38.10792,3700,11,15155
2010-08-11,37.74412,39.56311,36.47083,38.28982,146600,77,613071
2010-08-12,39.38121,42.56445,38.19887,38.74457,166700,213,727852
2010-08-13,39.65407,40.38166,37.74412,38.01697,23600,33,101409
2010-08-16,39.10836,39.29026,36.92558,37.92602,29500,32,122867
2010-08-17,37.28937,37.74412,36.83463,37.65317,8600,14,35254
2010-08-18,38.10792,38.10792,37.74412,38.10792,1500,6,6248
2010-08-19,38.10792,38.10792,37.28937,37.38032,4200,10,17353
2010-08-20,38.10792,38.19887,36.92558,37.83507,23300,15,95789
2010-08-23,37.74412,38.65361,36.37988,37.19842,21800,20,88514
2010-08-24,37.19842,37.19842,36.56177,37.01653,11300,12,45680
2010-08-25,38.10792,38.10792,36.37988,37.01653,2800,12,11322
2010-08-26,36.83463,36.83463,35.56133,36.01608,10200,19,40098
2010-08-27,36.01608,37.74412,35.74323,37.47127,1200,10,4832
2010-08-30,37.65317,37.65317,37.10747,37.10747,500,4,2054
2010-08-31,36.83463,36.92558,36.37988,36.92558,5300,7,21371
2010-09-01,36.92558,36.92558,36.37988,36.37988,1100,6,4433
2010-09-02,36.83463,36.83463,36.37988,36.37988,1500,8,6028
2010-09-03,36.37988,37.01653,36.37988,37.01653,7400,6,29607
2010-09-08,37.10747,37.74412,37.01653,37.74412,4600,5,18887
2010-09-09,37.28937,37.28937,35.83418,36.74367,2400,9,9519
2010-09-10,36.56177,37.19842,35.83418,37.19842,6300,20,25610
2010-09-13,38.10792,38.10792,38.10792,38.10792,200,2,838
2010-09-14,37.65317,37.65317,35.47038,37.10747,11000,19,43307
2010-09-15,36.74367,36.74367,36.37988,36.37988,300,3,1208
2010-09-16,36.83463,36.83463,36.83463,36.83463,2200,4,8910
2010-09-17,36.74367,36.74367,36.74367,36.74367,200,2,808
2010-09-20,36.74367,37.38032,36.37988,36.83463,25800,19,103959
2010-09-21,37.56222,37.92602,36.37988,37.19842,3100,9,12477
2010-09-22,37.19842,37.19842,36.37988,36.74367,1500,7,6025
2010-09-23,36.83463,37.28937,36.19798,37.28937,5900,16,23696
2010-09-24,37.28937,37.28937,36.37988,37.28937,16200,7,64931
2010-09-27,37.10747,37.10747,36.37988,36.37988,4500,10,18119
2010-09-28,35.65228,36.83463,35.47038,36.83463,7000,24,27595
2010-09-29,36.56177,37.10747,36.28893,37.10747,9400,19,37795
2010-09-30,37.01653,37.01653,35.92513,36.01608,6400,12,25392
2010-10-01,36.56177,36.56177,36.56177,36.56177,100,1,402
2010-10-04,36.56177,36.83463,36.37988,36.83463,1200,8,4824
2010-10-05,36.83463,37.74412,36.74367,37.74412,8200,26,33508
2010-10-06,37.92602,37.92602,37.28937,37.74412,103400,10,430006
2010-10-07,36.37988,37.74412,36.37988,37.65317,141600,15,567434
2010-10-08,37.83507,37.83507,37.65317,37.83507,4300,8,17864
2010-10-11,37.92602,38.10792,37.92602,38.10792,1600,6,6674
2010-10-13,37.74412,37.74412,37.74412,37.74412,2200,3,9130
2010-10-14,37.83507,38.65361,37.74412,38.38077,23300,25,97849
2010-10-15,38.19887,40.01786,38.19887,39.10836,42100,35,178101
2010-10-18,39.92691,40.19976,38.74457,38.74457,15800,19,68060
2010-10-19,38.56266,40.47261,38.10792,39.56311,10900,24,46210
2010-10-20,40.19976,40.2907,40.01786,40.2907,600,5,2651
2010-10-21,39.10836,40.2907,38.65361,39.10836,10600,22,45579
2010-10-22,38.74457,39.83596,37.74412,39.74501,5000,13,21201
2010-10-25,38.38077,40.01786,38.38077,39.92691,8800,15,38308
2010-10-26,38.47171,39.83596,38.47171,38.65361,16900,24,71832
