Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,21.31448,21.31448,20.438,20.91608,234500,442,1212268
2010-01-05,21.19497,21.63321,21.19497,21.39417,4000,9,21458
2010-01-06,21.39417,21.87225,21.39417,21.51369,51600,62,280752
2010-01-07,21.15512,22.46985,20.95592,22.46985,67500,87,372563
2010-01-08,22.62921,23.10729,22.43001,23.10729,84800,65,487786
2010-01-11,23.18697,23.26665,22.31049,22.74873,85900,33,489432
2010-01-12,22.39017,22.90809,22.23081,22.54953,6700,18,37612
2010-01-13,22.39017,22.82841,22.39017,22.70889,23300,51,132238
2010-01-14,22.70889,22.70889,22.03161,22.03161,218800,56,1224260
2010-01-15,21.99177,22.58937,21.91209,22.58937,51000,20,285341
2010-01-18,22.50969,22.70889,22.03161,22.11129,18300,38,102503
2010-01-19,22.39017,23.30649,21.95193,22.90809,165200,113,933013
2010-01-20,22.70889,23.86425,22.31049,22.86825,101700,43,576782
2010-01-21,22.35033,22.50969,21.91209,21.99177,58800,27,324338
2010-01-22,21.95193,22.50969,21.95193,22.50969,3000,6,16846
2010-01-26,21.91209,22.31049,21.91209,22.11129,8900,14,49071
2010-01-27,22.11129,22.11129,21.91209,22.11129,13800,14,76345
2010-01-28,21.95193,22.31049,21.75273,22.31049,130000,16,713920
2010-01-29,22.70889,23.10729,22.03161,22.39017,13200,23,74639
2010-02-01,22.39017,22.66905,21.91209,22.66905,24400,23,136566
2010-02-02,22.46985,23.02761,22.46985,23.02761,147200,22,839889
2010-02-03,23.06745,23.06745,22.70889,22.74873,6400,8,36734
2010-02-04,23.06745,23.42601,21.91209,21.91209,57400,70,319119
2010-02-05,21.91209,21.91209,21.31448,21.67305,57400,16,308176
2010-02-09,22.66905,22.66905,22.66905,22.66905,2800,6,15932
2010-02-10,22.70889,23.34633,22.31049,23.10729,184300,61,1063315
2010-02-11,23.30649,24.3025,23.30649,24.1033,86500,52,514635
2010-02-12,23.90409,24.3025,23.54553,24.3025,50700,21,304085
