Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-06,0.89257,0.89257,0.88474,0.88474,400,2,1359
2010-01-07,0.86908,0.90823,0.86647,0.90823,3100,6,10336
2010-01-08,0.88735,0.88735,0.88735,0.88735,700,1,2380
2010-01-11,0.85603,0.88474,0.85342,0.88474,6500,10,21751
2010-01-12,0.86908,0.86908,0.86908,0.86908,1000,1,3330
2010-01-13,0.86125,0.86125,0.86125,0.86125,1000,2,3300
2010-01-14,0.87169,0.87169,0.86125,0.86647,7000,7,23273
2010-01-15,0.85081,0.86647,0.85081,0.86647,2000,2,6580
2010-01-18,0.86386,0.87169,0.86386,0.86647,12700,5,42206
2010-01-19,0.87952,0.87952,0.87952,0.87952,5000,3,16850
2010-01-20,0.86908,0.91084,0.86908,0.91084,3500,3,11833
2010-01-21,0.87952,0.87952,0.87952,0.87952,500,1,1685
2010-01-22,0.88474,0.88474,0.85342,0.85342,2000,2,6744
2010-01-26,0.86386,0.87691,0.86386,0.87691,4700,2,15642
2010-01-28,0.87691,0.87691,0.86386,0.86386,8000,5,26600
2010-01-29,0.86386,0.87952,0.86125,0.86125,13600,8,45193
2010-02-01,0.86125,0.86125,0.86125,0.86125,100,1,330
2010-02-02,0.86125,0.86125,0.85081,0.85081,2800,3,9236
2010-02-04,0.86125,0.86125,0.85081,0.85081,3400,3,11140
2010-02-05,0.85081,0.85081,0.8221,0.8221,11300,3,35738
2010-02-08,0.86386,0.86386,0.86386,0.86386,500,1,1655
2010-02-09,0.86125,0.86125,0.86125,0.86125,1000,1,3300
2010-02-10,0.86125,0.86125,0.86125,0.86125,2000,1,6600
2010-02-11,0.86125,0.86125,0.83515,0.86125,1100,3,3560
2010-02-17,0.86125,0.86125,0.86125,0.86125,2000,1,6600
2010-02-18,0.89779,0.89779,0.89779,0.89779,200,1,688
2010-02-23,0.86125,0.86125,0.86125,0.86125,600,1,1980
2010-02-25,0.86125,0.86125,0.85864,0.85864,12700,3,41803
2010-02-26,0.8743,0.8743,0.8743,0.8743,4900,5,16415
2010-03-01,0.88474,0.88474,0.88213,0.88213,3600,2,12194
2010-03-02,0.88213,0.88735,0.87691,0.88735,20100,11,68028
2010-03-03,0.88213,0.88213,0.88213,0.88213,1000,1,3380
2010-03-04,0.88735,0.88735,0.88735,0.88735,1200,2,4080
2010-03-05,0.89257,0.9004,0.89257,0.9004,4000,4,13702
2010-03-08,0.88735,0.88735,0.88474,0.88474,4100,2,13901
2010-03-10,0.87691,0.87691,0.87691,0.87691,2000,1,6720
2010-03-15,0.87691,0.91345,0.86647,0.91345,11100,9,37487
2010-03-18,0.9004,0.9004,0.9004,0.9004,300,1,1035
2010-03-30,0.9004,0.9004,0.9004,0.9004,1600,1,5520
2010-04-01,0.88213,0.88213,0.81166,0.81688,50100,46,159184
2010-04-05,0.84559,0.84559,0.84559,0.84559,900,1,2916
2010-04-06,0.83254,0.83254,0.81427,0.81427,2100,3,6559
2010-04-07,0.81427,0.83515,0.81427,0.83515,5000,2,15992
2010-04-13,0.78556,0.78556,0.75947,0.77773,22100,19,65203
2010-04-14,0.78295,0.78295,0.77512,0.77512,6300,7,18826
2010-04-15,0.78295,0.78295,0.77773,0.78295,3500,4,10494
2010-04-16,0.77773,0.78295,0.77773,0.78295,1700,2,5086
2010-04-19,0.78295,0.78295,0.78295,0.78295,300,1,900
2010-04-20,0.78034,0.79339,0.78034,0.79339,1500,2,4535
2010-04-26,0.78295,0.78295,0.78295,0.78295,200,1,600
2010-04-27,0.77251,0.78556,0.7699,0.78556,2200,4,6516
2010-04-28,0.78034,0.78034,0.77773,0.78034,9800,4,29250
2010-04-29,0.77512,0.77512,0.75686,0.75686,4200,5,12257
2010-05-04,0.73818,0.73818,0.73551,0.73551,3600,4,9929
2010-05-05,0.73551,0.73551,0.73551,0.73551,2800,3,7700
2010-05-06,0.73551,0.73551,0.72213,0.72213,2900,4,7896
2010-05-07,0.72213,0.72213,0.69539,0.69539,6500,6,17234
2010-05-10,0.72213,0.72213,0.69806,0.69806,600,2,1611
