Date,Open,High,Low,Close,Volume,Neg,Fin
2020-09-21,8.346447372512419,9.07711526162046,8.168468544531706,8.861660534459984,17307900,18965,159974819
2020-09-22,8.814822974282931,9.05838218789568,8.70241478020405,9.05838218789568,2531900,5660,24121850
2020-09-23,9.020906288715915,9.114581409070018,8.927231168361814,9.03027770144341,2641500,5038,25432891
2020-09-24,8.964697315811373,9.367502283680055,8.917869507364527,9.367502283680055,1182700,2401,11596249
2020-09-25,9.348769209955275,9.732841104099178,9.198894868426835,9.732841104099178,863900,867,8841126
2020-09-28,9.732841104099178,10.023228126158772,9.283198576053444,9.639165983745077,1667600,3641,17003833
2020-09-29,10.070065686335823,10.276158752499017,9.50801496421121,9.573595349843243,2452000,5678,25527576
2020-09-30,9.742202765096469,10.116903246512877,9.470548816761651,10.116903246512877,1756200,2881,18317426
2020-10-01,10.013866465161486,10.397928607575183,9.892086858355112,10.397928607575183,2213400,3635,23932425
2020-10-02,10.219949779594472,10.491603727929288,9.92955300580467,10.004495052433994,1126100,3280,12165433
2020-10-05,10.116903246512877,10.21057836686698,9.742202765096469,10.21057836686698,1528700,3688,16323761
2020-10-06,10.21057836686698,10.482242066932,10.041970951613758,10.397928607575183,1082100,4985,11870143
2020-10-07,10.397928607575183,10.397928607575183,10.12627465924037,10.25741592704403,668900,1675,7323107
2020-10-08,10.30425348722108,10.322986560945862,10.098170172788096,10.21057836686698,743000,1945,8104792
2020-10-09,10.341729386400845,10.63211640846044,10.229321192321963,10.266787339771522,1189500,2580,13139263
2020-10-13,10.266787339771522,10.397928607575183,10.070065686335823,10.070065686335823,1092000,3062,11860211
2020-10-14,10.116903246512877,10.25741592704403,9.938924418532164,10.041970951613758,493300,1682,5314791
2020-10-15,10.079437099063318,10.388566946577898,9.873353784630332,9.967028904984437,1254100,3697,13510445
2020-10-16,10.10754158551559,10.116903246512877,9.779678664276233,9.88271544562762,1282200,2023,13683951
2020-10-19,10.116903246512877,10.116903246512877,9.779678664276233,9.84524929817806,339400,1482,3570506
