Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,15.73668,15.73668,15.26874,15.51233,3700600,6936,89363963
2010-01-05,15.55719,15.60847,15.29438,15.36489,3965200,4646,95641213
2010-01-06,15.32002,15.6213,15.30079,15.38412,3286400,4430,79551582
2010-01-07,15.26233,15.56361,15.08926,15.08926,3300700,5454,78587831
2010-01-08,15.23028,15.34566,14.97388,15.06362,2167000,5386,50978719
2010-01-11,15.23028,15.36489,15.03157,15.21105,2075100,4679,49246720
2010-01-12,15.06362,15.46105,15.00593,15.46105,2338800,4246,55752805
2010-01-13,15.57002,15.60847,15.12772,15.22387,2235300,3714,53444925
2010-01-14,15.22387,15.33925,14.99952,15.08285,2385400,5749,56306522
2010-01-15,14.99952,15.14695,14.75594,14.89696,3432500,4804,80178490
2010-01-18,14.99311,15.1149,14.64697,14.7303,2124400,3697,49364744
2010-01-19,14.62133,14.86491,14.62133,14.71748,3787500,4356,86918138
2010-01-20,14.61492,14.62133,13.81366,14.0316,8079300,13097,177569525
2010-01-21,14.19826,14.19826,13.49316,13.55085,3635200,6513,77749386
2010-01-22,13.46111,14.07006,13.34573,13.68546,3462000,7506,73550179
2010-01-26,13.55726,13.98673,13.08292,13.90981,4175600,6242,87973903
2010-01-27,13.90981,14.26236,13.89699,14.10852,4318500,5379,95089111
2010-01-28,14.34569,14.45467,14.00596,14.19826,2944300,4200,65327560
2010-01-29,14.29441,14.39056,13.73033,13.87135,2091200,3735,45887611
2010-02-01,13.98032,14.61492,13.87776,14.55081,2650200,3901,58838861
2010-02-02,14.61492,14.80722,14.49312,14.80722,2122300,3881,48597683
2010-02-03,14.76876,14.82644,14.42902,14.74312,3081300,4942,70006592
2010-02-04,14.49954,14.6662,13.61495,13.87135,4425000,7026,97115248
2010-02-05,13.58931,13.71751,13.01881,13.52521,6188200,10025,128389499
2010-02-08,13.60213,14.06365,13.3329,13.53803,2942300,7589,63065668
2010-02-09,13.89058,14.24954,13.69187,14.23673,3338600,6694,73035894
2010-02-10,14.288,14.70466,14.16621,14.55723,2725800,4501,61575069
