Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,12.88809,12.97233,12.37425,12.71962,317700,236,4826882
2010-01-05,12.76174,13.25873,12.76174,13.01444,397500,200,6144552
2010-01-06,12.97233,13.62094,12.93021,13.46932,168400,248,2674593
2010-01-07,13.43562,13.50301,12.98075,13.3935,165200,199,2582603
2010-01-08,13.22503,13.33454,12.63538,13.30085,226400,242,3537573
2010-01-11,13.3935,13.70518,13.22503,13.35139,152700,184,2446588
2010-01-12,13.3935,13.3935,13.07341,13.1408,22100,54,346760
2010-01-13,13.1408,13.34297,13.02287,13.30927,83900,108,1318961
2010-01-14,13.4272,13.48616,13.30927,13.47774,37500,76,598168
2010-01-15,13.64621,13.64621,13.18291,13.38508,36400,78,582195
2010-01-18,13.30927,13.46932,13.18291,13.31769,10900,29,171835
2010-01-19,13.27558,13.47774,13.05656,13.35139,39100,81,620178
2010-01-20,13.35139,13.35139,13.03129,13.26715,25500,46,399985
2010-01-21,13.02287,13.05656,12.74489,12.79543,24600,50,377131
2010-01-22,12.73647,13.47774,11.79302,13.47774,99500,140,1472240
2010-01-26,13.46089,13.46089,12.38268,13.26715,19400,45,298471
2010-01-27,12.76174,12.94705,12.72804,12.94705,59600,57,907612
2010-01-28,13.01444,13.26715,12.65223,12.88809,84500,80,1287563
2010-01-29,12.6775,12.9639,12.63538,12.9639,82100,73,1251652
2010-02-01,13.30927,13.80626,13.30927,13.75572,206800,362,3340858
2010-02-02,14.02528,14.3201,13.3935,13.62937,455700,260,7403764
2010-02-03,13.68833,14.22744,13.68833,14.22744,282900,223,4672413
2010-02-04,14.18532,14.18532,13.51986,13.77257,542600,165,8820833
2010-02-05,13.56198,13.56198,12.80385,13.21661,742900,320,11467725
2010-02-08,13.06498,13.4272,13.06498,13.3935,590000,184,9358499
2010-02-09,13.47774,13.68833,13.284,13.56198,245500,166,3936665
2010-02-10,13.62937,13.73045,13.3935,13.52828,153900,94,2477621
2010-02-11,13.75572,13.75572,13.33454,13.35139,123800,69,1982953
2010-02-12,13.284,13.72202,12.89651,13.72202,37600,78,603553
2010-02-17,13.75572,13.89892,13.6041,13.8568,170900,88,2777961
2010-02-18,13.64621,13.68833,13.56198,13.6041,81000,59,1306280
2010-02-19,13.47774,13.6041,13.3935,13.51986,68300,94,1093993
2010-02-22,13.45247,13.6041,13.09868,13.46089,94200,49,1497121
2010-02-23,13.43562,13.43562,13.03971,13.31769,99000,57,1544944
2010-02-24,13.30927,13.43562,13.19134,13.30085,101400,78,1600209
2010-02-25,13.35139,13.35139,12.84597,13.30927,252400,76,3902990
2010-02-26,13.30927,13.8568,13.30927,13.81468,311400,170,5034610
2010-03-01,13.81468,13.84838,13.6041,13.80626,81600,115,1334522
2010-03-02,13.80626,13.94104,13.77257,13.8568,67300,95,1106969
2010-03-03,13.87365,14.06739,13.81468,13.89892,152200,184,2517243
2010-03-04,13.68833,13.81468,13.51986,13.81468,57300,122,929481
2010-03-05,13.67148,13.80626,13.36823,13.6041,191000,163,3074735
2010-03-08,13.47774,14.06739,13.47774,13.8568,387200,181,6374203
2010-03-09,13.81468,14.3201,13.81468,14.06739,314900,104,5311249
2010-03-10,14.2106,14.22744,13.77257,14.10951,51800,51,864963
2010-03-11,13.7473,13.88207,13.48616,13.58725,180400,234,2920643
2010-03-12,13.58725,14.23586,13.58725,14.23586,230300,39,3758860
2010-03-15,13.89892,14.06739,13.73045,14.06739,85800,71,1422714
2010-03-16,14.21901,14.32852,13.89892,14.32852,102300,254,1722061
2010-03-17,14.23586,14.48857,14.23586,14.48015,49300,54,843642
2010-03-18,14.47173,14.94344,14.45488,14.45488,87200,88,1509099
2010-03-19,14.69916,14.86763,14.3201,14.86763,68700,103,1190295
