Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,11.47597,11.47597,11.1334,11.25059,7500,11,93017
2010-01-05,11.3137,11.35877,11.04325,11.08833,14500,13,178633
2010-01-06,11.16946,11.16946,10.99818,11.14241,56800,15,703331
2010-01-07,11.1334,11.17847,10.9531,10.9531,62100,408,761118
2010-01-08,11.07931,11.1334,10.9531,10.98015,28700,269,351300
2010-01-11,11.06128,11.26862,10.72773,11.26862,71000,343,864378
2010-01-12,11.25961,11.3137,11.08833,11.14241,15400,81,190401
2010-01-13,11.3137,11.3137,10.99818,11.04325,51200,229,628030
2010-01-14,11.08833,11.08833,10.90803,11.0703,36700,218,448120
2010-01-15,10.99818,11.44892,10.90803,11.40384,60000,363,738697
2010-01-18,11.22355,11.39483,11.18749,11.30468,16200,100,203709
2010-01-19,11.30468,11.35877,11.1334,11.21453,23000,132,286138
2010-01-20,11.20552,11.35877,10.94409,11.07931,25100,161,306629
2010-01-21,11.1334,11.25961,10.88098,10.99818,12400,115,151220
2010-01-22,11.00719,11.47597,10.81788,11.47597,42000,213,514038
2010-01-26,11.16946,11.44892,11.16946,11.41286,1400,14,17577
2010-01-27,11.41286,11.71035,11.40384,11.53907,98100,330,1256172
2010-01-28,11.36778,11.57513,11.23257,11.53907,65900,172,835868
2010-01-29,11.62922,11.63823,11.22355,11.35877,65400,143,820122
2010-02-01,11.46771,11.46771,11.25838,11.3767,10900,20,136184
2010-02-02,11.46771,11.46771,11.28569,11.3767,74400,101,929150
2010-02-03,11.46771,11.46771,11.33119,11.3767,101100,520,1262751
2010-02-04,11.3949,11.42221,11.19468,11.3767,13300,101,165730
2010-02-05,11.32209,11.33119,10.92163,11.33119,53800,133,654747
2010-02-08,11.33119,11.3767,11.10366,11.28569,12100,90,149487
2010-02-09,11.42221,11.42221,11.10366,11.3676,18700,127,230856
2010-02-10,11.33119,11.33119,11.28569,11.33119,65200,115,810684
2010-02-11,11.33119,11.33119,11.33119,11.33119,12200,111,151890
2010-02-12,11.3585,11.3585,10.99444,11.27659,27900,232,343778
2010-02-17,11.30389,11.30389,11.06726,11.28569,12700,117,157181
2010-02-18,11.24018,11.24018,11.19468,11.19468,16700,163,206134
2010-02-19,11.24018,11.27659,10.97624,11.19468,25200,184,310964
2010-02-22,11.19468,11.28569,11.19468,11.23108,16600,159,205644
2010-02-23,11.22198,11.23108,11.10366,11.19468,16100,146,198318
2010-02-24,11.14917,11.24928,11.05815,11.19468,9900,87,121872
2010-02-25,11.19468,11.19468,11.01265,11.05815,5900,24,71777
2010-02-26,11.01265,11.23108,11.01265,11.23108,7100,15,86856
2010-03-01,11.21288,11.21288,11.01265,11.10366,14100,27,171526
2010-03-02,11.28569,11.28569,11.10366,11.10366,4200,27,51357
2010-03-03,11.24018,11.24018,11.02175,11.10366,54700,17,674439
2010-03-04,11.21288,11.21288,11.10366,11.14917,500,3,6117
2010-03-05,11.22198,11.22198,11.10366,11.19468,3400,25,41609
2010-03-08,11.19468,11.19468,11.04905,11.04905,9900,62,120410
2010-03-09,11.14917,11.14917,11.01265,11.10366,2600,20,31560
2010-03-10,11.17647,11.17647,10.92163,11.16737,221000,175,2654217
2010-03-11,11.16737,11.23108,11.09456,11.23108,3000,30,36824
2010-03-12,11.23108,11.23108,10.97624,11.10366,36100,268,440662
2010-03-15,11.10366,11.10366,10.97624,11.09456,6900,10,83542
2010-03-16,11.05815,11.10366,10.96714,11.05815,13300,37,160699
2010-03-17,11.05815,11.05815,10.92163,10.96714,22900,31,275059
2010-03-18,10.93984,11.10366,10.92163,10.96714,39600,189,477079
2010-03-19,10.92163,11.01265,10.75781,10.92163,207500,252,2492162
2010-03-22,10.92163,10.96714,10.92163,10.96714,50800,362,610013
2010-03-23,10.96714,11.01265,10.90343,11.01265,97500,235,1169087
2010-03-24,10.92163,10.95804,10.81242,10.81242,22600,60,270668
2010-03-25,10.86702,10.86702,10.65769,10.65769,11700,20,137954
2010-03-26,10.83062,10.83062,10.685,10.73961,61800,75,730838
2010-03-29,10.78511,10.92163,10.7032,10.73961,40800,183,481927
2010-03-30,10.92163,10.92163,10.83062,10.83062,200,2,2390
2010-03-31,10.95804,10.95804,10.78511,10.91253,12600,8,151051
2010-04-01,10.92163,11.04905,10.92163,10.93073,12300,119,147635
2010-04-05,11.06726,11.10366,10.83062,11.09456,29400,124,352835
2010-04-06,11.14917,11.14917,10.83972,10.83972,22800,47,273231
2010-04-07,11.03995,11.03995,10.6759,10.74871,56000,8,676000
2010-04-08,10.85792,10.92163,10.62129,10.62129,3800,21,44898
2010-04-09,10.92163,11.01265,10.78511,10.90343,6300,19,75569
2010-04-12,10.91253,10.91253,10.65769,10.73961,3700,12,43517
2010-04-13,10.6941,11.3767,10.6941,11.3767,82800,226,997891
2010-04-14,11.45862,11.45862,11.17647,11.29479,14800,51,183463
2010-04-15,11.32209,11.46771,11.24018,11.41311,51000,74,632208
2010-04-16,11.3767,11.55873,11.24018,11.44951,8300,64,103955
2010-04-19,11.42221,11.46771,10.99444,11.04905,65900,69,803697
2010-04-20,11.32209,11.32209,11.14007,11.14007,3900,18,47842
2010-04-22,11.14917,11.19468,10.92163,11.19468,21600,57,262543
2010-04-23,11.19468,11.31299,10.92163,11.08546,42600,52,515547
2010-04-26,11.32209,11.32209,10.96714,11.17647,8000,29,98132
2010-04-27,11.47681,11.47681,10.46657,10.46657,63400,76,760058
2010-04-28,10.63949,11.00355,9.55643,9.73846,143200,148,1631056
2010-04-29,10.0115,10.0115,9.55643,9.61104,96000,60,1033140
2010-04-30,9.82037,9.82947,9.51092,9.53823,51700,28,544577
2010-05-03,9.41991,9.41991,9.11046,9.19238,25700,34,263256
2010-05-04,9.23788,9.23788,8.97394,9.11957,19400,16,194348
2010-05-05,8.89203,9.49272,8.71,9.10136,73900,41,726120
2010-05-06,9.14687,9.27429,8.94664,9.27429,5800,11,58551
2010-05-07,9.50182,9.50182,9.23788,9.3744,1700,6,17374
2010-05-10,9.37392,9.81592,9.30026,9.81592,17400,24,182560
2010-05-11,9.66858,9.66858,9.40155,9.65938,400,4,4149
2010-05-12,9.65017,9.66858,9.48442,9.66858,1100,6,11521
2010-05-13,9.63175,9.64096,9.43838,9.64096,1000,5,10315
2010-05-17,9.62254,9.62254,9.39234,9.466,4400,5,44930
2010-05-18,9.47521,9.47521,9.3463,9.37392,6200,4,63196
2010-05-19,9.37392,9.37392,9.02401,9.02401,19100,17,191841
2010-05-20,9.02401,9.02401,9.02401,9.02401,200,2,1960
2010-05-21,9.02401,9.02401,8.48994,8.48994,7400,9,70432
2010-05-24,8.56361,8.74777,8.51756,8.56361,8600,31,80006
2010-05-25,8.47152,8.55439,8.3334,8.3334,54500,6,503484
2010-05-26,8.47152,8.56361,8.24132,8.28736,63900,23,587871
2010-05-27,8.37944,8.37944,8.14924,8.3334,19600,14,175305
2010-05-28,8.14924,8.97797,8.14924,8.97797,60500,15,549334
2010-05-31,9.07005,9.47521,9.07005,9.30026,38200,9,384259
2010-06-01,9.3463,9.48442,9.20818,9.20818,61400,6,629345
2010-06-02,9.20818,9.37392,9.20818,9.20818,2100,8,21018
2010-06-04,9.30026,9.30026,9.11609,9.11609,400,4,3991
2010-06-07,9.37392,9.37392,9.37392,9.37392,200,2,2036
2010-06-08,9.38313,9.38313,9.13451,9.13451,200,2,2011
2010-06-09,9.38313,9.48442,9.20818,9.466,21100,23,211507
2010-06-10,9.48442,9.94483,9.48442,9.94483,30400,19,318285
2010-06-11,9.89879,9.94483,9.89879,9.94483,1600,3,17235
2010-06-14,9.89879,9.92641,9.65938,9.65938,5600,8,58981
2010-06-15,9.92641,9.92641,9.65017,9.76067,19100,5,202656
2010-06-16,9.83433,9.83433,9.56729,9.83433,6300,5,65550
2010-06-17,9.83433,9.83433,9.83433,9.83433,100,1,1068
2010-06-18,9.83433,9.83433,9.83433,9.83433,3100,2,33108
2010-06-21,9.82512,9.82512,9.80671,9.80671,53400,3,568714
2010-06-22,9.7975,9.94483,9.7975,9.94483,21100,6,225129
2010-06-23,10.03691,10.03691,9.66858,9.66858,16400,5,178360
2010-06-24,9.80671,10.06454,9.80671,10.03691,17500,12,187375
2010-06-25,10.05533,10.05533,10.03691,10.03691,200,2,2182
2010-06-28,10.12899,10.12899,10.12899,10.12899,100,1,1100
2010-06-29,10.12899,10.12899,9.85275,10.0185,4000,8,43038
2010-06-30,10.12899,10.31316,10.00929,10.12899,29900,6,328361
2010-07-01,10.12899,10.34999,9.94483,10.34999,1700,4,18454
2010-07-02,10.37711,10.37711,10.37711,10.37711,100,1,1115
2010-07-05,10.14444,10.14444,9.95831,10.05137,83400,13,901648
2010-07-06,10.05137,10.11652,9.88385,10.11652,11600,5,125367
2010-07-07,10.17237,10.17237,10.14444,10.17237,1700,4,18550
2010-07-08,9.95831,10.23751,9.95831,10.23751,14700,4,158167
2010-07-12,10.23751,10.23751,10.2282,10.23751,9100,3,100020
2010-07-13,10.28405,10.33058,10.28405,10.33058,7000,4,77600
2010-07-14,10.32127,10.32127,10.05137,10.05137,1800,6,19610
2010-07-15,10.23751,10.32127,10.2282,10.32127,50300,4,553308
2010-07-16,10.37711,10.37711,10.11652,10.13514,62200,97,690679
2010-07-19,10.13514,10.23751,9.95831,10.23751,6800,7,72949
2010-07-20,10.23751,10.23751,9.75356,9.86524,33400,175,354234
2010-07-21,9.99553,9.99553,9.75356,9.91177,1900,5,20078
2010-07-22,9.949,9.949,9.74425,9.93969,300,3,3184
2010-07-23,9.949,9.949,9.69772,9.92108,400,4,4242
2010-07-26,9.91177,9.91177,9.91177,9.91177,1000,2,10650
2010-07-27,9.949,9.949,9.949,9.949,3200,3,34208
2010-07-28,9.90247,9.90247,9.49296,9.52089,55500,23,587568
2010-07-29,9.66979,9.86524,9.66049,9.86524,400,4,4192
2010-07-30,9.86524,10.23751,9.59534,10.23751,51300,13,544185
2010-08-02,10.2189,10.23751,9.95831,10.23751,2400,5,26014
2010-08-03,10.20959,10.2282,10.20959,10.2282,200,2,2196
2010-08-04,10.2282,10.2282,9.96761,10.19097,900,7,9814
2010-08-05,10.18167,10.18167,10.18167,10.18167,100,1,1094
2010-08-06,10.18167,10.18167,10.18167,10.18167,8100,2,88614
2010-08-09,10.19097,10.19097,9.97692,10.13514,2600,6,28386
2010-08-10,10.07929,10.09791,10.07929,10.09791,200,2,2168
2010-08-11,10.09791,10.09791,10.00484,10.00484,51600,3,559336
2010-08-12,10.00484,10.00484,9.99553,9.99553,2100,2,22574
2010-08-13,10.05137,10.05137,10.02345,10.02345,400,3,4316
2010-08-16,10.05137,10.05137,9.77217,10.04207,1900,6,20460
2010-08-17,10.04207,10.04207,9.78148,9.99553,8400,12,90557
2010-08-18,9.77217,10.05137,9.66979,9.93039,118100,49,1235235
2010-08-19,9.91177,10.00484,9.91177,10.00484,10300,4,109725
2010-08-20,10.04207,10.04207,10.04207,10.04207,200,2,2150
2010-08-23,9.96761,10.09791,9.96761,10.09791,1600,16,17150
2010-08-24,10.09791,10.09791,10.0886,10.0886,50200,3,544169
2010-08-25,10.05137,10.05137,9.95831,10.00484,500,5,5373
2010-08-26,10.05137,10.05137,9.84663,10.00484,600,6,6442
2010-08-27,10.00484,10.00484,9.74425,9.95831,3800,11,40334
2010-08-30,9.70702,9.89316,9.6791,9.85593,1900,7,19834
2010-08-31,9.93969,10.19097,9.77217,10.18167,8700,25,93681
2010-09-01,10.18167,10.19097,10.17237,10.19097,10300,4,112682
2010-09-02,10.17237,10.20028,9.96761,10.20028,700,3,7644
2010-09-03,10.24717,10.24717,10.21904,10.21904,200,2,2183
2010-09-06,10.21904,10.24717,10.21904,10.24717,600,2,6555
2010-09-08,10.20967,10.20967,10.20967,10.20967,100,1,1089
2010-09-09,10.20967,10.20967,9.84403,10.03154,4900,23,51996
2010-09-10,10.02216,10.02216,10.02216,10.02216,200,2,2138
2010-09-13,10.02216,10.02216,9.84403,10.02216,300,3,3188
2010-09-14,9.98466,9.98466,9.86278,9.98466,400,3,4234
2010-09-15,9.98466,9.98466,9.93778,9.93778,3300,5,34985
2010-09-16,9.97528,9.98466,9.97528,9.98466,200,2,2129
2010-09-17,9.98466,9.98466,9.97528,9.97528,21300,5,226639
2010-09-20,9.98466,9.98466,9.95653,9.95653,700,7,7437
2010-09-21,9.96591,9.97528,9.84403,9.95653,2000,8,21061
2010-09-22,9.95653,9.95653,9.95653,9.95653,100,1,1062
2010-09-23,9.98466,9.98466,9.98466,9.98466,600,4,6390
