Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,111.97778,113.24288,110.24981,111.08293,198400,283,7177135
2010-01-05,109.54012,110.46581,108.61442,109.54012,235100,278,8350636
2010-01-06,107.99729,109.50925,106.76304,106.76304,159500,223,5579153
2010-01-07,107.38017,109.23156,100.90034,103.36884,297300,487,10064804
2010-01-08,103.39969,109.23156,103.39969,109.23156,174300,351,6006721
2010-01-11,111.11378,120.03129,109.4784,111.08293,1820400,1117,66433814
2010-01-12,109.32413,110.15724,107.62702,107.68874,1484300,1329,52133523
2010-01-13,107.99729,107.99729,103.39969,104.6031,982200,625,33488973
2010-01-14,107.68874,110.12638,104.88081,108.92298,1369600,861,47859338
2010-01-15,109.84867,110.15724,108.61442,109.78697,320700,228,11414891
2010-01-18,110.43494,114.72398,110.43494,113.39716,512800,363,18865520
2010-01-19,113.39716,113.39716,109.10812,109.72526,591500,334,21152209
2010-01-20,108.30585,111.08293,107.68874,111.08293,270500,292,9547970
2010-01-21,110.15724,110.15724,108.42929,109.26241,456800,144,16226231
2010-01-22,109.23156,109.54012,108.275,109.07726,296900,196,10501741
2010-01-26,109.26241,114.53884,109.01556,111.42236,664200,746,24011683
2010-01-27,111.70006,114.16856,111.48407,112.93431,516100,290,18950029
2010-01-28,113.70572,114.16856,112.93431,114.0143,329600,162,12114349
2010-01-29,113.52058,113.92171,112.99603,113.24288,308200,224,11323486
2010-02-01,114.13772,114.16856,113.42802,113.67487,212700,125,7847363
2010-02-02,114.93998,118.76617,114.78571,114.84741,537700,353,20219292
2010-02-03,115.71139,117.1925,113.55145,115.06342,845200,535,31673844
2010-02-04,115.09425,115.09425,108.76871,112.28633,472900,924,17100158
2010-02-05,108.02815,111.97778,104.04768,106.14593,449800,926,15571430
2010-02-08,107.93558,109.35497,105.22022,106.11506,228300,146,7852831
2010-02-09,106.14593,109.23156,105.52879,106.45448,257600,298,8888052
2010-02-10,106.48533,108.92298,105.12766,106.14593,339700,569,11719838
2010-02-11,108.58356,112.68746,108.21329,110.77437,62900,82,2251090
2010-02-12,111.08293,117.2542,109.54012,112.59489,273700,100,9883497
2010-02-17,115.95825,115.95825,109.91039,112.62576,458000,494,16551338
2010-02-18,111.08293,112.93431,110.62008,112.31719,478000,404,17258305
2010-02-19,111.08293,115.64968,110.21896,113.08861,789500,370,28656908
2010-02-22,114.13772,114.16856,110.65094,114.13772,175600,276,6462216
2010-02-23,111.1755,114.47713,111.08293,112.78003,158600,438,5772273
2010-02-24,112.78003,113.24288,110.9595,112.62576,87800,151,3191269
2010-02-25,110.99037,113.1503,108.46014,113.1503,462400,373,16757571
2010-02-26,112.62576,115.64968,112.1629,113.70572,127600,247,4695220
2010-03-01,115.37197,115.37197,111.60748,112.71832,297300,387,10866430
2010-03-02,114.13772,114.13772,112.34805,112.96518,91600,106,3351522
2010-03-03,113.08861,114.93998,112.93431,114.16856,237600,139,8767330
2010-03-04,115.06342,115.40283,113.42802,115.37197,125000,45,4627713
2010-03-05,115.55711,116.9765,114.5697,116.60622,118300,173,4438534
2010-03-08,116.88393,126.51112,116.79136,120.92611,255100,327,9811959
2010-03-09,121.23469,124.35118,120.30899,121.5741,271800,300,10681377
2010-03-10,122.49979,122.49979,120.46326,120.80269,109300,81,4290145
2010-03-11,120.80269,123.42549,120.80269,123.42549,173000,199,6874236
2010-03-12,124.93745,124.96831,122.0061,124.96831,164100,178,6620655
2010-03-15,124.50546,124.96831,122.80835,124.96831,92300,118,3728080
2010-03-16,125.80143,125.80143,123.70319,125.27686,114000,158,4619964
2010-03-17,125.64715,128.67108,124.13519,124.50546,134500,150,5459271
2010-03-18,125.77056,125.77056,121.60497,124.65974,249700,331,10057041
2010-03-19,125.80143,128.82535,124.96831,128.20822,289100,352,11865388
2010-03-22,132.32449,132.32449,126.09519,126.5208,326800,141,10722529
2010-03-23,126.98508,128.64882,125.36005,125.74696,165800,169,5401536
2010-03-24,125.20528,129.42264,124.58624,126.98508,244900,143,7976736
2010-03-25,129.84827,131.55066,127.68153,128.26192,870900,295,28982752
2010-03-26,131.43462,133.29178,128.41667,133.29178,278700,205,9442501
2010-03-29,130.00302,133.40784,129.61609,131.55066,285800,276,9689854
2010-03-30,131.55066,133.09833,130.11909,130.97029,306600,257,10376795
2010-03-31,129.73216,133.25308,129.73216,133.25308,276700,248,9451987
2010-04-01,133.40784,136.58055,132.67271,135.41982,252500,242,8750677
2010-04-05,135.80672,135.80672,131.93758,132.7114,240900,346,8283348
2010-04-06,133.87215,134.18167,130.0417,132.32449,140500,231,4789317
2010-04-07,132.2858,137.35439,131.55066,135.41982,311700,355,10827074
2010-04-08,135.41982,142.73247,133.13701,140.83659,159700,209,5737335
2010-04-09,139.28894,140.06277,137.16092,140.06277,219900,177,7896264
2010-04-12,139.13417,146.52422,138.47643,140.06277,242100,101,8726027
2010-04-13,142.34557,142.38425,137.43176,140.79788,144300,120,5209771
2010-04-14,142.34557,146.98854,140.52707,145.86646,141000,247,5214847
2010-04-15,143.19676,148.57487,143.15808,148.57487,129400,221,4894112
2010-04-16,148.96179,153.99165,144.35751,148.9231,305500,258,11596067
2010-04-19,145.09265,152.83093,139.67586,143.15808,476500,650,17569418
2010-04-20,143.91302,144.85674,141.36507,143.43175,39100,38,5928100
2010-04-22,144.19615,144.19615,141.5538,142.02565,13100,49,1981407
2010-04-23,142.02565,143.80923,142.02565,143.44118,27200,82,4108364
2010-04-26,143.44118,144.38487,141.60098,143.42232,12300,40,1856049
2010-04-27,140.14771,142.96935,137.77904,138.86427,162000,136,24056471
2010-04-28,136.83534,139.67586,132.31508,132.31508,84600,161,12155948
2010-04-29,134.4761,136.83534,133.06999,134.00426,121800,87,17460234
2010-04-30,134.00426,137.77904,133.53242,134.4761,64200,59,9128423
2010-05-03,135.89165,135.89165,133.68343,134.93854,2700,7,386064
2010-05-04,134.93854,135.41982,134.00426,134.91966,6700,21,959397
2010-05-05,134.93854,134.93854,133.06058,133.06058,20800,13,2971538
2010-05-06,133.05115,133.53242,130.22951,130.70135,50500,45,7091308
2010-05-07,130.70135,130.70135,125.98289,127.39844,31500,64,4262147
2010-05-10,134.75923,134.75923,130.76741,131.22037,4900,16,686992
2010-05-11,133.06058,134.94797,133.06058,133.99484,22400,23,3181629
2010-05-12,127.39844,130.18233,125.51105,126.45473,32500,64,4378434
2010-05-13,127.39844,129.74821,124.85046,127.40785,7300,26,985873
2010-05-14,121.26443,122.66109,119.84888,119.89608,10200,35,1303145
2010-05-17,118.90519,122.56673,117.9615,122.55728,7100,18,912814
2010-05-18,120.68877,120.68877,116.17793,119.84888,13800,13,1752146
2010-05-19,119.82059,119.84888,111.82751,113.24304,15700,42,1902819
2010-05-20,113.24304,115.12099,108.52458,108.52458,23700,90,2753810
2010-05-21,111.73314,112.29935,106.6372,109.46828,80400,117,9380114
2010-05-24,110.88382,110.88382,107.76962,107.76962,3400,16,391426
2010-05-25,106.6372,107.95837,103.80612,107.10905,5700,28,635405
2010-05-26,109.18517,109.46828,106.6372,108.51515,89000,162,10234625
2010-05-27,108.54346,113.99801,108.54346,113.24304,90200,49,10570602
2010-05-28,115.0455,118.90519,113.24304,117.9615,8700,19,1076699
2010-05-31,118.81083,118.81083,113.72433,114.18674,242400,67,29379918
2010-06-01,114.65858,115.97031,111.3651,113.24304,25000,68,3010711
2010-06-02,116.07412,116.07412,111.3651,116.06468,7300,41,885564
2010-06-04,116.05525,117.48022,115.12099,116.9895,8800,21,1084553
2010-06-07,114.26223,116.9612,114.26223,114.65858,25900,37,3150324
2010-06-08,115.13043,118.43335,114.63027,116.07412,14500,42,1788226
2010-06-09,117.9615,117.9615,114.21504,116.07412,4200,19,516232
2010-06-10,119.4431,121.72684,118.99957,120.78314,23700,46,3008376
2010-06-11,120.76427,120.79258,118.90519,120.32074,2900,11,368651
2010-06-14,120.32074,126.91715,120.32074,126.45473,7000,22,916997
2010-06-15,122.77435,125.5016,122.77435,125.45442,11900,61,1560728
2010-06-16,125.41668,126.40755,124.18988,124.18988,9300,23,1229630
2010-06-17,124.18988,127.39844,124.18988,127.39844,5700,16,750887
2010-06-18,130.88066,133.99484,128.86115,132.10745,34000,24,4695991
2010-06-21,132.30563,134.4761,132.11687,133.99484,10300,31,1451586
2010-06-22,134.14583,134.14583,133.06058,133.06058,1600,2,225715
2010-06-23,134.00426,136.74097,128.35156,134.00426,18200,75,2552107
2010-06-24,130.22951,131.17319,128.53085,131.17319,5500,23,761000
2010-06-25,132.10745,134.94797,132.10745,134.94797,2300,12,323798
2010-06-28,134.00426,134.00426,132.11687,133.9099,3200,23,454070
2010-06-29,133.9099,133.9099,131.17319,132.49435,8500,36,1191262
2010-06-30,134.4761,134.4761,131.16377,131.16377,22700,18,3202313
2010-07-01,131.17319,132.91904,131.17319,132.91904,300,3,42070
2010-07-02,129.33298,132.11687,127.39844,131.17319,5400,29,749573
2010-07-05,132.11687,132.11687,128.54973,130.22951,4000,12,557041
2010-07-06,132.01309,132.01309,131.9187,131.9187,1000,6,139800
2010-07-07,131.9187,133.00395,130.70135,130.70135,7700,20,1075651
2010-07-08,133.9099,136.72211,133.0417,135.88222,13200,28,1877433
2010-07-12,135.84447,135.84447,133.25876,134.90077,1600,5,229681
2010-07-13,134.4761,135.85391,133.06058,135.78784,62200,19,8774831
2010-07-14,135.22163,135.23106,134.00426,134.91022,7100,14,1015038
2010-07-15,135.88222,137.74129,135.85391,135.87279,600,6,86639
2010-07-16,133.5513,134.94797,133.53242,134.86304,1300,12,184841
2010-07-19,135.91052,135.91052,132.12633,135.41982,3600,14,517054
2010-07-20,135.41982,135.87279,131.26756,131.26756,10600,27,1494599
2010-07-21,134.83472,135.87279,132.58873,134.00426,4800,15,680432
2010-07-22,134.94797,136.20308,134.94797,136.20308,1500,6,216020
2010-07-23,136.78815,136.85423,134.00426,136.83534,39400,17,5712375
2010-07-26,136.82593,136.82593,135.89165,135.89165,2000,11,288497
2010-07-27,134.92908,134.94797,132.11687,133.06058,7600,30,1073771
2010-07-28,132.58873,134.43839,131.17319,132.58873,45800,36,6435828
2010-07-29,133.06058,135.89165,131.64503,133.06058,59200,34,8290757
2010-07-30,133.03227,133.53242,132.58873,133.53242,3100,16,436377
2010-08-02,135.41982,139.66643,135.41982,138.72273,6500,32,940238
2010-08-03,139.47769,139.66643,136.83534,139.66643,1600,11,234817
2010-08-04,138.71332,140.61012,138.25089,140.04388,6100,14,897282
2010-08-05,140.51575,140.51575,140.51575,140.51575,100,1,14890
2010-08-06,140.51575,142.77116,140.51575,142.48807,5800,25,870501
2010-08-09,143.43175,143.44118,143.43175,143.44118,200,2,30399
2010-08-10,142.4975,144.37546,142.4975,144.37546,300,3,45698
2010-08-11,141.5538,142.01622,139.66643,142.01622,6100,11,904702
2010-08-12,144.38487,144.38487,142.95047,142.95047,2500,12,379521
