Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.17419,6.24356,6.11743,6.24356,261100,90,2549461
2010-01-05,6.30663,6.43276,6.25617,6.27509,169400,47,1686016
2010-01-06,6.28771,6.33816,6.28771,6.33816,922400,80,9226956
2010-01-07,6.36969,6.36969,6.30663,6.30663,291500,591,2928964
2010-01-08,6.33816,6.35708,6.30663,6.35077,410100,172,4117352
2010-01-11,6.36339,6.43276,6.36339,6.40753,192900,126,1955023
2010-01-12,6.40123,6.40123,6.32555,6.39492,144200,52,1456088
2010-01-13,6.43276,6.43276,6.36969,6.376,192500,56,1952839
2010-01-14,6.43276,6.48321,6.40123,6.40123,473000,130,4824668
2010-01-15,6.44537,6.46429,6.33816,6.36969,166700,97,1688573
2010-01-18,6.45799,6.48952,6.31293,6.42014,71900,88,733839
2010-01-19,6.48952,6.48952,6.38231,6.45799,117500,55,1197624
2010-01-20,6.45799,6.45799,6.31924,6.43276,258800,87,2621139
2010-01-21,6.49583,6.52105,6.32555,6.40753,272000,155,2771508
2010-01-22,6.30663,6.43276,6.30032,6.42645,547700,32,5550358
2010-01-26,6.42645,6.42645,6.30663,6.31293,620300,54,6240672
2010-01-27,6.43276,6.43276,5.9976,6.16788,32100,53,313417
2010-01-28,6.16788,6.23725,5.96607,5.96607,446700,50,4307015
2010-01-29,6.00391,6.05436,5.8084,5.86516,150200,87,1409044
2010-02-01,5.92192,6.22464,5.92192,5.97868,41300,51,393222
2010-02-02,6.02283,6.05436,5.88408,5.95976,48900,82,462122
2010-02-03,6.11743,6.11743,5.96607,6.04175,26900,42,257132
2010-02-04,6.02283,6.02914,5.72642,5.76426,42900,59,400088
2010-02-05,5.77056,5.77056,5.58136,5.60659,16800,33,149577
2010-02-08,5.73272,5.82101,5.69488,5.7138,22100,38,201061
2010-02-09,5.67596,5.97238,5.67596,5.86516,230100,53,2153703
2010-02-10,5.86516,6.07959,5.86516,6.04805,208400,163,1996941
2010-02-11,6.21833,6.25617,5.9913,6.0922,238900,75,2323792
2010-02-12,6.23095,6.24356,6.12373,6.17419,56400,25,552710
2010-02-17,6.21203,6.21833,6.14896,6.18049,36400,58,356714
2010-02-18,6.24987,6.26879,6.18049,6.26879,14600,30,144610
2010-02-19,6.26879,6.26879,6.18049,6.18049,11100,21,108857
2010-02-22,6.13004,6.26879,6.11743,6.12373,32100,62,316292
2010-02-23,6.13635,6.24356,6.13004,6.21203,117300,164,1159527
2010-02-24,6.18049,6.27509,6.18049,6.27509,6200,9,61053
2010-02-25,6.21203,6.26248,6.19941,6.26248,6000,12,59340
2010-02-26,6.26248,6.33816,6.24356,6.30032,172400,130,1721290
2010-03-01,6.18049,6.32555,6.18049,6.30663,126600,18,1264824
2010-03-02,6.30663,6.36969,6.30663,6.35077,143600,35,1449089
